round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma,client_i_corrupted_labels,client_i_corruption_fraction
0,0,2.1836119157652703,0.1986357261252072,7843,0,0,1566,2.299655751336979,0.1003,0.9210583484955183,0.0946203384750295,0.09433896718317397,0.09822869446510997,0.9604013134443317,116383,0.9603984090046377,0.03960159099536231,10,0.025,0.15,,
0,1,2.2095824958985313,0.18720200752823088,7173,0,0,1435,2.2996557483190223,0.1003,0.9343807674615296,0.09598895078273965,0.0956952231016148,0.09822869446510997,0.9742084390079189,118056,0.9742040897162945,0.025795910283705537,10,0.025,0.15,,
0,2,2.231618061720156,0.16541122213681783,6505,0,0,1301,2.2996557483190223,0.1003,0.957480105197659,0.09836194610785853,0.09804594931689777,0.09822869446510997,0.9981395950520827,120956,0.996303081315707,0.0036969186842930046,10,0.025,0.15,,
0,3,2.259208625814189,0.16529038889840672,5837,0,0,1167,2.2996557483190223,0.1003,0.9592762917312116,0.09854646837840378,0.09822869446510997,0.09822869446510997,0.9999999999898196,121181,0.996303081315707,0.0036969186842930046,10,0.025,0.15,,
0,4,2.270306802958977,0.15620042561423872,5169,0,0,1034,2.2996557483190223,0.1003,0.9592733942974677,0.09854617072499017,0.09822839968370874,0.09822869446510997,0.9999969990194532,121181,0.996303081315707,0.0036969186842930046,10,0.025,0.15,,
0,5,2.288370939095815,0.14483448122639414,4501,0,0,900,2.299655751336979,0.1003,0.9355600803641169,0.09611010161557564,0.09581526309424733,0.09822869446510997,0.9754304851043775,118204,0.9754253932102127,0.02457460678978729,10,0.025,0.15,,
0,6,2.290371740659078,0.13937891440501043,3832,0,0,767,2.2996557332292387,0.1003,0.9014635662578356,0.09260736619080613,0.09234353379062941,0.09822869446510997,0.940087153682868,113921,0.940081860342295,0.05991813965770498,10,0.025,0.15,,
0,7,2.2959096059799196,0.13419721871049306,3164,0,0,633,2.299655763408806,0.1003,0.8556399459796904,0.08789990496649648,0.08767421935642346,0.09822869446510997,0.8925520168312129,108161,0.8925500486870988,0.10744995131290125,10,0.025,0.15,,
0,8,2.299093827009201,0.12475961538461539,2496,0,0,500,2.2996559263784673,0.1003,0.7602913462351734,0.07810474183086784,0.07794630631910567,0.09822869446510997,0.7935187039057924,96160,0.7935171890214718,0.20648281097852816,10,0.025,0.15,,
0,9,2.3003045399983724,0.112527352297593,1828,0,0,366,2.2996572391896306,0.1003,0.6721060541115117,0.06904546539860952,0.0689359546177055,0.09822869446510997,0.7017903983391451,85044,0.7017873941674506,0.2982126058325494,10,0.025,0.15,,
0,10,2.3023821115493774,0.09836206896551725,1160,0,0,232,2.2996632268157184,0.1003,0.5693753610131562,0.05849193969785629,0.05842532456626647,0.09822869446510997,0.5947887720977894,72077,0.5947830535888168,0.4052169464111832,10,0.025,0.15,,
0,11,2.3048163175582888,0.09796747967479674,492,0,0,99,2.299793433539475,0.1002,0.30834810699952103,0.0316766058307665,0.031666015234974206,0.09822869446510997,0.3223703155893958,39065,0.32236635803997293,0.6776336419600271,10,0.025,0.15,,
1,0,2.053457785614075,0.25701899783246207,7843,0,0,1566,2.289838923683649,0.1248,0.907166866738967,0.09136485598363865,0.09111147814652648,0.095551385983326,0.9535338206551202,115551,0.9535327028766648,0.046467297123335194,10,0.025,0.15,,
1,1,2.0763977216001144,0.2478600306705702,7173,0,0,1435,2.289838908593866,0.1248,0.915168984738912,0.09251346384412662,0.09225043137303891,0.095551385983326,0.9654536187279525,116995,0.9654486639930022,0.03455133600699778,10,0.025,0.15,,
1,2,2.1020849241929898,0.24195234435049962,6505,0,0,1301,2.2898389206656926,0.1248,0.9489828143498392,0.09517848391122818,0.0948921160304693,0.095551385983326,0.993100362207568,120345,0.9930930336188543,0.0069069663811457405,10,0.025,0.15,,
1,3,2.132163651870645,0.23249957169778995,5837,0,0,1167,2.2898389206656926,0.1248,0.9575720449964789,0.09558702034871952,0.09529695807902959,0.095551385983326,0.9973372661979162,120859,0.9960225115941311,0.0039774884058688675,10,0.025,0.15,,
1,4,2.156259869366157,0.21445153801508995,5169,0,0,1034,2.2898389206656926,0.1248,0.9651795284644057,0.09584378630688041,0.095551385983326,0.095551385983326,0.9999999999895344,121181,0.9960225115941311,0.0039774884058688675,10,0.025,0.15,,
1,5,2.186134390036265,0.21050877582759386,4501,0,0,900,2.289838914629779,0.1248,0.9678309353598282,0.09436996952869442,0.0940908206246603,0.095551385983326,0.9847143466877047,119329,0.9847089501741183,0.015291049825881697,10,0.025,0.15,,
1,6,2.2117045513788858,0.19441544885177453,3832,0,0,767,2.2898389297195627,0.1248,0.9663715273825602,0.09207275795028232,0.09181345821198154,0.095551385983326,0.9608804442359672,116441,0.9608770279414435,0.03912297205855653,10,0.025,0.15,,
1,7,2.2375230321884154,0.1859355246523388,3164,0,0,633,2.2898389357554763,0.1248,0.9419532312784564,0.08822692152313985,0.08799871289732597,0.095551385983326,0.9209569488794337,111603,0.9209536069713323,0.07904639302866767,10,0.025,0.15,,
1,8,2.268024389743805,0.16963141025641026,2496,0,0,500,2.289839237551146,0.1248,0.9063228872409015,0.08073729093187686,0.08056231819229015,0.095551385983326,0.8431308176472225,102172,0.843128517436583,0.156871482563417,10,0.025,0.15,,
1,9,2.273285983403524,0.17045951859956238,1828,0,0,366,2.2898411750793457,0.1248,0.8444143101505884,0.0728323269193316,0.0727038187293263,0.095551385983326,0.7608871182805494,92205,0.7608803287616973,0.2391196712383027,10,0.025,0.15,,
1,10,2.289548354148865,0.14094827586206896,1160,0,0,232,2.2898512339290185,0.1248,0.7501626331883384,0.06287596402251573,0.06279323717073317,0.095551385983326,0.6571672040532578,79636,0.6571603043356274,0.34283969566437256,10,0.025,0.15,,
1,11,2.294648677110672,0.14004065040650407,492,0,0,99,2.2900942066047767,0.1236,0.5349330280046434,0.03839715872956577,0.03837829967267977,0.095551385983326,0.4016508947235495,48672,0.40164380848640885,0.5983561915135911,10,0.025,0.15,,
2,0,1.975833026632186,0.2895320668111692,7843,0,0,1566,2.275046092045458,0.1721,0.9033460016871901,0.08854763943261197,0.08831693824784925,0.09326093962469255,0.9469874376380262,114757,0.9469805746728062,0.053019425327193836,10,0.025,0.15,,
2,1,2.000637099826545,0.27880942422975047,7173,0,0,1435,2.275046082991588,0.1721,0.921710934241565,0.08989596077168105,0.08965458274335242,0.09326093962469255,0.9613304680736177,116495,0.9613226386757109,0.03867736132428912,10,0.025,0.15,,
2,2,2.0233813017022375,0.27564950038431973,6505,0,0,1301,2.275046082991588,0.1721,0.9437773663941463,0.09233510258023088,0.09207358508090549,0.09326093962469255,0.987268468990849,119639,0.9872670858708389,0.01273291412916111,10,0.025,0.15,,
2,3,2.048156391278557,0.267945862600651,5837,0,0,1167,2.275046082991588,0.1721,0.9561375951783618,0.0930102086920582,0.09274292624268306,0.09326093962469255,0.9944455483175639,120508,0.9885461537191992,0.011453846280800817,10,0.025,0.15,,
2,4,2.0681064320773612,0.25248597407622364,5169,0,0,1034,2.275046082991588,0.1721,0.9668338209115485,0.09353274166168032,0.09326093962469255,0.09326093962469255,0.9999999999892774,121181,0.9885461537191992,0.011453846280800817,10,0.025,0.15,,
2,5,2.0942352851231893,0.2502554987780493,4501,0,0,900,2.275046092045458,0.1721,0.9712316912653376,0.09274080701587682,0.09247583509093059,0.09326093962469255,0.9915816360213288,120161,0.9885461537191992,0.011453846280800817,10,0.025,0.15,,
2,6,2.1223504265149433,0.2358820459290188,3832,0,0,767,2.2750460980813716,0.1721,0.9739535107644443,0.0913677688090687,0.09111436679094793,0.09326093962469255,0.9769831523962765,118392,0.9769767787295143,0.023023221270485728,10,0.025,0.15,,
