round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006915160999994896,0.004645664000001659,0.0002771710000004646,0.00047898851335048676,5.619600415229797e-06,1.0600313544273376e-05,0.01086905412375927,0.02320225855106628,38.58276485,0.02320225855106628,38.58276485,0.1437305750806101,0.0,0.10029166666666668,2.2996557483190223,0.1003,0.13507035290586528,0.996303081315707,0.0036969186842930046
1,0.0022198030000026847,0.001914989999995953,0.0002702180000042631,0.00047339871525764465,5.088746547698975e-06,6.81169331073761e-06,0.011291209608316422,0.016181519763435404,24.977594942000003,0.03938377831450168,63.560359792,0.20047684058522208,0.0,0.12469999999999999,2.2898389206656926,0.1248,0.13675948576206032,0.9960225115941311,0.0039774884058688675
2,0.002170571000007726,0.0013294989999934614,0.0002671419999984437,0.0004775878041982651,5.330890417098999e-06,7.655471563339233e-06,0.012087486684322357,0.01634527285050069,24.985304396999993,0.055729051165002375,88.545664189,0.24104535705889707,0.0,0.17199999999999996,2.275046082991588,0.1721,0.1379853912039524,0.9885461537191992,0.011453846280800817
3,0.002151044000001434,0.0022055459999990035,0.0002620019999994838,0.00047289952635765076,5.3122639656066895e-06,7.202848792076111e-06,0.012522110715508461,0.017626117354623716,25.280682924999994,0.07335516851962609,113.82634711399999,0.26586272805040084,0.0,0.22068333333333334,2.2545239985743657,0.2208,0.13818317841411096,0.9888844877952171,0.011115512204782907
4,0.002490571999999247,0.0013578030000189756,0.00026626100000726183,0.0005452632904052734,5.250796675682068e-06,7.53253698348999e-06,0.012170068919658661,0.01684275154374859,25.05261785500001,0.09019792006337468,138.87896496899998,0.28602831009889235,0.0,0.24956666666666663,2.2279288798947876,0.2496,0.13810115510022886,0.9874651350860689,0.012534864913931076
5,0.002214022000003979,0.0012772609999842643,0.00027689099999861355,0.0004643518477678299,4.997476935386658e-06,7.223337888717651e-06,0.012352613732218742,0.016597360394797533,25.161020958999984,0.10679528045817221,164.03998592799996,0.3020232252763076,0.0,0.27031666666666665,2.1956068865860563,0.2704,0.13823195407776262,0.9879602581241439,0.012039741875856103
6,0.002145894999983966,0.0013117459999989478,0.00025713399998039677,0.0004619080573320389,5.09992241859436e-06,6.983056664466858e-06,0.01330472156405449,0.0174934876004329,25.158238509,0.12428876805860511,189.19822443699996,0.3159004788231884,0.0,0.2826166666666667,2.1585896226424204,0.2826,0.13775405997157192,0.987225825617666,0.01277417438233397
7,0.0021880339999995613,0.0012803770000004988,0.0002665709999973842,0.0004903823137283325,4.908069968223572e-06,7.586553692817688e-06,0.012007642537355423,0.01624550147474224,25.343067806000022,0.14053426953334736,214.541292243,0.32668191702909993,0.0,0.29948333333333327,2.1174748517289945,0.2996,0.1371444568833747,0.9876136719974914,0.012386328002508606
8,0.00241616199997452,0.0013869679999913842,0.00025761400002011214,0.0005408488214015961,5.07943332195282e-06,7.204711437225342e-06,0.011685481294989586,0.016299358261136376,25.071469576,0.15683362779448373,239.61276181899999,0.3376550796120145,0.0,0.31727500000000003,2.073262570779535,0.3173,0.1368745591857605,0.9920615272895315,0.007938472710468547
9,0.002116919999991751,0.001814110999987406,0.0002581960000043182,0.0004769880324602127,4.841014742851257e-06,6.971880793571472e-06,0.012734923511743546,0.017412951439723656,25.291774978999996,0.1742465792342074,264.904536798,0.3473938057239499,0.0,0.3353166666666667,2.0274675284759907,0.3355,0.13628992132035248,0.9879437540228747,0.01205624597712529
10,0.002120257000001402,0.001323878999983208,0.0002604900000164889,0.000485934317111969,4.969537258148193e-06,7.49342143535614e-06,0.012076156213879585,0.016279179489686157,25.193511717999968,0.19052575872389355,290.09804851599995,0.35698355548015764,0.0,0.34782500000000005,1.9817313106754157,0.3479,0.13558483562383164,0.992564902378241,0.007435097621758979
11,0.002118592999977409,0.001313760000016373,0.00025569100000666367,0.00048297643661499023,4.829838871955872e-06,7.253140211105347e-06,0.012223029509186745,0.01640613292488524,25.217078791000006,0.2069318916487788,315.31512730699995,0.365271604607887,0.0,0.3593583333333334,1.9366414139542398,0.3593,0.13512423851395525,0.988471885263488,0.011528114736512052
12,0.00229677800001582,0.001355819000025349,0.00026064000002179455,0.0005151089280843735,4.930421710014343e-06,7.4729323387146e-06,0.011895736679434776,0.016336485961630842,25.425865541999997,0.22326837761040963,340.74099284899995,0.3745397320530417,0.0,0.36343333333333333,1.893132647381553,0.3633,0.13422593435557958,0.989280586225677,0.01071941377432295
13,0.002274376000002576,0.0013258529999689017,0.00027692999998407686,0.0005070939660072327,4.7907233238220215e-06,7.575377821922302e-06,0.011149270460009575,0.015545889527118106,25.302770119,0.23881426713752774,366.04376296799995,0.3824874298041067,0.0,0.3711083333333334,1.8514282250706153,0.3712,0.13340099467473848,0.9938934825304088,0.006106517469591233
14,0.002168126000015036,0.001294052999980977,0.00025412799999458,0.0004741903394460678,5.070120096206665e-06,7.737427949905396e-06,0.010730324313044548,0.01493362920052732,25.16544390399997,0.25374789633805506,391.2092068719999,0.38967699220193636,0.0,0.37845833333333334,1.813059713267073,0.3785,0.13243821409996476,0.9942813289102342,0.005718671089765759
15,0.0022615519999931166,0.0013300009999852591,0.0002531360000261884,0.0004873666912317276,4.850327968597412e-06,6.6515058279037476e-06,0.012227408587932587,0.01657096611296538,25.295984722000014,0.27031886245102044,416.50519159399994,0.39772611440416883,0.0,0.38648333333333335,1.7772238329996037,0.3865,0.131191442113704,0.9950157614167121,0.004984238583287892
16,0.002144993000001705,0.0013168860000405402,0.00025290499996799554,0.0004650447517633438,4.8074871301651e-06,7.491558790206909e-06,0.012043893337249756,0.016236021134943712,25.414167555000006,0.28655488358596415,441.91935914899994,0.4052735604970013,0.0,0.3934500000000001,1.7432995174504533,0.3935,0.1301243531228286,0.9945371424799062,0.005462857520093789
17,0.0022078709999959756,0.0013053039999704197,0.0002671319999763,0.0005002003163099289,4.809349775314331e-06,6.81169331073761e-06,0.012682203203439713,0.01697433156277839,25.345742635000022,0.30352921514874254,467.26510178399997,0.41164430922554013,0.0,0.40281666666666666,1.7120618759831296,0.4029,0.12857866667995824,0.9959895033915928,0.0040104966084072435
18,0.002158277999967595,0.0012771209999868915,0.0002539479999654759,0.0004706531763076782,4.850327968597412e-06,7.886439561843872e-06,0.012774355709552765,0.016947092653310847,25.342799220000018,0.3204763078020534,492.607901004,0.4190599139858929,0.0,0.4092666666666667,1.6810358883459358,0.4093,0.12745503842857947,0.9959482431384199,0.0040517568615801025
19,0.002443003000053068,0.0013703759999543763,0.0002645469999151828,0.0005231630057096481,4.41819429397583e-06,6.861984729766846e-06,0.012688996270298958,0.017301365454954976,25.254343079000023,0.33777767325700836,517.862244083,0.4271829584726406,0.0,0.4164666666666667,1.6534719436983518,0.4165,0.12586249998195584,0.9970622699740885,0.002937730025911467
