round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010274381999998639,0.007831951000000004,0.00029726899999715783,0.0009053926914930344,6.2622129917144775e-06,1.5148892998695374e-05,0.01823929138481617,0.037569697182295414,29.324998711,0.037569697182295414,29.324998711,0.3309567345438754,0.0,0.24496666666666667,2.2700396140162558,0.245,0.09697479778640943,1.0,0.0
1,0.0030291740000052414,0.005700143999995078,0.0003041719999998804,0.0009345561265945435,5.038455128669739e-06,7.7858567237854e-06,0.01733597368001938,0.027316844118466577,15.556779768000002,0.06488654130076199,44.881778479000005,0.4517697767041062,0.0,0.39029166666666665,2.2127195501479857,0.3903,0.09687996981468508,1.0,0.0
2,0.00298345800000277,0.0018562189999968837,0.00027820199999695205,0.0009559076279401779,6.051734089851379e-06,7.694587111473083e-06,0.017024515196681023,0.02311204814581913,15.472288293000005,0.08799858944658112,60.35406677200001,0.5225425550011771,0.0,0.4337,2.140979922236726,0.4337,0.09789858618556678,1.0,0.0
3,0.002969702000001462,0.0018687919999962332,0.00028796099999794933,0.0009715240448713303,6.252899765968323e-06,8.063390851020813e-06,0.017348676919937134,0.023460972255421098,15.607544137000005,0.11145956170200222,75.96161090900002,0.5662282898879915,0.0,0.47687499999999994,2.053547763976807,0.4769,0.09837368390889056,1.0,0.0
4,0.0029161300000026813,0.0018685129999909122,0.00029323100000056,0.000967368483543396,6.1318278312683105e-06,7.774680852890015e-06,0.016353946179151535,0.022413095171373243,15.649759993000004,0.13387265687337546,91.61137090200002,0.6005522773881529,0.0,0.537075,1.9508089463169964,0.5371,0.09857479402935854,1.0,0.0
5,0.0029544530000009672,0.0018607870000124649,0.0002832419999947433,0.0009730979800224304,5.8002769947052e-06,7.763504981994629e-06,0.019259868189692497,0.025345011951699803,15.750291629999992,0.15921766882507526,107.36166253200001,0.6278521812479815,0.0,0.5962249999999999,1.8346036965854633,0.5962,0.09867194116885102,1.0,0.0
6,0.0029794200000026194,0.0018523010000137674,0.0002986810000038531,0.0009599048644304276,6.34416937828064e-06,8.476898074150085e-06,0.01775308884680271,0.02385821677870581,15.454639778,0.18307588560378107,122.81630231000001,0.6462722446203216,0.0,0.6307,1.7087737485623589,0.6307,0.09874940928176906,1.0,0.0
7,0.002991172000008646,0.001868692000016381,0.0002978699999971468,0.0009646620601415634,6.7837536334991455e-06,8.534640073776245e-06,0.019658375531435013,0.025796089985306025,15.50648431399999,0.2088719755890871,138.322786624,0.6602037667666184,0.0,0.6494999999999999,1.5782260837646338,0.6495,0.09876059476771581,1.0,0.0
8,0.0029652430000055574,0.0018400980000023992,0.0002963270000009288,0.0009447447955608368,5.7425349950790405e-06,7.873401045799255e-06,0.020902927964925766,0.026962956696536367,15.595159596999991,0.23583493228562347,153.917946221,0.6715211871432358,0.0,0.6643,1.4483461395239297,0.6643,0.09875011291106087,1.0,0.0
9,0.002998285000018086,0.0018467510000164111,0.00028648899998984234,0.0009908117353916168,6.07222318649292e-06,8.266419172286987e-06,0.019640782848000526,0.025777458225775263,15.655886307000003,0.26161239051139873,169.573832528,0.6816866312277877,0.0,0.6737833333333333,1.324169511612231,0.6738,0.0986669118099285,1.0,0.0
