round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010214512999997538,0.006582940000001258,0.0002614200000010669,0.0009076036512851715,5.749985575675964e-06,1.325458288192749e-05,0.02131853625178337,0.03930401747152601,18.789212087,0.03930401747152601,18.789212087,0.8708654880730875,0.0,0.38725833333333326,2.191581865469107,0.3873,0.39153082490412433,1.0,0.0
1,0.0028195689999996887,0.004136930999997901,0.00027792199999865375,0.0009402558207511902,5.660578608512878e-06,7.37607479095459e-06,0.021661387756466866,0.029849102230613767,4.860558922000003,0.06915311970213978,23.649771009000002,0.8906465032148022,0.0,0.7637999999999999,2.012443036697924,0.7638,0.3971585652190053,1.0,0.0
2,0.0028200710000021445,0.0015658579999993094,0.0002591159999987269,0.0009558741003274918,5.608424544334412e-06,7.253140211105347e-06,0.01918582245707512,0.02479960312215823,4.879619951000002,0.09395272282429801,28.529390960000004,0.9062257988851502,0.0,0.882375,1.7856442002823558,0.8824,0.3990342243523075,1.0,0.0
3,0.002872097999997436,0.0014753580000004263,0.00027437499999649617,0.0009803008288145065,6.0014426708221436e-06,7.236376404762268e-06,0.020118262618780136,0.025733632266664586,4.877298676000002,0.11968635509096259,33.40668963600001,0.9167519704793651,0.0,0.9138666666666667,1.5321410269782947,0.9139,0.39394741734806904,1.0,0.0
4,0.0027982499999978927,0.0015213040000006117,0.0002753959999992617,0.000941496342420578,6.064772605895996e-06,7.413327693939209e-06,0.018585804849863052,0.02413572929258123,4.887010083999996,0.14382208438354382,38.293699720000006,0.925276162815511,0.0,0.9276083333333333,1.2683569124331489,0.9276,0.38837099683513515,1.0,0.0
5,0.002831802999999411,0.0014450110000012728,0.0002527839999970638,0.0009570140391588211,5.949288606643677e-06,7.836148142814636e-06,0.019794004037976265,0.025294401513882292,4.893170882999996,0.16911648589742612,43.186870603,0.931890000003231,0.0,0.9355083333333333,1.0084548482117943,0.9355,0.38481503188341065,1.0,0.0
6,0.002822104999999908,0.0015569899999974268,0.0002612909999939461,0.0009673964232206345,6.292015314102173e-06,6.822869181632996e-06,0.021434910595417023,0.027055807903124673,4.8897402360000015,0.1961722938005508,48.076610839000004,0.9383989791465135,0.0,0.940525,0.7811727380981079,0.9405,0.37555786228228194,1.0,0.0
7,0.0028521710000006806,0.001501746999998943,0.0002726709999976151,0.0009628888219594955,5.749985575675964e-06,7.37607479095459e-06,0.01838449202477932,0.023987095907102685,4.893126188000004,0.22015938970765347,52.96973702700001,0.9422606714901605,0.0,0.9451999999999999,0.6021993827705566,0.9452,0.3582611521939827,1.0,0.0
8,0.002760348999998996,0.0015440670000046453,0.00028203899999823534,0.0009839851409196854,5.088746547698975e-06,7.3052942752838135e-06,0.020458020269870758,0.026040854451615303,4.877107205999998,0.24620024415926878,57.846844233000006,0.9464987905947613,0.0,0.9506833333333332,0.45239237883982186,0.9507,0.3596059423105107,1.0,0.0
9,0.0028491750000014804,0.0015318829999984018,0.0002807569999987436,0.0009441114962100983,6.470829248428345e-06,6.861984729766846e-06,0.020896172150969505,0.026515431461156425,4.871018202000002,0.2727156756204252,62.71786243500001,0.9508812483073483,0.0,0.9533833333333335,0.34317375781437076,0.9534,0.3495750370349084,1.0,0.0
10,0.0027978390000100717,0.0015028689999923017,0.0002643760000040629,0.0009600222110748291,5.8729201555252075e-06,7.772818207740784e-06,0.019275229424238205,0.024813981373682736,4.866606244999993,0.29752965699410794,67.58446868,0.9545961256415995,0.0,0.9553166666666666,0.2675768359543416,0.9553,0.33982199891594184,1.0,0.0
11,0.0027721000000013873,0.0015861150000091584,0.0002632940000069084,0.0009442400187253952,5.360692739486694e-06,6.7837536334991455e-06,0.018469028174877167,0.024046921639993002,4.870523313999996,0.32157657863410094,72.454991994,0.9560016372076588,0.0,0.9566666666666666,0.2200356786148236,0.9567,0.32103345485968476,1.0,0.0
12,0.0027905149999867263,0.001452224000004776,0.0002546669999929918,0.0009615831077098846,6.6123902797698975e-06,7.184222340583801e-06,0.021166881546378136,0.026639667266692868,4.868380393999999,0.3482162459007938,77.323372388,0.9598921803506376,0.0,0.9583333333333334,0.18346132134524779,0.9583,0.3198555509742162,1.0,0.0
13,0.0027962260000009564,0.0015489759999951502,0.0002741739999976289,0.0009642578661441803,5.6121498346328735e-06,7.051974534988403e-06,0.017547259107232094,0.02314355709773963,4.862173378999998,0.37135980299853344,82.185545767,0.962924126282771,0.0,0.9606916666666665,0.15803286787896112,0.9607,0.30925505603931525,1.0,0.0
14,0.0028233160000041835,0.001460238999996477,0.00027378299999725186,0.0009613018482923508,5.681067705154419e-06,7.655471563339233e-06,0.019345564767718315,0.024877541155277072,4.876614670999999,0.3962373441538105,87.06216043799999,0.9647766031754381,0.0,0.9625083333333335,0.1407207481075114,0.9625,0.29919305167275234,1.0,0.0
15,0.0028211930000026086,0.0014751970000048686,0.0002548780000068973,0.0009646285325288773,5.1800161600112915e-06,7.022172212600708e-06,0.02009369619190693,0.025621794912822793,4.873682030000012,0.4218591390666333,91.935842468,0.9663429208329585,0.0,0.9643833333333333,0.1280759137135725,0.9644,0.2889344856055423,1.0,0.0
16,0.0027590859999975237,0.0014782829999973046,0.00027737000000627177,0.0009591095149517059,5.511566996574402e-06,7.033348083496094e-06,0.018224237486720085,0.02371063091675296,4.874882802000002,0.44556976998338627,96.81072527,0.9688403960135514,0.0,0.9654333333333335,0.11914307153977144,0.9655,0.27985436242554285,1.0,0.0
17,0.0027870490000054815,0.0015556379999992487,0.0002627730000028805,0.000964069738984108,5.880370736122131e-06,6.8247318267822266e-06,0.019238293170928955,0.024820528012483578,4.872531921000004,0.47039029799586984,101.68325719100001,0.9694962016267842,0.0,0.9663833333333334,0.11266181053677068,0.9664,0.27119047389128115,1.0,0.0
18,0.002895030999994219,0.001545479999990107,0.0002793139999965888,0.000958908349275589,5.941838026046753e-06,7.150694727897644e-06,0.018664075061678886,0.024355900943689335,4.8683495940000086,0.4947461989395592,106.55160678500002,0.9711760222641151,0.0,0.9672833333333334,0.10728504269952163,0.9673,0.2627140876292161,1.0,0.0
19,0.0028859140000037087,0.0014575649999954976,0.0002572730000025558,0.0009656306356191635,6.671994924545288e-06,7.154420018196106e-06,0.01991303637623787,0.025493245426801536,4.86475321799999,0.5202394443663607,111.41636000300001,0.9726297182642948,0.0,0.9685250000000001,0.10286118593676902,0.9686,0.2565180222964449,1.0,0.0
