round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006808003999999812,0.004728107999998343,0.00027807200000040666,0.0005101780407130718,5.710870027542114e-06,1.3304874300956726e-05,0.02440249128267169,0.03674586906771182,29.982832364,0.03674586906771182,29.982832364,0.1428924668263697,0.11929999817672875,0.1193,2.2976047419294527,0.1193,0.14619748698761012,0.9768364938687264,0.023163506131273603
1,0.0025364929999938113,0.003998156999998059,0.00027071899999953075,0.0004863026551902294,5.380250513553619e-06,1.2333039194345474e-05,0.02207575272768736,0.02938513767257689,17.122888156000002,0.06613100674028871,47.105720520000006,0.21385605378166003,0.15750172970867002,0.1575,2.286812776251684,0.1569,0.14835295143109953,0.9780660494132792,0.021933950586720763
2,0.0022506659999947942,0.0013073140000017247,0.0002596670000016843,0.0004848199896514416,5.069654434919357e-06,1.2933742254972458e-05,0.021806026343256235,0.026126496729595772,16.736800563000003,0.09225750346988448,63.84252108300001,0.2552219038991523,0.22090226978081398,0.22089999999999999,2.2705099612851685,0.221,0.14788526027655102,0.9784208875905662,0.021579112409433776
3,0.0022467990000052396,0.001408034000007774,0.00026436699999976554,0.00047285808250308037,6.2319450080394745e-06,1.1973083019256592e-05,0.019383938051760197,0.023794201162303352,16.979045125999995,0.11605170463218784,80.821566209,0.2794259570132133,0.26050084302306054,0.2605,2.2483692772780794,0.2603,0.14729664406472015,0.9775131620207621,0.022486837979237895
4,0.002247400000001676,0.0013080460000054472,0.0002572429999929682,0.0004966128617525101,5.720648914575577e-06,1.308368518948555e-05,0.021705626975744963,0.026033733171601625,16.779636355999997,0.14208543780378946,97.601202565,0.2983238340452687,0.28200308900538634,0.282,2.220483487165427,0.2819,0.14687357432174816,0.9766054364509581,0.023394563549041902
5,0.0022157610000022032,0.0013214410000017551,0.0002635350000019798,0.0004782881587743759,5.7211145758628845e-06,1.2303236871957779e-05,0.017510839737951756,0.02180788924817989,17.059760988999997,0.16389332705196935,114.66096355399999,0.3131097980716511,0.2953032531957627,0.29530000000000006,2.1871996861469896,0.2951,0.1465415785512488,0.977496657919493,0.02250334208050697
6,0.0022464179999985845,0.0013174039999910292,0.00026184099999682076,0.0004827468656003475,4.628673195838928e-06,1.3354700058698654e-05,0.018800541758537292,0.023126934997378612,17.05485558800001,0.18702026204934796,131.715819142,0.32649178992228867,0.317203500105078,0.31720000000000004,2.149305950237226,0.3175,0.14621796072357357,0.9759947847039989,0.02400521529600108
7,0.002219307000018489,0.0012964240000030713,0.0002657990000045629,0.00047877896577119827,4.808884114027023e-06,1.186225563287735e-05,0.023578414227813482,0.027855394333357708,17.102558421999987,0.21487565638270567,148.81837756399997,0.3385858670432626,0.3309039443115375,0.3308416666666667,2.107393231572984,0.3307,0.14578741239584753,0.9710353022726147,0.028964697727385302
8,0.0022388030000115577,0.0013611149999803729,0.00026426599998785605,0.0004761642776429653,5.1390379667282104e-06,1.2633856385946274e-05,0.021430539898574352,0.02578866107054978,16.729129569999998,0.24066431745325545,165.54750713399997,0.3493397878145745,0.3443048682302657,0.3443,2.06241970122615,0.3447,0.14518073265604298,0.9712993678929214,0.028700632107078627
9,0.0022301470000059,0.0013156500000093274,0.00025625099999615486,0.00047537172213196754,5.5301934480667114e-06,1.2503005564212799e-05,0.021507152821868658,0.025802605743024287,16.811806001999997,0.26646692319627974,182.35931313599997,0.3589199071467466,0.35670443237246935,0.3567,2.014806389808655,0.3563,0.14450933483347847,0.97241339472859,0.027586605271409992
10,0.002250054999990425,0.0013442940000061299,0.00026285399999892434,0.0004736590199172497,5.119014531373978e-06,1.2984033674001694e-05,0.023714188020676374,0.02806315308879448,17.207465369999994,0.2945300762850742,199.56677850599996,0.36736188613312276,0.3652035154589414,0.3652,1.9661573911014991,0.3647,0.14371966201471306,0.9716459540195739,0.028354045980426124
11,0.002242451000000756,0.0013137260000064543,0.00026028900001051625,0.000475994311273098,5.370005965232849e-06,1.2364238500595093e-05,0.019575215876102448,0.0238854104318591,17.024666644000007,0.3184154867169333,216.59144514999997,0.3767258657713528,0.37330267838550285,0.3733,1.917592782008497,0.373,0.1426940159647228,0.972512419336205,0.027487580663794975
12,0.0022253280000086306,0.0013101000000119711,0.0002669909999895026,0.00046182703226804733,4.637986421585083e-06,1.2443866580724716e-05,0.020224805921316147,0.02450613380659661,17.191839876000017,0.3429216205235299,233.783285026,0.3837339273059788,0.38040408009726673,0.3804,1.8693127420884144,0.3802,0.14163608087872667,0.9726196959944546,0.027380304005545364
13,0.002255324999993036,0.001317152999973814,0.00026690199999279685,0.0004820250906050205,4.828907549381256e-06,1.2363307178020477e-05,0.019655375741422176,0.023993973046714245,16.875846922999983,0.36691559357024417,250.65913194899997,0.3917639339692958,0.3911033238235342,0.3911166666666666,1.8233376047279262,0.3909,0.14027693444716202,0.9781815781221633,0.02181842187783667
14,0.0022800410000058946,0.0013433930000132932,0.0002742749999811167,0.0004862830974161625,4.998873919248581e-06,1.2733973562717438e-05,0.0198144749738276,0.024216199918726034,17.272416202000016,0.3911317934889702,267.931548151,0.3984859305350627,0.39670376543902924,0.3967,1.7801639415040802,0.396,0.13893387381247338,0.9781073096664521,0.021892690333547904
15,0.0021866859999590815,0.001321160999964377,0.0002584860000069966,0.0005005099810659885,5.058944225311279e-06,1.2112315744161606e-05,0.01936334790661931,0.023647362147585227,16.654324873999997,0.41477915563655543,284.585873025,0.4057158163784728,0.40330496707076113,0.40329999999999994,1.7401578456540652,0.4024,0.13748400477630618,0.9793121090591012,0.020687890940898845
16,0.0022872139999776664,0.0013226730000042153,0.00027516599999444225,0.00048793619498610497,4.838686436414719e-06,1.2803822755813599e-05,0.01942252926528454,0.023813160969439195,16.806145248000007,0.4385923166059946,301.392018273,0.41155192846214167,0.409303889421476,0.4093166666666666,1.7032609785659403,0.4094,0.1358860875131407,0.979691703388292,0.020308296611707966
17,0.0022445950000360426,0.0013440840000384924,0.0002700170000480284,0.0004819752648472786,5.12879341840744e-06,1.2372620403766632e-05,0.018018642906099558,0.022376815584891574,16.886330337000004,0.4609691321908862,318.27834861,0.41833197319250465,0.4153032915804211,0.41530000000000006,1.6704707462576371,0.4153,0.134144352538771,0.9798649964516182,0.020135003548381825
18,0.002271594999967874,0.0013492930000325032,0.0002651980000223375,0.0005027237348258495,4.808884114027023e-06,1.2082979083061218e-05,0.017684814985841513,0.022090516583887165,16.867281230999993,0.48305964877477336,335.145629841,0.42625994529175065,0.4194022932914172,0.41934999999999995,1.6407592024984239,0.4194,0.1326592094608058,0.979889752603522,0.020110247396478043
19,0.002259752999975717,0.0013316000000145323,0.0002622819999942294,0.00047540292143821716,5.701091140508652e-06,1.2192875146865845e-05,0.01798497000709176,0.02233190189480183,17.08410452200002,0.5053915506695752,352.22973436300003,0.43232193416845427,0.42680117610593404,0.4268833333333333,1.6137904879413074,0.4269,0.130988065612375,0.980046541565579,0.01995345843442098
20,0.002263108999954966,0.0013213309999855483,0.00026120000001128574,0.0004783580079674721,4.978850483894348e-06,1.5599187463521957e-05,0.02039791038259864,0.024742486428465327,16.741499612999974,0.5301340370980405,368.971233976,0.4388499875362826,0.43499989924027155,0.4349999999999999,1.5893552076967457,0.4353,0.12934942177091963,0.980937763034114,0.019062236965886048
21,0.002284138999982588,0.0029539270000213946,0.0002671020000093449,0.0005072830244898796,5.710870027542114e-06,1.2182164937257767e-05,0.01749795489013195,0.023528298949599957,17.186658522000016,0.5536623360476405,386.157892498,0.4454179200949569,0.44039918125523597,0.44040000000000007,1.5670613337166701,0.4403,0.12772252458800676,0.9878694855671635,0.012130514432836526
22,0.002258200999960991,0.0013252890000217121,0.00026659099995640645,0.0004930454306304455,5.059409886598587e-06,1.268414780497551e-05,0.018309748731553555,0.022670618719814684,16.868194183000014,0.5763329547674552,403.02608668100004,0.45124200913662854,0.44819930370229627,0.4481916666666666,1.546598715118215,0.4481,0.1260443094797056,0.9886616824280834,0.011338317571916612
23,0.0022486920000233113,0.0027865519999750177,0.00026155099999414233,0.0004897397011518478,5.249865353107452e-06,1.1872034519910812e-05,0.019774639047682285,0.025578295648699623,17.181495971000004,0.6019112504161548,420.20758265200004,0.4570340349728335,0.45439986546177225,0.4543999999999999,1.5277510323101962,0.454,0.12436421026455648,0.9887854631876021,0.011214536812397924
