round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006888024999998521,0.004606159999998027,0.00027862399999989407,0.0004848409444093704,4.978850483894348e-06,1.4286953955888748e-05,0.012822008691728115,0.02509892444057371,29.898442929,0.02509892444057371,29.898442929,0.15081993680543962,0.1342984435980627,0.13430000000000003,2.2965633567375474,0.1343,0.14773024113310776,0.973659454374412,0.026340545625587963
1,0.002218466000002195,0.004018786999999691,0.00026796299999887196,0.00048426026478409767,4.7888606786727905e-06,1.1552125215530396e-05,0.012546892277896404,0.019552709528575463,17.056919901,0.044651633969149174,46.95536283,0.2033722751051735,0.14429776706845807,0.14430000000000004,2.2832725772374793,0.1443,0.14843215641849866,0.9732881120958559,0.026711887904144138
2,0.0021796740000041837,0.001282077999995579,0.00027308300000328245,0.0004773861728608608,5.190260708332062e-06,1.2493226677179337e-05,0.013805384747684002,0.01803528940793342,17.138288233000004,0.06268692337708259,64.09365106300001,0.24055626678046269,0.17029653588053928,0.17030000000000003,2.2639682232579097,0.1703,0.14801509264500695,0.9725701836906471,0.027429816309352928
3,0.0022551349999986314,0.0013412889999955269,0.0002602389999992738,0.0004757731221616268,5.22984191775322e-06,1.219194382429123e-05,0.012449177913367748,0.01679903582126485,16.794317889,0.07948595919834744,80.88796895200001,0.2682701672872411,0.22439851240256292,0.22440000000000004,2.238535576228854,0.2244,0.1475635938537105,0.9710353022726147,0.028964697727385302
4,0.002211482999996406,0.0013339749999943251,0.0002654479999932846,0.00048655271530151367,6.28223642706871e-06,1.2013129889965057e-05,0.014705915935337543,0.019021670016940107,17.474167111,0.09850762921528755,98.36213606300001,0.2887322552361918,0.25359928143919436,0.2536,2.2075116755087163,0.2536,0.14707043823467822,0.9647472396890627,0.03525276031093727
5,0.0021428339999971513,0.0012953229999936866,0.00027224100000466933,0.00048270588740706444,4.637986421585083e-06,1.2393109500408173e-05,0.014963821042329073,0.019173956025653638,17.03816531999999,0.11768158524094119,115.400301383,0.3043082280733912,0.26640044507011434,0.2664,2.17149705524686,0.2664,0.14662482939250607,0.9659355349804426,0.0340644650195574
6,0.0022523599999999533,0.001278110000015431,0.00028244999998605635,0.00048354826867580414,5.089212208986282e-06,1.2523960322141647e-05,0.014001714065670967,0.01831579550687934,16.85294881099999,0.13599738074782053,132.25325019399997,0.3181742359315048,0.28869893281053427,0.2887,2.1318443938146663,0.2887,0.14615655553881265,0.9710765625257877,0.028923437474212332
7,0.002239044999981843,0.001318597000022237,0.0002779920000079983,0.00048536108806729317,4.959758371114731e-06,1.1822208762168884e-05,0.012727399822324514,0.01706517687753717,17.42536987599999,0.1530625576253577,149.67862006999997,0.33055620168725436,0.3106995795920287,0.3106999999999999,2.090028889571564,0.3107,0.14562009954545915,0.9805169084517502,0.019483091548249787
8,0.0022293570000044838,0.00132607000000462,0.0002588660000242271,0.0004979148507118225,4.549045115709305e-06,1.2794043868780136e-05,0.01256737019866705,0.016896921138396692,16.734425195,0.1699594787637544,166.41304526499997,0.34148609541865554,0.3317998662294654,0.33179999999999993,2.0461503810520414,0.3318,0.14502889362433768,0.9810697958442673,0.018930204155732655
9,0.002196644999997943,0.0013216319999855841,0.0002769399999920097,0.0004785689525306225,5.209818482398987e-06,1.2584030628204346e-05,0.013263697735965252,0.017555277537582015,17.07554444599998,0.1875147563013364,183.48858971099995,0.3512441261060133,0.34359775085093985,0.34359999999999996,2.0012891639637043,0.3436,0.14438623285755178,0.9770923074383985,0.022907692561601523
