round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010611933999999934,0.007559727000000294,0.00029194800000098553,0.0009461375884711742,6.081070750951767e-06,1.4256685972213745e-05,0.02306630928069353,0.042496393625889084,23.933565286,0.042496393625889084,23.933565286,0.38806999999999997,0.25080367878566295,0.25079999999999997,2.2536568420763596,0.2509,0.09973981573724819,1.0,0.0
1,0.004313626000005399,0.007535962999995149,0.00030594500000091784,0.0009461380541324615,6.191898137331009e-06,1.2523028999567032e-05,0.02127159619703889,0.034391983178309715,11.157684868000004,0.0768883768041988,35.09125015400001,0.5018566666666667,0.37000207756963704,0.37000000000000005,2.1811247367066695,0.37,0.0998634219506921,1.0,0.0
2,0.0032844520000026023,0.0018369020000008618,0.0003061260000052357,0.0010117022320628166,5.359761416912079e-06,1.2574251741170883e-05,0.023821286857128143,0.030278403102357743,11.217825321999996,0.10716677990655654,46.309075476000004,0.55562,0.44320318055279656,0.4432,2.0896313514191505,0.4432,0.09989072970539248,1.0,0.0
3,0.0030144649999996886,0.0019223420000002989,0.0003002240000000711,0.0009707738645374775,5.2801333367824554e-06,1.2903939932584763e-05,0.02177371783182025,0.027999706769627153,11.299050951999995,0.1351664866761837,57.608126428,0.58597,0.49580407702649404,0.4958,1.9796711179775932,0.4958,0.09988047180080832,1.0,0.0
4,0.003078134999995541,0.0019552640000028987,0.0003069670000002134,0.0009815450757741928,5.300156772136688e-06,1.2402888387441635e-05,0.0244797021150589,0.030819316235991323,11.012574222999994,0.16598580291217502,68.62070065099999,0.6090266666666667,0.5290041676142879,0.529,1.8536588429642942,0.529,0.0998618752025827,1.0,0.0
5,0.003109073000004514,0.0018881280000044853,0.00028743000000019947,0.0009989170357584953,5.9506855905056e-06,1.2974254786968231e-05,0.023355829063802958,0.029658302039948126,11.307509422999999,0.19564410495212314,79.92821007399999,0.6296466666666668,0.5544029362344458,0.5544000000000001,1.7168171580987996,0.5544,0.0998303640613703,1.0,0.0
6,0.0030420559999981833,0.0018317820000106622,0.0002827610000082359,0.0009733987972140312,5.41098415851593e-06,1.24429352581501e-05,0.021684446837753057,0.027832298554400836,11.390954258000008,0.22347640350652398,91.319164332,0.6468333333333333,0.582502425430604,0.5824999999999999,1.575123279239423,0.5825,0.09979331645702683,1.0,0.0
7,0.003041714999994838,0.0018493349999886277,0.00030089499999519376,0.0009670169092714787,5.741138011217117e-06,1.2512784451246262e-05,0.02413427969440818,0.03031149552612078,11.068333729000003,0.25378789903264476,102.387498061,0.6612800000000001,0.6078018737471007,0.6078,1.435174623617349,0.6078,0.09974023800287814,1.0,0.0
8,0.002979848999999035,0.0018683210000034478,0.00031010299998968094,0.000985192134976387,5.519948899745941e-06,1.2582633644342422e-05,0.021248376928269863,0.027409944645782502,11.367173027999996,0.28119784367842726,113.754671089,0.6757633333333333,0.6318008018555145,0.6318,1.303889963573541,0.6318,0.09966271101497981,1.0,0.0
9,0.0030385489999957827,0.0018879980000008345,0.00030399099999556256,0.0009777573868632317,5.479902029037476e-06,1.2382864952087402e-05,0.023148286156356335,0.02937444431019287,11.007314737999991,0.31057228798862013,124.76198582699999,0.6869999999999999,0.6570020094368682,0.657,1.1852672458075868,0.6572,0.0995440079749409,1.0,0.0
