round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009223284999999137,0.006188477000000248,0.0002750549999994689,0.000980075914412737,6.452202796936035e-06,1.92360021173954e-05,0.03173354221507907,0.04842612333440499,15.820735213,0.04842612333440499,15.820735213,0.8918166666666666,0.4740964731216227,0.47408333333333336,2.203692339479733,0.474,0.39526008488288983,1.0,0.0
1,0.003641454000000266,0.005668933999999126,0.00026022800000191637,0.0009206752292811871,6.743241101503372e-06,1.1772383004426956e-05,0.021590021904557943,0.03209982875794637,3.0830190780000013,0.08052595209235136,18.903754291000002,0.9070566666666666,0.8250002638945265,0.8250166666666665,2.047671923622156,0.825,0.4082978132867581,1.0,0.0
2,0.0027876639999995234,0.0015207099999976492,0.0002710479999983306,0.0009386390447616577,5.409587174654007e-06,1.272326335310936e-05,0.02161471825093031,0.027150912146215234,3.0770703889999993,0.1076768642385666,21.98082468,0.9184966666666668,0.9049985701714739,0.9049999999999998,1.8510737243932658,0.905,0.4080718392512584,1.0,0.0
3,0.00285672400000081,0.0014909840000001395,0.0002748750000023392,0.0009441301226615906,6.142072379589081e-06,1.31949782371521e-05,0.02025513118132949,0.02584118135461111,3.072477340999999,0.1335180455931777,25.053302021,0.9253733333333334,0.9284987376245463,0.9285083333333333,1.6236495449901007,0.9285,0.4041703039058682,1.0,0.0
4,0.002789427999999816,0.0015232149999988565,0.0002602169999974535,0.000968053936958313,5.93205913901329e-06,1.3053882867097855e-05,0.019803575240075588,0.02536347511903614,3.078693008000002,0.15888152071221384,28.131995029000002,0.9319533333333334,0.9370991801996578,0.9371000000000004,1.3814665086734028,0.9372,0.3986213667687475,1.0,0.0
5,0.0028213279999995677,0.0015020850000020403,0.00026098899999738023,0.0009541381150484085,6.502028554677963e-06,1.2613832950592041e-05,0.020884450990706682,0.02644210696725935,3.0843002659999996,0.1853236276794732,31.216295295000002,0.9375,0.9439983427423727,0.9439999999999996,1.1327847771751234,0.9439,0.39372883592045615,1.0,0.0
6,0.0028503220000004603,0.0015203889999995113,0.000271778999994865,0.0009711100719869137,6.061047315597534e-06,1.2564007192850113e-05,0.023333259858191013,0.02896548498468121,3.074268854000003,0.2142891126641544,34.290564149000005,0.9416000000000001,0.9489981844056566,0.949,0.8987205495087864,0.949,0.3855819018453916,1.0,0.0
7,0.0028628259999976535,0.0015454870000013443,0.0002723710000012147,0.0009558410383760929,5.781184881925583e-06,1.3225246220827103e-05,0.018549734726548195,0.024205266196027253,3.078361103000006,0.23849437886018165,37.36892525200001,0.9459200000000001,0.9526978657170302,0.9527,0.6917366160752293,0.9527,0.37869590553704946,1.0,0.0
8,0.0028338910000016426,0.0015192669999990471,0.0002559699999977738,0.000950871966779232,6.242189556360245e-06,1.2633390724658966e-05,0.020652396138757467,0.026231271685816182,3.074269612000002,0.26472565054599784,40.44319486400001,0.9494666666666666,0.955497786644634,0.9555000000000002,0.525465688766382,0.9554,0.3697449357551315,1.0,0.0
9,0.002905955999999321,0.001514278000001923,0.00028248899999994137,0.0009608310647308826,6.051268428564072e-06,1.2613832950592041e-05,0.023701791185885668,0.029384010351996892,3.0760514400000005,0.29410966089799473,43.51924630400001,0.9523999999999999,0.9581975476041736,0.9582,0.39883349431208526,0.9582,0.35963625939829247,1.0,0.0
