round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009278657999999496,0.006278341999999881,0.00027375400000018146,0.0009637298062443733,6.032176315784454e-06,1.4487188309431076e-05,0.018625102005898952,0.0354401051767681,15.780806242,0.0354401051767681,15.780806242,0.89202,0.36379743744020393,0.36380000000000007,2.1904583251514373,0.3638,0.39326114231753806,1.0,0.0
1,0.004246515999998479,0.0055281129999968925,0.0002700880000006123,0.0009353570640087128,5.841255187988281e-06,1.2454111129045486e-05,0.017320280894637108,0.02831865032495884,3.1267362280000004,0.06375875550172694,18.907542470000003,0.9063133333333333,0.668499654058266,0.6685,2.032702622322229,0.6685,0.4052128906822311,1.0,0.0
2,0.0028102780000018868,0.0015329800000003502,0.00026168100000134586,0.0009653130546212196,6.321817636489868e-06,1.3085082173347473e-05,0.019890548195689917,0.025480207150124556,3.121081553,0.0892389626518515,22.028624023000003,0.9174933333333334,0.8443977111228186,0.8444000000000002,1.8367016917219559,0.8444,0.40582076366693737,1.0,0.0
3,0.0028411960000020997,0.0015688370000006557,0.0002604289999972309,0.0009538321755826473,5.589798092842102e-06,1.2925360351800919e-05,0.016391736920922995,0.02203454625495027,3.1271175870000008,0.11127350890680177,25.155741610000003,0.9244433333333334,0.9040980900753589,0.9041,1.6080249113777576,0.9041,0.40288606953684336,1.0,0.0
4,0.0028896280000019203,0.0015632969999970214,0.0002624930000010295,0.0009887968190014362,5.851034075021744e-06,1.288391649723053e-05,0.01737358095124364,0.0230965307208173,3.121976407000002,0.13437003962761906,28.277718017000005,0.9317933333333333,0.927398537352591,0.9274000000000001,1.3612314477896157,0.9274,0.3980971956271875,1.0,0.0
5,0.0028389830000001837,0.0015603909999981624,0.00028250100000093425,0.0009528696537017822,5.220063030719757e-06,1.2644100934267044e-05,0.01781479036435485,0.023467399182020898,3.1216176010000005,0.15783743880963996,31.399335618000006,0.9368333333333333,0.9403989413511208,0.9404,1.1103051834213087,0.9404,0.39220262549035173,1.0,0.0
6,0.0028884849999997186,0.0015357540000024983,0.00027649900000170646,0.0009886566549539566,5.96093013882637e-06,1.2783799320459366e-05,0.01892035687342286,0.024628496257840027,3.103272571999998,0.18246593506748,34.502608190000004,0.9414133333333333,0.9462989032543474,0.9463000000000003,0.8784023433828506,0.9463,0.38516822114530963,1.0,0.0
7,0.002819134999995754,0.0016164060000036784,0.000279343999999071,0.0009695808403193951,5.580950528383255e-06,1.2834090739488602e-05,0.019091507885605097,0.024794388767190867,3.121228203000001,0.20726032383467086,37.623836393000005,0.9448566666666666,0.9515991048697657,0.9515999999999997,0.6778538843122915,0.9516,0.3761045096890467,1.0,0.0
8,0.002834784999997453,0.0015681349999994154,0.000280656999997575,0.0010020723566412926,5.259644240140915e-06,1.2574251741170883e-05,0.016917394939810038,0.022620878192427085,3.119398632999996,0.22988120202709794,40.743235026,0.9487066666666667,0.9551993459254206,0.9551999999999999,0.5149431648536231,0.9552,0.3679637039404045,1.0,0.0
9,0.002892012000003774,0.001568566000003102,0.0002910159999984785,0.0009803916327655315,6.151851266622543e-06,1.2433156371116638e-05,0.016294894739985466,0.02204546538039409,3.103682101000004,0.25192666740749203,43.846917127000005,0.9518033333333333,0.9574985869647619,0.9574999999999999,0.3914242301600429,0.9575,0.3581948456886405,1.0,0.0
10,0.002894536999995978,0.0015156360000005975,0.0002641459999992435,0.0009914818219840527,5.580950528383255e-06,1.2814067304134369e-05,0.017539362888783216,0.023223558728595606,3.111447853999998,0.27515022613608764,46.958364981,0.9545166666666666,0.9605993476527303,0.9605999999999999,0.30086140686901996,0.9606,0.34906206749860885,1.0,0.0
11,0.002891961999999637,0.0015905070000030719,0.0002766500000035421,0.0010013710707426071,5.088746547698975e-06,1.3013835996389389e-05,0.018937860149890184,0.02471645280318313,3.1252504130000034,0.29986667893927077,50.083615394000006,0.9573499999999999,0.9623997080846727,0.9624000000000001,0.2378516569257544,0.9624,0.33739984690988983,1.0,0.0
12,0.002806700999997247,0.0014880949999991344,0.0002767699999992601,0.0009932052344083786,5.650799721479416e-06,1.236284151673317e-05,0.018322964198887348,0.02390574907452958,3.1085090469999983,0.32377242801380035,53.192124441000004,0.9595300000000001,0.9641001484526663,0.9641000000000001,0.1944388444193255,0.9641,0.32729128241540534,1.0,0.0
13,0.0029052269999993996,0.0015853470000024572,0.0002587060000038832,0.0009677079506218433,5.339737981557846e-06,1.288391649723053e-05,0.015801388304680586,0.021536599909786958,3.1162515869999936,0.3453090279235873,56.308376028,0.9624233333333335,0.9655001089164683,0.9655000000000001,0.1634237181645232,0.9655,0.3167113274803786,1.0,0.0
14,0.0029744759999985604,0.0014756319999946754,0.0002729029999954946,0.0009923139587044716,5.600973963737488e-06,1.2464355677366257e-05,0.018082974012941122,0.023816364301275428,3.117226494999997,0.36912539222486274,59.425602522999995,0.9637100000000002,0.9662995893801165,0.9663,0.14217595447795078,0.9663,0.30576705193391013,1.0,0.0
15,0.002867025000000467,0.0015065999999990254,0.0002739550000043778,0.0010064207017421722,6.2319450080394745e-06,1.288391649723053e-05,0.016799882985651493,0.022472999548902806,3.1189017989999996,0.39159839177376554,62.544504321999995,0.96572,0.9670995496519952,0.9671,0.12710598754449584,0.9671,0.29547090340386106,1.0,0.0
16,0.002799988999996117,0.0015328789999955461,0.00026329500001054384,0.0010044560767710209,5.671288818120956e-06,1.3085082173347473e-05,0.01907652895897627,0.024695904406740965,3.1117682069999972,0.4162942961805065,65.65627252899999,0.9670233333333332,0.9673995497479568,0.9673999999999999,0.11661229152887012,0.9674,0.2853552806221228,1.0,0.0
17,0.0029508519999978944,0.0015724229999989348,0.00028630799999973533,0.0009750719182193279,6.461981683969498e-06,1.292489469051361e-05,0.01825086772441864,0.024054909519009016,3.115668549000006,0.4403492056995155,68.771941078,0.9682966666666667,0.9685996700838609,0.9686,0.10888602390004613,0.9686,0.2745333629441325,1.0,0.0
18,0.0028586899999965,0.0015816610000030096,0.00028164900000149373,0.000997643917798996,5.980953574180603e-06,1.2744218111038208e-05,0.018784259911626577,0.024522629001111795,3.112349852999998,0.4648718347006273,71.884290931,0.9697233333333334,0.9690992704036051,0.9690999999999997,0.10319414974960942,0.9691,0.26394794682563394,1.0,0.0
19,0.0028218399999957455,0.001554699999999798,0.00026065000000130567,0.0009883358143270016,5.431007593870163e-06,1.2914184480905533e-05,0.0164236668497324,0.022067537856131025,3.1167127749999963,0.48693937255675834,75.00100370599999,0.97168,0.9703995507075732,0.9704,0.0988671232264834,0.9704,0.25627688581828134,1.0,0.0
20,0.0028621360000045115,0.0015763910000003989,0.0002687539999897126,0.00098486989736557,5.679670721292496e-06,1.267390325665474e-05,0.01777526643127203,0.02348577090261017,3.109587599000008,0.5104251434593685,78.110591305,0.9720433333333333,0.9709996708515541,0.971,0.09543050983742166,0.971,0.2487247237617953,1.0,0.0
21,0.0028231729999959043,0.001548829000000751,0.0002752770000000737,0.0009908806532621384,5.550216883420944e-06,1.2874137610197067e-05,0.01675364561378956,0.022410229621542044,3.113013350999992,0.5328353730809106,81.22360465599999,0.9728766666666667,0.9711997508835668,0.9712,0.09254847839995385,0.9712,0.239467807576098,1.0,0.0
22,0.0028367780000024823,0.0015658199999961653,0.00028012600000693055,0.0009940271265804768,5.651265382766724e-06,1.2313015758991241e-05,0.017770325765013695,0.023465041172741508,3.108331072999988,0.5563004142536521,84.33193572899998,0.9741633333333333,0.9713998309155797,0.9713999999999997,0.0904405282244247,0.9714,0.23406137593157872,1.0,0.0
23,0.002842419000003815,0.0015764709999928073,0.00027748100001190323,0.0009794686920940876,5.3299590945243835e-06,1.2384261935949326e-05,0.016891765873879194,0.02258531978701228,3.1207673659999955,0.5788857340406643,87.45270309499998,0.9747433333333332,0.9720997511714519,0.9720999999999997,0.08888926518115456,0.9721,0.22570904955569626,1.0,0.0
24,0.0027908519999897408,0.0015447520000009263,0.00026535899999657886,0.0009884661994874477,5.248934030532837e-06,1.2652948498725891e-05,0.01965499483048916,0.02526232591249311,3.1255435749999947,0.6041480599531575,90.57824666999997,0.9756999999999999,0.9733996716192473,0.9733999999999999,0.08697331522758038,0.9734,0.21963521827150584,1.0,0.0
25,0.002957593999994401,0.0015222090000008848,0.00028364199999941775,0.0009741601534187794,4.959292709827423e-06,1.2823846191167831e-05,0.0166313573718071,0.022386745664121577,3.117698629000003,0.626534805617279,93.69594529899997,0.97646,0.9740994719230617,0.9741583333333333,0.0854269321251009,0.9742,0.21523499200943824,1.0,0.0
26,0.0028724760000073957,0.0014600820000083559,0.0002718900000076019,0.001005880068987608,5.050096660852432e-06,1.2152362614870071e-05,0.01667929720133543,0.022306827729622114,3.1138541150000094,0.6488416333469011,96.80979941399998,0.9769033333333333,0.9743997119231387,0.9743999999999998,0.0841886022516092,0.9744,0.2096301729731144,1.0,0.0
