round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma,client_i_corrupted_labels,client_i_corruption_fraction
0,0,2.2252806223207906,0.18698202218538826,7843,0,0,1566,2.2989875183829778,0.1414,0.9008779970249081,0.0927711456029213,0.09250591414465224,0.09916651161327139,0.9328342062134148,113042,0.9328283078344969,0.06717169216550312,10,0.025,0.15,,
0,1,2.243850410612006,0.1793670709605465,7173,0,0,1435,2.298987497257281,0.1414,0.9354653461527883,0.09633290203670944,0.09603601336555365,0.09916651161327139,0.9684319010746847,117356,0.9684276542720867,0.03157234572791334,10,0.025,0.15,,
0,2,2.276312590112873,0.13171406610299768,6505,0,0,1301,2.2989875002752376,0.1414,0.9621638010866257,0.09908227127229927,0.09875929948593364,0.09916651161327139,0.9958936527895456,120684,0.9940997837962734,0.005900216203726605,10,0.025,0.15,,
0,3,2.2899782263714332,0.15614185369196504,5837,0,0,1167,2.2989875002752376,0.1414,0.966157249382193,0.09949351094571708,0.09916651161327139,0.09916651161327139,0.9999999999899158,121181,0.9940997837962734,0.005900216203726605,10,0.025,0.15,,
0,4,2.292094526639799,0.17680402398916617,5169,0,0,1034,2.2989875002752376,0.1414,0.9606443722778103,0.0989258026364558,0.09860435455810518,0.09916651161327139,0.9943311804860814,120495,0.9940997837962734,0.005900216203726605,10,0.025,0.15,,
0,5,2.2970084064536627,0.15423239280159964,4501,0,0,900,2.298987506311151,0.1414,0.9373023802462467,0.0965220772168388,0.09622344039157255,0.09916651161327139,0.9703219244602802,117585,0.970317373867406,0.02968262613259398,10,0.025,0.15,,
0,6,2.2984537156422933,0.11401356993736952,3832,0,0,767,2.2989875093291077,0.1414,0.8980651086674368,0.0924814783269555,0.09221871796359846,0.09916651161327139,0.9299381057418071,112691,0.9299318380617584,0.07006816193824161,10,0.025,0.15,,
0,7,2.298238492012024,0.13994943109987357,3164,0,0,633,2.298987527436848,0.1414,0.8485904540962047,0.08738664817454907,0.08716488497572923,0.09916651161327139,0.8789750043318558,106515,0.8789671733425757,0.12103282665742432,10,0.025,0.15,,
0,8,2.3005507028102876,0.12720352564102563,2496,0,0,500,2.298987687388553,0.1413,0.757629546028815,0.07801962214620616,0.07786170322875285,0.09916651161327139,0.7851612602005403,95147,0.7851578617286396,0.21484213827136045,10,0.025,0.15,,
0,9,2.301246911684672,0.10782275711159738,1828,0,0,366,2.2989885414702984,0.1413,0.6875957359875903,0.07080763915858951,0.07068953940018392,0.09916651161327139,0.7128368059889559,86382,0.7128286379165223,0.2871713620834777,10,0.025,0.15,,
0,10,2.302490704059601,0.12336206896551724,1160,0,0,232,2.2990028556389146,0.1406,0.5272643872595045,0.05429694298587042,0.05424364717884067,0.09916651161327139,0.5469956167242479,66286,0.5469954283639484,0.45300457163605157,10,0.025,0.15,,
0,11,2.30215779542923,0.10101626016260162,492,0,0,99,2.299122713789155,0.1385,0.32900003392736027,0.03387995949688768,0.03386700239012403,0.09916651161327139,0.3415165244680253,41385,0.3415111155122048,0.6584888844877952,10,0.025,0.15,,
1,0,2.058610223954724,0.25939053933443834,7843,0,0,1566,2.290525517886198,0.1985,0.8996338157877057,0.08953834967796122,0.0892998347490307,0.09577304658419707,0.9324109228329915,112991,0.9324074532521331,0.06759254674786686,10,0.025,0.15,,
1,1,2.0840204140596224,0.25280914540638505,7173,0,0,1435,2.2905255058143714,0.1985,0.9245579257566403,0.09265260075485478,0.0923883824373342,0.09577304658419707,0.9646595334643348,116899,0.9646564671320823,0.03534353286791769,10,0.025,0.15,,
1,2,2.110875852435243,0.23480399692544196,6505,0,0,1301,2.2905255058143714,0.1985,0.9495811784994239,0.09525106220335416,0.09496404029489418,0.09577304658419707,0.991552881325716,120158,0.9915499001501873,0.008450099849812709,10,0.025,0.15,,
1,3,2.149084997695425,0.23395579921192394,5837,0,0,1167,2.2905255058143714,0.1985,0.9660429762188953,0.09606749411695122,0.09577304658419707,0.09577304658419707,0.9999999999895586,121181,0.9939429948342163,0.006057005165783669,10,0.025,0.15,,
1,4,2.157751394190439,0.23435867672663957,5169,0,0,1034,2.2905255058143714,0.1985,0.9732944976878452,0.09594860665641293,0.09565524827536923,0.09577304658419707,0.9987700264946353,121032,0.9939429948342163,0.006057005165783669,10,0.025,0.15,,
1,5,2.1993922296497557,0.21835147744945568,4501,0,0,900,2.290525499778458,0.1985,0.9709650698177635,0.09433425705705945,0.09405542419955934,0.09577304658419707,0.9820657017096164,119008,0.9820600419204172,0.01793995807958282,10,0.025,0.15,,
1,6,2.222823867003123,0.19418058455114823,3832,0,0,767,2.290525499778458,0.1985,0.9694164005912289,0.09170018657888913,0.09144401488913856,0.09577304658419707,0.9547990603785635,115704,0.954795266623756,0.04520473337624398,10,0.025,0.15,,
1,7,2.2497503728866577,0.19077117572692795,3164,0,0,633,2.2905255058143714,0.1985,0.9484929322825228,0.08774083530448425,0.08751637022603533,0.09577304658419707,0.9137891436729348,110734,0.91378257496988,0.08621742503011998,10,0.025,0.15,,
1,8,2.279603921175003,0.20068108974358975,2496,0,0,500,2.290525819681868,0.1985,0.9178711692340844,0.08072533131815089,0.08055043618844333,0.09577304658419707,0.8410553810334088,101920,0.8410490006766681,0.1589509993233319,10,0.025,0.15,,
1,9,2.288328825632731,0.19354485776805253,1828,0,0,366,2.290527434288701,0.1985,0.8732880259115532,0.07461737159259364,0.07447919563934782,0.09577304658419707,0.7776634271845281,94238,0.7776567477018039,0.22234325229819607,10,0.025,0.15,,
1,10,2.291346490383148,0.17043103448275862,1160,0,0,232,2.290556156182591,0.1982,0.7500124950529018,0.059920842749417745,0.059849230188147085,0.09577304658419707,0.6249068221392211,75727,0.6249030384050437,0.3750969615949563,10,0.025,0.15,,
1,11,2.2966289103031157,0.17296747967479675,492,0,0,99,2.2908191560189937,0.1965,0.5903107014484807,0.0415030619898707,0.0414792486649221,0.09577304658419707,0.4330993963737313,52483,0.4330923734548035,0.5669076265451964,10,0.025,0.15,,
2,0,1.971813061352699,0.28889455565472394,7843,0,0,1566,2.2769345724129977,0.2269,0.9045026317920747,0.0869553126548251,0.08673681055339136,0.09297319248043492,0.9329227946078235,113053,0.9329190803914773,0.0670809196085227,10,0.025,0.15,,
2,1,1.9960926923835487,0.28260142199916355,7173,0,0,1435,2.2769345392154743,0.2269,0.9218090591949499,0.08950741720731693,0.08926914886339855,0.09297319248043492,0.9601600900305106,116354,0.9601590995362348,0.039840900463765205,10,0.025,0.15,,
2,2,2.014060511074814,0.2752651806302844,6505,0,0,1301,2.2769345392154743,0.2269,0.942417289914615,0.09184267170118585,0.09158530670781741,0.09297319248043492,0.9850721940747097,119373,0.9850720404020399,0.014927959597960117,10,0.025,0.15,,
2,3,2.0526514530181883,0.2663011821140997,5837,0,0,1167,2.2769345392154743,0.2269,0.9638175366362931,0.0930744694419565,0.09280663389001459,0.09297319248043492,0.998208531007972,120964,0.9915416480995527,0.008458351900447303,10,0.025,0.15,,
2,4,2.0595561411322616,0.2690075449796866,5169,0,0,1034,2.2769345392154743,0.2269,0.971110988616082,0.09324247769806009,0.09297319248043492,0.09297319248043492,0.9999999999892442,121181,0.9915416480995527,0.008458351900447303,10,0.025,0.15,,
2,5,2.092953646183014,0.25403243723616975,4501,0,0,900,2.2769345482693444,0.2269,0.9783631116423607,0.09246091645165493,0.09219833091383349,0.09297319248043492,0.991665752816263,120172,0.9915416480995527,0.008458351900447303,10,0.025,0.15,,
2,6,2.1119700864950817,0.24603340292275575,3832,0,0,767,2.276934560341171,0.2269,0.9760265610509097,0.09071282464056243,0.09046482118752616,0.09297319248043492,0.9730204887348615,117912,0.9730157944249146,0.026984205575085407,10,0.025,0.15,,
2,7,2.1430344076156618,0.23824273072060684,3164,0,0,633,2.2769345573232145,0.2269,0.9599160048999729,0.08766479568498932,0.08744091250073109,0.09297319248043492,0.9404959662774994,113971,0.9404944628740242,0.05950553712597584,10,0.025,0.15,,
