round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.0071937549999958605,0.004698773999997741,0.000274105000002578,0.00048749521374702454,5.889683961868286e-06,1.1300668120384216e-05,0.012669732794165611,0.025341052359991068,39.351201632,0.025341052359991068,39.351201632,0.14155075355413735,0.0,0.141075,2.2989875002752376,0.1414,0.1347185166305327,0.9940997837962734,0.005900216203726605
1,0.0021797590000005584,0.001323229000000481,0.0002853959999953304,0.00046836212277412415,5.5711716413497925e-06,6.413087248802185e-06,0.010603511705994606,0.014872242087655252,25.269908317000002,0.04021329444764632,64.621109949,0.2130204880834632,0.0,0.19830833333333334,2.2905255058143714,0.1985,0.13791596351038551,0.9939429948342163,0.006057005165783669
2,0.0021786979999944833,0.0018086510000046019,0.0002552899999983538,0.00046963058412075043,4.967674612998962e-06,7.323920726776123e-06,0.010183131322264671,0.014907692501722636,25.308761231999995,0.055120986949368955,89.929871181,0.24690360405507658,0.0,0.2266416666666667,2.2769345392154743,0.2269,0.1392212033501927,0.9915416480995527,0.008458351900447303
3,0.002116600999997331,0.0012946840000012116,0.0002704879999981813,0.0004442557692527771,5.152076482772827e-06,6.573274731636047e-06,0.010499376803636551,0.014637130924100461,25.502867253999995,0.06975811787346942,115.43273843499999,0.27056523232524465,0.0,0.2609666666666667,2.2573724879494197,0.261,0.1389804601786748,0.9832648413130664,0.01673515868693365
4,0.0021368779999875187,0.002365437999998221,0.00025677300001802905,0.0004815254360437393,4.967674612998962e-06,7.212162017822266e-06,0.010273220017552376,0.015526014290230705,25.290370917000004,0.08528413216370012,140.723109352,0.2889313785634813,0.0,0.28569166666666673,2.2312209877786757,0.2856,0.13879922145903703,0.9791883282995825,0.020811671700417533
5,0.002149642999995649,0.001305155000011382,0.0002617119999968054,0.0004622898995876312,5.370005965232849e-06,7.383525371551514e-06,0.009855164214968681,0.014046717645896933,25.384619574,0.09933084980959705,166.107728926,0.30575751164890513,0.0,0.299425,2.199018246010889,0.2993,0.13836415794822518,0.9850720404020399,0.014927959597960117
6,0.0021748100000138493,0.0013094720000026427,0.00025426800002037453,0.0004545263946056366,5.461275577545166e-06,6.932765245437622e-06,0.009964870288968086,0.014170340724433572,25.52176694800002,0.11350119053403063,191.629495874,0.3177521772352254,0.0,0.30720833333333336,2.161394445202019,0.3072,0.13795835388807126,0.9855341552375766,0.014465844762423408
7,0.002374064999997927,0.001339468999987048,0.00025597199999083387,0.0005059614777565002,4.990026354789734e-06,6.981194019317627e-06,0.009736750274896622,0.014224188973003038,25.35418823699999,0.12772537950703367,216.983684111,0.32852513652310056,0.0,0.318525,2.1195047354396386,0.3185,0.13776004897996907,0.9864171246554769,0.013582875344523071
8,0.0021946769999772187,0.0013137509999978647,0.00025934799998594826,0.0004634726792573929,5.381181836128235e-06,6.901100277900696e-06,0.009782155975699425,0.014025686937031878,25.354685705999998,0.14175106644406554,242.338369817,0.33811375066496824,0.0,0.32735833333333336,2.0744757561744014,0.3274,0.1376724493239068,0.9923916093149148,0.007608390685085231
9,0.0022898860000282184,0.0013007260000108545,0.0002523939999719005,0.0004941802471876144,5.168840289115906e-06,6.992369890213013e-06,0.00982833281159401,0.014177680268971926,25.41185186299998,0.15592874671303747,267.75022168,0.3475748240016842,0.0,0.3374083333333333,2.0275456135786034,0.3375,0.13721116116899834,0.993414863593603,0.006585136406397019
