round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.0069004719999981035,0.004670760000003327,0.00027612899999951424,0.00048635341227054596,4.978850483894348e-06,1.0520219802856445e-05,0.01249203272163868,0.02484124620419692,39.16480807,0.02484124620419692,39.16480807,0.1336348547775413,0.0,0.12278333333333334,2.299955078318149,0.1228,0.1355800957490691,0.9892888382763116,0.010711161723688356
1,0.0020785580000008963,0.0020502239999942162,0.0002671620000000985,0.000474562868475914,5.187466740608215e-06,6.400048732757568e-06,0.010812759399414062,0.015694853783358553,25.252449569999996,0.040536099987555474,64.41725764,0.1861024312664674,0.0,0.15916666666666668,2.292062252382689,0.1592,0.1375077208508801,0.9884553811622188,0.01154461883778124
2,0.002085030000003485,0.001301427000001354,0.00026137199999709537,0.00048692338168621063,4.7869980335235596e-06,6.904825568199158e-06,0.011345738545060158,0.015492182750350025,25.433221524000004,0.0560282827379055,89.850479164,0.22992731716685907,0.0,0.19995833333333335,2.2791457296926763,0.2,0.1387762759368854,0.9834133782244888,0.01658662177551118
3,0.0021811600000063436,0.0013162139999991496,0.0002586159999964366,0.00047866813838481903,4.868954420089722e-06,6.070360541343689e-06,0.011516429483890533,0.015762026937238716,25.575009719999997,0.07179030967514421,115.425488884,0.2612195959578099,0.0,0.2418,2.2601535290102417,0.2418,0.13864921351290826,0.9830998003003747,0.016900199699625307
4,0.0021457739999846126,0.002363462999994681,0.0002599990000078378,0.00047588348388671875,5.230307579040527e-06,6.591901183128357e-06,0.011500207707285881,0.0167571493999219,25.390301241999992,0.08854745907506612,140.815790126,0.28237475404155915,0.0,0.2580333333333333,2.2350598196440106,0.2581,0.13841257451718322,0.9831410605535476,0.016858939446452448
5,0.002128902999999127,0.0017986219999954756,0.0002616020000232311,0.00047412142157554626,4.887580871582031e-06,6.822869181632996e-06,0.010873470455408096,0.015548429327054691,25.423056110000005,0.1040958884021208,166.238846236,0.29647343371093177,0.0,0.273625,2.204191938231263,0.2736,0.13812297223019318,0.9838589889587562,0.01614101104124377
6,0.0021625949999872773,0.0017909670000051392,0.0002629140000180996,0.000479942187666893,5.017966032028198e-06,6.241723895072937e-06,0.011866087093949318,0.016573764971553828,25.450164324000013,0.12066965337367463,191.68901056,0.3083330731196496,0.0,0.2921083333333334,2.1683441475976872,0.2922,0.13810284357667146,0.9795431664768695,0.020456833523130546
7,0.0021060690000069826,0.0013074279999898408,0.0002600690000065242,0.0005026049911975861,4.699453711509705e-06,6.342306733131409e-06,0.011088015511631966,0.01527522826327754,25.519661676,0.13594488163695218,217.208672236,0.3210677650272278,0.0,0.30687500000000006,2.128443675705149,0.3069,0.13820435775025638,0.984436632503177,0.015563367496822966
8,0.002201508000013064,0.0012590869999939969,0.00026859499999432046,0.0004802737385034561,5.148351192474365e-06,6.660819053649902e-06,0.011727597564458847,0.01594887047320981,25.45590928499999,0.15189375211016198,242.664581521,0.33142580664094534,0.0,0.3201833333333333,2.0855282499820373,0.3202,0.13805191703823616,0.9849977719463286,0.015002228053671351
9,0.002152897000030407,0.0024237459999767452,0.00025979800000186515,0.0004692208021879196,5.409121513366699e-06,6.5229833126068115e-06,0.010514166206121445,0.015831760113144355,25.329709417000004,0.16772551222330634,267.994290938,0.3414841551082109,0.0,0.32635000000000003,2.0403436648694773,0.3264,0.13782538930480534,0.9853030978198082,0.014696902180191818
10,0.0021817520000126933,0.001305965999961245,0.00026124100003244166,0.000507064163684845,5.088746547698975e-06,6.303191184997559e-06,0.010433284565806389,0.01470069966723031,25.364151042999993,0.18242621189053665,293.358441981,0.35031655949456253,0.0,0.3396916666666667,1.9946684143211268,0.3397,0.13763420986929784,0.9854021224274232,0.0145978775725768
