round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
0,0,2.2335148622912744,0.16684941986484764,7843,0,0,1566,2.2986531921579867,0.1029,0.9126415914758305,0.09419318654614409,0.09391559980370615,0.09936536431701427,0.9451542843755253,114535,0.9451486194319288,0.05485138056807115,10,0.025,0.15
0,1,2.2485259327972145,0.17097448766206608,7173,0,0,1435,2.29865318914003,0.1029,0.9331387725641046,0.0963086882063257,0.0960120228015073,0.09936536431701427,0.9662524105907289,117092,0.9662491129045567,0.03375088709544327,10,0.025,0.15
0,2,2.2618285225886923,0.13900076863950808,6505,0,0,1301,2.2986531951759437,0.1029,0.9554200356723053,0.09860832389248875,0.09828995277070111,0.09936536431701427,0.9891771991710174,119870,0.9891733095674275,0.01082669043257245,10,0.025,0.15
0,3,2.274562332941138,0.13496659242761694,5837,0,0,1167,2.2986531951759437,0.1029,0.9627673579490476,0.09936663657984796,0.09904088334959728,0.09936536431701427,0.9967344660723175,120786,0.9923916093149148,0.007608390685085231,10,0.025,0.15
0,4,2.285850177741632,0.13563551944283228,5169,0,0,1034,2.2986531951759437,0.1029,0.9659425147286528,0.09969434259023367,0.09936536431701427,0.09936536431701427,0.999999999989936,121181,0.9923916093149148,0.007608390685085231,10,0.025,0.15
0,5,2.290549855762058,0.13012663852477227,4501,0,0,900,2.2986531921579867,0.1029,0.9401081071291056,0.09702798901062289,0.09672464353149371,0.09936536431701427,0.9734241321949059,117961,0.9734201449060091,0.026579855093990856,10,0.025,0.15
0,6,2.294090810616811,0.11727557411273487,3832,0,0,767,2.2986531861220736,0.1029,0.8727903429667924,0.09008016329586853,0.08983730163833158,0.09936536431701427,0.9041108262916586,109561,0.9041029195755145,0.09589708042448553,10,0.025,0.15
0,7,2.2963775825500488,0.11845764854614411,3164,0,0,633,2.2986531770682035,0.1029,0.8635678505132376,0.08912831542896021,0.0888930554301156,0.09936536431701427,0.8946080562399737,108410,0.8946048092951099,0.10539519070489012,10,0.025,0.15
0,8,2.2990656876564026,0.11430288461538461,2496,0,0,500,2.298653261570991,0.1029,0.772218936408242,0.07970024926646446,0.0795319215083992,0.09936536431701427,0.8003988316679537,96993,0.8003911472000792,0.1996088527999208,10,0.025,0.15
0,9,2.300021592775981,0.11526258205689278,1828,0,0,366,2.298656750328933,0.1029,0.5921241040714751,0.06111277057084457,0.06103680332806559,0.09936536431701427,0.614266386954715,74438,0.6142661451370666,0.38573385486293343,10,0.025,0.15
0,10,2.2998888874053955,0.1046551724137931,1160,0,0,232,2.2986559264267545,0.1029,0.6063970793037025,0.06258587571000838,0.0625042874184418,0.09936536431701427,0.6290349544575684,76227,0.629029063722335,0.370970936277665,10,0.025,0.15
0,11,2.3015814304351805,0.09959349593495935,492,0,0,99,2.2987680133384996,0.1028,0.31192372447463357,0.03219345890219086,0.03218234154242527,0.09936536431701427,0.32387886627605134,39248,0.3238764833061016,0.6761235166938984,10,0.025,0.15
1,0,2.1165428338512298,0.219010582685197,7843,0,0,1566,2.289245762402498,0.1317,0.9038537672163868,0.09082037153562456,0.09057148689310389,0.09642099651389024,0.9393336531127531,113830,0.9393309237345481,0.06066907626545193,10,0.025,0.15
1,1,2.1361463594854926,0.2163948138854036,7173,0,0,1435,2.2892457654204548,0.1317,0.9287114794961139,0.09301380596197009,0.09274649257038597,0.09642099651389024,0.9618910395316561,116563,0.9618837781188625,0.0381162218811375,10,0.025,0.15
1,2,2.161878342254489,0.1945119139123751,6505,0,0,1301,2.2892457714563683,0.1317,0.9479513010857274,0.09513578024722595,0.09484979672073166,0.09642099651389024,0.9837047961445207,119207,0.9837021999966992,0.016297800003300833,10,0.025,0.15
1,3,2.1824045194231947,0.18701387699160527,5837,0,0,1167,2.2892457714563683,0.1317,0.9581194681056306,0.09596443854338234,0.09567093527797839,0.09642099651389024,0.9922209760941847,120239,0.9922183162515885,0.007781683748411483,10,0.025,0.15
1,4,2.2092658551727853,0.1788353646740182,5169,0,0,1034,2.2892457714563683,0.1317,0.9743452720399717,0.09672148342459638,0.09642099651389024,0.09642099651389024,0.9999999999896287,121181,0.9926474228845868,0.00735257711541315,10,0.025,0.15
1,5,2.2237236946821213,0.17684958898022662,4501,0,0,900,2.2892457654204548,0.1317,0.9675262710600319,0.09478337972447476,0.09450055490463123,0.09642099651389024,0.9800827446337121,118768,0.9800795497681174,0.019920450231882603,10,0.025,0.15
