round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.01042919100000006,0.007610310999996983,0.0002953549999986649,0.0009380951523780823,6.614252924919128e-06,1.41877681016922e-05,0.017435366287827492,0.03672912046122789,29.485068588,0.03672912046122789,29.485068588,0.30603749004334446,0.0,0.20210000000000003,2.26328809040423,0.2021,0.09733850198986341,1.0,0.0
1,0.002986815999996395,0.006369026000001554,0.00031287800000256993,0.0009197704493999481,5.379319190979004e-06,7.502734661102295e-06,0.015575969591736794,0.026177342094989342,15.748106952999997,0.06290646255621724,45.233175540999994,0.4092462358163577,0.0,0.2628,2.2040893985821417,0.2628,0.0970151171867224,1.0,0.0
2,0.003034395000000245,0.001861861000001852,0.0002819199999990474,0.0009693838655948639,6.139278411865234e-06,7.040798664093018e-06,0.016831520944833755,0.022992260887505722,15.185572948,0.08589872344372296,60.418748488999995,0.4839443575130627,0.0,0.3683,2.1295514411438767,0.3683,0.09794366463504559,1.0,0.0
3,0.0029303700000014032,0.0064326260000058255,0.00029581600000483377,0.0009327642619609833,5.980953574180603e-06,7.683411240577698e-06,0.016323983669281006,0.02692922429606881,15.427793221000002,0.11282794773979177,75.84654171,0.5395738608980664,0.0,0.4634,2.0391867309332654,0.4634,0.09836200321823071,1.0,0.0
4,0.002964104000000134,0.0018574420000021519,0.00028059800000335144,0.0009881164878606796,5.982816219329834e-06,7.657334208488464e-06,0.018015215173363686,0.02411911581165782,15.574443803999998,0.1369470635514496,91.420985514,0.5746864901569062,0.0,0.5149999999999999,1.9325105862114758,0.515,0.09853620865388014,1.0,0.0
5,0.002952460999992468,0.0018140210000012758,0.00029557599999918693,0.0009529329836368561,5.379319190979004e-06,7.74487853050232e-06,0.019109001383185387,0.025137116564536655,15.444699072999995,0.16208418011598624,106.86568458699999,0.5981080618053827,0.0,0.5437000000000001,1.8116400923591833,0.5437,0.09863421683601341,1.0,0.0
6,0.0030007020000084594,0.0037236119999874973,0.00029128699999603214,0.0009568575769662857,6.031244993209839e-06,7.444992661476135e-06,0.016833364963531494,0.024819299778144455,15.434475546999991,0.1869034798941307,122.30016013399998,0.6179104420300099,0.0,0.5678,1.6816347296626424,0.5678,0.09868277721575626,1.0,0.0
7,0.002996485000011262,0.0018213040000034653,0.0003011670000034883,0.000986473634839058,5.941838026046753e-06,7.5642019510269165e-06,0.017765475437045097,0.023884411111879444,15.555979136000005,0.21078789100601014,137.85613926999997,0.6371675089117153,0.0,0.5929000000000001,1.5491110242593784,0.5929,0.09870382414492586,1.0,0.0
8,0.0029681020000111857,0.001830290999976114,0.00030122699999424185,0.000979982316493988,5.850568413734436e-06,7.091090083122253e-06,0.01726175844669342,0.023354302421665807,15.567171244999997,0.23414219342767595,153.42331051499997,0.6562176552057682,0.0,0.6193999999999998,1.419994561055217,0.6194,0.0987027594007529,1.0,0.0
9,0.0030465389999960735,0.0018530739999960133,0.0002951249999796346,0.0009666066616773605,5.8319419622421265e-06,7.495284080505371e-06,0.017850564792752266,0.024025236680444095,15.425739577000002,0.25816743010812004,168.84905009199997,0.6720545851036519,0.0,0.6418999999999999,1.2979120084652886,0.6419,0.09868387566551218,1.0,0.0
