round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
0,0,1.8298797883144042,0.5003934077618288,9405,0,0,1566,2.25281550632879,0.2684,0.9818930232099392,0.086997626741913,0.0867788061458383,0.08794262422866239,0.9867661660768187,204183,0.9867631281352394,0.013236871864760635,5,0.001,0.1
0,1,1.8894448305942395,0.4994075967011267,8609,0,0,1435,2.2528155040436277,0.2684,0.9860053623218688,0.08736198796522249,0.0871404120750989,0.08794262422866239,0.9908780052722953,205034,0.990880621683533,0.00911937831646703,5,0.001,0.1
0,2,1.9617737954757253,0.4731651082361983,7807,0,0,1301,2.2528155070905105,0.2684,0.9915628014660017,0.08785438785489845,0.08762905194411862,0.08794262422866239,0.9964343537813372,206184,0.9964334386870415,0.003566561312958516,5,0.001,0.1
0,3,2.0173154703558307,0.502241256245539,7005,0,0,1167,2.2528155070905105,0.2684,0.9950944433685082,0.08816729817889274,0.08793955095241086,0.08794262422866239,0.9999650536099138,206914,0.9999613380887484,3.866191125156959e-05,5,0.001,0.1
0,4,2.073037585769732,0.45951958729646947,6203,0,0,1034,2.2528155070905105,0.2684,0.9951294000420303,0.08817039540798322,0.08794262422866239,0.08794262422866239,0.9999999999886289,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1
0,5,2.131502506295605,0.41096093316052584,5401,0,0,900,2.2528155070905105,0.2684,0.9947043460796515,0.08813273480230611,0.08790525476278875,0.08794262422866239,0.9995750699140379,206834,0.9995747189762326,0.00042528102376737653,5,0.001,0.1
0,6,2.1719733499818377,0.38221739130434784,4600,0,0,767,2.2528155093756728,0.2684,0.9848574123935047,0.0872602773745313,0.08703947292455069,0.08794262422866239,0.9897302211183382,204796,0.9897255970848919,0.01027440291510806,5,0.001,0.1
0,7,2.2005331920976396,0.3503422854133755,3798,0,0,633,2.252815493379538,0.2684,0.9701130524194456,0.08595389847657539,0.08574284428557226,0.08794262422866239,0.9749861916976073,201746,0.9750534017649163,0.024946598235083717,5,0.001,0.1
0,8,2.2244192640832128,0.3389185580774366,2996,0,0,500,2.252815498711583,0.2684,0.9432356779330894,0.0835725109546206,0.08337848603092715,0.08794262422866239,0.9481009551543972,196182,0.9480963841447502,0.05190361585524983,5,0.001,0.1
0,9,2.2492165289063384,0.27520510483135824,2194,0,0,366,2.2528155154694383,0.2684,0.8965912492403861,0.07943972408163562,0.0792730388722271,0.08794262422866239,0.9014177091782631,186523,0.9014169590473705,0.09858304095262949,5,0.001,0.1
0,10,2.268946861137043,0.2247126436781609,1392,0,0,232,2.252815607637643,0.2684,0.8380708046431441,0.07425469915987983,0.07411852527877788,0.08794262422866239,0.8428054760478508,174394,0.8428006688510646,0.15719933114893536,5,0.001,0.1
0,11,2.2825809654436613,0.16610169491525423,590,0,0,99,2.252824060452251,0.2683,0.7091770111593215,0.06283445900154107,0.06275189569594564,0.08794262422866239,0.7135549597891109,147650,0.7135538995370236,0.28644610046297636,5,0.001,0.1
1,0,1.5946138393311273,0.5784370015948963,9405,0,0,1566,2.188504583919391,0.42,0.9718253254959459,0.08574071394822694,0.08553122318974833,0.0869702330082112,0.9834539960435604,203498,0.9834527019843226,0.016547298015677447,5,0.001,0.1
1,1,1.6488549374651025,0.5868045069113719,8609,0,0,1435,2.1885045823959497,0.42,0.9768650797252032,0.08613148318277988,0.08591912073230962,0.0869702330082112,0.9879141145132926,204421,0.987913319994974,0.012086680005025996,5,0.001,0.1
1,2,1.7214931221281895,0.5644165492506725,7807,0,0,1301,2.1885045900131566,0.42,0.9825839663331047,0.0866239042426069,0.08640788597456879,0.0869702330082112,0.9935340286534261,205584,0.9935337953431728,0.006466204656827235,5,0.001,0.1
1,3,1.779778900048504,0.5846109921484653,7005,0,0,1167,2.188504586966274,0.42,0.9866526017210765,0.08695101796779083,0.08673254817487795,0.0869702330082112,0.9972670553348054,206356,0.9972646697789506,0.002735330221049437,5,0.001,0.1
1,4,1.8502180793850693,0.5646945026600032,6203,0,0,1034,2.188504586966274,0.42,0.9899704319171463,0.08706132005712418,0.08684201946516147,0.0869702330082112,0.9985257766983773,206616,0.9985211818946269,0.001478818105373092,5,0.001,0.1
1,5,1.9328073926225922,0.525939640807258,5401,0,0,900,2.1885045877279947,0.42,0.9946408541134389,0.08719050932488037,0.0869702330082112,0.0869702330082112,0.9999999999885018,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1
1,6,2.004526816970772,0.5058260869565218,4600,0,0,767,2.188504586966274,0.42,0.9955621801889306,0.08667911330036016,0.08646268256221498,0.0869702330082112,0.9941640900635224,205714,0.994162051401011,0.005837948598989007,5,0.001,0.1
1,7,2.0636080267048684,0.46929963138493946,3798,0,0,633,2.188504588489715,0.42,0.9935983237128676,0.08580415632090993,0.08559420110221348,0.0869702330082112,0.9841781278560908,203648,0.984254936642793,0.015745063357207045,5,0.001,0.1
1,8,2.1082284245085208,0.41869158878504675,2996,0,0,500,2.1885045854428324,0.42,0.9848653792697564,0.0840408756118181,0.08384357643367062,0.0869702330082112,0.9640491181021736,199482,0.9640444225360281,0.03595557746397193,5,0.001,0.1
1,9,2.162833520640498,0.4222424794895169,2194,0,0,366,2.188504596868643,0.42,0.9686328502275608,0.08094560600794337,0.08076927776744235,0.0869702330082112,0.928700257235,192168,0.9286977701742686,0.07130222982573142,5,0.001,0.1
1,10,2.196746783906763,0.4081896551724138,1392,0,0,232,2.1885047629237557,0.42,0.9330664009157235,0.07656570416189448,0.07641643694968904,0.0869702330082112,0.878650479660042,181812,0.8786499260590948,0.12135007394090525,5,0.001,0.1
