round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma,client_i_corrupted_labels,client_i_corruption_fraction
0,0,0.262909305409598,0.9176608187134503,9405,0,0,1566,2.2010020524168166,0.2202,0.8023650657373762,0.0863693525054816,0.086155229251074,0.086155229251074,0.999999999988393,199209,0.9999949801716781,5.019828321906061e-06,5,0.1,0.5,,
0,1,0.2747000715207671,0.9140434429085841,8609,0,0,1435,2.201002148393625,0.2202,0.7954324594193433,0.08562310276900578,0.08541447123179069,0.086155229251074,0.9914020538658659,197497,0.9914010340846343,0.008598965915365686,5,0.1,0.5,,
0,2,0.26332574937584213,0.9169207121813757,7807,0,0,1301,2.2010020836473654,0.2202,0.7946060633182697,0.08553414663268998,0.08532616341595797,0.086155229251074,0.9903770688870163,197293,0.9903769891069726,0.009623010893027417,5,0.1,0.5,,
0,3,0.2923080052589343,0.9085510349750179,7005,0,0,1167,2.201002108022428,0.2202,0.7918920146690103,0.08524199704328894,0.08503613361585394,0.086155229251074,0.987010705607366,196622,0.9870086843029968,0.01299131569700318,5,0.1,0.5,,
0,4,0.3090824043186209,0.9033048524907303,6203,0,0,1034,2.2010000323335204,0.2202,0.7816407629733414,0.08413851683317788,0.08394053046808161,0.086155229251074,0.9742940875067189,194089,0.9742934591636966,0.025706540836303415,5,0.1,0.5,,
0,5,0.3339849534163461,0.8950194408442881,5401,0,0,900,2.201000431475167,0.2202,0.7835183079637503,0.08434062227376371,0.08414120846397335,0.086155229251074,0.9766233482797892,194553,0.9766226595050449,0.0233773404949551,5,0.1,0.5,,
0,6,0.35349642149586646,0.8880434782608696,4600,0,0,767,2.201000417002474,0.2202,0.7837147111359738,0.08436176379093505,0.08416220026729242,0.086155229251074,0.9768669992282145,194601,0.9768636112644947,0.023136388735505276,5,0.1,0.5,,
0,7,0.3908902618940137,0.8774091627172196,3798,0,0,633,2.2010002707520995,0.2202,0.7798711910572755,0.08394803398798817,0.08375138674545464,0.086155229251074,0.9720987045419359,193651,0.9720947743587169,0.02790522564128306,5,0.1,0.5,,
0,8,0.4505163607128123,0.8600133511348464,2996,0,0,500,2.201000972296864,0.2202,0.7760546850268661,0.08353721207068947,0.08334343244069234,0.086155229251074,0.967363596663937,192708,0.9673610762511922,0.032638923748807835,5,0.1,0.5,,
0,9,0.4979395138450723,0.8457611668185961,2194,0,0,366,2.200998809010076,0.2202,0.7621243701968895,0.08203770477227926,0.08185415590676157,0.086155229251074,0.9500776286866082,189264,0.9500727875106671,0.04992721248933285,5,0.1,0.5,,
0,10,0.5793296920982274,0.8208333333333333,1392,0,0,232,2.2009964354883746,0.2202,0.7403379717668063,0.07969254144677547,0.07952426243849164,0.086155229251074,0.9230346565014481,183877,0.9230309723407459,0.07696902765925406,5,0.1,0.5,,
0,11,0.9375000178813935,0.703728813559322,590,0,0,99,2.201030632177481,0.2197,0.6983703915808692,0.07517500587392478,0.07503371355155061,0.086155229251074,0.8709130508145486,173494,0.8709100948747552,0.12908990512524476,5,0.1,0.5,,
1,0,0.24307862923189136,0.9264008506113769,9405,0,0,1566,2.0248464966734376,0.5914,0.7791138281670491,0.08453735050507702,0.0843365406741312,0.08452320835677452,0.997791521556385,198770,0.9977912755383765,0.002208724461623457,5,0.1,0.5,,
