round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010357110000001057,0.0066724479999997754,0.0002737539999984051,0.0009040050208568573,6.662681698799133e-06,1.241639256477356e-05,0.016440575942397118,0.034666972037516786,18.770565509,0.034666972037516786,18.770565509,0.871656047835376,0.0,0.44495833333333334,2.1908574203332774,0.4448,0.39376781021952,1.0,0.0
1,0.0028283860000009042,0.004239373999997298,0.0002862869999979978,0.0009517446160316467,5.928799510002136e-06,6.9551169872283936e-06,0.015892475843429565,0.024211151375954643,4.9432183420000015,0.05887812341347143,23.713783851000002,0.8929928537755453,0.0,0.7782666666666667,2.0207009406897205,0.7783,0.40221518994977407,1.0,0.0
2,0.0027716089999998417,0.0015270350000022859,0.0002715090000009468,0.0009660851210355759,5.848705768585205e-06,7.16187059879303e-06,0.017417415976524353,0.02296666467393038,4.926427238999999,0.08184478808740181,28.64021109,0.9090242325382074,0.0,0.8776833333333335,1.8044622519526619,0.8777,0.40108592248384417,1.0,0.0
3,0.002831340999996712,0.001491338000001008,0.00028061599999773534,0.0009647086262702942,6.232410669326782e-06,7.594004273414612e-06,0.016532285138964653,0.022114115180173144,4.928628018000001,0.10395890326757495,33.568839108000006,0.9191299616749853,0.0,0.9119750000000001,1.5625728593466761,0.912,0.39065144556289866,1.0,0.0
4,0.0027735829999997463,0.0015409310000009668,0.0002840629999951716,0.0009510330855846405,5.651265382766724e-06,7.113441824913025e-06,0.017070593312382698,0.022632968105170903,4.944214447999997,0.12659187137274586,38.513053556,0.9258622427789183,0.0,0.9291833333333334,1.3008468756660485,0.9292,0.3887558089723238,1.0,0.0
5,0.0028197600000012812,0.0015177570000020069,0.00026835299999561357,0.0009487289935350418,5.880370736122131e-06,6.973743438720703e-06,0.018567703664302826,0.024135156772011612,4.9444687549999955,0.15072702814475747,43.457522311,0.9337523339782249,0.0,0.9397000000000001,1.039672190008072,0.9397,0.384560856309526,1.0,0.0
6,0.0028555879999956346,0.0014771210000006363,0.00027877299999801153,0.0009624771773815155,5.690380930900574e-06,6.964430212974548e-06,0.01758757419884205,0.02317418818736172,4.937703592000005,0.1739012163321192,48.395225903000004,0.9391639342746855,0.0,0.9451,0.803007152895577,0.9451,0.3772666058296858,1.0,0.0
7,0.002854786000000331,0.0015017269999972882,0.00026053900000277963,0.0009454637765884399,5.599111318588257e-06,6.603077054023743e-06,0.014456460252404213,0.020031178217365664,4.963277709000003,0.19393239454948485,53.35850361200001,0.9416647498791054,0.0,0.9490999999999999,0.6149187167041218,0.9491,0.36118417084892124,1.0,0.0
8,0.0028227860000029636,0.0015049739999994927,0.0002675920000001497,0.0009560137987136841,5.511566996574402e-06,7.031485438346863e-06,0.017577435821294785,0.023141344672445996,4.946573332,0.21707373922193085,58.30507694400001,0.9465196684753265,0.0,0.9522833333333333,0.4639738288740761,0.9523,0.35687243107155325,1.0,0.0
9,0.0028944799999948145,0.0014803370000038285,0.00026878399999930025,0.0009672660380601883,5.641952157020569e-06,7.163733243942261e-06,0.019679652526974678,0.025303325250433772,4.952100630000004,0.24237706447236462,63.25717757400001,0.9505532351609367,0.0,0.9549,0.35071405611289574,0.9549,0.35028934633222,1.0,0.0
