round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009908000000002914,0.006421933999998686,0.00026836500000015917,0.0009251870214939117,6.118789315223694e-06,1.2755393981933594e-05,0.017339011654257774,0.0348813718590506,18.724210226,0.0348813718590506,18.724210226,0.8711250095558142,0.0,0.4503166666666667,2.176584624634764,0.4503,0.3928882315972758,1.0,0.0
1,0.0030328729999986592,0.004387630000000087,0.0002818399999995336,0.0009586736559867859,6.1318278312683105e-06,7.0035457611083984e-06,0.014837434515357018,0.02351158654493446,4.918915943999998,0.05839295840398506,23.64312617,0.8913842206532369,0.0,0.7730916666666667,2.0009260177612305,0.7731,0.40010251423215687,1.0,0.0
2,0.0029550659999983964,0.0015606949999984465,0.0002609599999985335,0.0009187888354063034,5.77978789806366e-06,8.07642936706543e-06,0.0183216892182827,0.02403105527094951,4.919198672,0.08242401367493457,28.562324842,0.9060734176858133,0.0,0.8738083333333333,1.7833870169453727,0.8738,0.40008347561091784,1.0,0.0
3,0.002971567999999536,0.0015955209999987119,0.0002719919999947251,0.0009637847542762756,5.319714546203613e-06,7.113441824913025e-06,0.016669372096657753,0.022484671007298118,4.901293260999999,0.10490868468223269,33.463618103,0.916647454222749,0.0,0.9120583333333335,1.533719142404989,0.912,0.39700560671406454,1.0,0.0
4,0.0028499889999977768,0.0015121130000039784,0.0002749269999995363,0.0009565763175487518,5.098059773445129e-06,7.4338167905807495e-06,0.01582152023911476,0.02142765743322883,4.911183764999997,0.12633634211546152,38.374801868,0.9248228727843557,0.0,0.9276999999999999,1.27092560259298,0.9277,0.3920836288633769,1.0,0.0
5,0.003237546999997676,0.0015192569999982197,0.0002721210000018459,0.0009598135948181152,5.46872615814209e-06,7.3444098234176636e-06,0.016390228644013405,0.02239178037481082,4.911658193000001,0.14872812249027234,43.286460061,0.9318518852710288,0.0,0.9360083333333334,1.0139371289993628,0.936,0.3852479569561726,1.0,0.0
6,0.0029785700000033444,0.001538693999997065,0.0002744259999971632,0.0009665675461292267,5.9623271226882935e-06,7.74674117565155e-06,0.01644209586083889,0.02221406247526403,4.922769671000005,0.17094218496553637,48.209229732000004,0.9365679980464564,0.0,0.9418000000000002,0.7859966872980039,0.9418,0.37740808471550075,1.0,0.0
7,0.003009308000002875,0.0015309989999963136,0.000274445999998818,0.0009670276194810867,5.228444933891296e-06,7.081776857376099e-06,0.01715979352593422,0.02295388436720458,4.930642311,0.19389606933274095,53.139872043000004,0.9415814694982729,0.0,0.9456916666666668,0.5975551564282122,0.9457,0.3698067421405004,1.0,0.0
8,0.0031695699999971794,0.0014491949999992926,0.00025804500000248254,0.0009605363011360168,5.098059773445129e-06,6.994232535362244e-06,0.018328724429011345,0.024178163022455124,4.925062046999997,0.21807423235519607,58.06493409,0.9467316999350351,0.0,0.9493000000000004,0.45158905590685033,0.9493,0.36070948852540125,1.0,0.0
9,0.003044072999998093,0.0014307410000000687,0.0002616520000060518,0.0009552780538797379,5.690380930900574e-06,8.376315236091614e-06,0.016441384330391884,0.022147195080442827,4.916121611999998,0.2402214274356389,62.981055702,0.9505987800362972,0.0,0.9513916666666665,0.3449918617741368,0.9514,0.3510055567152253,1.0,0.0
