round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma,client_i_corrupted_labels,client_i_corruption_fraction
0,0,1.6779512272553583,0.8437794851058094,7419,0,0,1855,0.6838336020637295,0.555902004454343,0.5934918881899207,0.11034116453328736,0.10989552711849183,0.10989552711849183,0.9999999999909004,6461953,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
0,1,1.7049951194334896,0.8389264010803511,5924,0,0,1481,0.6838336020637295,0.555902004454343,0.5158569974662254,0.09590739648804361,0.09561441501607215,0.10989552711849183,0.870048286060892,5622212,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
0,2,1.6130043346594813,0.8504611837048425,5204,0,0,1301,0.6838336020637295,0.555902004454343,0.487807810530945,0.09069253169841689,0.09044469428351641,0.10989552711849183,0.8230061464209903,5318227,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
0,3,1.6755625672338392,0.8407914123342454,4751,0,0,1188,0.6838336020637295,0.555902004454343,0.4785067735361915,0.08896329617929573,0.08872933775838747,0.10989552711849183,0.8073971715146341,5217363,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
0,4,1.6778194495751488,0.8427539503386005,4430,0,0,1108,0.6838336020637295,0.555902004454343,0.4545484002216519,0.0845089896176472,0.08430838144048135,0.10989552711849183,0.7671684521683123,4957407,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
0,5,1.6388430006247554,0.8474916387959867,4186,0,0,1047,0.6838336020637295,0.555902004454343,0.44552005142918066,0.08283045189978175,0.08264154028894634,0.10989552711849183,0.7520009453987,4859395,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
0,6,1.6364029929190873,0.8460921843687375,3992,0,0,998,0.6838336020637295,0.555902004454343,0.42754149636998695,0.07948790461087517,0.07932091644177548,0.10989552711849183,0.7217847579504132,4664139,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
0,7,1.6084750313622256,0.8480292351866353,3831,0,0,958,0.6838336173542322,0.5558277654046028,0.40406696659966224,0.0751235535501913,0.07498255070991557,0.10989552711849183,0.6823075758887382,4409040,0.6823075496978158,0.3176924503021842,5,0.001,1.0,,
0,8,1.6869176319832433,0.8395562770562771,3696,0,0,924,0.6838335995153123,0.555902004454343,0.4121869960696032,0.07663321783640507,0.07648355603361909,0.10989552711849183,0.695966051015496,4497300,0.6959659570464289,0.30403404295357106,5,0.001,1.0,,
0,9,1.6867186013842002,0.845766974015088,3579,0,0,895,0.6838338526580793,0.555902004454343,0.3908545993098071,0.07266712908674927,0.07253949213477201,0.10989552711849183,0.6600768387588534,4265386,0.6600768126792608,0.33992318732073923,5,0.001,1.0,,
0,10,1.7130895946687514,0.836468219729652,3477,0,0,870,0.6838338577549135,0.555902004454343,0.38964393538026265,0.07244204417741411,0.07231558796523554,0.10989552711849183,0.658039411254702,4252220,0.6580393484695186,0.3419606515304814,5,0.001,1.0,,
0,11,1.6604370726272464,0.843211334120425,3388,0,0,847,0.6838342435569491,0.555902004454343,0.3786728751461249,0.0704023203218924,0.07028623441283528,0.10989552711849183,0.6395732042525398,4132892,0.6395731074532564,0.36042689254674365,5,0.001,1.0,,
1,0,1.6463199216503137,0.844992586601968,7419,0,0,1855,0.6752819781348711,0.5779510022271714,0.5561996771073731,0.10835310835174565,0.10793105413792572,0.10793105413792572,0.9999999999907347,6461953,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
1,1,1.6692707901895647,0.8419648885887914,5924,0,0,1481,0.6752819781348711,0.5779510022271714,0.4942357069634488,0.09462024459398484,0.09433887413765484,0.10793105413792572,0.874066086820801,5648174,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
1,2,1.566647209901294,0.8541122213681783,5204,0,0,1301,0.6752819781348711,0.5779510022271714,0.4904773962765388,0.09041954701552625,0.09017393600329114,0.10793105413792572,0.8354772101755057,5398815,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
1,3,1.64904832611198,0.8440749315933488,4751,0,0,1188,0.6752819781348711,0.5779510022271714,0.4904122016622192,0.0890748486568448,0.08884001089905219,0.10793105413792572,0.82311816193975,5318951,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
1,4,1.6457327029821898,0.848803611738149,4430,0,0,1108,0.6752819781348711,0.5779510022271714,0.4681047229575697,0.08470673865148913,0.0845047216174133,0.10793105413792572,0.782950952268485,5059393,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
1,5,1.6333904456460977,0.8490683229813665,4186,0,0,1047,0.6752819781348711,0.5779510022271714,0.46213820645998915,0.08316033704061906,0.08296916349462964,0.10793105413792572,0.7687237390254165,4967457,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
1,6,1.580033099770546,0.8506513026052104,3992,0,0,998,0.6752819781348711,0.5779510022271714,0.4494162236456038,0.08004658296917448,0.07987605504457353,0.10793105413792572,0.7400655509373547,4782269,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
1,7,1.6083492703270168,0.8486557034716784,3831,0,0,958,0.6752820163611278,0.5779510022271714,0.41654630669836573,0.07531684617184102,0.07517475377832945,0.10793105413792572,0.6965071765311093,4500797,0.6965071246251521,0.3034928753748479,5,0.001,1.0,,
1,8,1.6698785039740776,0.8402056277056277,3696,0,0,924,0.6752819828069692,0.5779510022271714,0.4324779839806771,0.07713923070755496,0.07698658935273821,0.10793105413792572,0.7132941484444625,4609273,0.7012977808260473,0.2987022191739527,5,0.001,1.0,,
1,9,1.6358085849621733,0.8461022632020118,3579,0,0,895,0.6752821699740484,0.5779510022271714,0.4107032324152561,0.07317177979078678,0.07304146895941607,0.10793105413792572,0.6767419214251277,4373075,0.6767418957176111,0.3232581042823889,5,0.001,1.0,,
1,10,1.6934662910024507,0.8415875754961173,3477,0,0,870,0.6752821893703342,0.5779510022271714,0.41178212669875647,0.0730411637507484,0.07291154852453788,0.10793105413792572,0.6755381859857335,4365296,0.675538080277266,0.32446191972273397,5,0.001,1.0,,
