round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.271050071000019,0.2129567540000039,0.004060314000014387,0.0355514045804739,1.3073906302452087e-05,2.4596229195594788e-05,1.8893618732690811,2.4130180869850903,186.862170479,2.4130180869850903,186.862170479,0.8405226053624569,0.0,0.478619153674833,0.7165596871647869,0.478619153674833,0.46175620524921385,0.7006942482103711,0.2993057517896289
1,0.2673588010000003,0.20403292500003545,0.0039549559999727535,0.03555362857878208,1.1874362826347351e-05,1.356564462184906e-05,2.1464602909982204,2.6573860415844592,201.74808865299997,5.07040412856955,388.610259132,0.8424086258410486,0.0,0.49815639693145264,0.7059190464416196,0.4981440237564959,0.461153794039941,0.7006942482103711,0.2993057517896289
2,0.1915864430000056,0.17263146300001608,0.0038771600000018225,0.03540853597223759,1.0950490832328796e-05,1.2792646884918213e-05,2.127295257523656,2.5308226026336342,180.19106016900002,7.601226731203184,568.801319301,0.844996347164805,0.0,0.5226119772333582,0.6949478651169076,0.5226429101707498,0.4615866556901426,0.7006942482103711,0.2993057517896289
3,0.1852379460000293,0.17648844600000757,0.0038320950000070297,0.03547582030296326,1.0209158062934875e-05,1.2993812561035156e-05,1.9069335497915745,2.3079910600652056,177.04864928900008,9.90921779126839,745.8499685900001,0.8474479309494999,0.0,0.546164315763425,0.6840004719917678,0.5461766889383816,0.46724639939149853,0.7006942482103711,0.2993057517896289
4,0.18503089699993325,0.17966530900002908,0.003935449000096014,0.035676250234246254,1.146271824836731e-05,1.3124197721481323e-05,2.987063379958272,3.3913958721085464,179.28835084800005,13.300613663376936,925.1383194380002,0.8506992471468474,0.0,0.5703909923286316,0.6728721392692693,0.5703786191536748,0.4709650917821189,0.7006942482103711,0.2993057517896289
5,0.15848413399999117,0.16682018799997422,0.0038506400001097063,0.03534212149679661,1.1552125215530396e-05,1.2200325727462769e-05,2.1370912343263626,2.5016120702741773,174.35668883199992,15.802225733651113,1099.4950082700002,0.8543733282015366,0.0,0.5953414996288048,0.6618650450842397,0.5953229398663697,0.47287849128028175,0.7006942482103711,0.2993057517896289
6,0.16429646200003845,0.1435323809998863,0.0038784319999649597,0.03535793162882328,1.1593103408813477e-05,1.245737075805664e-05,2.85751729644835,3.20460655355123,178.10814376000008,19.006832287202343,1277.6031520300003,0.856687530614861,0.0,0.6181143281365998,0.6508657837423746,0.6181143281365998,0.4762206625408182,0.7006942482103711,0.2993057517896289
7,0.15715665199991236,0.144440553999857,0.003837864999923113,0.03540652617812157,1.1121854186058044e-05,1.414865255355835e-05,3.1726998519152403,3.513566719599794,178.42358008099995,22.520399006802137,1456.0267321110002,0.8589445254100645,0.0,0.6416481069042315,0.6398040717401301,0.6416481069042316,0.4775996281015649,0.7006942482103711,0.2993057517896289
8,0.16347062799991363,0.13623133700002654,0.0038331270000071527,0.0354177001863718,1.1311843991279602e-05,1.284480094909668e-05,2.1629989873617887,2.5019759361930483,180.41486781000003,25.022374942995185,1636.4415999210003,0.8623590168693401,0.0,0.6677121999505072,0.628902902512539,0.6677060133630289,0.48273041549220264,0.7006942482103711,0.2993057517896289
9,0.16436867200013694,0.13652057500007686,0.003930309999987003,0.035391440615057945,1.0592862963676453e-05,1.4709308743476868e-05,2.3944932837039232,2.734729583490889,177.08893507400012,27.757104526486074,1813.5305349950004,0.8654417785239364,0.0,0.688480574115318,0.617931081535131,0.6884929472902747,0.48470776991645054,0.7006942482103711,0.2993057517896289
