round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.2716689720000147,0.20912544500001218,0.004028102999996008,0.03568781539797783,1.1822208762168884e-05,2.6538968086242676e-05,2.96514655277133,3.485695249346179,217.386206125,3.485695249346179,217.386206125,0.8419907409998287,0.0,0.45917470923038856,0.7904936572151909,0.4591685226429102,0.4596894346921105,0.6997193109081247,0.30028068909187533
1,0.26738857899999857,0.20287761700001283,0.0039080669999975726,0.035619642585515976,1.0579824447631836e-05,1.4958903193473816e-05,1.8945952244102955,2.4044146687234615,174.932773793,5.890109918069641,392.31897991799997,0.8463208342433353,0.0,0.46622123236822577,0.7738539712446036,0.4662212323682257,0.4583128810789099,0.6997193109081247,0.30028068909187533
2,0.2167999589998999,0.16871963999994932,0.0038293300000304953,0.03544039465487003,1.1552125215530396e-05,1.4347955584526062e-05,2.80521029420197,3.23002551793752,177.94988938799997,9.12013543600716,570.2688693059999,0.8491932701834766,0.0,0.47520415738678534,0.7570767976042777,0.47520415738678545,0.4611146384987001,0.6997193109081247,0.30028068909187533
3,0.21019542700003058,0.16886211600001388,0.00391323700000612,0.03563288599252701,1.0227784514427185e-05,1.4549121260643005e-05,2.440103678032756,2.8587321209311085,172.625293789,11.978867556938269,742.894163095,0.8514757972179368,0.0,0.4852264291017076,0.7404202309187121,0.4852264291017075,0.46199139104904846,0.6997193109081247,0.30028068909187533
4,0.17781422399991698,0.17225498200002676,0.003905653000060738,0.03557989560067654,1.247599720954895e-05,1.531839370727539e-05,2.6637457981705666,3.0533283471621644,178.33597227199994,15.032195904100433,921.2301353669999,0.8538645290159975,0.0,0.50007423904974,0.7242576297275244,0.5000742390497401,0.46534747896006756,0.6997193109081247,0.30028068909187533
5,0.1631105880001087,0.15978411500009315,0.003920030000017505,0.03533698059618473,1.0749325156211853e-05,1.3465061783790588e-05,2.794892229139805,3.157068157123149,182.26156710700002,18.189264061223582,1103.4917024739998,0.8568349216473313,0.0,0.5164439495174463,0.7086245710662878,0.5164810690423163,0.4701343835599783,0.6997193109081247,0.30028068909187533
6,0.15929984299987154,0.15541597099991122,0.0038615400001162925,0.03535446897149086,1.1712312698364258e-05,1.3744458556175232e-05,2.5222601890563965,2.876217468799041,205.70705515500003,21.065481530022623,1309.1987576289998,0.8575650583960771,0.0,0.5338530066815145,0.692716545418719,0.5338530066815145,0.47275115980003335,0.6997193109081247,0.30028068909187533
7,0.1619032870000865,0.1413058309999542,0.003849707999961538,0.03535636328160763,1.1632218956947327e-05,1.416727900505066e-05,2.7863760981708765,3.1288170869504484,178.418430877,24.19429861697307,1487.6171885059998,0.8613988561087278,0.0,0.5518930957683742,0.6779846653802378,0.5518930957683742,0.4728097699923865,0.6997193109081247,0.30028068909187533
8,0.1627103339999394,0.14666546799981006,0.0039048709998041886,0.03538397513329983,1.1621043086051941e-05,1.3703480362892151e-05,2.520219387486577,2.8689093601428794,176.0147366409999,27.06320797711595,1663.6319251469997,0.8646015211688685,0.0,0.5725315515961394,0.6628018640282601,0.5725315515961396,0.4755150568067337,0.699719156156172,0.300280843843828
9,0.16840291599987722,0.13894737700002224,0.0038798850000603124,0.03566129691898823,1.1300668120384216e-05,1.4076009392738342e-05,2.3776841573417187,2.72460100893818,202.7237235990001,29.78780898605413,1866.3556487459998,0.8678264217202692,0.0,0.5956941351150704,0.6482158998412361,0.5956941351150705,0.4785155341413948,0.6997193109081247,0.30028068909187533
