round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006753179000000387,0.004621118999999396,0.00028307200000199373,0.00048429006710648537,5.200039595365524e-06,1.3686250895261765e-05,0.013192817103117704,0.025353363460716594,36.001009549,0.025353363460716594,36.001009549,0.11506615353215148,0.1005625425432794,0.10050000000000002,2.3002501439444627,0.1005,0.13951741696782258,0.9693436318925253,0.03065636810747474
1,0.002403569000001937,0.0037902760000037006,0.0002648480000004838,0.0004765363410115242,5.220063030719757e-06,1.171184703707695e-05,0.011992227751761675,0.018944389002847117,23.052954011000004,0.04429775246356371,59.05396356000001,0.1783728693014801,0.1328337757107384,0.1329,2.2911734249018414,0.1329,0.14635172966177226,0.9706474558927893,0.029352544107210665
2,0.0021849070000001802,0.0013357920000061085,0.0002654890000002297,0.000493308063596487,5.359761416912079e-06,1.2463424354791641e-05,0.013785168062895536,0.018082487312270246,22.890252956999994,0.06238023977583396,81.944216517,0.23039016515603475,0.1854704419137068,0.1862,2.276492149015016,0.1862,0.1463854375230564,0.966125332145038,0.03387466785496196
3,0.0021509139999977833,0.0013197409999889942,0.00025759500000788194,0.0004669679328799248,5.168840289115906e-06,1.2333039194345474e-05,0.014346631709486246,0.01855935152184429,23.04521646500001,0.08093959129767825,104.98943298200001,0.2594416538586694,0.21952319061777037,0.221,2.255916667889945,0.221,0.14585016376605553,0.9651433381195227,0.03485666188047731
4,0.002131837999996833,0.0013299809999978152,0.0002590879999928575,0.00047591468319296837,5.24008646607399e-06,1.25933438539505e-05,0.013410420157015324,0.017625075270515822,23.20010805200002,0.09856466656819407,128.18954103400003,0.28157079828389314,0.25508075781041534,0.25680000000000003,2.2293666978425617,0.2568,0.1455216155450477,0.9631628459672229,0.0368371540327771
5,0.0021367070000053445,0.0013055139999949006,0.0002604100000098697,0.00047601526603102684,4.88990917801857e-06,1.2333039194345474e-05,0.013671461027115583,0.01786733024152909,23.250428440000007,0.11643199680972316,151.43996947400004,0.29721674551946975,0.2747165383132149,0.2763999999999999,2.1973355359668973,0.2764,0.1450987559996189,0.9624614216632833,0.0375385783367167
6,0.00217093099999488,0.0013464310000017576,0.0002637460000016745,0.0004777084104716778,5.300156772136688e-06,1.302408054471016e-05,0.01255376823246479,0.016830908880251627,23.020342053000007,0.1332629056899748,174.46031152700004,0.3113197151787694,0.2902189210870703,0.2917,2.1604767841628836,0.2917,0.1448509997520949,0.9610338169035005,0.03896618309649946
7,0.002137036999982911,0.001340219000013576,0.00026447799999118615,0.000460826326161623,4.858709871768951e-06,1.2503936886787415e-05,0.014457856770604849,0.0186777797435127,23.151910439999995,0.1519406854334875,197.61222196700004,0.3232403431953817,0.3027379878731832,0.3039,2.1203814548782156,0.3039,0.14448176762008846,0.9524269280916308,0.047573071908369235
8,0.002115645999992921,0.0013825089999954798,0.00026630099998214973,0.0004933569580316544,4.970002919435501e-06,1.2653879821300507e-05,0.01490878313779831,0.01918421997854125,23.192635337000013,0.17112490541202874,220.80485730400005,0.33440799872107035,0.31368648908223845,0.31510000000000005,2.077384806886504,0.3151,0.1440054941452968,0.9524681883448037,0.047531811655196265
9,0.0021318569999948522,0.0013588039999774537,0.0002623530000107621,0.0004806229844689369,4.808884114027023e-06,1.2604054063558578e-05,0.014645426999777555,0.018896476922407146,22.923993893999977,0.19002138233443588,243.72885119800003,0.3442017577646572,0.3217276557951897,0.32339999999999997,2.0328886705108835,0.3234,0.14360517210256313,0.9587727550296249,0.04122724497037511
10,0.002125003999992714,0.0013625309999838464,0.0002715200000125151,0.0004646843299269676,5.130190402269363e-06,1.2814067304134369e-05,0.015249010175466537,0.019490693763088984,22.985812338000017,0.20951207609752487,266.71466353600005,0.35439162457170664,0.33363936042845554,0.3351,1.9875485489640055,0.3351,0.14297463868737614,0.9647389876384281,0.035261012361571864
11,0.0021727339999983997,0.0013430739999762409,0.00025968800002829084,0.0004618079401552677,4.959292709827423e-06,1.2744218111038208e-05,0.014658869709819555,0.01891387716079862,22.727096189000008,0.2284259532583235,289.44175972500005,0.3627219046314414,0.34415256256298704,0.34589999999999993,1.9424003724810444,0.3459,0.14222173361293328,0.9654486639930022,0.03455133600699778
12,0.002153066999994735,0.0013206520000039745,0.00026095999999142805,0.000482155941426754,5.559995770454407e-06,1.2183096259832382e-05,0.01350467000156641,0.01773924803501359,22.801200316000006,0.24616520129333708,312.24296004100006,0.3719697695576152,0.35333562792557993,0.3552,1.8985240700878674,0.3552,0.1411055346480234,0.9655806968031556,0.034419303196844386
13,0.0021306940000158647,0.001345858999968641,0.0002696170000149323,0.0004764050245285034,4.909001290798187e-06,1.2954697012901306e-05,0.014221956953406334,0.018462395676237975,23.02605705899998,0.26462759696957505,335.26901710000004,0.37901152276150585,0.36333444150641525,0.3654,1.8558541174176373,0.3654,0.14033017111587862,0.9689475334620653,0.031052466537934698
14,0.002141753999978846,0.0013264430000390348,0.0002693769999950746,0.0004845098592340946,4.237983375787735e-06,1.2153293937444687e-05,0.012758836150169373,0.016997311286729655,23.105649521000032,0.2816249082563047,358.3746666210001,0.38772582708375986,0.37150980046928117,0.3737,1.8151586780065223,0.3737,0.13921094141714652,0.9741710815137562,0.0258289184862438
15,0.0021964069999853564,0.0013137390000110827,0.00026743299997633585,0.0004880772903561592,5.109235644340515e-06,1.3185199350118637e-05,0.012522292323410511,0.016806243048733904,22.93065407900002,0.2984311513050386,381.3053207000001,0.39484840196830967,0.381782168777773,0.3835,1.7766723346106614,0.3835,0.1378615847335712,0.9754914096152894,0.02450859038471065
16,0.0021235699999806457,0.001300463999996282,0.0002572440000108145,0.0004663555882871151,5.209818482398987e-06,1.2031756341457367e-05,0.012124823871999979,0.016289699035098693,22.90010619200001,0.3147208503401373,404.2054268920001,0.40239092936669857,0.3885629840695466,0.39020000000000005,1.7408669839931439,0.3902,0.1365542304282443,0.9804096317935007,0.019590368206499287
17,0.002157013999976698,0.00133252400001993,0.0002749459999904502,0.00048383884131908417,4.517845809459686e-06,1.267390325665474e-05,0.01379314810037613,0.018058662690748406,22.819586517999994,0.3327795130308857,427.0250134100001,0.40943386362751916,0.39757927990135666,0.3989,1.7078342830078512,0.3989,0.13493524754053351,0.9814081299202851,0.018591870079714856
18,0.002153976999977658,0.0013168140000061612,0.0002717809999808196,0.00047812890261411667,5.260109901428223e-06,1.2393109500408173e-05,0.011423595249652863,0.015661949371633455,23.171660461999977,0.34844146240251916,450.1966738720001,0.41645594189111185,0.40667849793027183,0.40789999999999993,1.676809982408451,0.4079,0.13336736456383608,0.9816226832367844,0.018377316763215634
19,0.002139990999978636,0.001344415999994908,0.00026447700003018326,0.0004744906909763813,5.410052835941315e-06,1.2493226677179337e-05,0.011900220066308975,0.016141498036802204,23.022447145,0.36458296043932137,473.2191210170001,0.42295749912370834,0.4152672774527398,0.4171,1.6485858536973785,0.4171,0.1316029599862602,0.9880015183773168,0.011998481622683244
20,0.0022062749999918196,0.0013180669999997008,0.0002564320000146836,0.0004914132878184319,4.980247467756271e-06,1.2733973562717438e-05,0.011701717041432858,0.015991618550287967,23.123924774999978,0.38057457898960934,496.34304579200005,0.4296028591367607,0.42357030150142455,0.42509999999999987,1.6227098069613493,0.4251,0.12986471132074762,0.9890990411117163,0.010900958888283685
21,0.002165018000027885,0.0013302400000156922,0.0002605490000178179,0.00047791842371225357,5.22984191775322e-06,1.2693926692008972e-05,0.011810400057584047,0.01606204924996746,22.998394871000016,0.3966366282395768,519.3414406630001,0.4362423469686845,0.4290836189250898,0.43050000000000005,1.5985712959796567,0.4305,0.1281882434353143,0.9913931111881302,0.008606888811869773
22,0.0022346990000414735,0.0013437750000093729,0.0002693149999686284,0.0004786290228366852,4.579313099384308e-06,1.2672971934080124e-05,0.01352876890450716,0.017872439212396785,23.132719380000026,0.4145090674519736,542.4741600430001,0.44181755181013926,0.4353720313278713,0.43660000000000004,1.576409520982187,0.4366,0.12658981722093798,0.9921605518971465,0.00783944810285353
23,0.0021607500000300206,0.0013511280000102488,0.0002708090000851371,0.0004695621319115162,5.0798989832401276e-06,1.23525969684124e-05,0.012225248850882053,0.01649493047887063,23.234247483000104,0.4310039979308442,565.7084075260002,0.44835022017934456,0.442060264163788,0.4429999999999999,1.556375330007529,0.443,0.12501818683833604,0.992663926985856,0.007336073014143962
24,0.0021682839999357384,0.0013772879999578436,0.00026457700005266815,0.000480141956359148,5.390960723161697e-06,1.2733973562717438e-05,0.013895437121391296,0.018203853011982574,22.913437555999963,0.4492078509428268,588.6218450820002,0.4539684625600546,0.4491872223676299,0.44990000000000013,1.5378088060813615,0.4499,0.1235805352745653,0.9938934825304088,0.006106517469591233
25,0.0021956550000368225,0.0013337660000161122,0.0002575339999566495,0.00048055313527584076,4.990026354789734e-06,1.2374017387628555e-05,0.012015783693641424,0.016300655872669267,23.021740016999956,0.46550850681549605,611.6435850990001,0.46027665422638736,0.454629771822999,0.45570000000000005,1.5201502389545682,0.4557,0.1220854112064736,0.994462874024195,0.005537125975805024
26,0.0021544969999922614,0.0015383499999188643,0.00026467700001830963,0.00046969158574938774,5.0300732254981995e-06,1.2512784451246262e-05,0.01493799313902855,0.019382751582384117,23.110812966000026,0.48489125839788016,634.7543980650001,0.46580658711258077,0.4590317423357648,0.4597999999999998,1.503493603271774,0.4598,0.12077162923296178,0.9949332409103663,0.005066759089633721
27,0.002143667000041205,0.0013455580000254486,0.00028839200001584686,0.00047487206757068634,5.260109901428223e-06,1.2333039194345474e-05,0.012940390966832638,0.0172104731835816,22.901232703999995,0.5021017315814618,657.6556307690001,0.4712236942796297,0.4631648552203271,0.4641,1.488243908821782,0.4641,0.1191302444721471,0.9951973065306728,0.004802693469327157
28,0.00220175599997674,0.0013280650000524474,0.00026958599994486576,0.0004719761200249195,4.799105226993561e-06,1.267390325665474e-05,0.012033106293529272,0.016321962422011893,23.061339608000026,0.5184236940034737,680.7169703770002,0.47690111057370177,0.4678161174615692,0.4691,1.4732217471810836,0.4691,0.11716551330782574,0.9954448680497103,0.00455513195028967
29,0.002126855000028627,0.0013233359999276217,0.0002609099999517639,0.0004715258255600929,4.508066922426224e-06,1.2424308806657791e-05,0.011780059896409512,0.0159796190976067,22.750111611999955,0.5344033131010804,703.4670819890001,0.48206845370837215,0.4754706983918331,0.4768999999999999,1.4593965705436995,0.4769,0.11541666856279906,0.9957832021257282,0.0042167978742717604
30,0.0021764880000318954,0.001320609999993394,0.00026279299993348104,0.00047291815280914307,4.658941179513931e-06,1.2313015758991241e-05,0.011677066329866648,0.015926847439573066,23.0773273960001,0.5503301605406534,726.5444093850002,0.48722427559869447,0.47942893436291545,0.4804000000000001,1.4476415824286546,0.4804,0.11351828368623984,0.9958657226320741,0.0041342773679259315
31,0.002128709000089657,0.00134768099997018,0.000257975000067745,0.00047460105270147324,4.767905920743942e-06,1.2454111129045486e-05,0.011096384841948748,0.015322572911827592,22.768952345000002,0.565652733452481,749.3133617300002,0.4917489601626684,0.4837330401207245,0.4846000000000001,1.4353221338006514,0.4846,0.11208673697087083,0.996105032100477,0.0038949678995230386
32,0.0021857959999351806,0.0013074959999812563,0.00026415700006054976,0.000477577093988657,4.909001290798187e-06,1.3114884495735168e-05,0.012458793818950653,0.01671184379870283,23.02108689099998,0.5823645772511838,772.3344486210002,0.49748369664877434,0.49101900277631644,0.49179999999999985,1.4230306797389742,0.4918,0.11064819503385967,0.9962123087587266,0.0037876912412734276
33,0.0021841029999905004,0.0013146890000825806,0.00026496700002098805,0.00046535488218069077,5.009118467569351e-06,1.2322794646024704e-05,0.013415341265499592,0.017661787060887946,22.871365781999998,0.6000263643120718,795.2058144030002,0.5011898388351482,0.4963429278534422,0.4972000000000001,1.411608809157263,0.4972,0.10896337264135325,0.9962700731131686,0.0037299268868313806
34,0.002170326999930694,0.001339837000045918,0.0002635449999388584,0.0004917639307677746,4.988629370927811e-06,1.2774020433425903e-05,0.011097717098891735,0.015380952679379334,23.08603184200001,0.6154073169914511,818.2918462450002,0.5062582903380383,0.49847592489343656,0.49950000000000006,1.4009059637407713,0.4995,0.10729680352668089,0.9972438150880494,0.002756184911950621
35,0.0021396089999825563,0.0013323030000265135,0.00026465799999186856,0.0004656347446143627,4.6389177441596985e-06,1.2592878192663193e-05,0.01098946388810873,0.015208900428660854,22.714562854000064,0.630616217420112,841.0064090990003,0.5105646606908061,0.501908413725693,0.5028833333333333,1.3902422944201698,0.5029,0.10612684511808,0.9966496674423594,0.0033503325576406118
36,0.0021716290000313165,0.0013583510000216847,0.0002611099999967337,0.00047969119623303413,5.078967660665512e-06,1.3155397027730942e-05,0.012289464008063078,0.016578479569034243,23.089758579999966,0.6471946969891462,864.0961676790002,0.5151347279674051,0.5072467650013647,0.5082000000000001,1.3795554773716987,0.5082,0.10447548401414176,0.9974418643032794,0.002558135696720587
37,0.0022399179999865737,0.0013045809999994162,0.0002569119999407121,0.00046469317749142647,4.92902472615242e-06,1.3045035302639008e-05,0.012727466877549887,0.017011545114996807,23.174391947999993,0.664206242104143,887.2705596270002,0.5194307799753467,0.5087195026251564,0.5099,1.3708218683170368,0.5099,0.10274407199236558,0.9975986532653365,0.002401346734663523
38,0.0021637539999801447,0.001329857999962769,0.0002665310000793397,0.0004850807599723339,5.0603412091732025e-06,1.2492761015892029e-05,0.011632600799202919,0.01589537766142257,23.05871110800001,0.6801016197655656,910.3292707350003,0.523321403046618,0.5122550473899762,0.5134,1.3610721871822695,0.5134,0.10185583342095628,0.9977141819742206,0.002285818025779429
39,0.0021295899999813628,0.0013319509999973889,0.0002554899999722693,0.0004756231792271137,5.090143531560898e-06,1.2223143130540848e-05,0.011336883995682001,0.015546851461522238,23.212942057999953,0.6956484712270878,933.5422127930002,0.52696551038019,0.5162509974421787,0.5171,1.352829942220374,0.5171,0.10066527857272244,0.9985228829364097,0.0014771170635903275
40,0.0021490369999810355,0.00136691799991695,0.00026385599994682707,0.0004589022137224674,5.0300732254981995e-06,1.288391649723053e-05,0.013085570186376572,0.01734219738966658,23.029634284000053,0.7129906686167544,956.5718470770003,0.531281278669362,0.517965592005955,0.5189000000000001,1.3438456903530072,0.5189,0.09921623625698064,0.9980937763034115,0.0019062236965885493
41,0.002119030000017119,0.0013289570000551976,0.00025877699999909964,0.0004648929461836815,5.050096660852432e-06,1.253373920917511e-05,0.011590620968490839,0.015779861750615964,22.937538754000002,0.7287705303673704,979.5093858310003,0.5353864140386295,0.5210657944277951,0.5220000000000001,1.3364964663227903,0.522,0.09786399564621515,0.9990345100757538,0.0009654899242461656
