round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010374970000000872,0.007404142000002167,0.0002961260000020616,0.0009497636929154396,5.920883268117905e-06,1.4597084373235703e-05,0.020577124785631895,0.03962264444619379,27.435372133,0.03962264444619379,27.435372133,0.35490448473366687,0.19626200426001436,0.19609999999999997,2.2521520529311303,0.1961,0.09902326090351958,1.0,0.0
1,0.0039520810000013284,0.007764819000001921,0.0002939519999998197,0.0009112311527132988,1.3175420463085175e-05,1.2923963367938995e-05,0.019390417262911797,0.03233859979945919,14.225435704000002,0.07196124424565298,41.66080783700001,0.47246204851652457,0.3367813956055734,0.3355000000000001,2.180577224055037,0.3355,0.09955696775796756,1.0,0.0
2,0.00294193300000245,0.0018564960000020392,0.0002933009999992464,0.0009869229979813099,5.019828677177429e-06,1.2964010238647461e-05,0.02211005287244916,0.02820668970935003,14.067754177000005,0.10016793395500301,55.72856201400001,0.5440665767471136,0.47320509382256143,0.4709000000000001,2.090604907026687,0.4709,0.09967690057022835,1.0,0.0
3,0.0029950139999925796,0.0018865619999957062,0.0002952950000008059,0.000994106288999319,5.238689482212067e-06,1.7612706869840622e-05,0.017405890859663486,0.02359971954500395,14.17621914,0.12376765350000696,69.904781154,0.5850867973313575,0.5746843852905322,0.5736999999999999,1.9832004998057795,0.5737,0.0997048444966074,1.0,0.0
4,0.0029413620000013907,0.001858780000006277,0.0002853759999936756,0.0009783171117305756,5.671288818120956e-06,1.3987068086862564e-05,0.018814245704561472,0.024897739173198374,14.196972558000013,0.14866539267320533,84.10175371200002,0.6069925971489767,0.6120332331418962,0.6113999999999999,1.8609022899938468,0.6114,0.09970206887970118,1.0,0.0
5,0.00298069600000872,0.0018725860000046168,0.0002925090000047703,0.0009965808130800724,5.650799721479416e-06,1.2693926692008972e-05,0.01994699239730835,0.026107708936820018,14.167878772000009,0.17477310161002535,98.26963248400003,0.6212512150904836,0.6295415452466228,0.6287000000000001,1.7276899296635637,0.6287,0.09968188673254903,1.0,0.0
6,0.002956090999987282,0.0018156289999922137,0.0002804159999953981,0.0009937859140336514,5.992129445075989e-06,1.3025011867284775e-05,0.01885188603773713,0.024916825093058037,14.000728206000005,0.1996899267030834,112.27036069000003,0.634562757936498,0.642416760155555,0.6416000000000001,1.5899707600712396,0.6416,0.09965211336125496,1.0,0.0
7,0.003012365999992994,0.0019068299999958072,0.0002946430000037026,0.0009705517441034317,5.461275577545166e-06,1.287367194890976e-05,0.018627273850142956,0.024829999541765346,14.182102650000004,0.22451992624484873,126.45246334000004,0.6460901048183355,0.6460493192343298,0.6452,1.454758255626447,0.6452,0.09958835213522003,1.0,0.0
8,0.00303388599999721,0.001811591000006274,0.0002907360000108383,0.0009954390116035938,5.2996911108493805e-06,1.3105105608701706e-05,0.019172488246113062,0.02532254505445053,14.128688221000004,0.24984247129929926,140.58115156100004,0.6571615321897393,0.6569598915771184,0.6562,1.3273303009831487,0.6562,0.09951216234580826,1.0,0.0
9,0.0029369040000233326,0.001855374000001575,0.0002896439999915401,0.0009702108800411224,5.440320819616318e-06,1.3454817235469818e-05,0.02041458012536168,0.026485608143474337,14.160911673000015,0.2763280794427736,154.74206323400006,0.6686972036595296,0.6655817827367059,0.6647999999999998,1.2122296043478262,0.6648,0.09940859346388929,1.0,0.0
