round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006812722999999465,0.004647907999999035,0.00028050599999929204,0.0004864642396569252,5.539506673812866e-06,0.0,0.0,0.01223314074632853,29.971600749,0.01223314074632853,29.971600749,0.1296960933475778,0.10100083198747127,0.10099999999999999,2.2985202692732027,0.101,0.14456215687106316,0.9777194632866267,0.022280536713373267
1,0.0021279659999962064,0.001548077000002479,0.0002655990000022257,0.0004691425710916519,6.12158328294754e-06,0.0,0.0,0.004416906154375511,16.923896913,0.01665004690070404,46.895497662,0.17926418550942233,0.17809857756052058,0.1781,2.288713141332699,0.1781,0.14822630870504813,0.988273836048258,0.011726163951741975
2,0.0022076959999992596,0.0023571259999997096,0.0002640360000043529,0.0004996377974748611,5.319714546203613e-06,0.0,0.0,0.005333815512024387,17.112376046,0.021983862412728428,64.007873708,0.22766399715387142,0.20209810542922202,0.20210000000000003,2.2738806416716755,0.2021,0.14805459602168114,0.9812595930088627,0.018740406991137326
3,0.0022121739999931833,0.0019041250000100263,0.00025877600000967504,0.0004906821995973587,5.009584128856659e-06,0.0,0.0,0.0048707667837391,16.83394853899999,0.026854629196467528,80.841822247,0.2601578498780107,0.2130967494911634,0.21309999999999998,2.253433779825138,0.2131,0.14754201166562486,0.9796091828819462,0.020390817118053794
4,0.002185444000005532,0.0014000590000051716,0.00025669200000777437,0.0004665963351726532,5.159527063369751e-06,0.0,0.0,0.004313950862254501,17.200720372000006,0.03116858005872203,98.042542619,0.2851178564380236,0.2444983988799357,0.24449999999999997,2.2274367084986046,0.2445,0.14698253923644097,0.9798319882490799,0.02016801175092009
5,0.002179123000004779,0.0013168330000041806,0.0002720810000056417,0.0004827277734875679,5.08967787027359e-06,0.0,0.0,0.004255854451372443,16.959360490999998,0.03542443451009447,115.00190311,0.3036737689885433,0.2700960480115308,0.27010000000000006,2.19615524931799,0.2701,0.14638974238021393,0.9809047548315757,0.019095245168424313
6,0.0021959540000011657,0.0013057820000028642,0.000257323999989012,0.00046176742762327194,5.058944225311279e-06,0.0,0.0,0.004225886371841625,16.770805912,0.039650320881936096,131.77270902200002,0.3194177600693529,0.2961991751136906,0.29619999999999996,2.160311382028121,0.2962,0.1457798169447494,0.9823323595913585,0.01766764040864155
7,0.0021088700000007066,0.0013064339999857566,0.000258685999995123,0.0004963623359799385,5.159527063369751e-06,0.0,0.0,0.004175511863024894,17.095074099000016,0.04382583274496099,148.86778312100003,0.3325857642382369,0.31309850079120377,0.3131,2.1204777367507357,0.3131,0.14524062852166783,0.9830172797940289,0.016982720205971136
8,0.0021588639999947645,0.001325018000017053,0.0002639260000023569,0.0004700636491179466,4.548579454421997e-06,0.0,0.0,0.004222420228586543,16.957779869000007,0.048048252973547534,165.82556299000004,0.3443518666370349,0.3281987855094077,0.32819999999999994,2.078241155117373,0.3282,0.1445768962797381,0.9837764684524104,0.016223531547589598
9,0.002185282999988658,0.0012892910000061875,0.0002569419999929323,0.0004653036594390869,5.340203642845154e-06,0.0,0.0,0.00420215986306971,16.908113840999988,0.052250412836617244,182.73367683100003,0.3539658435582475,0.33740006794084537,0.3374,2.033796173107775,0.3374,0.14400482134881648,0.9906091663778449,0.009390833622155093
