round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006848670000000112,0.004619926000000163,0.0002763180000009413,0.0004924540407955647,4.998873919248581e-06,1.3766344636678696e-05,0.02378135873004794,0.03603749198940065,30.077494875,0.03603749198940065,30.077494875,0.15304594403451083,0.1431030445751442,0.1431,2.2977296521392048,0.1431,0.14585750621065072,0.9750292947797528,0.024970705220247247
1,0.0021596149999965064,0.003937455000006196,0.00026956700000368983,0.00048435013741254807,4.808884114027023e-06,1.2262724339962006e-05,0.022062781266868114,0.028930840012741044,17.209731386000005,0.0649683320021417,47.287226261,0.20255584978069732,0.15860312950120095,0.15860000000000002,2.2865344361413884,0.1586,0.1483047694371609,0.9749220181215031,0.025077981878496858
2,0.0022129150000012032,0.0013293370000013738,0.00026068999999750986,0.000495589803904295,5.020294338464737e-06,1.2293923646211624e-05,0.02025513630360365,0.024570982325492707,16.765923343000004,0.0895393143276344,64.053149604,0.2379838105510369,0.16960261322754522,0.1696,2.269647362865979,0.17,0.14788482706727785,0.9792048324008517,0.020795167599148345
3,0.0021315829999934977,0.0028869309999919324,0.0002589759999978014,0.0004973039031028748,4.969071596860886e-06,1.2152828276157379e-05,0.020929824095219374,0.026721739898178498,16.979329950999997,0.1162610542258129,81.032479555,0.2642378374492403,0.190403259625193,0.19039999999999999,2.24683234963236,0.1898,0.14724508862371813,0.9787757257678533,0.021224274232146678
4,0.0021801439999933336,0.0013620169999910559,0.0002703579999945305,0.0005087261088192463,4.999805241823196e-06,1.2252945452928543e-05,0.022385887801647186,0.026724385661140104,17.224538948999992,0.142985439886953,98.25701850399999,0.2838338170584375,0.22170091058005933,0.2217,2.218275236178048,0.2213,0.1466988434470263,0.9784291396412008,0.021570860358799182
5,0.002143885999998929,0.001349763999996867,0.00027144999999961783,0.0005052182823419571,5.0691887736320496e-06,1.1953059583902359e-05,0.022411466110497713,0.02669880664119262,16.8839366,0.16968424652814562,115.14095510399999,0.3001657865450456,0.24930019969618544,0.24929999999999997,2.18483173394505,0.2489,0.14624750197509465,0.9789655229324488,0.021034477067551238
6,0.002216121000003568,0.0013359490000084406,0.0002580850000128976,0.0004912130534648895,4.838686436414719e-06,1.2604054063558578e-05,0.020902703050523996,0.025221513844513765,16.85173095399999,0.1949057603726594,131.99268605799998,0.31532380530056875,0.27230004711716815,0.2723,2.147786077064804,0.2718,0.14582710390516462,0.9788830024261029,0.021116997573897067
7,0.0021238180000011653,0.001341249000006428,0.0002694560000122692,0.0005056802183389664,4.789326339960098e-06,1.2964010238647461e-05,0.02283143438398838,0.027089390938925817,17.470021846999998,0.2219951513115852,149.46270790499997,0.32865181635205143,0.29090185234765364,0.29087500000000005,2.1078083122832867,0.2903,0.14538303709464104,0.9791800762489479,0.020819923751052127
8,0.0021943410000062613,0.0013235250000036558,0.0002567619999922499,0.0005028741434216499,4.798639565706253e-06,1.193210482597351e-05,0.022474603727459908,0.026768836615275404,16.88106112700001,0.2487639879268606,166.34376903199998,0.34020783666159327,0.3079022976096913,0.3079,2.0658490778524663,0.3082,0.14496977957758955,0.9801538182238286,0.019846181776171368
9,0.0021535840000126427,0.0013333640000041669,0.00025360600000112754,0.000492605846375227,4.728790372610092e-06,1.2013129889965057e-05,0.024226234294474125,0.028476136061129864,17.078760536000004,0.27724012398799047,183.422529568,0.3527578168206458,0.3266013839588593,0.3266,2.0220229670971253,0.3264,0.1443446336331838,0.981688699641861,0.018311300358138993
