round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.007274162999998168,0.004474483999999279,0.0002814690000008113,0.0004932559095323086,5.109701305627823e-06,1.405598595738411e-05,0.010971626732498407,0.023514164329291987,29.894042064,0.023514164329291987,29.894042064,0.1369775530775589,0.10040155150789333,0.1004,2.297853059406522,0.1004,0.1457329930121103,0.9920202670363585,0.007979732963641517
1,0.0025353919999986374,0.00399512399999935,0.00026911599999834834,0.0004968028515577316,5.529727786779404e-06,1.1362135410308838e-05,0.011314461939036846,0.018627788653788002,17.001092079,0.04214195298307999,46.895134143,0.19746393260214654,0.12469975999992323,0.12470000000000002,2.286488330816921,0.1247,0.14841413738198028,0.9847254542753874,0.01527454572461262
2,0.002182429000001207,0.0013758039999984817,0.00026781300000067176,0.0004893802106380463,5.260109901428223e-06,1.2292992323637009e-05,0.01128903403878212,0.015622013351645592,16.928002145,0.05776396633472558,63.823136288,0.23795798544469782,0.16420021245908434,0.16420000000000004,2.2693090197406236,0.1642,0.14773963968720638,0.9823983759964351,0.01760162400356491
3,0.002211122999995041,0.001325891000007573,0.0002603589999949918,0.00046687666326761246,5.25033101439476e-06,1.2563075870275497e-05,0.012017621658742428,0.016299684728892316,17.189115998000005,0.0740636510636179,81.012252286,0.2633139987303176,0.1881993804716131,0.1882,2.2461059455630146,0.1882,0.14722081624107997,0.9731230710831642,0.026876928916835796
4,0.002254974999999604,0.001360575999996172,0.0002701580000064041,0.0004989467561244965,5.900859832763672e-06,1.2272968888282776e-05,0.012222717050462961,0.016625546635310684,17.406970695,0.09068919769892858,98.419222981,0.2821438629604783,0.21729867006754744,0.21729999999999997,2.216954967643641,0.2173,0.14664540801047313,0.9723968906273209,0.02760310937267907
5,0.0021942209999963325,0.0013186369999971248,0.0002682939999942846,0.00048692524433135986,4.7390349209308624e-06,1.2342818081378937e-05,0.011434626765549183,0.015719785862870594,17.17784342200001,0.10640898356179918,115.59706640300001,0.2976837426697655,0.2540982819986508,0.25410000000000005,2.182899746713759,0.2541,0.14626409023103532,0.9697149741710815,0.030285025828918455
6,0.0021861660000013217,0.0013532119999979386,0.0002651979999939158,0.0004838290624320507,4.93926927447319e-06,1.2663658708333969e-05,0.01167077012360096,0.015976778114008994,17.18240307299999,0.12238576167580817,132.779469476,0.3118198854221283,0.2772009283329639,0.27720000000000006,2.1448973734167556,0.2772,0.1459096189168683,0.9698882672344078,0.030111732765592203
7,0.0021675410000057127,0.0013444349999929273,0.0002645970000116904,0.0004829373210668564,5.2889809012413025e-06,1.2394040822982788e-05,0.012517519760876894,0.016794713103678305,17.278362829000002,0.13918047477948647,150.057832305,0.3226558538783052,0.296299215129697,0.2963,2.1035727337945866,0.2963,0.14559666678115601,0.969112574474757,0.03088742552524304
8,0.002179103000003124,0.0029273580000221955,0.00026953599999046673,0.0004894393496215343,5.090143531560898e-06,1.2353993952274323e-05,0.012676999904215336,0.018559880391336492,17.061290530999997,0.15774035517082297,167.119122836,0.3348317751478585,0.31139902003967057,0.31139999999999995,2.060241747506057,0.3114,0.1452003241136312,0.9682873694112987,0.03171263058870133
9,0.002153133999996726,0.0013501459999929466,0.0002709690000131104,0.0004972130991518497,5.45009970664978e-06,1.2143049389123917e-05,0.0129022728651762,0.017191328113426607,17.08028343800001,0.17493168328424957,184.199406274,0.34561975752453494,0.3243997838943731,0.32439999999999997,2.0167510343503348,0.3244,0.1446623056046075,0.9663151293096335,0.03368487069036652
