round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006846253999999163,0.004752824000000544,0.0002924389999989785,0.0004842802882194519,5.139969289302826e-06,2.414919435977936e-06,0.018952786922454834,0.03133613909939825,30.108232522,0.03133613909939825,30.108232522,0.14001775009223458,0.11609919747275409,0.11621666666666669,2.2980247660528255,0.1162,0.1465494120351341,0.9835536630852767,0.016446336914723303
1,0.0025572910000022375,0.004016732000003742,0.0002633050000042658,0.0005044983699917793,5.370005965232849e-06,2.595130354166031e-06,0.014649937860667706,0.02199972936698913,17.161570532,0.05333586846638738,47.269803054,0.20806605322750368,0.15169904892412603,0.15177499999999997,2.2871603965759277,0.1518,0.14851922229142198,0.9906174184284795,0.009382581571520499
2,0.00219932899999975,0.0013459469999972384,0.0002656590000000847,0.0004791403189301491,5.630776286125183e-06,1.69314444065094e-06,0.017177244182676077,0.021474643422330075,16.92678469599999,0.07481051188871746,64.19658774999999,0.24382196183786817,0.19869950378232829,0.1987,2.27051792869085,0.1991,0.14794656154427357,0.9871680612632239,0.012831938736776127
3,0.002245956999999521,0.001383898000000272,0.0002714099999963082,0.0004780171439051628,5.209818482398987e-06,1.884065568447113e-06,0.021865416318178177,0.026251792346130287,17.432219472,0.10106230423484774,81.62880722199999,0.2679819805486133,0.23640067537806486,0.23590833333333336,2.2478149782253216,0.2363,0.14728322201699587,0.9859715139212094,0.014028486078790592
4,0.0022535920000024134,0.001339506000007873,0.00026016799999695195,0.0004687998443841934,5.2801333367824554e-06,1.7327256500720978e-06,0.01914895512163639,0.023478033825014677,17.15690609100001,0.12454033805986242,98.785713313,0.2860039113337568,0.2578000024950028,0.2578083333333334,2.219415691834462,0.2578,0.14676774485287425,0.9789655229324488,0.021034477067551238
5,0.0022816940000041086,0.0013832070000034946,0.00026047999999434523,0.0004974640905857086,5.660112947225571e-06,1.6437843441963196e-06,0.019904213026165962,0.02433436201404504,16.858571476999998,0.14887470007390746,115.64428479,0.29975582894319003,0.2732988879004839,0.27295833333333336,2.1861903546731685,0.273,0.1463564284076025,0.9756234424254427,0.024376557574557256
6,0.0022118330000182596,0.0013794399999937923,0.0002728219999994508,0.00047303782775998116,5.0798989832401276e-06,1.7331913113594055e-06,0.018249336164444685,0.02259328208251077,17.089150315999987,0.17146798215641823,132.733435106,0.3125578470285027,0.2882993725067965,0.28844166666666665,2.149161393129373,0.2885,0.1459122867926241,0.9757719793368652,0.024228020663134786
7,0.0021942600000102175,0.0013237849999825357,0.00026240299999358285,0.0004895091988146305,5.109701305627823e-06,1.7527490854263306e-06,0.016605460084974766,0.020882279734166787,17.172634347000013,0.19235026189058502,149.90606945300001,0.3242058734197087,0.30079897666500655,0.30082500000000006,2.1091524920886076,0.3009,0.14556357284265206,0.9745589278935816,0.02544107210641844
8,0.0022420489999888105,0.0013370509999788283,0.00027478600000563347,0.0004733591340482235,4.658941179513931e-06,1.7629936337471008e-06,0.01974863139912486,0.024082298467959617,17.146363313999984,0.21643256035854463,167.052432767,0.3358758682886742,0.3118995799758753,0.31211666666666665,2.066819707049599,0.3122,0.1450028770230018,0.975103563235464,0.024896436764536012
9,0.0022266809999962334,0.001335657999987916,0.0002578839999785032,0.00047830818220973015,4.749279469251633e-06,1.7033889889717102e-06,0.01740543218329549,0.021710416033926094,16.873406982999995,0.23814297639247073,183.92583975,0.345873868256646,0.3241999437664754,0.324325,2.023020768467384,0.3245,0.14451504132359327,0.9756399465267119,0.024360053473288068
