round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009708664999998007,0.007285094000000214,0.00029581600000128105,0.0009438833221793175,6.140675395727158e-06,0.0,0.0,0.018239598997574547,24.600982509,0.018239598997574547,24.600982509,0.33331,0.20049926445398306,0.20049999999999998,2.2701236234305386,0.2005,0.09946704508894151,1.0,0.0
1,0.0029709000000011088,0.0058558989999966116,0.0002974080000015533,0.0009712548926472664,5.22984191775322e-06,0.0,0.0,0.010100691734564293,11.015008153000004,0.02834029073213884,35.615990662,0.4793666666666667,0.3908982058051038,0.3909000000000001,2.215346161930706,0.3909,0.09980673830442478,1.0,0.0
2,0.00303732500000109,0.001855654999999956,0.0002931510000010462,0.0009876652620732784,5.269888788461685e-06,0.0,0.0,0.006179066150863832,10.967322427,0.03451935688300267,46.583313089,0.5455166666666668,0.4672978304031445,0.4673,2.1476794393679586,0.4673,0.09986917754801827,1.0,0.0
3,0.0029186219999957075,0.0017986490000012623,0.0002811180000037439,0.0009987661615014076,5.090143531560898e-06,0.0,0.0,0.006002245305033682,10.865267390999996,0.040521602188036354,57.44858048,0.5846633333333333,0.5308976108428983,0.5309,2.066298102418455,0.5309,0.09988895694698012,1.0,0.0
4,0.0029961769999999888,0.0018386240000012322,0.00028267099999368384,0.000994849018752575,5.139969289302826e-06,0.0,0.0,0.0061174609880367825,10.965849427999999,0.04663906317607314,68.41442990799999,0.6120333333333333,0.5795979063088066,0.5796,1.9715149593048584,0.5796,0.09989255923120899,1.0,0.0
5,0.0030118269999945824,0.0018126750000106995,0.000286849000005418,0.0009814738295972347,5.610287189483643e-06,0.0,0.0,0.006098435116797418,10.918312525000005,0.052737498292870555,79.33274243299999,0.6320633333333333,0.6060961554885743,0.6060999999999999,1.8645732456121962,0.6061,0.09988382362381709,1.0,0.0
6,0.003031362999990961,0.0018371809999990774,0.00028294099999470745,0.0009730970486998558,5.6801363825798035e-06,0.0,0.0,0.006130262185067181,11.102403984000006,0.058867760477937736,90.435146417,0.6464066666666667,0.6265974015505483,0.6265999999999999,1.7476552667709204,0.6266,0.09986655874002487,1.0,0.0
7,0.003051471000006245,0.0017718480000041836,0.0003029389999937848,0.0009908606298267841,5.43985515832901e-06,0.0,0.0,0.006122558484989327,11.138264363999994,0.06499031896292706,101.57341078099999,0.6595566666666667,0.6424990859653213,0.6425,1.6243719487144543,0.6425,0.09984577622129642,1.0,0.0
8,0.003026013999999577,0.00568447700000263,0.0002880609999920125,0.0009104502387344837,5.1800161600112915e-06,0.0,0.0,0.009914182254888715,10.732909109000005,0.07490450121781578,112.30631989,0.6705200000000001,0.6551991300117169,0.6551999999999999,1.4989914120957493,0.6552,0.09981397728289108,1.0,0.0
9,0.002995135000006144,0.0018434119999994891,0.0002931200000091394,0.000960283912718296,5.349982529878616e-06,0.0,0.0,0.006097300895262947,11.07892622700001,0.08100180211307872,123.38524611700001,0.6809599999999999,0.6676986142178695,0.6677,1.3756819997732632,0.6677,0.09977258230924758,1.0,0.0
10,0.0030200329999843234,0.0018480920000172318,0.0002871689999892624,0.000976563896983862,5.710870027542114e-06,0.0,0.0,0.006137568767002222,11.001017543999993,0.08713937088008095,134.386263661,0.6903100000000001,0.679499737544898,0.6795,1.2588805124020805,0.6795,0.09970513324596454,1.0,0.0
11,0.003023077999984025,0.0018506959999911032,0.00029594599999427373,0.0010043559595942497,5.170237272977829e-06,0.0,0.0,0.00617924619683663,10.865606457000013,0.09331861707691758,145.251870118,0.6985366666666667,0.6898995809354918,0.6898999999999998,1.1521903499246786,0.6899,0.09962543472393642,1.0,0.0
12,0.002992229999989604,0.0018385529999989103,0.00028030699999703756,0.0009849099442362785,5.440320819616318e-06,0.0,0.0,0.006101440265041447,11.29298953899999,0.09942005734195902,156.544859657,0.7063899999999999,0.6983997435904818,0.6984,1.0575014550845845,0.6984,0.09953257617349372,1.0,0.0
13,0.0029643979999889325,0.0018504650000181755,0.0002987809999979163,0.0009985147044062614,5.851034075021744e-06,0.0,0.0,0.0061180097384863075,10.955619495999997,0.10553806708044533,167.500479153,0.7135900000000001,0.704200145285932,0.7042,0.9754502371477243,0.7042,0.0993713808345131,1.0,0.0
14,0.00305442699999503,0.0018343659999970896,0.0002873090000150569,0.0009708837606012821,5.490146577358246e-06,0.0,0.0,0.006152475907185817,11.155033626000005,0.11169054298763115,178.655512779,0.7209300000000001,0.7111007472533378,0.7111,0.9061098098754883,0.7111,0.09916745625871504,1.0,0.0
15,0.00301754700001311,0.0018112820000055763,0.00028505500000619577,0.001007602084428072,5.470123142004013e-06,0.0,0.0,0.006126956207594958,11.096721054,0.1178174991952261,189.752233833,0.7282866666666666,0.7183007495564172,0.7183,0.848444934279774,0.7183,0.09885357321190925,1.0,0.0
16,0.002973485000012488,0.0018481310000026951,0.00028718899997670633,0.0009741801768541336,5.790963768959045e-06,0.0,0.0,0.006088776140614982,11.124849969999985,0.12390627533584109,200.87708380299998,0.7357233333333334,0.7270012321475353,0.727,0.8011866383278332,0.727,0.09845965558965354,1.0,0.0
17,0.002992110000008097,0.0018293260000064038,0.00028318200000398974,0.0009778770618140697,5.659647285938263e-06,0.0,0.0,0.006088154709118498,10.936323458000004,0.12999443004495959,211.81340726099998,0.7423366666666666,0.733401873939024,0.7333999999999999,0.7627755648221451,0.7334,0.09784764740032525,1.0,0.0
18,0.0029260749999764357,0.0018391640000174903,0.00028079700001626406,0.0009879148565232754,5.269888788461685e-06,0.0,0.0,0.006039220745321927,11.231167577000008,0.1360336507902815,223.044574838,0.7491466666666667,0.740601756290046,0.7406,0.7307397185232692,0.7406,0.09714289480650068,1.0,0.0
19,0.0029722730000116826,0.0018287450000116223,0.0002949239999736619,0.0009786481969058514,5.730893462896347e-06,0.0,0.0,0.0060803210903657146,11.17907731599999,0.14211397188064723,234.22365215399998,0.7566633333333334,0.7494019190409977,0.7494,0.7036696323000204,0.7494,0.0962045084882018,1.0,0.0
20,0.003053655000002209,0.006163004999990562,0.00028822100000525097,0.0009056711569428444,5.220063030719757e-06,0.0,0.0,0.010415772219971586,11.308670505999999,0.1525297441006188,245.53232265999998,0.7634066666666666,0.7597025620799878,0.7597000000000002,0.6806264100745082,0.7597,0.09517826964222394,1.0,0.0
21,0.003004452999988416,0.0018559350000089125,0.0002964870000141673,0.0009848498739302158,5.220063030719757e-06,0.0,0.0,0.006146944936972432,10.967831202000013,0.15867668903759125,256.500153862,0.7700133333333334,0.7640024834873996,0.7639999999999999,0.6596214444683002,0.764,0.09420031122074174,1.0,0.0
22,0.0030068679999999404,0.0018558059999804755,0.00028074800002286793,0.0009958813898265362,6.312038749456406e-06,0.0,0.0,0.006145615428579276,11.150058812999987,0.16482230446617052,267.650212675,0.7759833333333335,0.7713030056147159,0.7713,0.6405977688658352,0.7713,0.09313294779174183,1.0,0.0
23,0.007278840999958902,0.007602208999969662,0.00029699800001026233,0.0009149182587862015,5.952082574367523e-06,0.0,0.0,0.016098918341299395,10.945906771000011,0.18092122280746992,278.596119446,0.78231,0.7797034881098721,0.7797,0.6233024695239509,0.7797,0.09220139817053027,1.0,0.0
24,0.002983202999985224,0.0018660250000266387,0.00028715999997075414,0.0009675081819295883,5.209818482398987e-06,0.0,0.0,0.006109106000394604,11.31476775699997,0.18703032880786452,289.91088720299996,0.7873566666666667,0.7861032902369581,0.7860999999999999,0.6061937736627012,0.7861,0.09109593609126297,1.0,0.0
25,0.0030944720000434245,0.001811522000025434,0.0002998030000185281,0.0009885369800031185,5.350913852453232e-06,0.0,0.0,0.006199684893942958,10.842630294999992,0.19323001370180748,300.75351749799995,0.7928099999999999,0.7892030913084658,0.7892,0.5909405091700082,0.7892,0.08998704369380327,1.0,0.0
26,0.003084182999998575,0.005836230999989311,0.0002949439999611059,0.0009128940291702747,5.61075285077095e-06,0.0,0.0,0.010133862781970038,11.346414756000001,0.20336387648377752,312.09993225399995,0.7976533333333332,0.7932034924281464,0.7932,0.5764439671565169,0.7932,0.08904024691730686,1.0,0.0
27,0.002957535000007283,0.001856476999989809,0.000291106000020136,0.0009785369038581848,5.719717592000961e-06,0.0,0.0,0.006089374621467414,11.188780987999962,0.20945325110524493,323.2887132419999,0.80226,0.7980030141553024,0.798,0.5628154945259277,0.798,0.08781066228865343,1.0,0.0
28,0.0029584270000100332,0.0018633689999774106,0.0002850349999903301,0.0009975843131542206,5.339737981557846e-06,0.0,0.0,0.006109755051113552,11.048659504000057,0.21556300615635848,334.33737274599997,0.8066066666666667,0.8011037748432707,0.8011,0.5505918613828409,0.8011,0.08662416129076114,1.0,0.0
29,0.002975859000002856,0.0018598530000417668,0.00029373199998872224,0.0009801010601222515,5.671288818120956e-06,0.0,0.0,0.006115216348973718,11.11654734299998,0.2216782225053322,345.45392008899995,0.8113800000000001,0.8071026971939855,0.8071,0.5376551340277583,0.8071,0.08527911602199462,1.0,0.0
30,0.0030177279999747952,0.0018054409999876952,0.0002962869999691975,0.0010021631605923176,5.24008646607399e-06,0.0,0.0,0.0061268592469900796,11.263733338999998,0.22780508175232228,356.71765342799995,0.81537,0.8121033785216724,0.8121,0.5260847705526474,0.8121,0.08402584166394543,1.0,0.0
31,0.0029958270000065568,0.007008112999983496,0.00028874200000927885,0.0009209201671183109,5.469657480716705e-06,0.0,0.0,0.011219071824598359,11.243517853000014,0.23902415357692064,367.96117128099996,0.8194400000000001,0.8148036192894423,0.8148,0.5161909653831975,0.8148,0.08279693587520098,1.0,0.0
32,0.0029876020000187964,0.002131572999985565,0.0002924889999462721,0.0009807120077311993,5.8212317526340485e-06,0.0,0.0,0.006398197239434467,11.045479263999994,0.2454223508163551,379.00665054499996,0.8235933333333333,0.8207019018638629,0.8207000000000001,0.5048672291227042,0.8207,0.08154795065370662,1.0,0.0
33,0.003006287000005159,0.0018440830000372443,0.0003028279999739425,0.0010014409199357033,5.881302058696747e-06,0.0,0.0,0.006160520222010746,11.048562309000033,0.25158287103836585,390.055212854,0.82668,0.8249008236388079,0.8248999999999999,0.4951672147923765,0.8249,0.0799348384693253,1.0,0.0
34,0.0029885220000096524,0.0018349459999740247,0.0002911870000161798,0.0009835576638579369,5.961395800113678e-06,0.0,0.0,0.0061041740596579075,11.224763660999997,0.25768704509802376,401.279976515,0.8311833333333335,0.8298017048546037,0.8298000000000001,0.4859299361229705,0.8298,0.07844354230505654,1.0,0.0
35,0.0029787139999939427,0.0018373610000139706,0.000281418999975358,0.0009883670136332512,5.701091140508652e-06,0.0,0.0,0.006091562104757031,11.437997971000016,0.2637786072027808,412.717974486,0.8346333333333332,0.8319018254783929,0.8318999999999998,0.4780809311821057,0.8319,0.07707800498825874,1.0,0.0
36,0.002996537999990778,0.0018733480000037162,0.000297598999964066,0.0009877150878310204,5.019828677177429e-06,0.0,0.0,0.006160219916466758,11.068104027999993,0.26993882711924755,423.786078514,0.8376899999999999,0.8348026260864057,0.8347999999999999,0.47034566175823395,0.8348,0.07572753055772023,1.0,0.0
37,0.0030515720000039437,0.006216296000047805,0.00027805300004501987,0.0009198072366416454,5.810987204313278e-06,0.0,0.0,0.010471539223942727,11.478324722999957,0.2804103663431903,435.26440323699995,0.8407100000000001,0.8389012679412292,0.8389000000000001,0.4612940035212916,0.8389,0.07430933250647707,1.0,0.0
38,0.003001878000020497,0.0017933579999862559,0.0002933009999992464,0.000978176947683096,5.830544978380203e-06,0.0,0.0,0.006072544492667475,11.374381444999983,0.28648291083585775,446.63878468199994,0.84341,0.8420020286291973,0.8420000000000001,0.45448924167849386,0.842,0.0726132698816979,1.0,0.0
39,0.0030385279999904924,0.0017960029999812832,0.00029926199999863456,0.0009987461380660534,6.342306733131409e-06,0.0,0.0,0.006138881444769595,11.357416707000027,0.29262179228062735,457.99620138899996,0.8456866666666668,0.8435013093966601,0.8435000000000001,0.4464941398975567,0.8435,0.07079421495539528,1.0,0.0
40,0.0029688959999703,0.0018602139999757128,0.000295194999978321,0.000975301954895258,5.5800192058086395e-06,0.0,0.0,0.0061051869740254006,11.135376675999964,0.29872697925465275,469.1315780649999,0.8481166666666667,0.8457007503241104,0.8457000000000002,0.4420379422152766,0.8457,0.06900941861059838,1.0,0.0
41,0.0029794860000151857,0.0018540620000067065,0.00028920299996570975,0.000981984194368124,5.469657480716705e-06,0.0,0.0,0.006110204851836443,11.160857421000003,0.3048371841064892,480.29243548599993,0.8505033333333335,0.8471017903564304,0.8470999999999999,0.43402721349614115,0.8471,0.06727693179714954,1.0,0.0
42,0.003015564000008908,0.0018124239999792735,0.00029506399999945643,0.001009264960885048,5.148816853761673e-06,0.0,0.0,0.006137465777726447,11.180129726000018,0.31097464988421564,491.47256521199995,0.8521566666666667,0.8486013110280083,0.8485999999999999,0.43100257803456854,0.8486,0.06568820496278832,1.0,0.0
43,0.0030235179999635875,0.006096069000022908,0.00029197899999644505,0.0009173029102385044,5.75091689825058e-06,0.0,0.0,0.010334619827119695,11.120223334000002,0.32130926971133533,502.59278854599995,0.8542766666666667,0.8506007918755033,0.8506,0.42384736128032396,0.8506,0.06444185647656053,1.0,0.0
