round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010371655000000146,0.007257607999999749,0.0003021869999990656,0.0009903800673782825,5.982350558042526e-06,1.4005694538354874e-05,0.02712622517719865,0.04606804328967229,24.182254639,0.04606804328967229,24.182254639,0.3207466666666667,0.22610471046931965,0.22610000000000005,2.269135638928642,0.2261,0.0993498408758476,1.0,0.0
1,0.0035749830000000316,0.007804565000000707,0.00030231700000626915,0.0009173229336738586,6.030779331922531e-06,1.2472737580537796e-05,0.026787729002535343,0.03940542045312867,11.002335417999998,0.08547346374280096,35.184590056999994,0.4667700000000001,0.40420664668745193,0.40420000000000006,2.22182479453163,0.4044,0.0997056740642787,1.0,0.0
2,0.0030168950000017958,0.0018981340000010505,0.00028827100000228256,0.0009621358476579189,5.8300793170928955e-06,1.2172851711511612e-05,0.033179250080138445,0.0393626888588301,10.949202855000003,0.12483615260163106,46.133792912,0.53245,0.4904045551074147,0.4904,2.1638621095651254,0.4908,0.09976091620448951,1.0,0.0
3,0.003039166000000648,0.0018628079999984948,0.00030215799999666615,0.0009708032011985779,5.470123142004013e-06,1.2573320418596268e-05,0.02886304585263133,0.03505602449738632,11.152099682,0.15989217709901737,57.285892593999996,0.5669500000000001,0.5433031725879801,0.5433000000000001,2.0931786713889613,0.5432,0.09986536192793127,1.0,0.0
4,0.002916276000007656,0.0018886470000012423,0.00029584600000021055,0.0009666248224675655,5.881302058696747e-06,1.3145152479410172e-05,0.032206352800130844,0.038292773077145625,11.079037692999997,0.198184950176163,68.36493028699999,0.5982966666666668,0.6030055907254989,0.6029999999999999,2.008847878763851,0.6032,0.09988120633303878,1.0,0.0
5,0.0029982589999946185,0.0018970220000085192,0.0002972479999954203,0.0009622969664633274,5.770940333604813e-06,1.224316656589508e-05,0.03292333893477917,0.03909617900814055,11.084546782999993,0.23728112918430355,79.44947706999999,0.6232399999999999,0.6327051204174715,0.6326999999999999,1.911329716920091,0.6328,0.09987842112493142,1.0,0.0
6,0.00298277999999641,0.0018890159999926937,0.00029395199999271426,0.0009693000465631485,5.519948899745941e-06,1.275399699807167e-05,0.03094248892739415,0.037095810919836936,10.917883415000006,0.2743769401041405,90.36736048499999,0.6436966666666666,0.6511026472939296,0.6510999999999999,1.8023243993996811,0.6512,0.0998665910475327,1.0,0.0
7,0.0030536339999969186,0.0018108099999949445,0.00029389199998774984,0.0009839469566941261,6.061047315597534e-06,1.2353062629699707e-05,0.031900096219033,0.03806079328565204,11.14600313199999,0.3124377333897925,101.51336361699998,0.66152,0.6653036514365939,0.6653000000000001,1.6848031404300239,0.6656,0.09984773918853569,1.0,0.0
8,0.0030010850000081746,0.0018357069999979103,0.0002971779999967339,0.0009919130243360996,6.331596523523331e-06,1.3125129044055939e-05,0.03361318213865161,0.03975852188855811,10.952397415999997,0.35219625527835063,112.46576103299998,0.6768,0.6805034963625737,0.6805,1.5626605250203192,0.6806,0.09981750022115526,1.0,0.0
9,0.0030139790000021094,0.001861594999994054,0.0002879209999946397,0.0009716139174997807,6.011687219142914e-06,1.2654345482587814e-05,0.032621059101074934,0.03877483405126725,10.923467669999994,0.3909710893296179,123.38922870299997,0.6895233333333333,0.6942020213361123,0.6942,1.4401948368206572,0.6943,0.09977724081149364,1.0,0.0
10,0.0029626230000019405,0.0018767040000113866,0.00029802899999253896,0.0009866622276604176,6.011221557855606e-06,1.341523602604866e-05,0.0338888387195766,0.040032283404826785,11.308862187000003,0.43100337273444467,134.69809088999997,0.7006900000000001,0.7014019036871343,0.7013999999999999,1.3216206928411611,0.7016,0.09972377083377722,1.0,0.0
11,0.0029421540000100777,0.0018143759999986742,0.0002960360000088258,0.0009829262271523476,5.770009011030197e-06,1.3155397027730942e-05,0.03085686592385173,0.036911283557060415,11.096780276999993,0.4679146562915051,145.79487116699997,0.7084666666666667,0.7076013858780922,0.7076000000000001,1.210485186820594,0.7076,0.09965190986117767,1.0,0.0
12,0.0029882899999904566,0.001925183999986757,0.00029200899999182184,0.0009742788970470428,5.810987204313278e-06,1.2654345482587814e-05,0.031251346692442894,0.03744957392214587,11.182015558000018,0.505364230213651,156.97688672499999,0.71625,0.7136012678452678,0.7135999999999999,1.1094762361087738,0.7136,0.0995650442938147,1.0,0.0
13,0.0030417210000166506,0.0018691289999992478,0.0003013160000193693,0.0009713340550661087,5.920883268117905e-06,1.2503005564212799e-05,0.03594751423224807,0.042149438176181775,10.862941397000014,0.5475136683898327,167.839828122,0.72288,0.7201014698445326,0.7201000000000001,1.0201431526162754,0.72,0.09944108932349989,1.0,0.0
14,0.0029897839999932785,0.005301634000005606,0.0002953040000193141,0.0009328708983957767,5.580950528383255e-06,1.7101876437664032e-05,0.03380225598812103,0.043344531713501055,11.053486370000002,0.5908582001033338,178.893314492,0.7290066666666667,0.7247012713958485,0.7247,0.9428362699743277,0.7248,0.09926016094767551,1.0,0.0
