round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010085922000001801,0.0074548810000010235,0.00029603599999816765,0.0009436123073101044,5.510170012712479e-06,1.477682963013649e-05,0.01969271432608366,0.038493452633037606,24.195507647,0.038493452633037606,24.195507647,0.36710333333333334,0.2081020657663545,0.20809999999999998,2.256914086235217,0.2081,0.09969560369660466,1.0,0.0
1,0.004065224999997952,0.007644857000002503,0.00029086700000391374,0.0009016441181302071,5.8212317526340485e-06,1.4116987586021423e-05,0.01886594109237194,0.03178847242984517,11.058644643000001,0.07028192506288278,35.25415229,0.4662066666666667,0.3473022302446158,0.3473,2.1929471287102746,0.3473,0.09983842051802887,1.0,0.0
2,0.0029913070000020525,0.0018590719999949101,0.00029277000000149656,0.000984169077128172,5.479902029037476e-06,1.3816170394420624e-05,0.016821731813251972,0.02296834596280206,11.047810341000002,0.09325027102568484,46.301962631,0.5244433333333333,0.42430209493869486,0.42429999999999995,2.1146688148998223,0.4243,0.0998868874933418,1.0,0.0
3,0.003018107999999131,0.001847639999994044,0.0002784229999974741,0.0009558452293276787,6.050802767276764e-06,1.3805925846099854e-05,0.01841269014403224,0.024532563101963945,11.059453737999995,0.11778283412764878,57.361416369,0.5622666666666666,0.4676019088690633,0.4676,2.0214633366551262,0.4676,0.09989220269731669,1.0,0.0
4,0.0029566129999949453,0.0017821769999954995,0.0002955049999968651,0.000968629028648138,6.511807441711426e-06,1.3746321201324463e-05,0.019740164279937744,0.025763346437216228,10.972053008999993,0.143546180564865,68.33346937799999,0.5911733333333333,0.5137015237749776,0.5137,1.9137614394148317,0.5137,0.09988628352173233,1.0,0.0
5,0.002945021000002157,0.0018619770000043445,0.00028329200000598576,0.000963869970291853,5.659647285938263e-06,1.3995915651321411e-05,0.0170124601572752,0.0230862756905168,10.929461903000004,0.1666324562553818,79.262931281,0.61271,0.5458022537552191,0.5458,1.7940095156526412,0.5458,0.09986642296240202,1.0,0.0
6,0.003042262999997547,0.0018542220000057341,0.00028833099999303613,0.0009814728982746601,5.431007593870163e-06,1.4165882021188736e-05,0.01854567974805832,0.024731565535944355,10.987294458000008,0.19136402179132617,90.250225739,0.6314666666666667,0.5702029013044067,0.5701999999999999,1.6665157247275209,0.5702,0.0998443227955603,1.0,0.0
7,0.002952565000001073,0.0018631490000018402,0.00028738999999688986,0.000987974926829338,5.400273948907852e-06,1.3384968042373657e-05,0.02276701806113124,0.02887688222995166,11.087476299000002,0.22024090402127783,101.337702038,0.6483433333333333,0.5960021898447627,0.596,1.536130547142638,0.596,0.09980865636573281,1.0,0.0
8,0.0030314029999942704,0.0018500649999992902,0.00027792199999510103,0.0009585809893906116,5.851034075021744e-06,1.4557037502527237e-05,0.020718981977552176,0.026857361038508998,10.991513648000009,0.24709826505978683,112.32921568600001,0.6646466666666666,0.6170031561785386,0.617,1.408006355404473,0.617,0.09977055443575893,1.0,0.0
9,0.0029407419999927242,0.001908835000008935,0.00029664699999898403,0.0009956699796020985,5.651265382766724e-06,1.585995778441429e-05,0.020540165714919567,0.02670357091768949,11.107810285,0.2738018359774763,123.43702597100001,0.6798433333333334,0.6430030045591378,0.6429999999999999,1.286814371236978,0.643,0.09971221060492758,1.0,0.0
10,0.0029645980000054806,0.0018535410000026786,0.00027809200000206147,0.0009724260307848454,5.5604614317417145e-06,1.3947021216154099e-05,0.020557607989758253,0.026645772503201215,11.11133383500001,0.30044760848067753,134.548359806,0.6934933333333332,0.6627014114998517,0.6627,1.1760884292971212,0.6627,0.09963816149687134,1.0,0.0
11,0.0030090710000081344,0.0017883879999942565,0.00029394199998478143,0.0009871539659798145,5.679670721292496e-06,1.306505873799324e-05,0.018543235026299953,0.024640534721726226,11.160721772999977,0.32508814320240376,145.70908157899999,0.7052133333333334,0.6825010579771478,0.6825,1.0780305694848205,0.6825,0.09951936217187932,1.0,0.0
12,0.002944810999991887,0.0018779270000095494,0.0002806779999957598,0.0009892680682241917,6.051268428564072e-06,1.412583515048027e-05,0.018509651999920607,0.02462251317172104,10.968916785000005,0.3497106563741248,156.677998364,0.7160033333333334,0.6965010224713387,0.6965,0.9934555236904766,0.6965,0.09936962852950819,1.0,0.0
