round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.00985346399999898,0.007290341000000922,0.00030140599999839424,0.0009505846537649632,6.502028554677963e-06,2.2239983081817627e-06,0.037201047874987125,0.05560556955561324,23.850253203,0.05560556955561324,23.850253203,0.37743,0.23110227304350997,0.2311,2.2660316324081666,0.2311,0.09970628293221542,1.0,0.0
1,0.0035338159999938057,0.007674522000002071,0.00029625599999860697,0.000919656828045845,6.000977009534836e-06,2.6351772248744965e-06,0.026630748994648457,0.039063635976923194,11.071924655000004,0.09466920553253644,34.922177858000005,0.47406666666666664,0.38170208131214123,0.3817,2.201296474225224,0.3817,0.09985455128353928,1.0,0.0
2,0.003109478999995474,0.0018088270000049533,0.0002943020000003571,0.0009930147789418697,5.8212317526340485e-06,1.6740523278713226e-06,0.03140505403280258,0.03761817209582574,10.945614862999996,0.13228737762836218,45.867792721,0.5330033333333334,0.45610498396001087,0.4561,2.1200703736692192,0.4561,0.09988469174144653,1.0,0.0
3,0.002968365000000972,0.001927789999996321,0.0003017969999987713,0.000984278041869402,6.021000444889069e-06,1.623295247554779e-06,0.03221814101561904,0.03840801535317695,10.889191937999996,0.17069539298153913,56.756984659,0.5750899999999999,0.5219048050875026,0.5219000000000001,2.021436607875763,0.5219,0.09989001202478089,1.0,0.0
4,0.0030193900000057283,0.0018782570000013266,0.00028122799999152903,0.0009912820532917976,5.3104013204574585e-06,1.7941929399967194e-06,0.03410855121910572,0.040285812866656556,11.073676871999993,0.21098120584819569,67.83066153099999,0.6049999999999999,0.5726027821200423,0.5725999999999999,1.9066148741176714,0.5726,0.09987482522011472,1.0,0.0
5,0.003088550000001078,0.0017962729999965177,0.0003014660000104641,0.0009953989647328854,6.591901183128357e-06,1.7229467630386353e-06,0.028830188792198896,0.03502019160488601,10.818761588000001,0.2460013974530817,78.64942311899999,0.6264566666666666,0.6067035927080665,0.6067,1.7789649723436887,0.6067,0.09985521029190349,1.0,0.0
6,0.003189329000008456,0.00181752299999971,0.0003066459999985227,0.0009761936962604523,5.96093013882637e-06,1.7033889889717102e-06,0.03562156204134226,0.0419189180567372,11.059007115,0.2879203155098189,89.70843023399999,0.6439499999999999,0.6290017205923136,0.6289999999999999,1.644152335846386,0.629,0.09982214780366713,1.0,0.0
7,0.003003049999989571,0.001855153999997583,0.0003071969999979274,0.0009917817078530788,5.629844963550568e-06,1.8030405044555664e-06,0.02671343320980668,0.03287804880311285,10.951405516000008,0.32079836431293174,100.65983575,0.6581566666666666,0.6491010073093986,0.6490999999999999,1.5081466520175386,0.6491,0.09977497997658458,1.0,0.0
8,0.0030391470000097343,0.0018563560000046664,0.00030719700001213823,0.0009861523285508156,5.629844963550568e-06,1.7331913113594055e-06,0.034175746608525515,0.04037196197337778,11.027283620000006,0.3611703262863095,111.68711937,0.6720366666666666,0.6665016126354618,0.6665,1.3769908259851864,0.6665,0.09972152178325483,1.0,0.0
9,0.0029927300000025525,0.0017884579999929429,0.00029840000000547207,0.0009931251406669617,5.790963768959045e-06,1.6828998923301697e-06,0.03537854505702853,0.04145873206135775,10.877912434999999,0.40262905834766727,122.565031805,0.6837633333333333,0.6799002574650963,0.6799,1.2553627365313398,0.6799,0.09966369095100468,1.0,0.0
10,0.003043143999974518,0.0018479500000125881,0.00029936199999269775,0.0009707631543278694,5.650799721479416e-06,1.9441358745098114e-06,0.028180990368127823,0.034349804458031485,10.919612412000006,0.43697886280569875,133.484644217,0.69419,0.6897002206158241,0.6897000000000001,1.1468648428734118,0.6896,0.09956142366636944,1.0,0.0
11,0.0030073570000013206,0.0019120000000043547,0.0003006850000133454,0.0009679272770881653,5.820300430059433e-06,1.7029233276844025e-06,0.03162312414497137,0.0378186166458363,10.712819338000003,0.47479747945153505,144.197463555,0.70261,0.698499543702373,0.6985,1.0531340532790359,0.6985,0.09941536727554194,1.0,0.0
12,0.003003470000010111,0.0018742900000177087,0.00029402199999140066,0.0009710942395031452,4.980247467756271e-06,1.6838312149047852e-06,0.033864742144942284,0.04001428246314731,10.783969316999986,0.5148117619146824,154.981432872,0.7105466666666667,0.7046995057015613,0.7047,0.9739547701308522,0.7047,0.09921515530204586,1.0,0.0
13,0.0030384549999951105,0.0018301169999972444,0.00030688699999359415,0.000986612867563963,5.480833351612091e-06,2.064276486635208e-06,0.03482721000909805,0.04099682698648621,10.790122483999994,0.5558085889011686,165.771555356,0.7178366666666666,0.7118011473174403,0.7118000000000001,0.9083534661954203,0.7119,0.09893093985561714,1.0,0.0
14,0.0029852060000052916,0.0018047890000048028,0.0002980889999832925,0.000997392926365137,5.570240318775177e-06,1.8640421330928802e-06,0.03556622797623277,0.04165913918504316,10.921414150000004,0.5974677280862117,176.692969506,0.72578,0.7171014688849161,0.7171,0.8549589571861413,0.7171,0.09848304336798333,1.0,0.0
15,0.0030592340000055174,0.0053721879999955036,0.00029412299997488844,0.0009197266772389412,5.931127816438675e-06,1.9739381968975067e-06,0.034224278293550014,0.0438774550367782,10.661944218000002,0.6413451831229899,187.354913724,0.7318199999999999,0.7265019916839638,0.7265,0.8119705452705724,0.7265,0.09787387779435137,1.0,0.0
