round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009590170000000953,0.006199673000001127,0.00027048799999995765,0.0009544920176267624,6.1211176216602325e-06,0.0,0.0,0.01702094413525046,15.942300637,0.01702094413525046,15.942300637,0.89149,0.3930980065887266,0.3931,2.1888659343171044,0.3931,0.39528557772326817,1.0,0.0
1,0.0027798399999987566,0.0033537079999987895,0.00026296399999736764,0.0009627281688153744,6.151851266622543e-06,0.0,0.0,0.007365392020076911,3.068782036,0.02438633615532737,19.011082673,0.9075199999999999,0.7384997164333359,0.7385,2.0254993629150877,0.7385,0.4061274350247183,1.0,0.0
2,0.0028353750000000844,0.0014953690000005793,0.000253355000001676,0.0009662848897278309,5.781184881925583e-06,0.0,0.0,0.005556165074612096,3.067390563,0.029942501229939467,22.078473236,0.9177700000000001,0.8728999993282684,0.8728999999999999,1.8215261187416296,0.8729,0.4065919039823306,1.0,0.0
3,0.00286432900000122,0.0014538199999982737,0.0002538570000005791,0.000960563775151968,5.481299012899399e-06,0.0,0.0,0.00553805107416494,3.0568792530000017,0.03548055230410441,25.135352489000002,0.9255500000000002,0.9159992534183937,0.916,1.5897399297537513,0.916,0.40333073429504074,1.0,0.0
4,0.0027884060000005206,0.001485669999997441,0.0002610599999997021,0.0009317002259194851,5.559995770454407e-06,0.0,0.0,0.005472396221687603,3.059705690999998,0.04095294852579201,28.19505818,0.9320033333333334,0.932599778520521,0.9326000000000002,1.3397384622988229,0.9326,0.39927677132749934,1.0,0.0
5,0.0028580470000001412,0.0014570770000013056,0.00025438800000188166,0.0009584198705852032,4.7478824853897095e-06,0.0,0.0,0.005532679753073921,3.0670864520000016,0.04648562827886593,31.262144632000002,0.9371666666666667,0.9401995810314534,0.9402000000000003,1.0914134032810077,0.9402,0.3927147941819741,1.0,0.0
6,0.0028488100000032546,0.0015147450000014828,0.0002604889999986426,0.0009764940477907658,5.900859832763672e-06,0.0,0.0,0.0056064389076269094,3.069236469,0.05209206718649284,34.331381101000005,0.9406933333333334,0.9486993838302707,0.9487000000000001,0.8634571897716948,0.9487,0.3849418838940491,1.0,0.0
7,0.0028020929999996724,0.0014673450000017851,0.000255320000000836,0.0009785979054868221,5.441252142190933e-06,0.0,0.0,0.005508797157631307,3.0769797210000007,0.05760086434412415,37.408360822000006,0.9450166666666665,0.9534996252697724,0.9535,0.6661143336242761,0.9535,0.37706701739592896,1.0,0.0
8,0.0028998860000015725,0.001493203999999082,0.0002555899999947542,0.0009444039314985275,5.029141902923584e-06,0.0,0.0,0.00559811307339686,3.07999916,0.06319897741752101,40.488359982000006,0.9484333333333335,0.9569001461495868,0.9568999999999998,0.5077929232067193,0.9569,0.3679229333691124,1.0,0.0
9,0.0028971110000028943,0.0014989149999991014,0.00026274400000403375,0.0009644711390137672,5.600973963737488e-06,0.0,0.0,0.005628842112983534,3.081757181999997,0.06882781953050454,43.570117164,0.9519199999999999,0.9591003067893825,0.9590999999999998,0.38646434913999356,0.9591,0.35814982459623307,1.0,0.0
10,0.002850031999997782,0.0014739480000045546,0.0002783930000020973,0.0009684287942945957,5.560927093029022e-06,0.0,0.0,0.005576362721392059,3.0751944780000002,0.0744041822518966,46.645311642,0.9547133333333333,0.9606998674769667,0.9606999999999998,0.29711783932039915,0.9607,0.3479743173783214,1.0,0.0
11,0.0027923739999948793,0.001472876000001122,0.0002524339999965264,0.0009692711755633354,4.969071596860886e-06,0.0,0.0,0.005491924247152724,3.0721374170000004,0.07989610649904932,49.717449059,0.9571233333333334,0.9619999078768197,0.9619999999999999,0.23512483390565878,0.962,0.33661298298300524,1.0,0.0
12,0.002859620000002394,0.0015364149999967935,0.0002645459999968125,0.0009824945591390133,5.209818482398987e-06,0.0,0.0,0.0056482853776174125,3.0779705209999975,0.08554439187666674,52.79541958,0.95971,0.9639000684206535,0.9639000000000002,0.1921601310943643,0.9639,0.32588759174266224,1.0,0.0
13,0.0028668940000002863,0.0015049759999996581,0.0002546380000012505,0.0009779362007975578,5.490146577358246e-06,0.0,0.0,0.005609934347376111,3.071932332000003,0.09115432622404285,55.867351912000004,0.9616933333333332,0.9648003086126536,0.9648,0.1619680881524048,0.9648,0.3158884326306816,1.0,0.0
14,0.0028395629999948824,0.0014714030000035905,0.0002529850000030365,0.0009691501036286354,5.7406723499298096e-06,0.0,0.0,0.0055388417759800745,3.070435910999997,0.09669316800002292,58.937787823,0.96342,0.9657999890603725,0.9657999999999999,0.14099195760231428,0.9658,0.3056477757885728,1.0,0.0
15,0.002839364999999816,0.004836756999999636,0.00025493900000128633,0.0009109508246183395,5.239620804786682e-06,0.0,0.0,0.008847251445423865,3.0847935910000004,0.10554041944544679,62.022581414,0.9650833333333334,0.9671000294602253,0.9671,0.12662337084833425,0.9671,0.2936394579195627,1.0,0.0
16,0.0028937070000125686,0.001474539999989588,0.0002561619999994491,0.0009616669267416,5.620066076517105e-06,0.0,0.0,0.005591695992819723,3.0746844360000054,0.11113211543826651,65.09726585000001,0.9666466666666668,0.9677999497160976,0.9678000000000001,0.1167370602042197,0.9678,0.2823130162892049,1.0,0.0
17,0.0029206170000009024,0.0014900089999940747,0.00026103100000796076,0.000957489013671875,5.570240318775177e-06,0.0,0.0,0.005634716253993588,3.0689843340000067,0.1167668316922601,68.16625018400002,0.9681633333333334,0.9686001498920912,0.9686,0.10934310740294358,0.9686,0.274039581928595,1.0,0.0
18,0.0028948180000014645,0.0014259090000052765,0.00027555799999845476,0.000975332222878933,5.882233381271362e-06,0.0,0.0,0.0055774994562654,3.062333124999995,0.1223443311485255,71.22858330900002,0.9692900000000001,0.969399750307797,0.9694000000000002,0.10381254852680971,0.9694,0.26429759457363605,1.0,0.0
19,0.0028510960000005525,0.0015341820000003281,0.000259988999999905,0.0009790901094675064,5.741138011217117e-06,0.0,0.0,0.005630098247479509,3.054205182000004,0.127974429396005,74.28278849100002,0.9708266666666668,0.9696998703558162,0.9696999999999999,0.09959726046752958,0.9697,0.25443670751216213,1.0,0.0
20,0.0028739489999907164,0.0014660639999988234,0.00026249299999392406,0.0009779981337487698,4.579313099384308e-06,0.0,0.0,0.005585083446831618,3.0659709549999974,0.13355951284283663,77.34875944600002,0.9712699999999997,0.9704000305158034,0.9704,0.09606964349264678,0.9704,0.24639802269045727,1.0,0.0
21,0.0028523090000049933,0.0015035750000009784,0.0002513430000021799,0.0009693610481917858,5.539972335100174e-06,0.0,0.0,0.005582128020535038,3.0625254999999925,0.13914164086337166,80.41128494600001,0.9727333333333333,0.9710000307077267,0.971,0.09371911486411413,0.971,0.2401691780920463,1.0,0.0
22,0.0028833769999891956,0.0014602230000093641,0.00025499900000625075,0.0009448458440601826,5.600973963737488e-06,0.0,0.0,0.0055490458180287305,3.062692060999993,0.1446906866814004,83.473977007,0.9733033333333333,0.9716999509635987,0.9717000000000001,0.09172991843382343,0.9717,0.23267319310336212,1.0,0.0
