round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010121761000000618,0.006443713000001239,0.00027324200000045096,0.0009374986402690411,6.171874701976776e-06,1.4817807823419571e-05,0.021451847162097692,0.03924905148489444,16.046106756,0.03924905148489444,16.046106756,0.8897066666666666,0.34460067000421274,0.34459999999999996,2.1945933214010904,0.3446,0.3934945300290008,1.0,0.0
1,0.003717781000002418,0.005725175999998555,0.0002762979999992865,0.0009280010126531124,5.77140599489212e-06,1.236284151673317e-05,0.020035911817103624,0.030701302077268622,3.1253037060000004,0.06995035356216306,19.171410462,0.9056866666666666,0.6922991018949546,0.6923,2.0317387333312356,0.6923,0.40671529041804344,1.0,0.0
2,0.0028928450000016426,0.0014586550000004195,0.0002716290000002175,0.0009576762095093727,5.760695785284042e-06,1.269439235329628e-05,0.020231709349900484,0.025830969647550717,3.1163179439999986,0.09578132320971378,22.287728406,0.9165900000000001,0.8565998341782756,0.8565333333333335,1.8304541453766747,0.8563,0.4062506791171151,1.0,0.0
3,0.0027976960000017925,0.0015836300000025005,0.0002714590000003625,0.0009558917954564095,5.9516169130802155e-06,1.3255048543214798e-05,0.020856591872870922,0.026484475333788282,3.110588488000001,0.12226579854350206,25.398316894,0.9241366666666667,0.912200851563647,0.9122,1.601319035021261,0.9122,0.40463304838687114,1.0,0.0
4,0.002864902000002445,0.0015294180000005042,0.00025944600000116225,0.0009511839598417282,6.0820020735263824e-06,1.3074837625026703e-05,0.01922605372965336,0.02485016052919775,3.1335894690000003,0.1471159590726998,28.531906363,0.9314166666666667,0.9330008982010071,0.9329999999999999,1.3571359627543929,0.933,0.3990727071224735,1.0,0.0
5,0.002918994000001618,0.0015358999999968148,0.00027318300000089835,0.0009485590271651745,5.800742655992508e-06,1.2933742254972458e-05,0.02026288816705346,0.02595825867912893,3.133998675000001,0.17307421775182874,31.665905038000002,0.9358866666666666,0.9433009414797096,0.9433000000000002,1.1109013854505154,0.9433,0.3932003357266621,1.0,0.0
6,0.002829775999998674,0.0015669479999971259,0.00027640800000483523,0.0009555518627166748,5.019828677177429e-06,1.2543052434921265e-05,0.021394970826804638,0.027041217570634046,3.1173777739999977,0.2001154353224628,34.783282811999996,0.94111,0.9475014226314027,0.9474999999999999,0.8796426785258821,0.9476,0.38624068957412283,1.0,0.0
7,0.0028219119999945974,0.0015885389999965582,0.00027665900000073407,0.0009728050790727139,5.459878593683243e-06,1.27437524497509e-05,0.019666358828544617,0.025344477538652654,3.1130255200000008,0.22545991286111544,37.896308332,0.9446199999999999,0.9518008642305844,0.9518000000000001,0.6824456526638981,0.9518,0.3773116273682282,1.0,0.0
8,0.0029076730000028306,0.0015220540000058236,0.0002803550000010091,0.0009588981047272682,5.279667675495148e-06,1.2672971934080124e-05,0.019862216897308826,0.025549149641655333,3.122782665999999,0.2510090625027708,41.019090997999996,0.9482233333333333,0.9551003854779322,0.9551,0.5185388690366531,0.9551,0.3701989084235801,1.0,0.0
9,0.0028952290000034964,0.0015460400000009145,0.0002621219999952018,0.0009685568511486053,5.510170012712479e-06,1.3004057109355927e-05,0.02041101735085249,0.026101479429122776,3.124512627999998,0.27711054193189355,44.143603625999994,0.9519533333333334,0.958400746389683,0.9583999999999998,0.3932905841273622,0.9584,0.36033146909081776,1.0,0.0
10,0.0029038460000023747,0.0014884109999968587,0.0002662789999945403,0.0009788647294044495,6.0908496379852295e-06,1.2903939932584763e-05,0.020387833006680012,0.026044228525648805,3.1261893109999974,0.30315477045754236,47.26979293699999,0.9546766666666667,0.960601026981536,0.9605999999999999,0.3034884895379551,0.9606,0.34937762384551574,1.0,0.0
11,0.002818816000001334,0.001564262999998789,0.00027930299999923136,0.0009714206680655479,6.031244993209839e-06,1.3525597751140594e-05,0.020533075090497732,0.026186434601306985,3.1268968950000016,0.32934120505884934,50.39668983199999,0.9568600000000002,0.9632007479250694,0.9632000000000001,0.23999103475302552,0.9632,0.3390442399188204,1.0,0.0
12,0.002854241999997953,0.0015437950000034562,0.0002748050000036528,0.0009589879773557186,5.5409036576747894e-06,1.3104639947414398e-05,0.020428328774869442,0.02607880429583531,3.1389040199999982,0.35542000935468465,53.53559385199999,0.95958,0.9649008284368903,0.9649083333333334,0.19338229468788581,0.9649,0.3296697388289442,1.0,0.0
13,0.0028447749999997995,0.0016150689999960832,0.0002681730000020366,0.0009318068623542786,5.0798989832401276e-06,1.2854114174842834e-05,0.018696341197937727,0.024374099073448008,3.141763449999999,0.37979410842813266,56.67735730199999,0.9616833333333336,0.9662008688367433,0.9662000000000002,0.1623590783284495,0.9662,0.3173811900437256,1.0,0.0
14,0.0028383319999960577,0.001512166000004811,0.00027352299999705565,0.0009613833390176296,5.349982529878616e-06,1.287367194890976e-05,0.020964254159480333,0.026567882152974676,3.128060261999998,0.40636199058110734,59.80541756399999,0.9632466666666667,0.9672007891885771,0.9672,0.14081454992341919,0.9672,0.3055077317811474,1.0,0.0
15,0.0028795399999950178,0.0015622800000016923,0.0002691540000014925,0.0009639281779527664,5.120411515235901e-06,1.2394040822982788e-05,0.02112291194498539,0.026815328575274577,3.1198291839999968,0.4331773191563819,62.925246747999985,0.9645433333333334,0.9687010295725006,0.9686916666666666,0.12568541649824228,0.9687,0.29452045474780175,1.0,0.0
16,0.002818094999994969,0.0015739920000044094,0.0002828510000085771,0.0009648697450757027,5.219597369432449e-06,1.2332573533058167e-05,0.022507898975163698,0.028165258891149847,3.1299326690000058,0.46134257804753176,66.05517941699999,0.9667666666666669,0.9696010298603853,0.9695999999999999,0.11495414351562437,0.9696,0.2855661246297524,1.0,0.0
17,0.002876825000001304,0.001544847000005234,0.00026177099999813436,0.0009726239368319511,5.629844963550568e-06,1.223292201757431e-05,0.022076930850744247,0.027750860554561996,3.139281066999999,0.48909343860209376,69.19446048399999,0.9681433333333334,0.9705010301482703,0.9704999999999999,0.10712801752992855,0.9705,0.2756345052715086,1.0,0.0
18,0.0028009720000028437,0.0014946029999975963,0.00027605800001140324,0.000960861798375845,5.591195076704025e-06,1.3125129044055939e-05,0.021165971644222736,0.026717182766731185,3.1276440220000126,0.5158106213688249,72.322104506,0.9696633333333332,0.9711011502922511,0.9711,0.10157192960238685,0.9711,0.26552651555054446,1.0,0.0
19,0.0028064030000081175,0.0016015630000083547,0.0002731820000008156,0.000962425023317337,5.730893462896347e-06,1.2984033674001694e-05,0.020171618089079857,0.02583390603955138,3.1363582999999977,0.5416445274083763,75.458462806,0.9704766666666665,0.9709009503081808,0.9709250000000001,0.09740708317360677,0.971,0.25591654260731733,1.0,0.0
20,0.0027911040000105913,0.0015152120000010427,0.0002806260000056682,0.0009717317298054695,5.320180207490921e-06,1.3285316526889801e-05,0.02016157889738679,0.025738858123943942,3.1196601849999865,0.5673833855323203,78.57812299099999,0.97192,0.9714009104840976,0.9713166666666666,0.09385375407994531,0.9714,0.24798631287593514,1.0,0.0
21,0.002871475000006285,0.001501406000002703,0.0002752569999984189,0.0009393417276442051,4.979781806468964e-06,1.276424154639244e-05,0.02382708340883255,0.029432307159837023,3.124660109000004,0.5968156926921573,81.70278309999999,0.9728266666666667,0.9724010707400467,0.9724,0.09090305397624728,0.9724,0.24052086927558236,1.0,0.0
22,0.0028504950000041163,0.0014932200000004059,0.0002758069999941881,0.0009575458243489265,5.330424755811691e-06,1.267390325665474e-05,0.02486679283902049,0.030461864991380594,3.125034008,0.6272775576835379,84.82781710799999,0.9737433333333333,0.9732012709160403,0.9732416666666667,0.08846305964697605,0.9733,0.23376836852724947,1.0,0.0
