round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.00961058999999942,0.006345969000001617,0.00027597799999945494,0.0009443131275475025,5.76116144657135e-06,1.4797784388065338e-05,0.018745075911283493,0.03594248498466612,16.033972463,0.03594248498466612,16.033972463,0.8938933333333332,0.48880127590604583,0.4888416666666668,2.180492148993495,0.4888,0.39550563460366184,1.0,0.0
1,0.004319352999999637,0.005667263999999506,0.00026790300000101297,0.0008889599703252316,5.600973963737488e-06,1.2414064258337021e-05,0.0177275650203228,0.02888906002887026,3.1520458540000007,0.06483154501353638,19.186018317000002,0.9079266666666665,0.7693026851028182,0.7693,2.0097749956880513,0.7693,0.40587605561363216,1.0,0.0
2,0.0028278710000009255,0.0014566360000003442,0.00027708100000012337,0.0009612850844860077,5.320180207490921e-06,1.247413456439972e-05,0.01682837586849928,0.02236904326775857,3.141890847999999,0.08720058828129496,22.327909165,0.9187966666666667,0.8768987211191432,0.8769,1.801603245278136,0.8769,0.40643054163686226,1.0,0.0
3,0.002847699000000148,0.0015546499999992136,0.0002800359999994839,0.0009620268829166889,5.970709025859833e-06,1.3434793800115585e-05,0.01737039489671588,0.02303421228245739,3.1428925070000027,0.11023480056375234,25.470801672000004,0.9261966666666667,0.918097694713377,0.9181000000000002,1.5663463288602737,0.9181,0.4036513258189503,1.0,0.0
4,0.0028234329999996532,0.001585878999996737,0.0002770299999994563,0.000973207876086235,6.902031600475311e-06,1.275399699807167e-05,0.01843283884227276,0.024112044746953387,3.1369142970000006,0.13434684531070573,28.607715969000004,0.9328733333333332,0.9343985795757151,0.9344,1.318208769868357,0.9344,0.39884090839402714,1.0,0.0
5,0.0028112799999995275,0.0015676549999987799,0.0002698969999990197,0.0009665652178227901,4.779081791639328e-06,1.267390325665474e-05,0.019765291828662157,0.02539814203153057,3.1330267329999977,0.1597449873422363,31.740742702000002,0.9375666666666665,0.9431980226143216,0.9432000000000004,1.0718067684493506,0.9432,0.39199094334645895,1.0,0.0
6,0.0028455949999965924,0.001515526000005707,0.0002838230000037356,0.0009792591445147991,5.479902029037476e-06,1.2934673577547073e-05,0.017995227128267288,0.023637844848394707,3.141941956,0.183382832190631,34.882684658,0.9422099999999999,0.948798104373644,0.9488,0.8464802566427774,0.9488,0.38407829972289775,1.0,0.0
7,0.0028870130000058225,0.0015461540000032414,0.0002789739999968788,0.000963869970291853,6.170943379402161e-06,1.3284850865602493e-05,0.01985909789800644,0.02555456466254924,3.1419498280000013,0.20893739685318025,38.024634486000004,0.9460233333333333,0.9515980253012478,0.9515999999999997,0.6533594408545631,0.9516,0.376179652158042,1.0,0.0
8,0.002840133999995942,0.0015001980000022286,0.000280877000001567,0.0009560161270201206,5.75091689825058e-06,1.255422830581665e-05,0.018797643948346376,0.0243931742205703,3.121479219000001,0.23333057107375055,41.146113705000005,0.9500333333333334,0.9545980262608641,0.9545999999999998,0.4979337174861957,0.9546,0.36818200236990206,1.0,0.0
9,0.002847418000001767,0.0015169990000032385,0.0002640960000022119,0.000944194383919239,6.191898137331009e-06,1.3364944607019424e-05,0.018851194996386766,0.024443459223057573,3.137817231999996,0.2577740302968081,44.283930937,0.9526733333333334,0.9579984271886213,0.9580000000000001,0.37913248590387094,0.958,0.3580458845026954,1.0,0.0
10,0.0028381510000059507,0.0015536880000013298,0.0002644360000019219,0.0009478097781538963,5.410052835941315e-06,1.3064127415418625e-05,0.017520596738904715,0.023143155697319173,3.1264678450000005,0.2809171859941273,47.410398782,0.9562766666666667,0.9601987077804743,0.9602,0.2917662183411967,0.9602,0.34934916072403277,1.0,0.0
11,0.0028388919999997597,0.0015330789999978833,0.0002800259999986565,0.0009725471027195454,5.600973963737488e-06,1.2884382158517838e-05,0.019261927343904972,0.024904956802743072,3.1370523189999986,0.30582214279687037,50.547451101,0.95803,0.9620988683243081,0.9620999999999998,0.23091635579308764,0.9621,0.3382621636075737,1.0,0.0
12,0.002872734999996851,0.0015409640000001446,0.00027481600000101025,0.000955754891037941,5.149282515048981e-06,1.3325829058885574e-05,0.01775970496237278,0.02342244996498266,3.137854075,0.329244592761853,53.685305176,0.9605233333333333,0.9636990287721803,0.9636999999999998,0.1888349804991541,0.9637,0.3260608743154824,1.0,0.0
13,0.0028804600000000846,0.0014750200000008817,0.00025696200000169256,0.0009457156993448734,4.879198968410492e-06,1.3486016541719437e-05,0.01688601402565837,0.02246253694051603,3.1564037220000003,0.35170712970236906,56.841708898,0.9624833333333332,0.9645991490121227,0.9646000000000002,0.15976096627811273,0.9646,0.31502807771646485,1.0,0.0
14,0.0028515349999977957,0.0015617130000009638,0.0002742859999997904,0.0009686392731964588,5.5301934480667114e-06,1.8014106899499893e-05,0.017779321875423193,0.02345903944896577,3.1444380269999996,0.3751661691513348,59.986146925,0.9646333333333335,0.965399229236059,0.9654000000000003,0.13914047004863286,0.9654,0.30595747367483117,1.0,0.0
15,0.002864859999995417,0.0016044539999953145,0.0002603480000047398,0.0009495127014815807,5.781184881925583e-06,1.3574957847595215e-05,0.018635991029441357,0.02433452187364793,3.132740724999998,0.39950069102498276,63.11888765,0.96586,0.9662993494760016,0.9663,0.12491543350009301,0.9663,0.2931749144936433,1.0,0.0
16,0.0028057589999974653,0.00155139400000337,0.0002577040000062425,0.0009601330384612083,5.319714546203613e-06,1.3025011867284775e-05,0.017969729844480753,0.023563064609362527,3.1264556890000037,0.4230637556343453,66.245343339,0.9674433333333332,0.9668994696199825,0.9669000000000002,0.11500659657600588,0.9669,0.28276656117654403,1.0,0.0
17,0.0027686189999940325,0.0015619529999923998,0.000272862999992185,0.0009615961462259293,5.711335688829422e-06,1.2803822755813599e-05,0.01692673098295927,0.02251027728760846,3.1440072519999944,0.44557403292195374,69.389350591,0.9689033333333334,0.9683993501477332,0.9684000000000003,0.10744315400993386,0.9684,0.2733271574253048,1.0,0.0
