round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009244982000000235,0.00623024000000072,0.0002702669999994356,0.0009552040137350559,6.061047315597534e-06,2.073589712381363e-06,0.027986295986920595,0.04469512363768402,16.024995577,0.04469512363768402,16.024995577,0.89352,0.4119941741684683,0.41194166666666665,2.1810805287224033,0.4125,0.3956037349826036,1.0,0.0
1,0.004291729000001965,0.0052705469999985155,0.0002774209999998334,0.0009897183626890182,6.421934813261032e-06,2.6351772248744965e-06,0.022554767318069935,0.0333932397927974,3.088525563000001,0.07808836343048142,19.11352114,0.90855,0.7379938786065985,0.7378250000000001,2.0168523232396036,0.7374,0.4055409923206869,1.0,0.0
2,0.0029280080000013697,0.0014727360000001966,0.0002713589999991939,0.00097663514316082,5.340203642845154e-06,1.8938444554805756e-06,0.023913878947496414,0.02956985113875632,3.1026754369999985,0.10765821456923774,22.216196576999998,0.9183866666666667,0.8777977617905676,0.8781250000000002,1.8140191963305488,0.8778,0.4064609991739149,1.0,0.0
3,0.002879518000000303,0.0016069069999993246,0.0002642460000004121,0.0009649521671235561,5.479902029037476e-06,1.6633421182632446e-06,0.022138223983347416,0.027860990394618312,3.091168797999998,0.13551920496385605,25.307365374999996,0.9261533333333333,0.9202986950175754,0.9205083333333333,1.5823455291053357,0.9199,0.4029744258383548,1.0,0.0
4,0.0029462529999975118,0.001523620999996922,0.0002710990000025504,0.0009795599617064,5.230307579040527e-06,1.9441358745098114e-06,0.022043005097657442,0.027770712502814376,3.0858223089999974,0.16328991746667043,28.393187683999994,0.9317933333333334,0.9368985004073572,0.9366249999999999,1.3369061588860167,0.9366,0.3982600157791103,1.0,0.0
5,0.0029091729999990434,0.0015573740000007774,0.0002782729999992739,0.0009742388501763344,5.5301934480667114e-06,1.7043203115463257e-06,0.023526259697973728,0.02925255306190877,3.0966356069999996,0.1925424705285792,31.489823290999993,0.9375066666666667,0.9425982623265133,0.9428000000000001,1.087162106372297,0.9427,0.3928855811514034,1.0,0.0
6,0.002862415000002727,0.001504885999999317,0.0002621219999952018,0.0009587099775671959,5.669891834259033e-06,2.0139850676059723e-06,0.02594536356627941,0.03154118042074572,3.099811773999999,0.22408365094932492,34.589635064999996,0.9413300000000001,0.9484982242297398,0.9486083333333334,0.8598326322750542,0.9486,0.3851469865387169,1.0,0.0
7,0.0028635779999959254,0.0015583859999992455,0.000265337999998394,0.0009698821231722832,5.531124770641327e-06,1.6433186829090118e-06,0.03262218181043863,0.03828654037705803,3.101672078,0.26237019132638295,37.691307142999996,0.9455266666666665,0.9521985053014009,0.9521416666666664,0.6632730874200218,0.952,0.376559678913106,1.0,0.0
8,0.0028941949999961025,0.0015689959999960479,0.0002600190000023872,0.0009801709093153477,5.12879341840744e-06,2.0139850676059723e-06,0.03043967392295599,0.03615019761075189,3.1041409360000003,0.29852038893713484,40.795448078999996,0.9491566666666666,0.95499866613312,0.9548666666666668,0.5023186585773676,0.9552,0.36863529370503717,1.0,0.0
9,0.0028150660000036964,0.0014776949999983913,0.0002828510000014717,0.0009744600392878056,5.630776286125183e-06,1.7527490854263306e-06,0.02219122415408492,0.027748679718747837,3.0954410400000043,0.3262690686558827,43.890889119,0.9518166666666668,0.9579987870447938,0.9579083333333333,0.38203983961012417,0.9581,0.3573278378838882,1.0,0.0
10,0.0029279889999997977,0.0015438389999999913,0.00027955499999876565,0.0009700022637844086,6.010755896568298e-06,1.7629936337471008e-06,0.02376620192080736,0.02949536093412064,3.1068456669999946,0.3557644295900033,46.997734785999995,0.9549066666666666,0.9597985477164485,0.9599583333333334,0.2961036923308723,0.96,0.3475361526085615,1.0,0.0
11,0.002859258999997394,0.0015424970000026406,0.0002799250000009579,0.0009829159826040268,5.459878593683243e-06,2.1741725504398346e-06,0.022462863940745592,0.028135094974494734,3.1077054930000045,0.38389952456449805,50.105440279,0.9575133333333333,0.9610985881163017,0.96125,0.23453162843807818,0.9612,0.3369603530646476,1.0,0.0
12,0.0028768829999989975,0.001555770999999595,0.0002793539999998984,0.0009649018757045269,5.370005965232849e-06,1.7927959561347961e-06,0.023036190774291754,0.02872026345191614,3.098061702999999,0.4126197880164142,53.203501982,0.9600666666666667,0.9631981089798028,0.963275,0.1908406072055189,0.9631,0.3271056814897999,1.0,0.0
13,0.002906969999997955,0.0014621660000031511,0.0002580840000021567,0.0009712539613246918,5.441252142190933e-06,1.984182745218277e-06,0.025477354880422354,0.031083254276637717,3.1062546309999988,0.4437030422930519,56.309756613,0.9619833333333334,0.9638987489480205,0.9639333333333333,0.16121874536616734,0.9638,0.3167523248998609,1.0,0.0
14,0.0028591889999987075,0.001512570999999241,0.0002605990000006386,0.0009762542322278023,5.640089511871338e-06,2.2151507437229156e-06,0.02250060485675931,0.028117073329241293,3.0977810289999965,0.4718201156222932,59.407537641999994,0.9634733333333333,0.9645984292997776,0.9647583333333333,0.14035551063716412,0.9651,0.30600813879521555,1.0,0.0
15,0.0029025509999982546,0.0015059879999981263,0.0002637860000049841,0.0009852899238467216,5.651265382766724e-06,1.9939616322517395e-06,0.02567107928916812,0.031336339440031225,3.1091916889999993,0.5031564550623244,62.51672933099999,0.9650366666666667,0.9662988696677712,0.9664333333333334,0.12608893497730977,0.9665,0.2949419129204643,1.0,0.0
16,0.0028544809999999643,0.0015082829999926162,0.0002705480000031457,0.0009589111432433128,5.490146577358246e-06,1.9739381968975067e-06,0.024170651100575924,0.02977033832858922,3.1005145549999966,0.5329267933909136,65.61724388599998,0.9668466666666666,0.9672992698278353,0.9674416666666668,0.11608619704699745,0.9675,0.2840669681828861,1.0,0.0
17,0.0028950460000061184,0.001484218000001647,0.000274105000002578,0.0009835870005190372,5.9623271226882935e-06,1.964159309864044e-06,0.02333220699802041,0.028977089484982343,3.098445811000005,0.561903882875896,68.71568969699999,0.9685,0.9681992701157202,0.9683,0.10828990861773491,0.9685,0.27386079159943116,1.0,0.0
