round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006733124000000146,0.004641386000002967,0.00028045599999870774,0.00048787612468004227,5.189795047044754e-06,0.0,0.0,0.012148031919728908,35.973224963,0.012148031919728908,35.973224963,0.14145705103474537,0.09948960145399549,0.10000000000000002,2.298325946059408,0.1,0.1429345829403309,0.9836609397435263,0.016339060256473692
1,0.002065909000002364,0.0013236149999968916,0.0002594270000031429,0.0004772460088133812,5.070120096206665e-06,0.0,0.0,0.004131267128911986,23.009853613000004,0.016279299048640894,58.983078576000004,0.20535647556154257,0.10423749654124954,0.1048,2.286222101766852,0.1048,0.145869193379987,0.9837021999966992,0.016297800003300833
2,0.0021511890000027734,0.0013014739999874791,0.0002532150000007505,0.00046323006972670555,4.708766937255859e-06,0.0,0.0,0.004173816836654964,23.121506805000003,0.02045311588529586,82.104585381,0.2466539137953998,0.15310632430185078,0.15270000000000003,2.267883448661128,0.1527,0.14554037096721725,0.9839992738195441,0.016000726180455893
3,0.0021758160000047155,0.0012866560000048821,0.0002535670000014534,0.00046409061178565025,4.558824002742767e-06,0.0,0.0,0.004184688435799444,23.253829057999994,0.024637804321095302,105.358414439,0.27392171372595825,0.1953789748178084,0.1959,2.242998572844493,0.1959,0.14501944128107191,0.9889257480483901,0.011074251951609937
4,0.002125100000000657,0.0012979870000009441,0.00025292499999807205,0.0004970040172338486,4.799105226993561e-06,0.0,0.0,0.004177815122460515,23.305510413000007,0.028815619443555818,128.663924852,0.29242534906861767,0.22807889272166967,0.22880000000000003,2.2121669551994225,0.2288,0.14464789028604544,0.989181561618062,0.010818438381937967
5,0.0021760859999915283,0.002384707999993907,0.0002636149999943882,0.0004829368554055691,5.050096660852432e-06,0.0,0.0,0.005312395952046245,23.303450312000024,0.03412801539560206,151.96737516400003,0.3072129586821238,0.26142403467797154,0.26210000000000006,2.1766496579858323,0.2621,0.14423690404600126,0.9844201284019078,0.015579871598092154
6,0.0021428439999908733,0.002393294999990303,0.0002640659999997297,0.00046401098370552063,4.6389177441596985e-06,0.0,0.0,0.005268854901430586,23.127852192999995,0.03939687029703265,175.09522735700003,0.3195034464423682,0.2962868263724291,0.2965,2.1373556354377845,0.2965,0.14394548055658207,0.9920367711376277,0.007963228862372329
7,0.002127816000012217,0.0013019950000057179,0.00025525899999934154,0.0004721558652818203,5.198642611503601e-06,0.0,0.0,0.0041624245079106,23.237929399999985,0.04355929480494325,198.333156757,0.3321488464704572,0.3177168858220492,0.3178,2.0955935097947904,0.3178,0.14363828717444044,0.9919294944793782,0.008070505520621829
8,0.0021855040000104964,0.001321622000006073,0.0002558099999987462,0.0004649232141673565,4.439149051904678e-06,0.0,0.0,0.004232298363234577,23.01050556199999,0.047791593168177826,221.343662319,0.34171032603151946,0.3324302398536878,0.3329,2.052056739601908,0.3329,0.14335462447670275,0.9932580746315459,0.0067419253684540825
9,0.002188028999995595,0.0013458870000135903,0.000257433999991008,0.0004733288660645485,4.799105226993561e-06,0.0,0.0,0.004269477971291735,23.41488819899999,0.05206107113946956,244.758550518,0.3515413230788999,0.3486181703151028,0.34879999999999994,2.007926396176785,0.3488,0.14274551486402673,0.9929279926061626,0.007072007393837398
10,0.0020967969999787783,0.0013205200000356854,0.0002528250000182197,0.00046771904453635216,4.899222403764725e-06,0.0,0.0,0.0041427602669728,23.260250457000012,0.05620383140644236,268.018800975,0.3605680640027397,0.3585856672871007,0.3585,1.9635844713524928,0.3585,0.1421624665986464,0.9942400686570613,0.005759931342938729
11,0.0021139899999980116,0.0013040890000297622,0.0002564409999763484,0.0004619280807673931,4.637986421585083e-06,0.0,0.0,0.0041410860671931005,23.170932392999987,0.06034491747363546,291.18973336799996,0.3708183680835973,0.36994234644094526,0.3701999999999999,1.919379152829134,0.3702,0.14138836128023274,0.9943968576191183,0.005603142380881665
12,0.0020743150000157584,0.0014369780000151877,0.00026641100004098917,0.0004731486551463604,4.569068551063538e-06,0.0,0.0,0.004255421723769359,23.17025056099999,0.06460033919740482,314.35998392899995,0.3792254474362496,0.3788095824773831,0.3787,1.8771034267884266,0.3787,0.14046110474251353,0.9946526711887904,0.005347328811209584
