round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010193323000002863,0.007415105999999838,0.0002954449999990061,0.0009558750316500664,5.851034075021744e-06,0.0,0.0,0.018865600065726795,27.139157893,0.018865600065726795,27.139157893,0.3632030887431754,0.24696558491151713,0.24719999999999998,2.261344785507495,0.2472,0.09888194903400534,1.0,0.0
1,0.0029577050000000327,0.006149218999993877,0.00029576600000069675,0.0009242757223546505,4.898756742477417e-06,0.0,0.0,0.010331864479091735,14.156584765999998,0.02919746454481853,41.295742659,0.47839400325355186,0.2772663515261288,0.2778999999999999,2.1964242458343506,0.2779,0.09952655310775098,1.0,0.0
2,0.002961721999994893,0.0018130350000049589,0.00028414399999832085,0.0009993868879973888,5.24008646607399e-06,0.0,0.0,0.0060635279744616355,14.132366901999994,0.035260992519280165,55.42810956099999,0.549300689755727,0.33124612994742214,0.33260000000000006,2.1147687922651395,0.3326,0.09967707022176676,1.0,0.0
3,0.002988092000009601,0.0018297259999968674,0.00028157900000280733,0.00099281407892704,4.8889778554439545e-06,0.0,0.0,0.00609710005679176,14.129412883999997,0.041358092576071925,69.55752244499999,0.5957229117852136,0.45535861670510314,0.45560000000000017,2.015774345245605,0.4556,0.09971498232454602,1.0,0.0
4,0.002949749999999085,0.0018669760000022961,0.0002796249999903466,0.0009836871176958084,5.3299590945243835e-06,0.0,0.0,0.006085368076782061,14.186904083000002,0.047443460652853986,83.74442652799999,0.6254067013158697,0.5332863273778465,0.5336999999999998,1.9005255017417688,0.5337,0.09971919334809672,1.0,0.0
5,0.0029271169999987023,0.001840115999996783,0.00029998300000499967,0.0009892280213534832,5.710870027542114e-06,0.0,0.0,0.00606215489138151,13.915762756000007,0.053505615544235496,97.660189284,0.6478486473644038,0.5937991325843838,0.5934,1.7724449722149882,0.5934,0.09970087587748715,1.0,0.0
6,0.003023928999994041,0.0018743400000005295,0.0002797650000019303,0.000993145164102316,4.909001290798187e-06,0.0,0.0,0.006176088165389615,14.269385740999994,0.05968170370962511,111.92957502499999,0.6642661266697769,0.636052695942278,0.6357,1.6361578661031997,0.6357,0.0996637673951478,1.0,0.0
7,0.0029626839999963295,0.0018563160000013568,0.0002855059999973264,0.0009862622246146202,5.3998082876205444e-06,0.0,0.0,0.006096168032897253,14.097062637000008,0.06577787174252236,126.026637662,0.6769112078567483,0.6648415521027841,0.6646,1.497760854209193,0.6646,0.09962125349410571,1.0,0.0
8,0.0030156830000009904,0.0017870860000073208,0.0002844040000127279,0.0009951391257345676,5.149282515048981e-06,0.0,0.0,0.006087461408270656,14.170455679,0.07186533315079302,140.197093341,0.6874331329818165,0.6816194693485244,0.6813000000000001,1.3633561576136386,0.6813,0.09957204030184359,1.0,0.0
9,0.0030057239999905505,0.001808226000008517,0.00029045600001609273,0.0009834971278905869,5.050096660852432e-06,0.0,0.0,0.0060929532245666,14.268525705000002,0.07795828637535962,154.465619046,0.6959572699448041,0.6945125707842532,0.6939000000000001,1.2380435249675958,0.6939,0.0994708860684815,1.0,0.0
