round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010321530999998885,0.00776619300000192,0.00030372000000156163,0.0009227520786225796,6.061047315597534e-06,1.4407094568014145e-05,0.018770955968648195,0.03810562018915675,27.281863421,0.03810562018915675,27.281863421,0.40882285770863286,0.17882464180603455,0.18049999999999997,2.2541044215424755,0.1805,0.09898235314281636,1.0,0.0
1,0.004037751000005585,0.007916905000001861,0.00029053500000486565,0.0008986466564238071,1.3004057109355927e-05,1.3013835996389389e-05,0.0164996818639338,0.029669537413475666,14.338491906000002,0.06777515760263242,41.620355327,0.5067208221968493,0.3368316801531828,0.3386,2.185925101319822,0.3386,0.09954617391771674,1.0,0.0
2,0.0028954470000002175,0.0018537409999979104,0.00030037400000537673,0.0010082130320370197,4.779081791639328e-06,1.2302771210670471e-05,0.016555525828152895,0.02263038271319573,14.280115073999994,0.09040554031582815,55.90047040099999,0.5547653737963475,0.4509479150228513,0.4528999999999999,2.0997246400997662,0.4529,0.0996803028123133,1.0,0.0
3,0.0029456809999999223,0.001880892000002632,0.00029759800000306313,0.0009662839584052563,5.7211145758628845e-06,1.3865996152162552e-05,0.015543165151029825,0.021653207220168724,14.343237340000002,0.11205874753599687,70.243707741,0.5844101168072839,0.5329577628341811,0.5336,1.995686000528427,0.5336,0.09971220330027591,1.0,0.0
4,0.0030111640000001216,0.0017975450000022875,0.0002954139999928884,0.0009829751215875149,6.191432476043701e-06,1.2863893061876297e-05,0.01977842813357711,0.02588458158069784,14.249361943000011,0.1379433291166947,84.493069684,0.6048286979669854,0.5925544215096312,0.5934999999999999,1.8762153794590277,0.5935,0.09970956332903595,1.0,0.0
5,0.0029222870000040757,0.0018693000000098436,0.00028361299999346556,0.0009728157892823219,5.6996941566467285e-06,1.2863893061876297e-05,0.01845240779221058,0.02451898716871881,14.121374512000003,0.16246231628541352,98.61444419600001,0.6218612078390188,0.6194628704097449,0.6208,1.7450316352204394,0.6208,0.0996908780081826,1.0,0.0
6,0.002958996000003822,0.0018064920000000484,0.00029585599999393253,0.0009701913222670555,5.5301934480667114e-06,1.2774020433425903e-05,0.016479022800922394,0.022528862337068745,14.187030897,0.18499117862248227,112.80147509300001,0.6361690793037448,0.638000672815901,0.6382000000000001,1.6081638587549472,0.6382,0.09966013551583174,1.0,0.0
7,0.0029258940000005396,0.0018856309999932819,0.0002925189999984923,0.0009594010189175606,5.480833351612091e-06,1.243269070982933e-05,0.01620277389883995,0.022284132441811266,14.291487664999991,0.20727531106429353,127.092962758,0.6493341155632962,0.6537582096940344,0.6536,1.4718449805110407,0.6536,0.09960424284568493,1.0,0.0
8,0.002951572000000624,0.0018024249999939457,0.0002872500000137279,0.0009658639319241047,5.7513825595378876e-06,1.3204757124185562e-05,0.017748094629496336,0.023774161701112462,14.163721530000004,0.231049472765406,141.256684288,0.6623824108680746,0.6622770337692969,0.662,1.3423642479954436,0.662,0.09953864839375556,1.0,0.0
9,0.0028693280000027244,0.0018085549999966588,0.0003029990000129601,0.0009764027781784534,5.480367690324783e-06,1.3235025107860565e-05,0.016848095692694187,0.02282409586368317,14.166321992000007,0.25387356862908916,155.42300628,0.6746725313472416,0.6722195588756664,0.6722,1.22448117816791,0.6722,0.09942808919068179,1.0,0.0
