round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009544244000000646,0.006381186999998789,0.0002853059999985419,0.0009242873638868332,5.951151251792908e-06,2.1122395992279053e-06,0.020391225814819336,0.03753431356955517,17.411414613,0.03753431356955517,17.411414613,0.8901187381420731,0.46704192754763035,0.467125,2.184239471301484,0.4669,0.393875683006068,1.0,0.0
1,0.0040832169999980295,0.00558119300000115,0.00028246100000117735,0.0009075663983821869,5.559995770454407e-06,2.473592758178711e-06,0.021978409960865974,0.03284088094777715,4.5454213800000005,0.07037519451733232,21.956835993000002,0.9061749845780711,0.7309488199754215,0.7316750000000001,2.0270997091604115,0.7317,0.4058468503267964,1.0,0.0
2,0.002805304999998981,0.001539345000001191,0.0002553409999990208,0.0009706839919090271,5.42961061000824e-06,1.953914761543274e-06,0.020303262397646904,0.025881320914926675,4.534441364999999,0.096256515432259,26.491277358,0.9165740973558587,0.8485577998871476,0.8497333333333333,1.8358940053671693,0.8499,0.3988911352899354,1.0,0.0
3,0.00281844899999939,0.0014956519999991258,0.0002600790000002462,0.000923939049243927,5.910173058509827e-06,1.8533319234848022e-06,0.021034257486462593,0.026540140040687277,4.528827207999999,0.12279665547294627,31.020104566,0.9251251130419219,0.9061596712311446,0.906675,1.6037036530887738,0.9067,0.4038777723593437,1.0,0.0
4,0.0028390669999964757,0.0015764239999995766,0.0002770310000030918,0.0009686816483736038,5.9194862842559814e-06,2.0936131477355957e-06,0.019570564851164818,0.025239781598969557,4.518201790000003,0.14803643707191583,35.53830635600001,0.9297965986220809,0.9309764267317383,0.9303083333333335,1.3652779511369455,0.9303,0.3922772866654837,1.0,0.0
5,0.0028256220000031362,0.004124273999998707,0.0002601690000005874,0.0008979085832834244,5.8300793170928955e-06,2.2239983081817627e-06,0.0202587079256773,0.02837473558658843,4.537155173000002,0.17641117265850426,40.07546152900001,0.9355994095692348,0.9402802442836625,0.9401583333333335,1.1304487650767683,0.9401,0.3812635389077976,1.0,0.0
6,0.0028254129999965016,0.0015689989999998488,0.0002599690000053556,0.0009608380496501923,5.319714546203613e-06,1.7136335372924805e-06,0.025149933993816376,0.03077218639155177,4.537885615,0.20718335905005603,44.61334714400001,0.9405768116413329,0.9477583785865299,0.9475999999999999,0.8953355126106701,0.9476,0.38462288808636436,1.0,0.0
7,0.0027764290000007463,0.0015275020000018458,0.000257083000001046,0.0009603835642337799,6.070360541343689e-06,1.953914761543274e-06,0.020125016570091248,0.025654438409631553,4.546984530000003,0.23283779745968758,49.16033167400001,0.9452410116291604,0.9512554854407306,0.9513333333333333,0.6888120972310392,0.9513,0.37854582665330017,1.0,0.0
8,0.0027972190000014052,0.001534534999997561,0.00027920499999822823,0.0009894296526908875,6.031244993209839e-06,1.9855797290802e-06,0.022778544574975967,0.02838695005238634,4.564773332999998,0.2612247475120739,53.72510500700001,0.946041205262195,0.9543193602309937,0.954475,0.5385903826536843,0.9545,0.3570580005433186,1.0,0.0
9,0.00280800899999889,0.0015755520000055867,0.0002790449999992006,0.00097762793302536,5.753710865974426e-06,1.560896635055542e-06,0.02232861891388893,0.027976167454419,4.558381344000004,0.2892009149664929,58.283486351000015,0.9505121485632692,0.9570046412972516,0.9575166666666665,0.418003902077294,0.9575,0.3456263576413616,1.0,0.0
