round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.27641917600001875,0.20970179599999028,0.004051325000006045,0.03557584807276726,1.0076910257339478e-05,0.0,0.0,0.5257582219830397,254.716333542,0.5257582219830397,254.716333542,0.8424360041164443,0.4628258162304774,0.46354862657757967,0.75479108548221,0.4635486265775798,0.4633668257477123,0.7012976260740946,0.2987023739259054
1,0.19867297700000108,0.19742584200002966,0.004037207999999737,0.03565718047320843,9.978190064430237e-06,0.0,0.0,0.43580318566330334,179.967754242,0.961561407646343,434.684087784,0.844722904433668,0.4729035294426855,0.47423904974016323,0.7412593186326378,0.47423904974016334,0.4602412155664209,0.7012977808260473,0.2987022191739527
2,0.1816493989999799,0.18643815100006123,0.003903666999917732,0.035401420667767525,1.4236196875572205e-05,0.0,0.0,0.40740687386460195,171.80289451800002,1.368968281510945,606.486982302,0.8484902735480807,0.485770340209497,0.4910170749814402,0.7270235477320656,0.49101707498144026,0.46310627725252324,0.7012977808260473,0.2987022191739527
3,0.1915551580000283,0.1652608260000079,0.0039020440000285816,0.03534254990518093,1.0311603546142578e-05,0.0,0.0,0.3960708895087919,204.386277811,1.7650391710197368,810.873260113,0.8513318764225405,0.4985221045390371,0.506829992576095,0.7135909858055749,0.5068299925760951,0.46658827826458665,0.7012977808260473,0.2987022191739527
4,0.1725814859998991,0.1720380849999401,0.0038354490000074293,0.0354125089943409,1.155957579612732e-05,0.0,0.0,0.38387908856998365,202.121521959,2.1489182595897205,1012.994782072,0.8536951613316098,0.5176320983388322,0.5253155159613956,0.7000499294092989,0.5253155159613957,0.46911287431990156,0.7012977808260473,0.2987022191739527
5,0.15862036499993337,0.14516835100016579,0.003871196999853055,0.0353227723389864,1.0449439287185669e-05,0.0,0.0,0.3429931347782258,172.93236645399998,2.4919113943679463,1185.927148526,0.854993846332675,0.5369805592719564,0.5423904974016331,0.6866622223140508,0.5423904974016333,0.4711261798792517,0.7012977808260473,0.2987022191739527
6,0.16208573800008708,0.14221530200006782,0.003913966000027358,0.03537542745471001,1.0639429092407227e-05,0.0,0.0,0.34360107288398467,181.478247087,2.835512467251931,1367.405395613,0.8586828171021956,0.5557108733236878,0.5628062360801781,0.6732524699949596,0.5628062360801782,0.4734233381185571,0.7012977808260473,0.2987022191739527
7,0.16021291899983225,0.1505495849999079,0.0038845819999551168,0.0352939460426569,1.1241063475608826e-05,0.0,0.0,0.34995227310582777,173.6739338929999,3.1854647403577587,1541.079329506,0.8606988118962865,0.5776789252968899,0.584484038604306,0.6605694006571011,0.5844840386043059,0.47620161257866866,0.7012977808260473,0.2987022191739527
8,0.1645988519999264,0.13963173499996628,0.003465333000121973,0.03556732274591923,1.2114644050598145e-05,0.0,0.0,0.3432753573899845,182.27769619499986,3.528740097747743,1723.3570257009999,0.862897506550012,0.5943401343952751,0.6055679287305121,0.6482770199447233,0.6055679287305122,0.4793734625818579,0.7012977808260473,0.2987022191739527
9,0.17483022200008236,0.14126291999991736,0.00395129700018515,0.03543926030397415,1.0389834642410278e-05,0.0,0.0,0.35549408913880143,179.11556251899992,3.8842341868865446,1902.4725882199998,0.8666798585259103,0.6154552067088914,0.6285820341499627,0.635381560569138,0.6285820341499628,0.4824883314894526,0.7012976260740946,0.2987023739259054
10,0.16577605400016182,0.13978480300011142,0.003892747000008967,0.03544408828020096,1.082010567188263e-05,0.0,0.0,0.34490851238615505,179.884674807,4.2291426992727,2082.357263027,0.8695748449397588,0.6365482499923875,0.6498144023756495,0.6226178829573679,0.6498144023756496,0.48224515597117207,0.7012976260740946,0.2987023739259054
11,0.16164986900002987,0.1487029849999999,0.0038626800001111405,0.03522430546581745,1.0959804058074951e-05,0.0,0.0,0.34945079927001643,203.6386016260003,4.578593498542716,2285.9958646530004,0.8716477446732132,0.6549747977548216,0.6703786191536748,0.6102759795630629,0.6703786191536748,0.4843849042166594,0.7012977808260473,0.2987022191739527
12,0.16096480199985308,0.13924383600033252,0.003928604999600793,0.0352588202804327,9.268522262573242e-06,0.0,0.0,0.33940533180248167,178.56391472299993,4.917998830345198,2464.5597793760003,0.8752259709649053,0.6758975971264447,0.6912397921306609,0.5982115739456548,0.6912397921306608,0.4855922710315459,0.7012977808260473,0.2987022191739527
13,0.15968250300011277,0.14887526400025308,0.0038409280000450963,0.035350650548934937,9.628012776374817e-06,0.0,0.0,0.34775897356212226,203.9738416529999,5.26575780390732,2668.533621029,0.8765662772086967,0.6945732856299621,0.7097253155159614,0.5862182116140379,0.7097253155159614,0.4876039640117149,0.7012976260740946,0.2987023739259054
14,0.15997972500008473,0.13671393300001,0.0038508859997818945,0.03539847582578659,1.122988760471344e-05,0.0,0.0,0.3359542497132679,175.95816072900016,5.601712053620588,2844.4917817580003,0.8782741565427284,0.7079633734329133,0.7230883444691908,0.5745279895862887,0.7230883444691908,0.48801426366910816,0.7012977808260473,0.2987022191739527
15,0.2020483169999352,0.14690052500009187,0.003887115999987145,0.03561357036232948,1.0591000318527222e-05,0.0,0.0,0.3884601193626622,176.10475277900014,5.99017217298325,3020.5965345370005,0.880039344982175,0.7190682841152044,0.7363028953229399,0.5632800044328187,0.7363028953229399,0.48940131011609295,0.7012977808260473,0.2987022191739527
16,0.15900748700005352,0.13609244000008403,0.0038546539999515517,0.03569967299699783,1.0369345545768738e-05,0.0,0.0,0.3346646233426327,203.79962405000015,6.324836796325883,3224.3961585870006,0.8822391894565799,0.7325271058455981,0.7512249443207127,0.5519402747057962,0.7512249443207127,0.49051543712622664,0.7012976260740946,0.2987023739259054
17,0.15829764699992666,0.1418738399997892,0.0038779080000495014,0.03542698174715042,1.0268762707710266e-05,0.0,0.0,0.3394866455096235,176.34859459900008,6.664323441835506,3400.7447531860007,0.8837593462674128,0.7429927092504873,0.7627319970304379,0.5414142959757825,0.762731997030438,0.4917668303377264,0.7012977808260473,0.2987022191739527
