round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.2681427840000197,0.20799919500001351,0.00400642200000334,0.03559955582022667,1.1740252375602722e-05,2.53189355134964e-05,3.882065260782838,4.39785027679099,219.050491927,4.39785027679099,219.050491927,0.840074092904716,0.4841329321434175,0.48607399158624104,0.7070536061307313,0.4860430586488493,0.46114591338311084,0.7001835667663372,0.2998164332336628
1,0.265795981999986,0.2054362370000149,0.0038695869999969545,0.03556525893509388,9.797513484954834e-06,1.286342740058899e-05,1.547236343845725,2.0579260697217023,176.37702701299997,6.4557763465126925,395.42751893999997,0.8425221656833458,0.5059955621235832,0.513641425389755,0.6968561102262302,0.51365998515219,0.4594891631718087,0.7001835667663372,0.2998164332336628
2,0.25063429700003326,0.2089512189999141,0.003891758000008849,0.03588869422674179,1.1472031474113464e-05,1.2723729014396667e-05,2.6914202757179737,3.19081043970516,181.92846679900003,9.646586786217853,577.3559857390001,0.8460601846153102,0.5290569911282372,0.5433556050482554,0.6864953781533412,0.5433556050482554,0.4613131036169546,0.7001835667663372,0.2998164332336628
3,0.18445015099996454,0.17748375300004682,0.0038382870000077673,0.03540726378560066,1.0481104254722595e-05,1.2153759598731995e-05,2.3971190191805363,2.7983211088300095,178.10902117599994,12.444907895047862,755.465006915,0.8489616158220374,0.556379176616624,0.5717891610987379,0.6759983238868079,0.5717891610987379,0.46531652279509256,0.7001834120143845,0.2998165879856155
4,0.17771394399994733,0.1838058280000041,0.003952271000002838,0.03555665165185928,1.0039657354354858e-05,1.253373920917511e-05,2.235911140218377,2.636962408266754,181.35835828799998,15.081870303314616,936.823365203,0.8520785563176382,0.5808160667347521,0.599034892353378,0.6655711970533158,0.5990348923533779,0.4688911266988378,0.7001835667663372,0.2998164332336628
5,0.16610258500008968,0.1707075529998292,0.003834508999943864,0.03551621735095978,1.1302530765533447e-05,1.3709068298339844e-05,2.404007351025939,2.7801932269758254,176.55911544699995,17.862063530290442,1113.38248065,0.8546507955510044,0.6052156016964845,0.6266518188567185,0.6549750814245319,0.6266518188567186,0.4701285446683794,0.7001835667663372,0.2998164332336628
6,0.1595228189999034,0.14849839199996495,0.003874584999948638,0.03538767993450165,1.1552125215530396e-05,1.1822208762168884e-05,2.629570323973894,2.9768771742421904,181.46833704799997,20.838940704532632,1294.850817698,0.856333640154201,0.6284689936275899,0.650055679287305,0.6442908345945091,0.6500371195248701,0.47311923340291073,0.7001835667663372,0.2998164332336628
7,0.18969567199997073,0.130834688999812,0.0038053139999192354,0.03532635606825352,1.1265277862548828e-05,1.2073665857315063e-05,3.432505212724209,3.792190582735884,177.74127961699992,24.631131287268516,1472.5920973149998,0.8594855021460405,0.6485068438442627,0.6701806483543677,0.6337651055385835,0.6701559020044543,0.4767457901603475,0.7001835667663372,0.2998164332336628
8,0.1607839339999373,0.1367809869998382,0.0038539160000254924,0.035515543073415756,1.1570751667022705e-05,1.1332333087921143e-05,2.595534037798643,2.932491320956615,185.54380236499992,27.56362260822513,1658.1358996799997,0.8618112047166241,0.6645983841363604,0.6926503340757239,0.6230625726831214,0.6926503340757239,0.4770189711459114,0.7001835667663372,0.2998164332336628
9,0.16135966399997415,0.14169584499995835,0.0038348690000020724,0.03534173406660557,1.1282041668891907e-05,1.1764466762542725e-05,2.7970557902008295,3.139310948775801,177.1367673279999,30.702933557000932,1835.2726670079996,0.8651373745614696,0.684910684716597,0.710449146250928,0.612417051458019,0.7104677060133631,0.4802583181544189,0.7001834120143845,0.2998165879856155
