round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.007066041000001633,0.0043495189999980255,0.0002751869999997325,0.000479190144687891,5.0300732254981995e-06,0.0,0.0,0.01217496721791278,29.8527052,0.01217496721791278,29.8527052,0.14526817211320164,0.09849899192290827,0.09850000000000002,2.296480136581614,0.0985,0.147085470028036,0.9694509085507749,0.03054909144922513
1,0.00225631800000059,0.001348773000003689,0.0002843540000014855,0.00047283805906772614,4.949979484081268e-06,0.0,0.0,0.004367233038557572,17.079110124,0.016542200256470352,46.931815324,0.2167379000462488,0.11340087593790514,0.11339999999999999,2.283980713614935,0.1134,0.1478869021947519,0.9781650740208941,0.021834925979105857
2,0.0021763780000014776,0.002357867999997154,0.0002591859999938606,0.0005018729716539383,4.8889778554439545e-06,0.0,0.0,0.005300193949501875,17.164958981999995,0.021842394205972226,64.09677430599999,0.25155999665970075,0.17710321538687415,0.1771,2.265193395976779,0.1771,0.14726784687689876,0.9782558465778746,0.021744153422125434
3,0.002183299999998667,0.0013076449999971373,0.0002602889999963054,0.00046428199857473373,5.0389207899570465e-06,0.0,0.0,0.0042205549193568,17.068522689999995,0.026062949125329027,81.16529699599998,0.27504999312008954,0.2103047453993588,0.21030000000000001,2.2404060212871695,0.2103,0.14680697126383493,0.976646696704131,0.023353303295869043
4,0.0022082269999970094,0.0013256699999999455,0.0002614409999921463,0.000475994311273098,6.372109055519104e-06,0.0,0.0,0.004277704420317718,17.306183942000004,0.030340653545646745,98.47148093799998,0.29246596518077883,0.2355030741313312,0.23550000000000001,2.210439337959772,0.2355,0.14638786135228715,0.9757059629317886,0.024294037068211427
5,0.0021773999999936677,0.001326480999992441,0.00025952800000084153,0.0005046967417001724,4.909001290798187e-06,0.0,0.0,0.004273014742977921,17.202994875,0.034613668288624666,115.67447581299999,0.3071599087243448,0.26000352179241004,0.25999999999999995,2.1760220044775855,0.26,0.14599071336259992,0.981787724249476,0.018212275750523976
6,0.002409225000008064,0.00413469500000474,0.0002568019999955595,0.0004897890612483025,5.029141902923584e-06,0.0,0.0,0.0072955402031595895,17.153914384999993,0.041909208491784256,132.82839019799997,0.31915196904266857,0.291203051964191,0.29119999999999996,2.13839741296406,0.2912,0.1457394518096804,0.9783053588816821,0.02169464111831787
7,0.00223923500001888,0.002286763999990171,0.00026366500000563065,0.0004796111024916172,4.868954420089722e-06,0.0,0.0,0.005274144056926389,17.262335655000015,0.047183352548710644,150.09072585299998,0.3303139512641196,0.31640377973731454,0.31639999999999996,2.098034553889987,0.3164,0.14549043935999814,0.9790150352362562,0.020984964763743785
8,0.002224197000003869,0.0013103310000133206,0.00026156200001992147,0.0004737800918519497,4.799105226993561e-06,0.0,0.0,0.004274669197116054,17.049482665,0.0514580217458267,167.14020851799998,0.34117395860371497,0.33470294592657207,0.33469999999999994,2.055869615530666,0.3347,0.14514241334239109,0.9806902015150765,0.019309798484923535
9,0.0021246999999959826,0.0013024159999872609,0.00025371700002096986,0.00047178613021969795,4.468951374292374e-06,0.0,0.0,0.004157088081598204,17.213398635999994,0.0556151098274249,184.35360715399997,0.35087791968481213,0.34650274978096757,0.3465,2.012515997584862,0.3465,0.1446891308816605,0.9807809740720569,0.019219025927943112
