round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.00998856999999731,0.007351447000001343,0.0002954850000023157,0.0009424099698662758,6.182119250297546e-06,0.0,0.0,0.018584094089117542,24.429498309,0.018584094089117542,24.429498309,0.35119999999999996,0.10730311309175948,0.10729999999999999,2.2465564998955774,0.1073,0.099773806156434,1.0,0.0
1,0.0029227499999961992,0.005806004000000087,0.0002948330000052124,0.0009626876562833786,6.021000444889069e-06,0.0,0.0,0.009992295656729766,11.048411542,0.028576389745847308,35.477909851,0.4721633333333333,0.16380197162797974,0.16379999999999997,2.171783402324104,0.1638,0.09987969148852152,1.0,0.0
2,0.0029657199999988393,0.0018082160000005842,0.00028119799999615225,0.0009921328164637089,5.189795047044754e-06,0.0,0.0,0.006052456611506329,11.315000118,0.03462884635735364,46.792909969,0.5435433333333334,0.2811024889572136,0.28109999999999996,2.0789173673897885,0.2811,0.0998795377565286,1.0,0.0
3,0.0030419830000028014,0.0018217719999995552,0.00029196800000619305,0.0009682979434728622,5.149282515048981e-06,0.0,0.0,0.006129170225996461,10.999975792999997,0.0407580165833501,57.792885762,0.5899066666666667,0.4202994147299208,0.42030000000000006,1.967938282619269,0.4203,0.09986823865524201,1.0,0.0
4,0.0030137999999908516,0.0018437930000061442,0.0002979590000080634,0.0009856312535703182,5.380250513553619e-06,0.0,0.0,0.006146563504088931,10.94564493,0.04690458008743903,68.738530692,0.6215533333333333,0.5358002913395573,0.5358,1.8413514618675548,0.5358,0.0998424421871394,1.0,0.0
5,0.004442303000004699,0.00729808600000581,0.00027852300000574814,0.0009202579967677593,5.77140599489212e-06,0.0,0.0,0.012944941402778909,10.873358995000004,0.05984952149021794,79.611889687,0.6430066666666667,0.6036984338099748,0.6037,1.7038378475573117,0.6037,0.09981488884336018,1.0,0.0
6,0.0030293490000019574,0.0018453760000056718,0.00028049699999144195,0.0009787478484213352,5.119014531373978e-06,0.0,0.0,0.00613908886295178,11.149716818000002,0.06598861035316972,90.761606505,0.6590033333333334,0.6408965264762979,0.6409000000000001,1.5613216618760326,0.6409,0.09976982620127518,1.0,0.0
7,0.003065227000007553,0.001847299999994334,0.00029409199999008706,0.0009695109911262989,5.980953574180603e-06,0.0,0.0,0.006182110944692454,11.026030857999999,0.07217072129786217,101.787637363,0.6720266666666666,0.6629969733696837,0.6630000000000001,1.4206556576890306,0.663,0.09970664693565914,1.0,0.0
8,0.0030489569999900823,0.001857327999999825,0.0003010650000021542,0.0009800512343645096,5.589798092842102e-06,0.0,0.0,0.006192991032449413,11.141012769,0.07836371233031159,112.928650132,0.6837033333333333,0.672496096760047,0.6725,1.2881676046231303,0.6725,0.09961763439368951,1.0,0.0
9,0.0029581049999904963,0.0018951489999921023,0.0002861879999898065,0.0009703729301691055,5.058944225311279e-06,0.0,0.0,0.006114873874366822,11.267041821999996,0.08447858620467841,124.195691954,0.6943999999999999,0.6848968604228264,0.6849,1.168697090194629,0.6849,0.09950787479443098,1.0,0.0
10,0.0030061660000058055,0.0017891310000095473,0.0002768399999979465,0.0009856410324573517,5.760695785284042e-06,0.0,0.0,0.006063538728255935,11.06300765200001,0.09054212493293434,135.258699606,0.7036333333333333,0.6928969429498418,0.6929,1.0646855732122549,0.6929,0.09934367678461095,1.0,0.0
11,0.0030567710000184434,0.0018638800000019273,0.002237462000010737,0.00097709521651268,5.7211145758628845e-06,0.0,0.0,0.00814092933111965,11.267645106999993,0.098683054264054,146.526344713,0.7125033333333333,0.703696946404461,0.7036999999999999,0.9766572561507789,0.7037,0.0990976607796172,1.0,0.0
12,0.0030607690000010734,0.0018109519999995882,0.0002939019999814718,0.0009860219433903694,5.470123142004013e-06,0.0,0.0,0.006157115066514507,11.565941242000008,0.1048401693305685,158.092285955,0.7195666666666667,0.7099958688511375,0.71,0.9052293403460957,0.71,0.09875627080907323,1.0,0.0
13,0.0030039110000075198,0.0018375810000179627,0.0002872889999991912,0.0009981649927794933,5.059875547885895e-06,0.0,0.0,0.006132005868352053,10.96958688700002,0.11097217519892055,169.061872842,0.7268033333333332,0.718095871442102,0.7180999999999998,0.8487716402870398,0.7181,0.09824542757887085,1.0,0.0
14,0.003027306000007002,0.0017968139999879895,0.000281538000024284,0.0009869127534329891,5.820766091346741e-06,0.0,0.0,0.006098391519543611,10.933155518999996,0.11707056671846416,179.995028361,0.7331833333333333,0.7236948736329064,0.7237,0.8045894837798402,0.7237,0.09753495152518891,1.0,0.0
15,0.0030248719999974583,0.0018809020000105647,0.0003001530000119601,0.0009708837606012821,4.839152097702026e-06,0.0,0.0,0.006181649912718967,11.165882209000017,0.12325221663118313,191.16091057000003,0.7395800000000001,0.7335939171831801,0.7336,0.7675359611884474,0.7336,0.09650104154423539,1.0,0.0
16,0.0030211640000175066,0.0017909139999972012,0.00030589500002520253,0.0009840582497417927,4.92902472615242e-06,0.0,0.0,0.0061069602745078555,10.958595169000006,0.129359176905691,202.11950573900003,0.7458499999999999,0.7382953181272508,0.7383000000000001,0.7395030912309409,0.7383,0.095277572753754,1.0,0.0
17,0.003013419000012618,0.001787877999987586,0.00028231100000652987,0.0009905709885060787,5.109235644340515e-06,0.0,0.0,0.006079288224157153,11.053641913999996,0.13543846512984814,213.17314765300003,0.7512599999999999,0.7470962005905478,0.7471,0.7158720768488254,0.7471,0.09356759188123594,1.0,0.0
18,0.003050118999993856,0.0018793790000017907,0.0002891430000033779,0.0009781969711184502,5.349982529878616e-06,0.0,0.0,0.006202187953647353,11.136304568000014,0.1416406530834955,224.30945222100004,0.7570899999999999,0.7535972422542159,0.7536000000000002,0.6954291739974159,0.7536,0.09226674382631497,1.0,0.0
19,0.0030501690000050985,0.005548250000003918,0.0002875300000084735,0.0009222421795129776,5.300156772136688e-06,0.0,0.0,0.009813491336302604,10.969854485000013,0.1514541444197981,235.27930670600006,0.7621166666666667,0.7590980037098772,0.7591,0.6783574567244838,0.7591,0.09049116910830513,1.0,0.0
20,0.0030222769999852517,0.0018507860000056553,0.00029067599999166305,0.000977816991508007,5.760695785284042e-06,0.0,0.0,0.006147316687275861,11.066921213,0.15760146110707396,246.34622791900006,0.7681333333333332,0.764098445133449,0.7641,0.6619666767196534,0.7641,0.08899178976611513,1.0,0.0
21,0.002950129999987894,0.0018905909999773485,0.0002815390000137086,0.0009812028147280216,6.002373993396759e-06,0.0,0.0,0.006109465188700369,11.31781846900003,0.16371092629577433,257.6640463880001,0.77293,0.7715970081077996,0.7716,0.646034188163928,0.7716,0.08752154504688679,1.0,0.0
22,0.003065767999999025,0.0017950609999957123,0.00029376100002309613,0.00099235400557518,5.068723112344742e-06,0.0,0.0,0.006152012728705358,11.066861794000033,0.1698629390244797,268.7309081820001,0.7778233333333332,0.7763968896911283,0.7764000000000001,0.6322349792661758,0.7764,0.08629825208336821,1.0,0.0
23,0.003005123999969328,0.00577404400002024,0.00028349200005095554,0.0009144973009824753,4.779081791639328e-06,0.0,0.0,0.009981936382814638,11.123805436999987,0.17984487540729432,279.8547136190001,0.7821666666666666,0.7811972510826873,0.7812,0.6188247987447074,0.7812,0.08494305889620632,1.0,0.0
24,0.0030075990000000274,0.0018031360000350105,0.00029140800000959644,0.0009826049208641052,5.931127816438675e-06,0.0,0.0,0.006090679048725178,11.274267054000006,0.1859355544560195,291.1289806730001,0.7870533333333335,0.7816966114983163,0.7817,0.6088019904618065,0.7817,0.08390264057145744,1.0,0.0
25,0.0029771810000056576,0.0018819850000113547,0.00027879300000677176,0.0009835767559707165,5.148816853761673e-06,0.0,0.0,0.006126684572848262,11.15621576999996,0.19206223902886777,302.2851964430001,0.7906400000000001,0.7878978929701378,0.7879000000000002,0.59410848499487,0.7879,0.08280219992117807,1.0,0.0
26,0.0030023989999676814,0.0018012429999885171,0.00027969600000687933,0.0009871250949800014,5.4300762712955475e-06,0.0,0.0,0.006075893171214375,10.993512634000012,0.19813813220008214,313.2787090770001,0.7945733333333332,0.7916991736742659,0.7917,0.5818659367081457,0.7917,0.0816390129777507,1.0,0.0
27,0.002996811000002708,0.0018175650000102905,0.0002995130000158497,0.0009833071380853653,4.93926927447319e-06,0.0,0.0,0.006102135407388687,11.130664364999973,0.20424026760747083,324.40937344200006,0.7984033333333332,0.7963988952895306,0.7964000000000001,0.5709026218317568,0.7964,0.08056952167697742,1.0,0.0
28,0.0030512529999668914,0.0018532519999894248,0.0002832119999993665,0.000978608150035143,5.490146577358246e-06,0.0,0.0,0.006171815296568184,10.92257520999999,0.210412082904039,335.33194865200005,0.8020400000000002,0.8002982967767442,0.8003,0.5610120867768796,0.8003,0.07946437118985132,1.0,0.0
29,0.0029936239999983627,0.005429101000004266,0.0002845849999744132,0.0009100497700273991,5.3299590945243835e-06,0.0,0.0,0.009622689729098965,11.081814964999978,0.22003477263313798,346.41376361700003,0.80545,0.8054989381843866,0.8055,0.5502854415688652,0.8055,0.07813271450731327,1.0,0.0
30,0.003048788000000968,0.0019064219999904708,0.0002990919999774633,0.0009740502573549747,5.22984191775322e-06,0.0,0.0,0.00623358209924163,11.102657393000015,0.2262683547323796,357.51642101000004,0.8092266666666669,0.8059982986000156,0.806,0.5427788975901497,0.806,0.0771735825941608,1.0,0.0
31,0.0030846659999497206,0.0018081069999880128,0.0002946629999769357,0.0009934557601809502,5.209352821111679e-06,0.0,0.0,0.006186101112916731,11.18208699500002,0.23245445584529634,368.69850800500006,0.8126266666666666,0.8083993789362268,0.8084000000000001,0.5343790369959304,0.8084,0.07623411494822488,1.0,0.0
32,0.0030163780000407314,0.0018506469999692854,0.00028325200003109785,0.0009733987972140312,5.619600415229797e-06,0.0,0.0,0.006129295397670376,11.27000641899997,0.2385837512429667,379.96851442400003,0.81562,0.8144994208714661,0.8145000000000001,0.5253783818155813,0.8145,0.07517060436632503,1.0,0.0
33,0.0030524339999828953,0.0017670500000122047,0.0002944629999888093,0.0009986362420022488,5.320180207490921e-06,0.0,0.0,0.006117903422193649,11.119923475000007,0.24470165466516036,391.08843789900004,0.81841,0.815299021287172,0.8153000000000001,0.5188030049728509,0.8153,0.07387581455596642,1.0,0.0
34,0.0030153760000075636,0.005605351000042447,0.00029338100000586564,0.0008988291956484318,5.5409036576747894e-06,0.0,0.0,0.009818478099361982,11.572784313,0.25452013276452234,402.66122221200004,0.8217500000000001,0.820099382678731,0.8201,0.5072519560686697,0.8201,0.07283463813360505,1.0,0.0
35,0.0029903989999979785,0.0018522400000051675,0.00029588600000352017,0.0009699421934783459,5.900859832763672e-06,0.0,0.0,0.006114368053317776,10.896580560000018,0.2606345008178401,413.55780277200006,0.8245433333333333,0.8238995838143411,0.8239,0.49943263914448005,0.8239,0.07185748730645457,1.0,0.0
36,0.003096738000010646,0.001797316999955001,0.0002833419999888065,0.0009752730838954449,5.529727786779404e-06,0.0,0.0,0.006158199811636678,11.083787287000007,0.2667927006294768,424.64159005900007,0.8279033333333334,0.8264994247099319,0.8264999999999999,0.4920893777578403,0.8265,0.07083665932943899,1.0,0.0
37,0.0030225579999978436,0.0018715260000021772,0.00029078599999365906,0.0009764251299202442,5.170237272977829e-06,0.0,0.0,0.006166465367186902,11.012339313999973,0.2729591659966637,435.65392937300004,0.83027,0.8276993051417209,0.8277,0.485764690243398,0.8277,0.06982554432036728,1.0,0.0
38,0.003066821999993863,0.001876835999951254,0.00028550600001153725,0.0009562456980347633,5.589798092842102e-06,0.0,0.0,0.00619099949608426,10.969873766999967,0.27915016549274796,446.62380314,0.8329233333333333,0.8303001056537725,0.8302999999999999,0.4801917779274261,0.8303,0.06874221241154477,1.0,0.0
39,0.003087871000047926,0.0017945509999890419,0.0002978999999641019,0.0009883157908916473,5.410052835941315e-06,0.0,0.0,0.006174047843728658,11.08503121199999,0.2853242133364766,457.708834352,0.83515,0.8328983871726149,0.8329000000000001,0.4747393166485686,0.8329,0.06820057347250166,1.0,0.0
40,0.0030343800000309784,0.0017964260000553622,0.000301737000029334,0.0009916932322084904,5.0300732254981995e-06,0.0,0.0,0.006129266305549663,10.915697772999977,0.2914534796420263,468.624532125,0.8378099999999998,0.8305006654940154,0.8305000000000001,0.4736620799040261,0.8305,0.06710387015482806,1.0,0.0
41,0.0029925619999744413,0.0018543239999644356,0.00028850199998942117,0.00099212396889925,5.521345883607864e-06,0.0,0.0,0.006133033314711156,11.18241275500003,0.29758651295673744,479.80694488,0.8399399999999999,0.8358994677007493,0.8359000000000001,0.46392413854789427,0.8359,0.06571561990126304,1.0,0.0
42,0.0030613010000024587,0.00178702699997757,0.00028212000000849,0.0009975139982998371,5.029141902923584e-06,0.0,0.0,0.0061329911401912796,10.961119714999995,0.3037195040969287,490.768064595,0.84208,0.8385987488520588,0.8385999999999999,0.4546133513553455,0.8386,0.0646041339696171,1.0,0.0
43,0.003006397999968158,0.0018440150000174071,0.00027752099998679114,0.0009866440668702126,5.2801333367824554e-06,0.0,0.0,0.006119858200179351,11.17672670099995,0.30983936229710807,501.94479129599995,0.8442066666666667,0.8430988702435411,0.8430999999999998,0.44915563777422374,0.8431,0.06365940203185223,1.0,0.0
44,0.0030992119999950773,0.0017715380000140613,0.000280225999972572,0.0009946990758180618,5.431007593870163e-06,0.0,0.0,0.006151106083393643,10.951545338000017,0.3159904683805017,512.8963366339999,0.8462366666666666,0.843398270579215,0.8434000000000003,0.44400158905373593,0.8434,0.06264302814659581,1.0,0.0
45,0.0029749390000688436,0.0018826870000339113,0.00028591700004199083,0.0009990469552576542,5.5907294154167175e-06,0.0,0.0,0.006148180684817817,11.452296990999912,0.3221386490653195,524.3486336249998,0.8476233333333334,0.8428990301156435,0.8429000000000001,0.4477938529782402,0.8429,0.0612960894625729,1.0,0.0
46,0.0030388989999892146,0.0017896420000624857,0.0002855259999705595,0.0010069110430777073,5.24008646607399e-06,0.0,0.0,0.006126218129566041,11.326999229999956,0.32826486719488557,535.6756328549998,0.84998,0.8454980313468313,0.8454999999999999,0.43588058088724607,0.8455,0.06039466028060246,1.0,0.0
47,0.0030059880000408157,0.001831240000001344,0.0002825099999199665,0.0009910515509545803,5.669891834259033e-06,0.0,0.0,0.0061164594427509655,10.921401841000034,0.33438132663763653,546.5970346959998,0.8516433333333332,0.8461973518424154,0.8462,0.4325901311331283,0.8462,0.05924857568803487,1.0,0.0
48,0.0030805579999650945,0.0017678209999303363,0.00028242099995168246,0.000999577809125185,5.230307579040527e-06,0.0,0.0,0.006135608116551339,10.927204233999987,0.34051693475418787,557.5242389299998,0.8538733333333334,0.8495979926742879,0.8496000000000001,0.42668659009110815,0.8496,0.05836645683852977,1.0,0.0
49,0.0029303150000714595,0.0018805720000045767,0.00027941500002270914,0.000977235846221447,5.9506855905056e-06,0.0,0.0,0.006073488531910698,10.974650634,0.34659042328609857,568.4988895639998,0.8546733333333334,0.8483976324342687,0.8483999999999999,0.42621617542859463,0.8484,0.05753938633918622,1.0,0.0
