round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010011192000000335,0.0073124440000000845,0.00029126700000148276,0.0009497944265604019,6.081070750951767e-06,1.5147961676120758e-05,0.023394436109811068,0.041980362568800444,24.150987866,0.041980362568800444,24.150987866,0.2525866666666667,0.16269949226693076,0.16270000000000004,2.2643845995394187,0.1627,0.09968508530274876,1.0,0.0
1,0.004099248999999361,0.007643905999998424,0.0002948340000017424,0.0009284238331019878,5.691312253475189e-06,1.3255048543214798e-05,0.02390270121395588,0.036888060407854084,11.145273182,0.07886842297665453,35.296261048000005,0.3652666666666667,0.26149632514876453,0.26149999999999995,2.2051488233450502,0.2615,0.09982798223745085,1.0,0.0
2,0.002985696999999732,0.0018736789999991288,0.0002892030000012369,0.0009925151243805885,5.640089511871338e-06,1.9697006791830063e-05,0.018964597024023533,0.02513102824470792,10.732878473,0.10399945122136245,46.029139521000005,0.4552133333333333,0.3371965092991633,0.3372,2.130486869964356,0.3372,0.09987907189767538,1.0,0.0
3,0.0031256409999969037,0.0018893479999988472,0.00028668799999564953,0.0010006101801991463,5.741138011217117e-06,1.3465061783790588e-05,0.020291860215365887,0.02661335359535144,10.992085255,0.1306128048167139,57.021224776000004,0.5226566666666667,0.40419513128992607,0.40420000000000006,2.039587505709249,0.4042,0.09988617926159714,1.0,0.0
4,0.0030269239999967112,0.001858119999994301,0.00030132599999888043,0.000974148977547884,6.63241371512413e-06,1.3646204024553299e-05,0.021637076046317816,0.02781787364159527,11.071995545999997,0.15843067845830916,68.09322032200001,0.5674466666666667,0.4469954648526076,0.447,1.9337305462779328,0.447,0.09987918367639899,1.0,0.0
5,0.0029629949999900873,0.0018221219999929872,0.0002881009999953221,0.0009936769492924213,5.249865353107452e-06,1.3805925846099854e-05,0.018844110891222954,0.02493006163169298,10.832534288999994,0.18336074009000214,78.925754611,0.6016833333333332,0.4972972402390212,0.4973,1.8154139465417345,0.4973,0.09986251960871194,1.0,0.0
6,0.0030324049999990166,0.0018622070000020585,0.0002805370000089624,0.000965864397585392,5.3998082876205444e-06,1.3594981282949448e-05,0.01768862036988139,0.02384862855704739,10.907198655999991,0.20720936864704953,89.832953267,0.6248233333333334,0.5349985317868154,0.535,1.6884748745269287,0.535,0.09983567702313502,1.0,0.0
7,0.0029846259999999347,0.0018275130000091622,0.0002967670000089129,0.0009967009536921978,5.110166966915131e-06,1.3455282896757126e-05,0.02285293908789754,0.02897711149147142,11.110763790999997,0.23618648013852095,100.94371705799999,0.6442033333333334,0.574599024261983,0.5746000000000001,1.5575558373722405,0.5746,0.09980043324130962,1.0,0.0
8,0.003066770000003771,0.005289464000000521,0.00029763899999579735,0.0009015630930662155,5.410052835941315e-06,1.3235025107860565e-05,0.02118168119341135,0.030755762364421457,10.884891023999998,0.2669422425029424,111.82860808199999,0.6602766666666665,0.6102985558731885,0.6102999999999998,1.4278916337619574,0.6103,0.0997559035882574,1.0,0.0
9,0.002963225000002012,0.001874700999991319,0.0002921490000034055,0.000978077296167612,5.470123142004013e-06,1.3715121895074844e-05,0.019375988747924566,0.025503326289125994,10.950219177999998,0.2924455687920684,122.77882725999999,0.6748433333333334,0.6414967665723365,0.6414999999999998,1.3042593097534423,0.6415,0.09969157974121202,1.0,0.0
