round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009335941999999875,0.006214540000000213,0.00027785199999996735,0.0009740288369357586,5.790963768959045e-06,0.0,0.0,0.016808153800704773,15.943501694,0.016808153800704773,15.943501694,0.8917333333333336,0.43790129960857244,0.4379,2.1977146182197353,0.4379,0.3955402018030237,1.0,0.0
1,0.0028040259999997375,0.003388964999999189,0.00026535800000004883,0.0009522777982056141,5.841255187988281e-06,0.0,0.0,0.0074164680533925775,3.0977524369999987,0.02422462185409735,19.041254131,0.90739,0.7179977506590166,0.718,2.047695863742036,0.718,0.40612848341750246,1.0,0.0
2,0.0028181020000026535,0.001479609000000437,0.0002506010000011827,0.0009191157296299934,5.651265382766724e-06,0.0,0.0,0.005473078995017033,3.0973274989999986,0.029697700849114383,22.138581629999997,0.9179433333333332,0.8518990329944928,0.8519000000000001,1.855947002816124,0.8519,0.40648636137702093,1.0,0.0
3,0.0028457049999985884,0.0014366680000001963,0.00025446799999784275,0.0009775152429938316,5.279667675495148e-06,0.0,0.0,0.005519635910665954,3.106278377999999,0.03521733675978034,25.244860007999996,0.9254833333333332,0.9074983710510582,0.9075000000000002,1.6310402688126975,0.9075,0.40233705244411033,1.0,0.0
4,0.0028184030000026894,0.004934877000000171,0.00024887700000064683,0.0009052599780261517,5.260109901428223e-06,0.0,0.0,0.008912677087931087,3.1062372099999997,0.044130013847711425,28.351097217999996,0.9324366666666665,0.9320978991116832,0.9321,1.3875098605506337,0.9321,0.3971894239005052,1.0,0.0
5,0.0028620349999997075,0.001533189999999962,0.00026010799999909295,0.0009602340869605541,5.190260708332062e-06,0.0,0.0,0.005620757347667649,3.1098988070000004,0.04975077119537907,31.460996024999996,0.9366966666666666,0.9421984621186605,0.9422,1.1390397640082022,0.9422,0.3921939795994071,1.0,0.0
6,0.0029058370000001332,0.0015321779999979412,0.00025509900000031394,0.0009503550827503204,5.801208317279816e-06,0.0,0.0,0.005649270291065989,3.094699482000003,0.05540004148644506,34.555695506999996,0.9408133333333334,0.9487988240859893,0.9488,0.9048833445238229,0.9488,0.38354398889417163,1.0,0.0
7,0.002823973000005253,0.0015046760000032577,0.00025465799999579986,0.0009942580945789814,4.999339580535889e-06,0.0,0.0,0.005582564434163828,3.1002058819999974,0.06098260592060889,37.65590138899999,0.9451100000000001,0.9533986256373054,0.9534000000000001,0.6996138478620365,0.9534,0.3760897787051585,1.0,0.0
8,0.002867904999995119,0.004942352000000483,0.00026032799999597955,0.0009556850418448448,5.359761416912079e-06,0.0,0.0,0.009031629803253338,3.104207928000001,0.07001423572386223,40.760109316999994,0.9489533333333332,0.9556981065807618,0.9557000000000001,0.5330514872607331,0.9557,0.3666943406368826,1.0,0.0
9,0.002840002999995761,0.0014794079999944643,0.0002523439999961852,0.0009711133316159248,4.859175533056259e-06,0.0,0.0,0.0055477275071353915,3.0934441539999966,0.07556196323099762,43.85355347099999,0.9517500000000001,0.957798227204551,0.9578000000000002,0.405566476975767,0.9578,0.35717486349096783,1.0,0.0
10,0.002863958999995475,0.0014412559999996688,0.000252303999999981,0.0009705433622002602,5.900859832763672e-06,0.0,0.0,0.005533963222028149,3.1117173299999976,0.08109592645302577,46.96527080099999,0.9543266666666668,0.9591981876683526,0.9591999999999997,0.3106116051681506,0.9592,0.34685446604504155,1.0,0.0
11,0.0028922320000006607,0.0014473880000025474,0.000249287999999126,0.0009606443345546722,5.169771611690521e-06,0.0,0.0,0.005554722106168697,3.098591110000001,0.08665064855919447,50.06386191099999,0.9576199999999999,0.9611982682761354,0.9611999999999999,0.2430833280562593,0.9612,0.33806759286555954,1.0,0.0
12,0.0029056859999982976,0.0014232329999970261,0.00025154200000088167,0.0009697512723505497,5.200039595365524e-06,0.0,0.0,0.005555412311942121,3.108056644999998,0.09220606087113659,53.17191855599999,0.9596566666666666,0.9627985486760652,0.9628,0.19712355125921602,0.9628,0.32555006045666374,1.0,0.0
13,0.002889586999998528,0.0014394530000032546,0.0002599579999937873,0.0009714141488075256,5.390029400587082e-06,0.0,0.0,0.005565802178203683,3.1127356010000042,0.09777186304934027,56.28465415699999,0.9615333333333335,0.9640988289800333,0.9641000000000001,0.16511747798028464,0.9641,0.31571569415452827,1.0,0.0
14,0.0028440110000005348,0.0051534779999968805,0.00025354600000326855,0.000921701081097126,5.260109901428223e-06,0.0,0.0,0.009177996190999238,3.115256084000002,0.1069498592403395,59.39991024099999,0.9637466666666668,0.9646990690760718,0.9647000000000001,0.1428332626581573,0.9647,0.30482247983337685,1.0,0.0
15,0.002838119999999833,0.0014798690000006332,0.0002517630000014037,0.0009625381790101528,5.1800161600112915e-06,0.0,0.0,0.005537470195172034,3.1118624320000023,0.11248732943551154,62.511772672999996,0.9654633333333332,0.9659989895238671,0.9659999999999997,0.12795997676424706,0.966,0.293210850785173,1.0,0.0
16,0.002852567000005024,0.001464510000005248,0.0002508609999978262,0.0009770747274160385,5.129259079694748e-06,0.0,0.0,0.0055501419865038315,3.102518123000003,0.11803747142201537,65.614290796,0.9671500000000001,0.9662988696677712,0.9663,0.1171204372704886,0.9663,0.2839624456397056,1.0,0.0
