round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.00944591999999922,0.006230911999999478,0.0002682539999998568,0.0009361179545521736,6.1211176216602325e-06,1.3855751603841782e-05,0.023417761083692312,0.04031894190746854,15.971472346,0.04031894190746854,15.971472346,0.8932599999999998,0.3991007674052835,0.3990749999999999,2.193032868753988,0.399,0.39598452685480506,1.0,0.0
1,0.0045307799999996234,0.005449906000002613,0.0002711299999980099,0.0009305081330239773,5.921348929405212e-06,1.2093223631381989e-05,0.01856031734496355,0.029760656050548562,3.104442582999999,0.0700795979580171,19.075914929,0.9080533333333333,0.726099672482902,0.7260999999999999,2.0357165888856392,0.7261,0.4067632567635798,1.0,0.0
2,0.002833451000000764,0.001420176999999967,0.00026786299999770335,0.0009768549352884293,5.200039595365524e-06,1.2704171240329742e-05,0.018917046952992678,0.024433297099115237,3.1029375660000014,0.09451289505713234,22.178852495,0.9183433333333334,0.8809982026383696,0.8810000000000001,1.8365666504485159,0.881,0.40777978376695057,1.0,0.0
3,0.002794477999998435,0.0015864490000012665,0.000268895000001379,0.000962055753916502,6.070826202630997e-06,1.2394040822982788e-05,0.017884197644889355,0.02351454026583255,3.106016625999999,0.11802743532296489,25.284869121,0.92638,0.9228996154816841,0.9229000000000002,1.6079198685697853,0.9229,0.40459793360428675,1.0,0.0
4,0.0028419369999994615,0.001507562000000462,0.00027171999999708873,0.0009733382612466812,5.669891834259033e-06,1.340499147772789e-05,0.018132875207811594,0.023746507352367274,3.0962761129999983,0.14177394267533217,28.381145233999998,0.9320666666666666,0.9382994204876195,0.9383,1.360595535546446,0.9383,0.39914846230640944,1.0,0.0
5,0.0027907009999985632,0.0015488589999996805,0.0002755580000020075,0.0009795799851417542,4.958827048540115e-06,1.24429352581501e-05,0.01837629172950983,0.023988391476958526,3.099824525999999,0.1657623341522907,31.480969759999997,0.9373933333333332,0.9463990632224112,0.9464916666666667,1.1105955033637465,0.9465,0.3934364947506511,1.0,0.0
6,0.0028642189999956713,0.0015179910000000518,0.0002563319999993041,0.0009882762096822262,5.76116144657135e-06,1.2814067304134369e-05,0.01915718801319599,0.02480258145162395,3.101835842,0.19056491560391464,34.58280560199999,0.9415933333333335,0.951299704534092,0.9512999999999999,0.8787732478528739,0.9513,0.38572945480570126,1.0,0.0
7,0.0028886150000033695,0.0014498729999985471,0.00027178999999932785,0.0009750518947839737,5.400273948907852e-06,1.2783799320459366e-05,0.01687634503468871,0.022479859002743297,3.1016474380000005,0.21304477460665794,37.684453039999994,0.9457566666666667,0.9544988259092606,0.9544999999999999,0.6775496987679515,0.9545,0.37748914853367893,1.0,0.0
8,0.0029265559999984703,0.001463479000001655,0.000275987999998506,0.000977897085249424,5.630310624837875e-06,1.4116987586021423e-05,0.01756760338321328,0.023231270766672196,3.109587368999996,0.23627604537333013,40.79404040899999,0.9490500000000001,0.9576979472844293,0.9576999999999997,0.5114845047933987,0.9577,0.369225029525149,1.0,0.0
9,0.002895868999999607,0.0014986649999997326,0.0002568729999978814,0.0009726858697831631,5.841255187988281e-06,1.3105105608701706e-05,0.01742360321804881,0.023066642448625885,3.097993183,0.259342687821956,43.89203359199999,0.9523700000000002,0.959297987780244,0.9593000000000003,0.38736141575411104,0.9593,0.35976888020263953,1.0,0.0
10,0.0029114080000027798,0.0015156070000017507,0.0002712989999977822,0.0009888773784041405,5.7513825595378876e-06,1.275399699807167e-05,0.01886850595474243,0.024574202712706494,3.0906379690000065,0.2839168905346625,46.982671561,0.9549933333333334,0.9615980684839883,0.9616000000000002,0.29637995900247044,0.9616,0.34912304967662205,1.0,0.0
11,0.0028861300000002643,0.0015123199999962367,0.00025830500000267875,0.0009606941603124142,5.491077899932861e-06,1.2563075870275497e-05,0.016040965914726257,0.02167646922880806,3.1010612430000037,0.3055933597634706,50.083732804,0.9574800000000002,0.9632979090916942,0.9633000000000002,0.2332129868598411,0.9633,0.33804026699059964,1.0,0.0
12,0.002858098000004361,0.0014903890000041997,0.0002619619999961742,0.0009880461730062962,6.151851266622543e-06,1.275399699807167e-05,0.019925361033529043,0.02554276205480477,3.1066649260000005,0.33113612181827534,53.19039773,0.9605266666666669,0.9648980695395665,0.9649,0.1884137915489011,0.9649,0.3284257051361288,1.0,0.0
13,0.0028574460000001523,0.0014505150000019285,0.0002773309999994922,0.000993114896118641,5.671288818120956e-06,1.2733042240142822e-05,0.019943344872444868,0.025540156099623346,3.0955752590000003,0.3566762779178987,56.285972989,0.96213,0.9661983498435344,0.9662000000000002,0.15807832692996762,0.9662,0.31602736758307226,1.0,0.0
14,0.0028870020000013596,0.0014799690000018018,0.0002737040000013735,0.0009823748841881752,5.509704351425171e-06,1.2713950127363205e-05,0.018087489064782858,0.023728762603454356,3.105375593000005,0.38040504052135304,59.391348582000006,0.9639666666666667,0.9669984300674704,0.9670000000000001,0.13689505511793656,0.967,0.30574045078037826,1.0,0.0
