round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.007162776999997789,0.004656113999999434,0.0002767100000014011,0.0004936009645462036,5.770474672317505e-06,0.0,0.0,0.012594972439217145,39.527339746,0.012594972439217145,39.527339746,0.1434322861573771,0.0,0.14379999999999998,2.299962822395035,0.1438,0.13737700546846,0.9917892096185902,0.008210790381409816
1,0.0020965419999967594,0.0012697879999947759,0.00026563000000123793,0.000452602282166481,5.017966032028198e-06,0.0,0.0,0.004089580248191282,25.292685665999997,0.016684552687408427,64.820025412,0.19363947435771012,0.0,0.15399999999999997,2.2888585796839074,0.154,0.13804680318500168,0.9800712977174828,0.019928702282517197
2,0.0021153480000037916,0.0028379960000108895,0.00026488799998958257,0.00047759898006916046,5.640089511871338e-06,0.0,0.0,0.0057014710695852955,25.605388062999992,0.022386023756993723,90.425413475,0.223443062648501,0.0,0.16660000000000003,2.2721523061583313,0.1666,0.138671099674498,0.9688237527025466,0.031176247297453386
3,0.0021095860000031053,0.0012995040000021163,0.0002664510000016662,0.000462949275970459,5.2209943532943726e-06,0.0,0.0,0.004143711270330641,25.744958685,0.026529735027324364,116.17037216,0.24718540327046,0.0,0.20210000000000003,2.2496555032609384,0.2021,0.13885090250715684,0.9680150517403575,0.03198494825964249
4,0.002173847999983991,0.001274085000005698,0.0002493289999847548,0.00047113746404647827,5.591660737991333e-06,0.0,0.0,0.004173991124758913,25.779621952,0.030703726152083277,141.949994112,0.2687097064432774,0.0,0.2231,2.221890878073777,0.2231,0.13912238286171513,0.968518426829067,0.03148157317093303
5,0.002096441000020377,0.0012818000000152097,0.00025797500001090157,0.0004561766982078552,4.999339580535889e-06,0.0,0.0,0.004097392037834879,25.46594474600002,0.03480111818991816,167.41593885800003,0.2867060509483678,0.0,0.24630000000000005,2.1889940575708318,0.2463,0.1392557940248211,0.963377399283722,0.036622600716277987
6,0.0021685680000018692,0.002307908999995334,0.0002632550000214451,0.0004828963428735733,5.088746547698975e-06,0.0,0.0,0.0052277170894399205,25.778587729999998,0.04002883527935808,193.19452658800003,0.3029431417557166,0.0,0.2690000000000001,2.151926777030848,0.269,0.13908707069226578,0.9634186595368949,0.03658134046310513
7,0.002150352999990446,0.0023412820000032752,0.0002678740000021662,0.0004729088395833969,5.031004548072815e-06,0.0,0.0,0.005237448844127357,25.808793809999997,0.045266284123485434,219.00332039800003,0.3178348073815814,0.0,0.2894999999999999,2.1108532163161264,0.2895,0.13912063582166864,0.9693601359937944,0.030639864006205553
8,0.0021306759999788483,0.0013080189999925551,0.0002545389999966119,0.0004615075886249542,5.820766091346741e-06,0.0,0.0,0.004160562354684316,25.736446489000002,0.04942684647816975,244.73976688700003,0.3304895376030699,0.0,0.3012000000000001,2.0670165774188463,0.3012,0.13857778862796027,0.9762671023749402,0.023732897625059812
9,0.002202610000040295,0.0012413340000421158,0.00025402800002893855,0.0004713088274002075,5.8319419622421265e-06,0.0,0.0,0.004175112769473799,25.754431638000028,0.05360195924764355,270.49419852500006,0.34270208110680933,0.0,0.31869999999999993,2.0215776992749563,0.3187,0.13808925280454554,0.9782888547804129,0.021711145219587058
10,0.002062588000001142,0.0013278769999942597,0.0002702280000335122,0.0004575103521347046,5.5693089962005615e-06,0.0,0.0,0.004123772661159819,25.666138783000008,0.05772573190880337,296.16033730800007,0.35354255700957715,0.0,0.3323,1.9751926192754432,0.3323,0.13768666086810566,0.9783548711854896,0.021645128814510417
11,0.0021288629999958175,0.0012758889999986422,0.00026036999997813837,0.0004834067076444626,4.900619387626648e-06,0.0,0.0,0.004153429327004687,25.694187951000004,0.061879161235808056,321.85452525900007,0.3641337131006986,0.0,0.3465,1.9280777234065383,0.3465,0.13697006798588937,0.9787262134640459,0.02127378653595413
12,0.0022348920000467842,0.0023477830000047106,0.00025603099999216283,0.0004959236830472946,5.5693089962005615e-06,0.0,0.0,0.005340198992087153,25.779486356999996,0.06721936022789521,347.63401161600007,0.37292961483405107,0.0,0.3604,1.8829698034479647,0.3604,0.13578500194675278,0.985583667541384,0.014416332458615955
13,0.0021811209999782477,0.0018122569999832194,0.0002599180000402157,0.0004896800965070724,5.127862095832825e-06,0.0,0.0,0.004748103958604588,25.705440624000005,0.0719674641864998,373.33945224000007,0.38210961951761546,0.0,0.36920000000000003,1.8397588714768616,0.3692,0.13471585152054355,0.9868132230859369,0.013186776914063114
14,0.0022000959999672887,0.0013320950000093035,0.000258626999993794,0.0005049090832471848,4.930421710014343e-06,0.0,0.0,0.004300657504927585,25.514393278,0.07626812169142738,398.85384551800007,0.3894523355682931,0.0,0.3783,1.7988329733474344,0.3783,0.13373951933560993,0.9921027875427043,0.007897212457295688
15,0.0021503830000142443,0.001313148999997793,0.00025782500000559594,0.0004701763391494751,5.09992241859436e-06,0.0,0.0,0.004196633261585703,25.865296677999993,0.08046475495301308,424.71914219600006,0.3974348875901638,0.0,0.3849,1.7613190050366558,0.3849,0.13237741179868254,0.9923503490617418,0.007649650938258201
16,0.00213656699997955,0.001314691999994011,0.00025836499997922147,0.00047585368156433105,5.859881639480591e-06,0.0,0.0,0.004191337563156594,25.80098422399999,0.08465609251616968,450.52012642000005,0.40598678136433963,0.0,0.3925,1.7254441810559622,0.3925,0.13107805019863752,0.9927877077453747,0.007212292254625274
17,0.0021323490000213496,0.0013306820000025255,0.0002580150000426329,0.000458400696516037,4.7292560338974e-06,0.0,0.0,0.004184175952616442,25.78357278499999,0.08884026846878612,476.30369920500004,0.4142603467909465,0.0,0.40240000000000004,1.693631333640859,0.4024,0.1299380381900479,0.9944463699229259,0.005553630077074101
18,0.0020905810000044767,0.0013127580000400485,0.000257363000002897,0.0005194749683141708,5.910173058509827e-06,0.0,0.0,0.004186087141420103,25.604277887999956,0.09302635561020622,501.907977093,0.42067092175143345,0.0,0.41040000000000004,1.66444061828565,0.4104,0.12844368618304483,0.9956346652143058,0.00436533478569423
19,0.002149951999967925,0.001316674999998213,0.00025583100000403647,0.00047318078577518463,5.271285772323608e-06,0.0,0.0,0.004200910071517683,25.58703898799996,0.0972272656817239,527.4950160809999,0.42893151958695963,0.0,0.41840000000000005,1.6384095496769193,0.4184,0.12696163387472964,0.9965836510372827,0.0034163489627172527
20,0.0021209179999459593,0.0013014870000915835,0.00025584099989828246,0.000462530180811882,5.319714546203613e-06,0.0,0.0,0.004146095895293911,25.750048172999982,0.10137336157701782,553.2450642539999,0.4358335244922253,0.0,0.4268,1.6110380540920208,0.4268,0.12538557540770698,0.9968642207588586,0.00313577924114139
21,0.0021405940000249757,0.0023119569999607847,0.0002635050000208139,0.00047328881919384,4.8782676458358765e-06,0.0,0.0,0.00519422308684625,25.895067713000003,0.10656758466386407,579.1401319669999,0.4422222823272139,0.0,0.4337,1.5872525399244284,0.4337,0.12400750581113064,0.9961958046574574,0.0038041953425426156
22,0.002127069000039228,0.0013184689998979593,0.00025733400002536655,0.0004583727568387985,5.09992241859436e-06,0.0,0.0,0.0041663446792199466,25.89695158500001,0.11073392934308401,605.0370835519999,0.4496560390619542,0.0,0.4419000000000001,1.5634554700006413,0.4419,0.12208427145961902,0.9972438150880494,0.002756184911950621
23,0.0020796699999436896,0.0023776709999765444,0.0002642169999944599,0.000464392825961113,5.500391125679016e-06,0.0,0.0,0.005191451217001486,25.57229101400003,0.1159253805600855,630.6093745659999,0.45478172824533875,0.0,0.4478,1.54292516919631,0.4478,0.12084447517767345,0.9978214586324702,0.002178541367529818
24,0.002107261999981347,0.0013034500000230764,0.0002608499999041669,0.0004734788089990616,5.330890417098999e-06,0.0,0.0,0.004150371699324751,25.506156029999943,0.12007575225941025,656.1155305959999,0.4611808698694729,0.0,0.45479999999999987,1.5237776056120667,0.4548,0.11918762171840429,0.9992160551897147,0.0007839448102853197
25,0.0021306060000370053,0.0013270350000311737,0.0002632039999070912,0.0004726983606815338,4.608184099197388e-06,0.0,0.0,0.004198151544756001,25.480163905999916,0.12427390380416625,681.5956945019998,0.46650238199653843,0.0,0.4603,1.5060012747969809,0.4603,0.11769686328835269,0.9991500387846379,0.0008499612153620717
26,0.0021525469999232882,0.0023452289999568166,0.0002636760000314098,0.00045702792704105377,6.0498714447021484e-06,0.0,0.0,0.0052245297983972705,25.518940071999964,0.12949843360256352,707.1146345739998,0.4715801965341683,0.0,0.46649999999999997,1.4896248337588733,0.4665,0.11598962949323914,0.9983825980756218,0.0016174019243782034
27,0.002135865000013837,0.0012718709999717248,0.00026774399998430454,0.000453311949968338,4.8074871301651e-06,0.0,0.0,0.004133599437068369,25.755143548999968,0.1336320330396319,732.8697781229997,0.478270635280504,0.0,0.47229999999999994,1.473081510278243,0.4723,0.11370670270530754,0.9984733706326022,0.0015266293673977804
28,0.002098906000014722,0.001305534000039188,0.0002716709999504019,0.00044519826769828796,4.889443516731262e-06,0.0,0.0,0.004126198711219331,25.728136896000024,0.13775823175085122,758.5979150189997,0.4821831517667629,0.0,0.4775,1.4589801830581473,0.4775,0.1122957603450351,0.9995956495189054,0.00040435048109455085
29,0.0021534889999657025,0.0012692770000057862,0.00025922800000444113,0.0004703942686319351,4.740431904792786e-06,0.0,0.0,0.004157128700512658,25.56069645599996,0.14191536045136388,784.1586114749997,0.4881947036995555,0.0,0.4829999999999999,1.4461313606817512,0.483,0.110547330843829,0.999546137215098,0.0004538627849020038
