round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
0,0,2.166714987831731,0.1935228866505164,7843,0,0,1566,2.299613379224946,0.1193,0.9410042229267106,0.09474591852901391,0,0,0,0,0,0,10,0.025,0.15
0,1,2.1796547155631214,0.20348529206747526,7173,0,0,1435,2.299613379224946,0.1193,0.949427451190568,0.09559401939763337,0,0,0,0,0,0,10,0.025,0.15
0,2,2.217572657033509,0.18362797847809378,6505,0,0,1301,2.299613379224946,0.1193,0.969219992386332,0.09758685051350613,0,0,0,0,0,0,10,0.025,0.15
0,3,2.238860951040102,0.16892239163954087,5837,0,0,1167,2.299613379224946,0.1193,0.9720062409743339,0.09786738664213195,0,0,0,0,0,0,10,0.025,0.15
0,4,2.271187699713358,0.16982008125362738,5169,0,0,1034,2.299613379224946,0.1193,0.9690404038248324,0.09756876846583618,0,0,0,0,0,0,10,0.025,0.15
0,5,2.2844534251425,0.1484336814041324,4501,0,0,900,2.299613379224946,0.1193,0.9593090388336061,0.09658895658808794,0,0,0,0,0,0,10,0.025,0.15
0,6,2.2905486687024434,0.13825678496868476,3832,0,0,767,2.299613379224946,0.1193,0.9191096208160923,0.09254143938082694,0,0,0,0,0,0,10,0.025,0.15
0,7,2.295637756347656,0.1490518331226296,3164,0,0,633,2.299613379224946,0.1193,0.8891110889894064,0.089521008246521,0,0,0,0,0,0,10,0.025,0.15
0,8,2.2989435148239137,0.11730769230769231,2496,0,0,500,2.299613379224946,0.1193,0.7625729562955184,0.07678039421001796,0,0,0,0,0,0,10,0.025,0.15
0,9,2.2990838956832884,0.11487964989059081,1828,0,0,366,2.299613379224946,0.1193,0.6570053893044683,0.06615122182401982,0,0,0,0,0,0,10,0.025,0.15
0,10,2.3012995076179505,0.105,1160,0,0,232,2.299613379224946,0.1193,0.6100706046771999,0.06142554772806166,0,0,0,0,0,0,10,0.025,0.15
0,11,2.300553059577942,0.11585365853658537,492,0,0,99,2.299613379224946,0.1193,0.3339938031769525,0.03362848847434308,0,0,0,0,0,0,10,0.025,0.15
1,0,2.0324383516465465,0.2608185643248757,7843,0,0,1566,2.2895196872421457,0.1513,0.9090065966145929,0.09087576419019308,0,0,0,0,0,0,10,0.025,0.15
1,1,2.0489111327288443,0.2522654398438589,7173,0,0,1435,2.2895196872421457,0.1513,0.9286886467213463,0.09207649170292793,0,0,0,0,0,0,10,0.025,0.15
1,2,2.0837314687523185,0.24305918524212144,6505,0,0,1301,2.2895196872421457,0.1513,0.9540651498761424,0.09419780224535176,0,0,0,0,0,0,10,0.025,0.15
1,3,2.1012634800828023,0.2333390440294672,5837,0,0,1167,2.2895196872421457,0.1513,0.96741051414736,0.09482424845374982,0,0,0,0,0,0,10,0.025,0.15
1,4,2.131600528519328,0.23118591603791835,5169,0,0,1034,2.2895196872421457,0.1513,0.9777570566479131,0.09498099114383003,0,0,0,0,0,0,10,0.025,0.15
1,5,2.1521650751431785,0.2199511219728949,4501,0,0,900,2.2895196872421457,0.1513,0.9742164135155816,0.09423776209764574,0,0,0,0,0,0,10,0.025,0.15
1,6,2.1891779017448427,0.20381002087682673,3832,0,0,767,2.2895196872421457,0.1513,0.9705254598081645,0.09153435221828318,0,0,0,0,0,0,10,0.025,0.15
1,7,2.2167776627540587,0.19589127686472818,3164,0,0,633,2.2895196872421457,0.1513,0.9516213874822309,0.0889752309283469,0,0,0,0,0,0,10,0.025,0.15
1,8,2.257826589345932,0.1840945512820513,2496,0,0,500,2.2895196872421457,0.1513,0.9102519161109456,0.07946757951000852,0,0,0,0,0,0,10,0.025,0.15
1,9,2.2736037588119506,0.1315098468271335,1828,0,0,366,2.2895196872421457,0.1513,0.8597662993595714,0.0709998231553142,0,0,0,0,0,0,10,0.025,0.15
1,10,2.2873370361328127,0.1617241379310345,1160,0,0,232,2.2895196872421457,0.1513,0.8171608227747422,0.06655886865282216,0,0,0,0,0,0,10,0.025,0.15
1,11,2.293841522932053,0.1434959349593496,492,0,0,99,2.2895196872421457,0.1513,0.591428132599901,0.04127108570152641,0,0,0,0,0,0,10,0.025,0.15
2,0,1.9577699397840806,0.2928216243784266,7843,0,0,1566,2.2737221174602267,0.1825,0.9026841244397678,0.08779922025575464,0,0,0,0,0,0,10,0.025,0.15
2,1,1.9831291830330564,0.28322877457130907,7173,0,0,1435,2.2737221174602267,0.1825,0.9226929617841002,0.08922916828568132,0,0,0,0,0,0,10,0.025,0.15
2,2,2.0085369224641836,0.27800153727901616,6505,0,0,1301,2.2737221174602267,0.1825,0.9452107988648938,0.091326965325377,0,0,0,0,0,0,10,0.025,0.15
2,3,2.026156258323918,0.26784307007024155,5837,0,0,1167,2.2737221174602267,0.1825,0.9616903200350313,0.09227470616303425,0,0,0,0,0,0,10,0.025,0.15
