round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.0070425510000049485,0.004697823000000767,0.00027377500000369537,0.0005078036338090897,5.580484867095947e-06,1.1919066309928894e-05,0.012483751401305199,0.025023203586300724,38.894129047,0.025023203586300724,38.894129047,0.14547295129609777,0.0,0.10898333333333333,2.2996720090697083,0.109,0.13545082246831117,0.9819445132115331,0.018055486788466912
1,0.0021453230000005874,0.0017673430000044732,0.00026516800000564444,0.0004814527928829193,5.330890417098999e-06,6.73346221446991e-06,0.011259276419878006,0.0159306275654032,25.139514387999995,0.04095383115170392,64.03364343499999,0.20871382754789647,0.0,0.19618333333333335,2.289732667464244,0.1962,0.1369192666053654,0.9794111336667162,0.02058886633328383
2,0.002185621000009519,0.0013140620000058334,0.00025837599999078975,0.00047065503895282745,5.749985575675964e-06,6.813555955886841e-06,0.011360151693224907,0.01560142927371544,25.427189158000004,0.05655526042541936,89.46083259299999,0.25099884261825683,0.0,0.22700833333333334,2.27427504032473,0.227,0.13783835479186915,0.9793368652110049,0.020663134788995063
3,0.0021476899999868238,0.001478581000000645,0.0002591070000050877,0.00047827884554862976,5.802139639854431e-06,7.314607501029968e-06,0.011218132451176643,0.015594906043858714,25.506445716,0.07215016646927808,114.967278309,0.27465446039330177,0.0,0.24634999999999999,2.252484553976904,0.2464,0.13795120066077865,0.9828109785281642,0.017189021471835764
4,0.0021423299999980827,0.0024244800000019495,0.0002572939999936352,0.00048088468611240387,5.433335900306702e-06,6.791204214096069e-06,0.010914592072367668,0.016231805298588142,25.376273276999996,0.08838197176786622,140.343551586,0.29162227188060946,0.0,0.2681666666666667,2.224554737911949,0.2682,0.1377927448109302,0.9891403013648892,0.010859698635110826
5,0.0021169830000076217,0.0018800570000223615,0.00025902800001631476,0.000491853803396225,5.358830094337463e-06,6.83218240737915e-06,0.010318167507648468,0.015078280323592708,25.579778344999994,0.10346025209145893,165.92332993099998,0.3065303643038255,0.0,0.2845666666666667,2.1908569999887972,0.2846,0.13776042382621884,0.9902790843524616,0.009720915647538408
6,0.0021291559999951915,0.002461569999979929,0.0002627639999843723,0.0004898626357316971,4.969537258148193e-06,6.292015314102173e-06,0.009781720116734505,0.015136334304997945,25.374213311000005,0.11859658639645687,191.297543242,0.3174655396539186,0.0,0.29913333333333336,2.1521798417538025,0.2992,0.1376943604974943,0.9907577032892674,0.009242296710732623
7,0.0021009319999905074,0.0012933029999828705,0.00025680300001340584,0.0005042366683483124,5.260109901428223e-06,6.9551169872283936e-06,0.010435979813337326,0.014603469708561079,25.63066562199998,0.13320005610501795,216.92820886399997,0.3288036451682528,0.0,0.3119416666666666,2.109177489823933,0.312,0.13739109891902385,0.9908897360994207,0.00911026390057934
8,0.002137951999998222,0.0013300009999852591,0.00025796500000296874,0.0004691909998655319,5.058944225311279e-06,7.335096597671509e-06,0.010180020704865456,0.01438752374554042,25.500789354000005,0.14758757985055837,242.42899821799998,0.33904106057962546,0.0,0.32065,2.064153758785393,0.3207,0.13711542387356926,0.9972850753412223,0.002714924658777651
9,0.002153630999998768,0.0018451010000148926,0.00026430700000901197,0.0004873964935541153,5.3998082876205444e-06,6.7818909883499146e-06,0.009689046069979668,0.014451663262832426,25.181125908000013,0.1620392431133908,267.61012412599996,0.34709293917433887,0.0,0.33326666666666666,2.017626062224183,0.3333,0.13659582298457626,0.9964021059233219,0.0035978940766780987
