round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006976776999998435,0.0046300750000014546,0.00028173900000183494,0.00047926977276802063,5.198642611503601e-06,1.0708346962928772e-05,0.011927686631679535,0.024311454394023713,39.286666561,0.024311454394023713,39.286666561,0.12892506535346268,0.0,0.10289166666666667,2.2986531951759437,0.1029,0.1345617789241564,0.9923916093149148,0.007608390685085231
1,0.002383491999999876,0.0020773759999954677,0.0002727620000015918,0.0005147270858287811,5.299225449562073e-06,7.10412859916687e-06,0.01075657457113266,0.016017335011007106,25.650108272000004,0.04032878940503082,64.936774833,0.16733411763439934,0.0,0.131625,2.2892457714563683,0.1317,0.13721141614540036,0.9926474228845868,0.00735257711541315
2,0.0023897929999918688,0.0024060340000033875,0.0002710299999932886,0.000503959134221077,5.129724740982056e-06,7.012858986854553e-06,0.011110760271549225,0.016693718989486683,25.524337574,0.0570225083945175,90.461112407,0.20098762945552265,0.0,0.15353333333333333,2.275017753432069,0.1536,0.13773727278076284,0.9917727055173211,0.008227294482678893
3,0.0024645329999941623,0.001447261000009803,0.00026997700000208624,0.0005004703998565674,4.990026354789734e-06,7.284805178642273e-06,0.010622270405292511,0.015316786636688562,25.983769099,0.07233929503120606,116.444881506,0.23075188128273424,0.0,0.18790833333333332,2.2556565441662753,0.188,0.13761670672291634,0.9934808799986796,0.006519120001320378
4,0.00212830199998848,0.0023881300000141437,0.0002609510000013415,0.0004707556217908859,5.301088094711304e-06,7.214024662971497e-06,0.01047891192138195,0.015739565655934484,25.52691898500001,0.08807886068714055,141.971800491,0.2577547533526185,0.0,0.20823333333333335,2.2314765543877324,0.2084,0.1375668491948379,0.9875724117443184,0.012427588255681576
5,0.002453833000004124,0.0013868770000158293,0.000258556000005683,0.0005450043827295303,5.358830094337463e-06,7.333233952522278e-06,0.009831726551055908,0.014488688997857935,25.625735039999995,0.10256754968499848,167.597535531,0.28121219843860795,0.0,0.23071666666666668,2.2031587980970553,0.2308,0.13773474731428087,0.9885874139723722,0.011412586027627847
6,0.0024444960000096216,0.001340650000003052,0.0002642469999898367,0.0005347151309251785,5.630776286125183e-06,6.834045052528381e-06,0.009953996166586876,0.014550569118853218,25.476350464999996,0.1171181188038517,193.073885996,0.2990054136797075,0.0,0.25656666666666667,2.1708108020734183,0.2569,0.13805722704732787,0.9888927398458517,0.011107260154148313
7,0.0024199399999815796,0.002447260999986156,0.00026556900002105976,0.0005430299788713455,4.889443516731262e-06,7.413327693939209e-06,0.009108534082770348,0.014796636832841159,25.867399925,0.13191475563669286,218.941285921,0.31533150166169444,0.0,0.28739166666666666,2.134933764421487,0.2876,0.13844114758798914,0.9892393259725042,0.010760674027495809
8,0.0023861459999920953,0.0013676409999732186,0.0002636559999871224,0.0005169231444597244,5.2209943532943726e-06,7.683411240577698e-06,0.010232064872980118,0.01477933542298615,25.775325355000007,0.146694091059679,244.716611276,0.32984235960526864,0.0,0.3061083333333333,2.0958711919905264,0.3062,0.13821016993717786,0.9893548546813883,0.010645145318611715
9,0.0022917690000099356,0.0013124380000135716,0.0002570440000226881,0.0005093161016702652,5.509704351425171e-06,7.014721632003784e-06,0.00952494703233242,0.01390803856003231,25.718426753000017,0.16060212961971132,270.435038029,0.34136404432196543,0.0,0.31705,2.0543071952047227,0.3172,0.13807424735262216,0.9894951395421763,0.010504860457823728
10,0.0023576430000389337,0.0013507699999877332,0.00026053999999930966,0.0005103498697280884,5.170702934265137e-06,6.901100277900696e-06,0.009624646976590157,0.014116021649556387,25.736896995999984,0.1747181512692677,296.171935025,0.35175992564673125,0.0,0.32984166666666664,2.010808867744253,0.3299,0.1375447337085497,0.9897344490105792,0.010265550989420835
11,0.002486664999992172,0.0025004819999594474,0.00026795399998036373,0.0005266796797513962,5.451962351799011e-06,7.005408406257629e-06,0.00975474901497364,0.015548987065415076,25.761575153999956,0.19026713833468278,321.93351017899994,0.3619034336589462,0.0,0.34158333333333335,1.9665995443923563,0.3417,0.13690930835796053,0.9959152349358815,0.0040847650641184785
12,0.0024563270000044213,0.001504448999980923,0.0002740549999771247,0.000530855730175972,5.710870027542114e-06,7.413327693939209e-06,0.009751632809638977,0.0145304437374989,25.833633632999977,0.20479758207218168,347.7671438119999,0.3726089259256426,0.0,0.3530666666666667,1.9213784269139738,0.3532,0.13623809257457664,0.9976481655691439,0.00235183443085607
13,0.002511380999976609,0.0015050000000087493,0.00027358500000218555,0.0005424600094556808,5.019828677177429e-06,6.5229833126068115e-06,0.010763036087155342,0.015607004908588351,25.771755122000002,0.22040458698077003,373.5388989339999,0.3818677348032562,0.0,0.36579166666666674,1.876905866816074,0.3658,0.13483157917471994,0.9985806472908518,0.0014193527091481695
14,0.002478419999988546,0.0013851540000473506,0.00026031900000589303,0.0005400646477937698,5.630776286125183e-06,7.243826985359192e-06,0.010810304433107376,0.01548713668421442,25.57726663599999,0.23589172366498445,399.1161655699999,0.39145926076709553,0.0,0.37480833333333335,1.8341904727718499,0.3748,0.1341563506237649,0.9980112557970656,0.0019887442029343783
15,0.00247370099998534,0.001945528000021568,0.00027333399998497043,0.0005139559507369995,4.597008228302002e-06,7.4338167905807495e-06,0.011992163956165314,0.017210713731913074,25.681791541999985,0.25310243739689753,424.7979571119999,0.40006200388513785,0.0,0.38342500000000007,1.7931438533565667,0.3834,0.1328619738850035,0.9992078031390801,0.0007921968609199137
16,0.002388952000046629,0.0013727510000194343,0.00026890499998444284,0.000538952648639679,4.7292560338974e-06,6.6515058279037476e-06,0.011161001399159431,0.015741942809711418,25.697112420999986,0.26884438020660895,450.4950695329999,0.4094651886574366,0.0,0.3944666666666667,1.754770066164717,0.3945,0.13173751360315952,0.9992738195441567,0.0007261804558432727
17,0.0024568489999978738,0.0013795630000004167,0.00025729400005047864,0.0005156267434358597,4.800036549568176e-06,7.092952728271484e-06,0.011215006932616234,0.015836232665378702,25.620563267000023,0.28468061287198765,476.1156327999999,0.41678529276659,0.0,0.40212500000000007,1.718426452407354,0.4021,0.1306809620266275,0.9991830469871763,0.0008169530128236957
18,0.0025239050000323004,0.0013968470000236266,0.000263754999991761,0.0005441121757030487,4.9192458391189575e-06,6.875023245811462e-06,0.010489113628864288,0.015229527073699956,25.581181412999968,0.2999101399456876,501.69681421299987,0.42451571409651595,0.0,0.4087166666666667,1.6839157795604272,0.4086,0.12926875898645465,0.9992408113416184,0.0007591886583816487
19,0.0023295299999972485,0.0018818790000523222,0.00027044900002692884,0.0005094874650239944,5.09992241859436e-06,6.893649697303772e-06,0.01236569881439209,0.017369037851608482,25.727052222000054,0.3172791777972961,527.4238664349999,0.43251002046132925,0.0,0.41825,1.6520161251478558,0.4183,0.12793123966494024,0.9994223564555792,0.0005776435444208028
20,0.002256832999933067,0.0013022779999118939,0.0002706489999582118,0.0004923343658447266,5.081295967102051e-06,7.031485438346863e-06,0.010171199217438698,0.014505406364492046,25.747338984999942,0.33178458416178813,553.1712054199999,0.43942742482713304,0.0,0.4271833333333333,1.6227940260609495,0.4271,0.12613609467113843,0.9993976003036754,0.0006023996963245848
21,0.0023797340001010525,0.0013402700000142431,0.0002621630000021469,0.0004959125071763992,5.763024091720581e-06,6.925314664840698e-06,0.011221496388316154,0.015712264234366558,25.899914201,0.3474968483961547,579.0711196209999,0.445905019709883,0.0,0.43285833333333334,1.59567489654203,0.4329,0.12497114987138176,0.9994553646581176,0.0005446353418824268
22,0.0023636839999880976,0.0013380460000007588,0.0002582659999461612,0.0005198661237955093,4.827976226806641e-06,7.204711437225342e-06,0.010732227936387062,0.015224122747781621,25.62764667099998,0.3627209711439363,604.6987662919998,0.4525554243022476,0.0,0.44030833333333336,1.5699377150475224,0.4404,0.12296813105810744,0.9995791454176363,0.00042085458236373885
23,0.0023962149999761095,0.0013322139999445426,0.00026137200006814965,0.000525718554854393,5.1800161600112915e-06,7.82497227191925e-06,0.010548241436481476,0.015076765979756601,25.74968028300009,0.3777977371236929,630.4484465749999,0.4580297390983226,0.0,0.447325,1.5471938456161112,0.4472,0.12075635943330648,0.9996286577214438,0.00037134227855617485
24,0.0024471310000535595,0.0013642349999827275,0.00026578899996820837,0.0005415603518486023,5.500391125679016e-06,6.852671504020691e-06,0.010958796367049217,0.015589864781532015,25.69585792199996,0.3933876019052249,656.1443044969999,0.46447118628300804,0.0,0.4552333333333334,1.5260898493513275,0.4551,0.11874714639570574,0.9996534138733475,0.0003465861266525039
25,0.0024952909999456097,0.0014241280000533152,0.00025898700005200226,0.0005417689681053162,4.8074871301651e-06,6.722286343574524e-06,0.011216839775443077,0.01594854451707306,25.707890583999983,0.409336146422298,681.8521950809999,0.47130203576623436,0.0,0.4629083333333333,1.5064142640632918,0.4629,0.11704421821620446,0.9996616659239821,0.0003383340760179099
26,0.0024488540000220382,0.0014084580000144342,0.00026499800003421115,0.0005342159420251846,5.291774868965149e-06,7.0035457611083984e-06,0.01129687950015068,0.015965700762876622,25.882591445999992,0.4253018471851746,707.7347865269999,0.4761277935688652,0.0,0.46949166666666664,1.4879631407653229,0.4695,0.11496453219636363,0.9997194302784241,0.0002805697215758629
27,0.0025000200000704353,0.001539334000085546,0.0002710999999635533,0.000509217381477356,5.058944225311279e-06,6.550922989845276e-06,0.011368934065103531,0.016200215313915578,25.48199216599994,0.4415020624990902,733.2167786929998,0.4810448737740927,0.0,0.4735749999999999,1.4713797403287283,0.4738,0.11309937047058248,0.9997524384809625,0.0002475615190374869
28,0.0024477320000642067,0.002604356999995616,0.00026485800003683835,0.0005148891359567642,5.6121498346328735e-06,7.14324414730072e-06,0.01102268137037754,0.0168672729004129,25.813071781999952,0.4583693353995031,759.0298504749998,0.4876844922431854,0.0,0.4766083333333333,1.4561817419679859,0.4765,0.11122543786817533,0.9997771946328663,0.0002228053671337049
29,0.0023991709999791055,0.00184673199998997,0.00025554000001193344,0.0004928465932607651,4.520639777183533e-06,7.135793566703796e-06,0.012293141335248947,0.01729908736183461,25.832076066000013,0.4756684227613377,784.8619265409998,0.4918721392713248,0.0,0.482025,1.442294565937187,0.482,0.10960525014754315,0.9998267069366737,0.00017329306332625194
30,0.002459653999949296,0.0018338480000466006,0.00026387600007637957,0.0005329512059688568,4.7478824853897095e-06,6.962567567825317e-06,0.011879384517669678,0.016981424173764026,25.88625816900003,0.4926498469351017,810.7481847099998,0.4962023725302447,0.0,0.48759166666666665,1.428702535508554,0.4877,0.10812051347286576,0.9998102028354046,0.00018979716459543994
31,0.0024567180000758526,0.001363653999987946,0.00026040000000193686,0.0005180314183235168,5.166977643966675e-06,6.994232535362244e-06,0.010981475934386253,0.015592440562954835,25.64715185,0.5082422874980566,836.3953365599998,0.5007402692824786,0.0,0.4911916666666667,1.4167201051229164,0.4911,0.10687471456422855,0.9998844712911158,0.00011552870888420497
32,0.002362641999980042,0.0013566610000452783,0.0002568229999724281,0.0005222521722316742,4.850327968597412e-06,6.681308150291443e-06,0.011159742251038551,0.015669652059386863,25.848996602999932,0.5239119395574434,862.2443331629997,0.505823730456373,0.0,0.4956666666666667,1.4051704421828064,0.4957,0.10559052661239848,0.9998844712911158,0.00011552870888420497
33,0.002407357000038246,0.001376938000021255,0.0002563819999750194,0.00053403340280056,4.798173904418945e-06,7.074326276779175e-06,0.011168086901307106,0.015754669804323385,25.642661086999965,0.5396666093617668,887.8869942499997,0.5107774914295569,0.0,0.4998916666666666,1.393723496907874,0.5001,0.10427128012319961,0.999942235645558,5.776435444204697e-05
34,0.002368032000049425,0.001308490000042184,0.00025262500003009336,0.0005185846239328384,5.29363751411438e-06,6.7148357629776e-06,0.01119796372950077,0.015657703826832403,25.619527337000022,0.5553243131885992,913.5065215869997,0.5141041273775347,0.0,0.5045499999999999,1.3842435215092912,0.5049,0.1030807101655257,0.999942235645558,5.776435444204697e-05
35,0.0023191100000303777,0.0013143319999926462,0.00026492799997868133,0.0004969537258148193,4.695728421211243e-06,7.094815373420715e-06,0.012371988967061043,0.0167791032366722,25.830456044000016,0.5721034164252714,939.3369776309997,0.5181331702419899,0.0,0.5067583333333334,1.3741909823840177,0.5068,0.1021594299521926,0.9999587397468271,4.1260253172858974e-05
36,0.0023532149999709873,0.0013298800000711708,0.00026430699995216855,0.0005116406828165054,4.969537258148193e-06,6.770715117454529e-06,0.011515507474541664,0.0159862904097281,25.67644688300004,0.5880897068349995,965.0134245139998,0.5244948708698115,0.0,0.5097833333333333,1.3645132825344424,0.5101,0.10121313279622308,0.9999587397468271,4.1260253172858974e-05
37,0.002372421000018221,0.0013437960000146632,0.0002624930000365566,0.0004986580461263657,4.859641194343567e-06,7.312744855880737e-06,0.011423708871006966,0.015913249303252996,25.767029759000025,0.6040029561382525,990.7804542729998,0.52744653494666,0.0,0.513875,1.3556911417200594,0.5143,0.10040240200338707,0.9999669917974616,3.3008202538376e-05
