round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.01027930599999749,0.007809404999999714,0.00030086699999998245,0.0009292997419834137,6.942078471183777e-06,0.0,0.0,0.019325819820451784,29.335313601,0.019325819820451784,29.335313601,0.2833380449255105,0.0,0.24710000000000001,2.265416976361991,0.2471,0.09708833096524157,1.0,0.0
1,0.0029624579999989464,0.005662721999996734,0.00028836300000278925,0.0009276587516069412,5.479902029037476e-06,0.0,0.0,0.009846681653634448,15.512446039000004,0.029172501474086232,44.84775964000001,0.403527494438787,0.0,0.3697,2.217380812373786,0.3697,0.09671808790512282,1.0,0.0
2,0.0030256570000020133,0.001842910000000586,0.00028073899999725427,0.0009791124612092972,5.884096026420593e-06,0.0,0.0,0.006134302557235571,15.355133867000006,0.0353068040313218,60.20289350700001,0.47912577876433793,0.0,0.45329999999999987,2.157751212104822,0.4533,0.09773707076397865,1.0,0.0
3,0.0030074419999976953,0.0018474990000072467,0.00028393399999515623,0.0009538661688566208,5.539506673812866e-06,0.0,0.0,0.006098280675530532,15.374352027000008,0.041405084706852335,75.57724553400001,0.5259379689328653,0.0,0.48899999999999993,2.0852009945403274,0.489,0.09830887997008189,1.0,0.0
4,0.0029927239999949506,0.001840045000008672,0.00028152000000147837,0.0009637344628572464,5.710870027542114e-06,0.0,0.0,0.00608373433288989,15.231607904,0.047488819039742225,90.80885343800001,0.5589775596336348,0.0,0.5201000000000001,1.9986094647703079,0.5201,0.09859165532525907,1.0,0.0
5,0.00304864899999302,0.0017726569999894082,0.00029230100000177117,0.0010087713599205017,5.319714546203613e-06,0.0,0.0,0.006127698074450905,15.321262704999995,0.05361651711419313,106.13011614300001,0.5836875102813004,0.0,0.5471000000000001,1.8987970485473975,0.5471,0.09874568123659475,1.0,0.0
6,0.003002592000001414,0.0018224299999900495,0.00027975700000126835,0.0009738709777593613,6.070360541343689e-06,0.0,0.0,0.006084720338293437,15.545475912,0.059701237452486566,121.67559205500001,0.6038805929829051,0.0,0.5666000000000001,1.787691875006825,0.5666,0.09880405014855644,1.0,0.0
7,0.003000657999990608,0.0018196849999867482,0.00029880200000320656,0.000975506380200386,6.062909960746765e-06,0.0,0.0,0.0061007142901416955,15.371723668000001,0.06580195174262826,137.047315723,0.6208637951072349,0.0,0.5849000000000001,1.668592788540898,0.5849,0.09882480732679676,1.0,0.0
8,0.0030390609999813023,0.001837558999994826,0.00027607999999190724,0.0009765196591615677,5.729496479034424e-06,0.0,0.0,0.006134949155608638,15.499279191,0.0719369008982369,152.546594914,0.6366048952231705,0.0,0.6033999999999999,1.5460047923718778,0.6034,0.09882851996441383,1.0,0.0
9,0.0030475769999895874,0.0017697809999788205,0.0002832330000046568,0.0009806249290704727,5.500391125679016e-06,0.0,0.0,0.0060867163201692165,15.39750607900001,0.07802361721840612,167.944100993,0.64909712534817,0.0,0.6219,1.424268430033431,0.6219,0.09879071270558175,1.0,0.0
10,0.003038097999990441,0.0018403840000189575,0.00028699000000642627,0.0009710062295198441,6.271526217460632e-06,0.0,0.0,0.00614274975575313,15.295641221000011,0.08416636697415925,183.23974221400002,0.6627819910158211,0.0,0.6365,1.308084791460738,0.6365,0.09871362173119201,1.0,0.0
11,0.002968086000009862,0.0018093359999795666,0.00027840399999945475,0.0009830202907323837,5.660578608512878e-06,0.0,0.0,0.00604450686932978,15.503028941999986,0.09021087384348903,198.742771156,0.6738878230624546,0.0,0.6550000000000001,1.2012268798038983,0.655,0.09856473293106335,1.0,0.0
12,0.0030604700000083085,0.0018398830000023736,0.00027411599998572456,0.0009888000786304474,5.76116144657135e-06,0.0,0.0,0.006169030240073425,15.313783645,0.09637990408356245,214.056554801,0.6855183328103522,0.0,0.67,1.1061546469267947,0.67,0.09838765903278099,1.0,0.0
13,0.0030513519999999517,0.001890567999993209,0.00029908300001579846,0.0009587947279214859,5.492940545082092e-06,0.0,0.0,0.006205290668475527,15.365698302000027,0.10258519475203798,229.42225310300003,0.6958806113733726,0.0,0.6822,1.024547921011623,0.6822,0.09816510048074396,1.0,0.0
14,0.0030292409999788106,0.0018841459999805465,0.00027977599998507685,0.0009652674198150635,5.882233381271362e-06,0.0,0.0,0.006164312653140769,15.609456383000008,0.10874950740517875,245.03170948600004,0.7069536005197475,0.0,0.697,0.9557068307940572,0.697,0.09784147072327067,1.0,0.0
15,0.003030012000010629,0.0017665139999962776,0.00028990499998826635,0.0009934715926647186,6.170943379402161e-06,0.0,0.0,0.006086073536039294,15.384460472,0.11483558094121804,260.41616995800007,0.7180315779410527,0.0,0.7051999999999999,0.8982984558842815,0.7052,0.09726960518102502,1.0,0.0
16,0.002934352000011131,0.0018770120000226598,0.00027397600001677347,0.000987200066447258,5.640089511871338e-06,0.0,0.0,0.006078180156009694,15.326485109999965,0.12091376109722773,275.74265506800003,0.7268903710462583,0.0,0.7169,0.8506537205495012,0.7169,0.09658210123478671,1.0,0.0
17,0.0030147829999691567,0.0017811820000019907,0.000278173000026527,0.0009815562516450882,5.710870027542114e-06,0.0,0.0,0.006061405121670305,15.359591221000017,0.12697516621889804,291.10224628900005,0.7346817397248143,0.0,0.7234999999999999,0.811315556684622,0.7235,0.09562255023770931,1.0,0.0
18,0.002969286999984888,0.0018413440000131231,0.0002779929999974229,0.0009789522737264633,5.790963768959045e-06,0.0,0.0,0.0060733672374908565,15.359300967999957,0.1330485334563889,306.461547257,0.7407938183702217,0.0,0.7287,0.7799814886178452,0.7287,0.09435345772867061,1.0,0.0
19,0.0029788450000296507,0.0018047660000206633,0.0002926210000282481,0.0009703356772661209,5.036592483520508e-06,0.0,0.0,0.0060516042698282035,15.325510728999973,0.1391001377262171,321.787057986,0.7470219994430148,0.0,0.7382,0.7522459350074061,0.7382,0.09292769578277703,1.0,0.0
20,0.003016246000015599,0.0018096249999643987,0.00029078699998308366,0.0009659193456172943,5.932524800300598e-06,0.0,0.0,0.006088509870380676,15.19108275299999,0.14518864759659778,336.97814073899997,0.7525119467536205,0.0,0.7454,0.7285747833716603,0.7454,0.0910549542791088,1.0,0.0
21,0.0030025990000126512,0.0017949470000075962,0.0002922090000083699,0.000966658815741539,5.7015568017959595e-06,0.0,0.0,0.006062115372571952,15.308293976000016,0.15125076296916973,352.286434715,0.7580763575852543,0.0,0.7498000000000001,0.7076610027791593,0.7498,0.08938181417246482,1.0,0.0
22,0.0029239810000376565,0.0018542489999617828,0.0002999350000436607,0.0009793806821107864,5.649402737617493e-06,0.0,0.0,0.006063195084891504,15.216838334999977,0.15731395805406123,367.50327304999996,0.7620843692966858,0.0,0.7567,0.6893705824693552,0.7567,0.08788785906240398,1.0,0.0
23,0.003040350000048875,0.0017968509999946036,0.0002987820000157626,0.0009758565574884415,5.772337317466736e-06,0.0,0.0,0.006117611894865149,15.33346596499996,0.16343156994892638,382.8367390149999,0.765578936452826,0.0,0.7603,0.673193856645316,0.7603,0.08644052379447038,1.0,0.0
24,0.0029637449999881937,0.0018442699999923207,0.0002769010000065464,0.0009812768548727036,5.770474672317505e-06,0.0,0.0,0.006071963329532082,15.353186048999987,0.16950353327845846,398.1899250639999,0.7693758074591078,0.0,0.7637999999999999,0.6585643882759082,0.7638,0.08506816739637509,1.0,0.0
25,0.0030533039999909306,0.0017990140000279098,0.00027851400000145077,0.000964755192399025,6.44288957118988e-06,0.0,0.0,0.006102030081990506,15.415281531999995,0.17560556336044897,413.6052065959999,0.7741444184555336,0.0,0.7706,0.6442211456001757,0.7706,0.08406722083714334,1.0,0.0
26,0.0030405200000132027,0.0018275379999863617,0.0002942130000178622,0.0009663887321949005,5.8002769947052e-06,0.0,0.0,0.006134460009207032,15.229767976999995,0.181740023369656,428.8349745729999,0.778934986341052,0.0,0.7755,0.6310473580520374,0.7755,0.08296270129960401,1.0,0.0
27,0.0029329679999818836,0.0018388689999824237,0.000279655999975148,0.0009884797036647797,5.3122639656066895e-06,0.0,0.0,0.006045284967569842,15.349413899000012,0.18778530833722584,444.1843884719999,0.782496973619966,0.0,0.7783999999999999,0.6189666832217012,0.7784,0.08207979789109454,1.0,0.0
28,0.003036781999981031,0.0018026609999992615,0.0002982909999786898,0.0009875893592834473,5.7891011238098145e-06,0.0,0.0,0.006131112460366239,15.488720048000005,0.19391642079759208,459.6731085199999,0.7870041439029812,0.0,0.7858,0.6063028181703708,0.7858,0.0814150109939754,1.0,0.0
29,0.003021994000050654,0.001837887000021965,0.0002774419999695965,0.000985434278845787,5.498528480529785e-06,0.0,0.0,0.006128255807368532,15.299258538000004,0.20004467660496061,474.9723670579999,0.7912946840725864,0.0,0.7882999999999999,0.5941650370439402,0.7883,0.08064371234859063,1.0,0.0
