round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
0,0,1.9598132092936509,0.4171185539606592,9405,0,0,1566,2.271425152739016,0.1101,0.975639722206724,0.08725959328586551,0,0,0,0,0,0,5,0.001,0.1
0,1,2.004109812091898,0.40931583226855617,8609,0,0,1435,2.271425152739016,0.1101,0.9813175053466983,0.0877674047620515,0,0,0,0,0,0,5,0.001,0.1
0,2,2.056294456368587,0.39705392596387856,7807,0,0,1301,2.271425152739016,0.1101,0.9884000706670297,0.08840085761888562,0,0,0,0,0,0,5,0.001,0.1
0,3,2.1165650846751314,0.3649107780157031,7005,0,0,1167,2.271425152739016,0.1101,0.9939664170874953,0.0888987023803099,0,0,0,0,0,0,5,0.001,0.1
0,4,2.1543185971446874,0.33599871030146705,6203,0,0,1034,2.271425152739016,0.1101,0.9965885149249744,0.08913321844771299,0,0,0,0,0,0,5,0.001,0.1
0,5,2.1882227638064053,0.31675615626735787,5401,0,0,900,2.271425152739016,0.1101,0.9924328796802838,0.08876154534642114,0,0,0,0,0,0,5,0.001,0.1
0,6,2.215400339828597,0.2863913043478261,4600,0,0,767,2.271425152739016,0.1101,0.9839098175136141,0.08799925684864289,0,0,0,0,0,0,5,0.001,0.1
0,7,2.2379321454953747,0.23959978936282253,3798,0,0,633,2.271425152739016,0.1101,0.95844302949491,0.08572154970508461,0,0,0,0,0,0,5,0.001,0.1
0,8,2.2524577698809036,0.1793724966622163,2996,0,0,500,2.271425152739016,0.1101,0.9275601784926195,0.0829594389006243,0,0,0,0,0,0,5,0.001,0.1
0,9,2.2745882089587224,0.15068368277119418,2194,0,0,366,2.271425152739016,0.1101,0.8740231195794698,0.07817117343730708,0,0,0,0,0,0,5,0.001,0.1
0,10,2.2855329459363762,0.11939655172413793,1392,0,0,232,2.271425152739016,0.1101,0.7991636259207725,0.07147586489096268,0,0,0,0,0,0,5,0.001,0.1
0,11,2.3021718878495068,0.09661016949152543,590,0,0,99,2.271425152739016,0.1101,0.7094429214212956,0.06345139437613176,0,0,0,0,0,0,5,0.001,0.1
1,0,1.7136071810511504,0.5086018075491759,9405,0,0,1566,2.213298065593829,0.3234,0.9666149554047759,0.08588808858732672,0,0,0,0,0,0,5,0.001,0.1
1,1,1.763001817862193,0.5020095249157858,8609,0,0,1435,2.213298065593829,0.3234,0.972025064788905,0.08638087763845445,0,0,0,0,0,0,5,0.001,0.1
1,2,1.8206813060357923,0.49373639041885486,7807,0,0,1301,2.213298065593829,0.3234,0.9767771730173214,0.0869302541266334,0,0,0,0,0,0,5,0.001,0.1
1,3,1.904938123433013,0.46552462526766597,7005,0,0,1167,2.213298065593829,0.3234,0.9835038356697954,0.08745993023515052,0,0,0,0,0,0,5,0.001,0.1
1,4,1.9643340996860228,0.4456553280670643,6203,0,0,1034,2.213298065593829,0.3234,0.9900178208671536,0.08781891571133763,0,0,0,0,0,0,5,0.001,0.1
