round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.010808417999999875,0.00795770599999912,0.00029430500000060533,0.0009144321084022522,6.152316927909851e-06,1.286529004573822e-05,0.022885503247380257,0.04287938196275576,29.563076689,0.04287938196275576,29.563076689,0.28950301448116783,0.0,0.1008,2.2596188002881914,0.1008,0.09715027296397838,1.0,0.0
1,0.003006854999995312,0.0059817209999977194,0.0003060069999989423,0.0009140186011791229,5.39049506187439e-06,7.484108209609985e-06,0.021454693749547005,0.031676169953989586,15.581179729000002,0.07455555191674534,45.144256418,0.4215877115277386,0.0,0.3007166666666667,2.1996771420914527,0.3007,0.09701556759289254,1.0,0.0
2,0.003032623999999373,0.001863640999999916,0.00029456499999724883,0.0009696278721094131,5.880370736122131e-06,6.964430212974548e-06,0.01784818433225155,0.024021487005306597,15.421607360000003,0.09857703892205194,60.565863778,0.5281577404925072,0.0,0.5004,2.121788089648603,0.5004,0.09802476884081518,1.0,0.0
3,0.0030460279999999784,0.006100442000004591,0.00029997500000433774,0.000936383381485939,5.811452865600586e-06,7.111579179763794e-06,0.02094038762152195,0.03133613903506216,15.438250058000001,0.1299131779571141,76.004113836,0.577978185868724,0.0,0.5547916666666667,2.025061419977548,0.5548,0.09849827669254542,1.0,0.0
4,0.003041980000006106,0.0018005619999996725,0.00028398500001003413,0.0009519215673208237,5.869194865226746e-06,7.20098614692688e-06,0.02210971713066101,0.0282012358790098,15.323588496,0.1581144138361239,91.327702332,0.6042796718082694,0.0,0.5833000000000002,1.9113711598582162,0.5833,0.09873664666697214,1.0,0.0
5,0.0030188860000066597,0.0018626279999978124,0.0002965689999996357,0.0009847451001405716,5.6121498346328735e-06,6.511807441711426e-06,0.019039493054151535,0.02521444511157256,15.559473089999997,0.18332885894769646,106.887175422,0.6281590751653886,0.0,0.6059,1.784709007976154,0.6059,0.09881385067794755,1.0,0.0
6,0.0030416290000090385,0.0018263289999964627,0.0003038320000001704,0.0009790360927581787,6.159767508506775e-06,7.724389433860779e-06,0.01782536692917347,0.023990077178879687,15.491888898,0.20731893612657615,122.37906432,0.648122925861703,0.0,0.6292,1.649808642963251,0.6292,0.0988420676127409,1.0,0.0
7,0.002952118999985487,0.0018480399999987185,0.0002842160000113836,0.0009653773158788681,5.921348929405212e-06,6.904825568199158e-06,0.02051672525703907,0.02657930374741113,15.380890112000017,0.23389823987398728,137.75995443200003,0.6647218688748985,0.0,0.6515000000000001,1.512105027707621,0.6515,0.09884754999749067,1.0,0.0
8,0.003081812000004902,0.0036895970000045963,0.00030744900001877795,0.0009564310312271118,5.7406723499298096e-06,7.012858986854553e-06,0.019379207864403725,0.027427250426995897,15.404442749999987,0.2613254903009832,153.16439718200002,0.6782845910724947,0.0,0.6682750000000001,1.3779188447866957,0.6683,0.09879766206115953,1.0,0.0
9,0.003003824999979088,0.0019009990000142807,0.00029250099998989754,0.0009701568633317947,5.772337317466736e-06,7.45430588722229e-06,0.01742510497570038,0.023605813482220128,15.635746366999996,0.2849313037832033,168.800143549,0.6895266732696398,0.0,0.6805,1.2527272922162431,0.6805,0.09870734833488543,1.0,0.0
10,0.0030067810000105055,0.00392347700000073,0.0002901359999896158,0.0009636729955673218,5.861744284629822e-06,6.9141387939453125e-06,0.019706619903445244,0.027903462782091992,15.450116037000015,0.3128347665652953,184.25025958600003,0.6984016151982587,0.0,0.6893000000000001,1.1408489135126718,0.6893,0.09856217567645047,1.0,0.0
11,0.0029454939999880025,0.001824805000012475,0.00030210899998905916,0.0009883120656013489,5.42961061000824e-06,7.314607501029968e-06,0.017417285591363907,0.02349074987506583,15.512392756999986,0.3363255164403611,199.762652343,0.7064111249994282,0.0,0.6996916666666667,1.0444440165647684,0.6997,0.09833454624908161,1.0,0.0
12,0.0029447929999832922,0.0019026509999946484,0.00028029700001752644,0.0009784623980522156,5.280598998069763e-06,7.616356015205383e-06,0.01770547777414322,0.023824578127204177,15.551414426999997,0.3601500945675653,215.31406677,0.713002038082745,0.0,0.7080083333333334,0.963746364314716,0.708,0.09797765163285974,1.0,0.0
13,0.0030230300000084753,0.0018648199999802273,0.0003030400000056943,0.000973852351307869,5.561858415603638e-06,6.973743438720703e-06,0.01711002178490162,0.02328729973805821,15.613377186999998,0.3834373943056235,230.927443957,0.7211162800800254,0.0,0.7158416666666665,0.8977013495021735,0.7158,0.09746421828579742,1.0,0.0
14,0.00299688000001197,0.003968258000014657,0.00029063699997777803,0.0009537730365991592,5.951151251792908e-06,6.83218240737915e-06,0.01841297559440136,0.026635306964664096,15.309660328999996,0.4100727012702876,246.237104286,0.7265150245063273,0.0,0.7225,0.8445905207064205,0.7225,0.09667423141005489,1.0,0.0
15,0.0029528059999961442,0.0018680959999528568,0.000301387000035902,0.000988168641924858,5.751848220825195e-06,6.861984729766846e-06,0.01881590113043785,0.024938972605298204,15.584611518999992,0.4350116738755858,261.821715805,0.732941325855058,0.0,0.7296999999999999,0.8023781372716252,0.7297,0.09550707108903934,1.0,0.0
16,0.0029945249999627777,0.0019351509999978589,0.0002992430000290369,0.0009756051003932953,5.0533562898635864e-06,7.323920726776123e-06,0.020173149183392525,0.026390050560792133,15.49914953299998,0.46140172443637795,277.320865338,0.7389128625073496,0.0,0.7341999999999999,0.7686314457140792,0.7342,0.0938421955335417,1.0,0.0
17,0.003007629000023826,0.0018689570000560707,0.00029615799996918213,0.0009703878313302994,5.232170224189758e-06,7.82497227191925e-06,0.019094208255410194,0.02525039722928568,15.506229714000028,0.48665212166566363,292.827095052,0.7451943428645257,0.0,0.7410583333333332,0.7407043867598707,0.7411,0.09217098554425517,1.0,0.0
18,0.002934370999980729,0.0018287099999838574,0.00030660700002727026,0.0009753666818141937,5.811452865600586e-06,6.493180990219116e-06,0.020695889368653297,0.026753248684315167,15.370736100999977,0.5134053703499788,308.197831153,0.7517281513162928,0.0,0.7477,0.7182132924517123,0.7477,0.09029513886099239,1.0,0.0
19,0.0029720519999614226,0.00490597999998954,0.0002782539999657274,0.0009304527193307877,5.77978789806366e-06,7.363036274909973e-06,0.020502982661128044,0.029602864204548496,15.631307169999957,0.5430082345545273,323.82913832299994,0.7580230370619713,0.0,0.7531,0.6985509715522059,0.7531,0.08822400744348428,1.0,0.0
20,0.003054506000012225,0.0018618029999970531,0.00027930600003855943,0.000980256125330925,6.051734089851379e-06,7.573515176773071e-06,0.0217423215508461,0.027931817925491487,15.654765409999982,0.5709400524800188,339.4839037329999,0.7639052503695393,0.0,0.7583083333333334,0.680372005643936,0.7583,0.086833917837384,1.0,0.0
21,0.0029595869999639035,0.0018657989999724123,0.0002957160000391923,0.0009863171726465225,5.120411515235901e-06,7.284805178642273e-06,0.02089482545852661,0.02701464984784252,15.341468856999995,0.5979547023278613,354.8253725899999,0.7702982595877198,0.0,0.7626916666666667,0.6648067715830697,0.7627,0.08567161532296863,1.0,0.0
22,0.0029987209999831066,0.001832466999985627,0.00028603800001292257,0.0009768959134817123,6.4391642808914185e-06,6.752088665962219e-06,0.023471010848879814,0.029578324015290036,15.450295838999978,0.6275330263431513,370.2756684289999,0.7744532535186647,0.0,0.7682000000000001,0.6488689273691025,0.7682,0.08409898653840304,1.0,0.0
23,0.003011214000025575,0.001894233000029999,0.00028192000002036366,0.0009535122662782669,5.781650543212891e-06,7.1320682764053345e-06,0.022231033071875572,0.028384826057049395,15.539013729000033,0.6559178524002007,385.8146821579999,0.7790991645190287,0.0,0.7735249999999999,0.6364621295334812,0.7735,0.08263634629315991,1.0,0.0
24,0.003059785000004922,0.0038632659999962016,0.00030397199998333235,0.0009810365736484528,5.8319419622421265e-06,6.983056664466858e-06,0.021385543048381805,0.029606417620641423,15.650564627999984,0.6855242700208422,401.4652467859999,0.7842657493273513,0.0,0.7759916666666666,0.6230653684360151,0.776,0.08192983643225846,1.0,0.0
25,0.003263808000042445,0.006451873999992586,0.00029710900003010465,0.0009075365960597992,5.8729201555252075e-06,7.517635822296143e-06,0.021921969950199127,0.03285568810230188,15.470094613000015,0.718379958123144,416.9353413989999,0.7892283737934269,0.0,0.7811833333333333,0.6098234498272308,0.7812,0.08141860198501398,1.0,0.0
26,0.003024237000033736,0.0017970899999681933,0.00028493600001411323,0.0009826570749282837,5.859881639480591e-06,6.984919309616089e-06,0.02481258101761341,0.030914345893506834,15.512713415999997,0.7492943040166509,432.4480548149999,0.7929391616686403,0.0,0.7848,0.5977976718268836,0.7848,0.08002397637527012,1.0,0.0
27,0.003041840000037155,0.0018948630000181765,0.0002953960000127154,0.0009710751473903656,5.148351192474365e-06,6.971880793571472e-06,0.02129293978214264,0.027508234161587097,15.347008920999997,0.776802538178238,447.7950637359999,0.796446738920675,0.0,0.7895666666666666,0.5875721192969301,0.7896,0.07947004115576686,1.0,0.0
28,0.003030158000001393,0.0018627430000037748,0.00028019600000561695,0.0009644422680139542,5.709007382392883e-06,7.484108209609985e-06,0.024343835189938545,0.030494567573555287,15.578932890999965,0.8072971057517933,463.3739966269999,0.8000504855173082,0.0,0.7914666666666667,0.5777594909881251,0.7915,0.07853122508891494,1.0,0.0
29,0.0030336540000348577,0.0018345390000149564,0.0003081689999930859,0.0009754542261362076,5.681067705154419e-06,7.646158337593079e-06,0.021886011585593224,0.02805115503781508,15.679249195000011,0.8353482607896083,479.0532458219999,0.8045314248586356,0.0,0.7968500000000001,0.5657479436919332,0.7969,0.07778953310397531,1.0,0.0
30,0.0030894889999899533,0.0018036609999967368,0.00028124900001103015,0.0009962134063243866,5.992129445075989e-06,7.525086402893066e-06,0.021370982751250267,0.027555112373420343,15.392073635000031,0.8629033731630287,494.4453194569999,0.8072633805353844,0.0,0.8011083333333334,0.5553671745732188,0.8012,0.07718633746552302,1.0,0.0
31,0.003086031999998795,0.0036712020000209122,0.00030361099999254293,0.0009953416883945465,5.7406723499298096e-06,7.096678018569946e-06,0.02203517034649849,0.030104194385273786,15.709603511000012,0.8930075675483025,510.15492296799994,0.811445247631689,0.0,0.8054416666666667,0.5452310551945775,0.8054,0.07645651189337503,1.0,0.0
32,0.0030479499999955806,0.001807086999974672,0.00029605600002469146,0.0010037478059530258,6.172806024551392e-06,7.5232237577438354e-06,0.02252458967268467,0.028693126508414935,15.328972734000047,0.9217006940567174,525.4838957019999,0.8142815731774077,0.0,0.8083916666666666,0.5366063092748958,0.8084,0.07563943721190108,1.0,0.0
33,0.0030484210000167877,0.001778904999923725,0.0002831429999332613,0.0009992364794015884,6.042420864105225e-06,7.063150405883789e-06,0.022574089467525482,0.028696900518070834,15.619959425000047,0.9503975945747882,541.103855127,0.8181858070850847,0.0,0.8122166666666667,0.5265702544785917,0.8123,0.07493771087010906,1.0,0.0
34,0.0030730270000276505,0.0017995529999552673,0.00027892399998563633,0.0009673181921243668,6.170943379402161e-06,7.404014468193054e-06,0.023439675569534302,0.029572072719474818,15.41739428599999,0.979969667294263,556.521249413,0.8212788130451529,0.0,0.81465,0.5189020433745826,0.8147,0.07386573087021572,1.0,0.0
35,0.0030674370000269846,0.001811695000014879,0.000294965000080083,0.0010080356150865555,5.4817646741867065e-06,7.646158337593079e-06,0.02175009623169899,0.027945356769919272,15.555021570000008,1.0079150240641823,572.076270983,0.8243908535325817,0.0,0.8186166666666667,0.5090270968386159,0.8186,0.0733338673789061,1.0,0.0
36,0.0030130339999914213,0.0018794030000890416,0.00029605700001411606,0.000987377017736435,5.589798092842102e-06,6.632879376411438e-06,0.02267109788954258,0.028859191584842847,15.51022100099999,1.0367742156490252,587.586491984,0.8272713350614431,0.0,0.8193333333333334,0.502638626308106,0.8194,0.07236652400750453,1.0,0.0
37,0.0029599240000379723,0.0018969959999139974,0.00029253000002427143,0.0009723994880914688,6.2640756368637085e-06,7.484108209609985e-06,0.021146558225154877,0.02728215589706906,15.680563674999917,1.0640563715460942,603.2670556589999,0.8296297881054137,0.0,0.8243583333333334,0.4934319777134508,0.8244,0.07153136216549909,1.0,0.0
38,0.0030726159999403535,0.0040515750000622575,0.0002889429999868298,0.0009651836007833481,6.861984729766846e-06,7.443130016326904e-06,0.022353848442435265,0.030746471157954147,15.56621274600002,1.0948028427040484,618.8332684049999,0.8326043524982403,0.0,0.8274666666666666,0.4867103159808503,0.8275,0.07049937541193034,1.0,0.0
39,0.0030283019999615135,0.0018314330000066548,0.0003016769999248936,0.0009588412940502167,6.120651960372925e-06,6.981194019317627e-06,0.021604841575026512,0.02773819671494948,15.563456889000008,1.1225410394189979,634.3967252939999,0.8344188771233122,0.0,0.8300500000000001,0.4788095140323852,0.8302,0.06951523258991892,1.0,0.0
40,0.003035906000036448,0.0018998809999857258,0.0002944230000139214,0.000976836308836937,6.102025508880615e-06,7.644295692443848e-06,0.022942371666431427,0.029163164296505784,15.659604241000011,1.1517042037155036,650.0563295349999,0.837113093078953,0.0,0.8342,0.4711275433008663,0.8345,0.06852591799337591,1.0,0.0
41,0.002956285999971442,0.0019121029999951134,0.0002942730000086158,0.0009613353759050369,5.979090929031372e-06,6.705522537231445e-06,0.02303376980125904,0.02917045179060551,15.577189171999976,1.1808746555061091,665.6335187069999,0.840020901306011,0.0,0.8271749999999999,0.4776768792218294,0.827,0.06620071680349486,1.0,0.0
42,0.0029516879999391676,0.003920748000041385,0.00029887099992720323,0.0009831972420215607,6.029382348060608e-06,7.3034316301345825e-06,0.02172880806028843,0.02989664511619594,15.389621015999978,1.210771300622305,681.0231397229999,0.8415875764394237,0.0,0.8360916666666666,0.45962488948822783,0.8362,0.06675594519966399,1.0,0.0
43,0.0029671059999145655,0.0018976769999881071,0.000296256999945399,0.0009716469794511795,5.39049506187439e-06,7.3034316301345825e-06,0.0229946356266737,0.02914001653266496,15.485493061999932,1.23991131715497,696.5086327849998,0.8441685935129234,0.0,0.8377,0.45315635256683484,0.8377,0.0657869440361609,1.0,0.0
44,0.0029815829999506605,0.0018729099999745813,0.00028304199997819524,0.0009572189301252365,6.372109055519104e-06,7.12275505065918e-06,0.02135191485285759,0.02746016364699244,15.633444789999999,1.2673714808019625,712.1420775749998,0.846406795464397,0.0,0.8406333333333333,0.4484359561778105,0.8408,0.06469180431739237,1.0,0.0
45,0.003035934999957135,0.0018675200000188852,0.000301387000035902,0.000972917303442955,5.3998082876205444e-06,7.0445239543914795e-06,0.02518688142299652,0.03137708505869341,15.604239759000052,1.298748565860656,727.7463173339999,0.8488782666965969,0.0,0.8373500000000001,0.4502358001927598,0.8373,0.06357301729689385,1.0,0.0
46,0.00293318100000306,0.0018983470000648595,0.00027748200000132783,0.0009433645755052567,5.619600415229797e-06,7.074326276779175e-06,0.02202749252319336,0.028092561025459872,15.439605326000105,1.3268411268861158,743.18592266,0.850705665118424,0.0,0.8388083333333335,0.44636092772975133,0.8393,0.061829660265352956,1.0,0.0
47,0.0030160569999679865,0.0018320730000596086,0.00027741100007006025,0.0009698420763015747,5.992129445075989e-06,6.861984729766846e-06,0.02304665558040142,0.029154892770975493,15.50491820000002,1.3559960196570913,758.69084086,0.8523916901632571,0.0,0.845825,0.4332240755898884,0.846,0.06166195041769439,1.0,0.0
48,0.003062153999962902,0.0035980110000082277,0.0003067970000074638,0.0009800717234611511,6.152316927909851e-06,6.863847374916077e-06,0.023941446095705032,0.0319014959834476,15.480305420000036,1.3878975156405389,774.17114628,0.8532531844143058,0.0,0.8483166666666667,0.4284701896980167,0.8485,0.06021519900989048,1.0,0.0
49,0.0030146139999942534,0.0018771169999354242,0.0002848850000418679,0.000956336036324501,5.7891011238098145e-06,6.543472409248352e-06,0.02221347764134407,0.028358762251173175,15.450974664,1.416256277891712,789.622120944,0.8551502627406528,0.0,0.8502916666666667,0.42616934519701494,0.8504,0.05870263068224055,1.0,0.0
50,0.0030389500000183034,0.001867948999915825,0.0002847150000206966,0.0009691100567579269,5.619600415229797e-06,7.245689630508423e-06,0.022267069667577744,0.028440659014336234,15.590731149000021,1.4446969369060483,805.212852093,0.8572436328637302,0.0,0.8509333333333333,0.4195797243200171,0.851,0.05864457228061774,1.0,0.0
51,0.0030491789999587127,0.0018734400000539608,0.0003000030000066545,0.0009739920496940613,5.669891834259033e-06,7.281079888343811e-06,0.021870292723178864,0.028079857744614856,15.48471703100006,1.4727767946506631,820.6975691240001,0.8584921285609397,0.0,0.8531833333333334,0.4153510513968361,0.8534,0.05723183924985722,1.0,0.0
52,0.0030280999999376945,0.001852791000032994,0.0002847150000206966,0.0009696595370769501,6.452202796936035e-06,6.712973117828369e-06,0.02204573154449463,0.02819416225747773,15.54415382500008,1.5009709569081409,836.2417229490002,0.8600069722311349,0.0,0.8543083333333333,0.4111069353005757,0.8546,0.05611599048917428,1.0,0.0
53,0.0030699970000114263,0.003963698000006843,0.0003008649999856061,0.000966263934969902,5.431473255157471e-06,7.092952728271484e-06,0.022250935435295105,0.03056428379625231,15.592266498999948,1.5315352407043932,851.8339894480001,0.8613395707890724,0.0,0.8544833333333334,0.4106358844822588,0.8553,0.05508534372613785,1.0,0.0
54,0.0030239719999372028,0.0018220729999711693,0.0002822899999728179,0.0009704846888780594,6.239861249923706e-06,6.251037120819092e-06,0.021724224090576172,0.027835534677706164,15.429401464999955,1.5593707753820993,867.2633909130001,0.8624578594698109,0.0,0.8573166666666666,0.40431537333959205,0.8581,0.05476112613665024,1.0,0.0
55,0.003045611000061399,0.0018019149999872752,0.000274506000096153,0.000981723889708519,5.420297384262085e-06,6.681308150291443e-06,0.021555446088314056,0.027671303583701956,15.64046899099992,1.5870420789658013,882.903859904,0.8637477602990914,0.0,0.8579833333333333,0.4015811433950171,0.8586,0.05379843924390418,1.0,0.0
56,0.0030367850000629915,0.0018577799999093259,0.00029483299999810697,0.0009922049939632416,5.928799510002136e-06,7.836148142814636e-06,0.0211085956543684,0.027303963595954883,15.499487669000018,1.6143460425617562,898.403347573,0.8661220623263897,0.0,0.8573833333333334,0.3975208035339943,0.8577,0.05279761460542808,1.0,0.0
57,0.0030236500000455635,0.0018402270000024146,0.0002936119999503717,0.000991910696029663,5.621463060379028e-06,7.484108209609985e-06,0.021446678787469864,0.027609184054767866,15.53689185799999,1.641955226616524,913.940239431,0.866748804882405,0.0,0.8593083333333333,0.39459690251670326,0.8595,0.0520801566486764,1.0,0.0
58,0.0029541799999606155,0.0019000099999857412,0.00031067400004758383,0.0009932555258274078,5.841255187988281e-06,9.106472134590149e-06,0.02157844789326191,0.027751515146405836,15.632555398000022,1.6697067417629299,929.572794829,0.867651538731356,0.0,0.8552416666666666,0.39974402748167326,0.8569,0.05040482397293476,1.0,0.0
59,0.003062934000013229,0.0018703340000456592,0.0002994720000515372,0.0009826160967350006,6.102025508880615e-06,6.852671504020691e-06,0.020833797752857208,0.027062108546715535,15.585483373999978,1.6967688503096454,945.158278203,0.8688572428324474,0.0,0.8609166666666667,0.38952861795314964,0.8611,0.050982297782905965,1.0,0.0
60,0.0029981019999922864,0.0018421899999339075,0.0002841840000655793,0.0009815245866775513,5.539506673812866e-06,7.3052942752838135e-06,0.02041865512728691,0.026537500514905332,15.520034341999917,1.7233063508245507,960.6783125449999,0.8699059967834429,0.0,0.8615166666666667,0.38625034032919153,0.8616,0.049659931935341,1.0,0.0
61,0.0030447099999264537,0.0018720260000009148,0.0002922090000083699,0.0009897593408823013,5.513429641723633e-06,8.435919880867004e-06,0.021916622295975685,0.028129275986316316,15.528557397999975,1.751435626810867,976.2068699429999,0.8709335291472414,0.0,0.8596166666666666,0.3910780592134204,0.8596,0.049257729689737864,1.0,0.0
62,0.002938220000032743,0.0018865739999682773,0.00028543600001285085,0.0009731072932481766,5.790963768959045e-06,6.822869181632996e-06,0.020696569234132767,0.026792520360345407,15.536343625999962,1.7782281471712125,991.7432135689999,0.8720626424120771,0.0,0.8618333333333333,0.3814597961287529,0.8624,0.048666985920169416,1.0,0.0
63,0.0030272459999878265,0.0037490629999865632,0.0003030789999911576,0.0009594112634658813,5.859881639480591e-06,7.014721632003784e-06,0.02125331200659275,0.029304985873295664,15.569132073999981,1.8075331330445081,1007.3123456429998,0.8728758612936428,0.0,0.8587666666666666,0.39142979383944704,0.8581,0.04773310323386035,1.0,0.0
64,0.003016837000018313,0.0018138169999701859,0.0002948740000192629,0.0009814836084842682,6.079673767089844e-06,7.41519033908844e-06,0.022449780255556107,0.028570286728154315,15.608452013000033,1.8361034197726624,1022.9207976559999,0.873741531353938,0.0,0.8639916666666667,0.3774676854951313,0.8643,0.04687321234285797,1.0,0.0
65,0.002963275999945836,0.0018444849999923463,0.00030081499994594196,0.0009585898369550705,7.18235969543457e-06,7.642433047294617e-06,0.0219365656375885,0.028018556267170425,15.60974763999991,1.8641219760398329,1038.5305452959997,0.8742846965553416,0.0,0.8663333333333333,0.374658001259493,0.8675,0.046833250631903,1.0,0.0
66,0.0029685360000257788,0.0018251979997785384,0.00028255999995963066,0.0009788796305656433,5.412846803665161e-06,6.804242730140686e-06,0.021666640415787697,0.027734031135651094,15.580647665000015,1.891856007175484,1054.1111929609997,0.8754683435802039,0.0,0.8660416666666667,0.3724347821677836,0.8665,0.046247943362710764,1.0,0.0
67,0.003102978000015355,0.001799731000119209,0.0002855870000075811,0.0009712334722280502,5.990266799926758e-06,6.40377402305603e-06,0.021654432639479637,0.027826356152672815,15.558498725999925,1.9196823633281568,1069.6696916869996,0.8762177906914895,0.0,0.8657833333333333,0.3736953210240355,0.8676,0.04547059837503779,1.0,0.0
68,0.0029471959999227693,0.001850334999971892,0.0002979000000777887,0.0009783878922462463,6.241723895072937e-06,7.191672921180725e-06,0.0218362957239151,0.02792354801295005,15.497378760999936,1.9476059113411068,1085.1670704479995,0.8775232020861327,0.0,0.8672916666666666,0.37193537901003904,0.8688,0.04402291121879802,1.0,0.0
69,0.003017717999910019,0.004030661000115288,0.00029422300008263846,0.0009511467069387436,5.04031777381897e-06,7.504597306251526e-06,0.021894624456763268,0.030200918078890027,15.616960569999947,1.9778068294199969,1100.7840310179995,0.8781972948174092,0.0,0.8622916666666667,0.3770119069388118,0.8629,0.04431694326770098,1.0,0.0
70,0.003013960999851406,0.001880972999970254,0.0002927600000930397,0.0009858813136816025,5.640089511871338e-06,7.584691047668457e-06,0.022527111694216728,0.02871391178837257,15.400086166999927,2.0065207412083694,1116.1841171849994,0.8789615537432803,0.0,0.8689750000000002,0.3653995619890408,0.8699,0.04410638678916413,1.0,0.0
