round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma,client_i_corrupted_labels,client_i_corruption_fraction
0,0,1.9372104829671433,0.46160552897395,9405,0,0,1566,2.2700396163014176,0.245,0.9740002650582325,0.08725452268998389,0.08703376183388388,0.08891359239302135,0.9788577819259963,202547,0.9788567672842907,0.02114323271570928,5,0.001,0.1,,
0,1,2.004538805308165,0.44272273202462537,8609,0,0,1435,2.270039617824859,0.245,0.9818487385966783,0.0879576177886296,0.08773148826359946,0.08891359239302135,0.9867050233986341,204170,0.9867003025294555,0.013299697470544491,5,0.001,0.1,,
0,2,2.06042172254109,0.42677084667605997,7807,0,0,1301,2.270039615539697,0.245,0.9885576087047675,0.0885586230245321,0.08832783615848125,0.08891359239302135,0.9934120732301049,205558,0.9934081441316052,0.006591855868394836,5,0.001,0.1,,
0,3,2.1125612556117854,0.39354746609564595,7005,0,0,1167,2.270039610969373,0.245,0.9911815622474697,0.08879368642455641,0.08856106079265526,0.08891359239302135,0.9960351213816235,206101,0.9960323213578063,0.003967678642193717,5,0.001,0.1,,
0,4,2.1501880230362884,0.4206029340641625,6203,0,0,1034,2.2700396140162558,0.245,0.9951480168788622,0.08914901600510118,0.08891359239302135,0.08891359239302135,0.9999999999887531,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1,,
0,5,2.1961134466193837,0.3425661914460285,5401,0,0,900,2.270039610969373,0.245,0.9920114281271363,0.08886802885938387,0.08863481966944226,0.08891359239302135,0.9968646781996647,206273,0.9968635524497154,0.003136447550284638,5,0.001,0.1,,
0,6,2.2174125168058607,0.3191304347826087,4600,0,0,767,2.2700396170631385,0.245,0.9809443498621742,0.08787659932263293,0.08765109281040424,0.08891359239302135,0.9858008258397396,203983,0.9857965803539498,0.014203419646050208,5,0.001,0.1,,
0,7,2.2433756740153337,0.30658241179568196,3798,0,0,633,2.270039610207652,0.245,0.9571470047766193,0.08574474570696192,0.0855352254524087,0.08891359239302135,0.9620039315626637,199059,0.9624737823914326,0.03752621760856745,5,0.001,0.1,,
0,8,2.2604595016925892,0.2565420560747664,2996,0,0,500,2.2700396421999214,0.245,0.9265039815419176,0.08299963108837183,0.08280956169651031,0.08891359239302135,0.931348733830695,192716,0.931346111095002,0.06865388890499802,5,0.001,0.1,,
0,9,2.2756810264310974,0.2300820419325433,2194,0,0,366,2.270039834153538,0.245,0.8792538073580823,0.07876678686508749,0.07860429496390353,0.08891359239302135,0.8840526273594695,182929,0.884048095417597,0.11595190458240301,5,0.001,0.1,,
0,10,2.2856699726798317,0.21336206896551724,1392,0,0,232,2.27004301357574,0.2449,0.8040034121735933,0.07202557995826729,0.07190128921073348,0.08891359239302135,0.8086647640115843,167330,0.8086622012159171,0.19133779878408286,5,0.001,0.1,,
0,11,2.2974341543097245,0.15796610169491526,590,0,0,99,2.270068870946622,0.2447,0.69214801274105,0.06200516226649127,0.061925821766455204,0.08891359239302135,0.696471935269811,144115,0.6964701675027305,0.3035298324972695,5,0.001,0.1,,
1,0,1.6718681738895624,0.5451355661881978,9405,0,0,1566,2.2127195547183103,0.3903,0.9686268475331564,0.08589632234006855,0.08568569115725382,0.08752371823315483,0.9789996687299813,202576,0.9789969167125777,0.021003083287422286,5,0.001,0.1,,
1,1,1.7333530799989347,0.5393657799976769,8609,0,0,1435,2.212719557003472,0.3903,0.9745470430984423,0.08652682638581735,0.08631153212444917,0.08752371823315483,0.9861501986642904,204056,0.9861493702941205,0.01385062970587947,5,0.001,0.1,,
1,2,1.796817964608552,0.5322915332394005,7807,0,0,1301,2.2127195539565894,0.3903,0.9788405269207636,0.08704069360346481,0.08682154852998653,0.08752371823315483,0.9919773780372336,205261,0.9919728206763901,0.008027179323609857,5,0.001,0.1,,
1,3,1.8620829506007504,0.5111206281227695,7005,0,0,1167,2.2127195509097066,0.3903,0.9835578584604405,0.08734103366041496,0.08711961684781855,0.08752371823315483,0.9953829499650005,205966,0.9953799016054359,0.0046200983945641205,5,0.001,0.1,,
1,4,1.9237539564211343,0.5186845074963727,6203,0,0,1034,2.2127195501479857,0.3903,0.9892577974109011,0.08774824003001042,0.08752371823315483,0.08752371823315483,0.9999999999885745,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1,,
1,5,2.017221627150767,0.47206072949453803,5401,0,0,900,2.2127195547183103,0.3903,0.9939954238069302,0.08772858058431912,0.08750420935314016,0.08752371823315483,0.9997771017798571,206875,0.999772861271397,0.00022713872860302686,5,0.001,0.1,,
1,6,2.0724174234602186,0.42530434782608695,4600,0,0,767,2.2127195531948685,0.3903,0.9948841955592013,0.0871415931509259,0.08692168662097174,0.08752371823315483,0.9931215032298736,205498,0.9931181797972183,0.006881820202781719,5,0.001,0.1,,
1,7,2.131633696035177,0.4351764086361243,3798,0,0,633,2.212719557765193,0.3903,0.9923217937620987,0.08573310175994678,0.08552366668419796,0.08752371823315483,0.9771484622647535,202193,0.9771459777114082,0.02285402228859179,5,0.001,0.1,,
1,8,2.1730427726786186,0.3932576769025367,2996,0,0,500,2.2127195874723,0.3903,0.983533040541132,0.0837399148110045,0.0835447237785206,0.08752371823315483,0.9545381008038403,197514,0.9545335923681387,0.04546640763186127,5,0.001,0.1,,
1,9,2.2034386344577954,0.3865086599817685,2194,0,0,366,2.2127198830199317,0.3903,0.9636001208628148,0.08045782231439057,0.08028465716216092,0.08752371823315483,0.9172902932136974,189807,0.9172876736161452,0.08271232638385484,5,0.001,0.1,,
1,10,2.2264101982116697,0.35589080459770117,1392,0,0,232,2.2127242149255526,0.3903,0.9200004853362164,0.07484308403819105,0.07470365224689589,0.08752371823315483,0.8535246645605133,176613,0.8535245164844724,0.14647548351552764,5,0.001,0.1,,
1,11,2.2498794781534297,0.3064406779661017,590,0,0,99,2.2127627701805044,0.3902,0.8339621183791835,0.06580278732144607,0.06570797602554093,0.08752371823315483,0.7507447963962226,155345,0.7507418254221397,0.24925817457786026,5,0.001,0.1,,
2,0,1.4923368812012834,0.5880489101541733,9405,0,0,1566,2.14097993747114,0.4337,0.9785930232977893,0.08497695475199817,0.08477300195919796,0.08645323118641406,0.9805648764639728,202900,0.9805627241182668,0.019437275881733163,5,0.001,0.1,,
2,1,1.5400397752611725,0.5844581252177953,8609,0,0,1435,2.14097992680705,0.4337,0.9826974661491389,0.08550049681022243,0.08529275848694554,0.08645323118641406,0.9865768730152741,204144,0.9865746513178879,0.013425348682112093,5,0.001,0.1,,
2,2,1.5952329325382826,0.5819392852568208,7807,0,0,1301,2.1409799184281226,0.4337,0.9858964582211559,0.08592243099871302,0.08571160806715741,0.08645323118641406,0.9914216841861127,205146,0.9914170557021487,0.008582944297851336,5,0.001,0.1,,
2,3,1.6564009177086016,0.5705638829407566,7005,0,0,1167,2.140979924521888,0.4337,0.98946312400349,0.08622427543866636,0.08601122725232387,0.08645323118641406,0.9948873636182317,205864,0.9949014604536975,0.005098539546302461,5,0.001,0.1,,
2,4,1.7148987160515539,0.5683056585523134,6203,0,0,1034,2.140979922236726,0.4337,0.9928560849640126,0.08658655809078425,0.08637081854157,0.08645323118641406,0.9990467372391738,206724,0.9990431176965233,0.0009568823034766805,5,0.001,0.1,,
2,5,1.821597774353253,0.5408628031845955,5401,0,0,900,2.140979922236726,0.4337,0.995780505626532,0.08666959074365435,0.08645323118641406,0.08645323118641406,0.999999999988433,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1,,
2,6,1.893962984614902,0.5019130434782608,4600,0,0,767,2.1409799252836086,0.4337,0.9960140427195843,0.08631416509878917,0.08610045122484705,0.08645323118641406,0.9959194126382361,206077,0.9959163356240516,0.004083664375948426,5,0.001,0.1,,
2,7,1.9804702957137292,0.518957345971564,3798,0,0,633,2.140979942041464,0.4337,0.9946734069260534,0.08539943329461742,0.08519242932923264,0.08645323118641406,0.9854163708994491,203904,0.9854147939803404,0.014585206019659624,5,0.001,0.1,,
2,8,2.0513368226112205,0.47770360480640855,2996,0,0,500,2.140979982412661,0.4337,0.9891685556747698,0.0839875444568359,0.08379061994638161,0.08645323118641406,0.9692017151416767,200549,0.9692009549492079,0.030799045050792118,5,0.001,0.1,,
2,9,2.1040912697280665,0.46946216955332726,2194,0,0,366,2.14098029624159,0.4337,0.97878861553925,0.0816198346652153,0.08143907139882986,0.08645323118641406,0.9420014761771661,194920,0.9419974676448131,0.05800253235518693,5,0.001,0.1,,
2,10,2.145256762071089,0.43778735632183907,1392,0,0,232,2.1409851826798802,0.4337,0.9524316620419356,0.07728942125306759,0.07713588800124718,0.08645323118641406,0.89222677905504,184621,0.8922250896473067,0.10777491035269327,5,0.001,0.1,,
2,11,2.1854394962913113,0.43050847457627117,590,0,0,99,2.1410306391243736,0.4337,0.8851797999027667,0.06950929439743607,0.0693975646313585,0.08645323118641406,0.8027179976757359,166100,0.8027179323609863,0.19728206763901368,5,0.001,0.1,,
3,0,1.3574247257644627,0.6164805954279639,9405,0,0,1566,2.0535477719748743,0.4769,0.9823312563557602,0.08434249409928397,0.08414306703715735,0.08563645428310031,0.9825613138770478,203313,0.9825586452866297,0.017441354713370272,5,0.001,0.1,,
3,1,1.3974956163212104,0.6193286095946103,8609,0,0,1435,2.0535477655002485,0.4769,0.9858822861064745,0.08478089589253472,0.08457834883651283,0.08563645428310031,0.98764421698174,204365,0.9876861812663709,0.012313818733629134,5,0.001,0.1,,
3,2,1.4389616660407332,0.6179582426027924,7807,0,0,1301,2.0535477571213208,0.4769,0.9886636303141129,0.08513159883739024,0.08492653268681133,0.08563645428310031,0.9917100538173403,205206,0.9917070200365355,0.008292979963464453,5,0.001,0.1,,
3,3,1.4926056960946348,0.6026266952177016,7005,0,0,1167,2.0535477643576674,0.4769,0.991790518249192,0.08541941868906272,0.08521226964089826,0.08563645428310031,0.9950466813841355,205897,0.9950464426208909,0.004953557379109075,5,0.001,0.1,,
3,4,1.541248512821099,0.6003869095598904,6203,0,0,1034,2.053547759406483,0.4769,0.9944629795120612,0.08572977516186123,0.0855203644169012,0.08563645428310031,0.9986443872744428,206641,0.9986420003672881,0.0013579996327118815,5,0.001,0.1,,
3,5,1.6434454150453828,0.5843732642103314,5401,0,0,900,2.0535477658811088,0.4769,0.996486120345601,0.08584672150392805,0.08563645428310031,0.08563645428310031,0.9999999999883227,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1,,
3,6,1.7179242514901691,0.5530869565217391,4600,0,0,767,2.0535477643576674,0.4769,0.9970690179539919,0.08564632468197261,0.08543752368050021,0.08563645428310031,0.9976770336270563,206441,0.9976899508027179,0.0023100491972820603,5,0.001,0.1,,
3,7,1.8110175134754982,0.5680358083201685,3798,0,0,633,2.053547775783478,0.4769,0.9959170769944001,0.08504444319937994,0.08484000501998702,0.08563645428310031,0.9906996468878656,204997,0.9906969776050879,0.009303022394912097,5,0.001,0.1,,
3,8,1.9015890593224383,0.5401869158878505,2996,0,0,500,2.0535478271996253,0.4769,0.9916907350941838,0.08403592182011013,0.08383865746381365,0.08563645428310031,0.9790066410932611,202578,0.9791708953132098,0.020829104686790223,5,0.001,0.1,,
3,9,1.9767316413962324,0.5353691886964449,2194,0,0,366,2.0535481867317955,0.4768,0.985216073660723,0.08236455497355454,0.08217880748077075,0.08563645428310031,0.9596241246530506,198567,0.9596224664366283,0.040377533563371704,5,0.001,0.1,,
3,10,2.040144916014238,0.4908045977011494,1392,0,0,232,2.0535536372242644,0.4768,0.9658555017670162,0.07906351904448947,0.07889918685658226,0.08563645428310031,0.9213271090700806,190642,0.9213230106030291,0.07867698939697088,5,0.001,0.1,,
3,11,2.1006054162979124,0.4661016949152542,590,0,0,99,2.0536053698664656,0.4768,0.9144925660549046,0.07259433209643226,0.07246707781834341,0.08563645428310031,0.8462176350498202,175101,0.8462174152579233,0.15378258474207673,5,0.001,0.1,,
4,0,1.2530397347447013,0.6407868155236577,9405,0,0,1566,1.9508089520299017,0.5371,0.9836503471323799,0.08391390877990972,0.08371750080481113,0.08506093290878781,0.9842062382927134,203653,0.984201776514822,0.01579822348517801,5,0.001,0.1,,
4,1,1.2839033737006011,0.6412823789057963,8609,0,0,1435,1.9508089493638792,0.5371,0.987330615167985,0.08430359801512032,0.08410444621305713,0.08506093290878781,0.9887552762001199,204595,0.9887542165646959,0.011245783435304135,5,0.001,0.1,,
4,2,1.3163908333563414,0.6423209939797617,7807,0,0,1301,1.9508089402232307,0.5371,0.9901868859658383,0.08461248446852979,0.08441113976300119,0.08506093290878781,0.9923608509269963,205341,0.9923836034834382,0.007616396516561763,5,0.001,0.1,,
4,3,1.3623011710981257,0.6297787294789436,7005,0,0,1167,1.950808941746672,0.5371,0.9929115648468956,0.08487833373694731,0.0846750888620353,0.08506093290878781,0.9954639099930666,205983,0.9954620581668455,0.00453794183315448,5,0.001,0.1,,
4,4,1.401559874691914,0.6292439142350476,6203,0,0,1034,1.9508089440318341,0.5371,0.9952397357905091,0.08514521119188613,0.08494004684635936,0.08506093290878781,0.9985788297953814,206627,0.9985743420225979,0.0014256579774021283,5,0.001,0.1,,
4,5,1.4938431251683884,0.6132938344750972,5401,0,0,900,1.9508089432701134,0.5371,0.9967704781698558,0.08526697702273565,0.08506093290878781,0.08506093290878781,0.9999999999882436,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1,,
4,6,1.5626478266384867,0.5896956521739131,4600,0,0,767,1.950808952410762,0.5371,0.9972155102330807,0.08515787263659114,0.08495261692760743,0.08506093290878781,0.9987266071688249,206658,0.9987241569286978,0.0012758430713022406,5,0.001,0.1,,
4,7,1.64980972053624,0.6027382833070037,3798,0,0,633,1.950808955838505,0.5371,0.9960799326776438,0.08474996670501535,0.0845476408205259,0.08506093290878781,0.9939655953479103,205673,0.9939639091058466,0.006036090894153356,5,0.001,0.1,,
4,8,1.7467834158146636,0.5789052069425901,2996,0,0,500,1.9508090293445526,0.537,0.9930706380187886,0.08403057047417732,0.08383334372968194,0.08506093290878781,0.9855681199569277,203935,0.9857047583147273,0.014295241685272742,5,0.001,0.1,,
4,9,1.8320979667746502,0.5776663628076573,2194,0,0,366,1.9508094429588927,0.5371,0.9881181397771727,0.08283947875503657,0.08265050548748401,0.08506093290878781,0.9716623443942214,201058,0.9717961357419704,0.028203864258029565,5,0.001,0.1,,
4,10,1.9141507517207752,0.5656609195402299,1392,0,0,232,1.9508157004944433,0.5371,0.972302844594459,0.08029122855481188,0.08011913499136468,0.08506093290878781,0.9419028483538475,194900,0.941900812866684,0.058099187133315966,5,0.001,0.1,,
4,11,1.9982660908448069,0.4952542372881356,590,0,0,99,1.950874255488094,0.5369,0.9263018278606592,0.07481036965923879,0.0746711203554808,0.08506093290878781,0.8778544720955973,181647,0.8778525241395309,0.12214747586046915,5,0.001,0.1,,
5,0,1.1695256053793186,0.654843168527379,9405,0,0,1566,1.8346037274351517,0.5962,0.9840261503004015,0.08362256426964866,0.08342819116923457,0.08466274285887918,0.9854180050286364,203904,0.9854341249359662,0.01456587506403384,5,0.001,0.1,,
5,1,1.1931640763801556,0.6593564873969102,8609,0,0,1435,1.8346037099155754,0.5962,0.9879054728649029,0.08398850898594276,0.08379157770357953,0.08466274285887918,0.9897101708866027,204792,0.9897062661292662,0.010293733870733845,5,0.001,0.1,,
5,2,1.2174802402003866,0.660561034968618,7807,0,0,1301,1.8346036981089047,0.5962,0.990456932219814,0.08426159689301665,0.0840627420410267,0.08466274285887918,0.9929130477163313,205455,0.9929152047631474,0.00708479523685257,5,0.001,0.1,,
5,3,1.2575738444720228,0.6520485367594575,7005,0,0,1167,1.8346036965854633,0.5962,0.9936204409472621,0.08452801491119934,0.08432727147378719,0.08466274285887918,0.996037555898145,206102,0.9960419868356192,0.003958013164380825,5,0.001,0.1,,
5,4,1.2886886909450452,0.647718845719813,6203,0,0,1034,1.8346037007749272,0.5962,0.9956251388650716,0.08475748386282599,0.08455510423866698,0.08466274285887918,0.9987286187811049,206658,0.9987241569286978,0.0012758430713022406,5,0.001,0.1,,
5,5,1.3704307072966762,0.6385113867802259,5401,0,0,900,1.8346036988706254,0.5962,0.9966544117760132,0.08486589858838323,0.08466274285887918,0.08466274285887918,0.9999999999881883,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1,,
5,6,1.4323505160709222,0.6203478260869565,4600,0,0,767,1.834603701917508,0.5962,0.9974690471742603,0.08482508774737868,0.08462222440103055,0.08466274285887918,0.9995214133457064,206822,0.9995167261093553,0.0004832738906447309,5,0.001,0.1,,
5,7,1.5079171680602708,0.6239073196419168,3798,0,0,633,1.834603733148057,0.5962,0.9960677131472622,0.08452828405184087,0.08432753870053968,0.08466274285887918,0.9960407122659104,206102,0.9960419868356192,0.003958013164380825,5,0.001,0.1,,
5,8,1.6004695395205883,0.6042056074766355,2996,0,0,500,1.8346038241736806,0.5962,0.9937036240043483,0.08400831291759582,0.08381124255862968,0.08466274285887918,0.9899424437186168,204840,0.9899382375967756,0.010061762403224428,5,0.001,0.1,,
