round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
0,0,2.054921004155866,0.47627857522594363,9405,0,0,1566,2.2693385887450686,0.2366,0.9686488366030459,0.0863479284641787,0.08613396419525889,0.08849692336497879,0.973298968135334,201396,0.9732942848029692,0.0267057151970308,5,0.001,0.1
0,1,2.0855690686791033,0.4239284469740969,8609,0,0,1435,2.2693385910302304,0.2366,0.9804993734641886,0.0874043167758981,0.08718241930903625,0.08849692336497879,0.9851463304378796,203848,0.9851441606015794,0.014855839398420612,5,0.001,0.1
0,2,2.1279135015167174,0.4528500064045088,7807,0,0,1301,2.2693385887450686,0.2366,0.988852115276991,0.08814890235250494,0.08792129735812888,0.08849692336497879,0.9934955252006964,205576,0.9934951334319212,0.006504866568078804,5,0.001,0.1
0,3,2.1644202887739765,0.3868379728765168,7005,0,0,1167,2.269338589506789,0.2366,0.9920456209250549,0.0884335799227749,0.08820376724915768,0.08849692336497879,0.9966873863443957,206236,0.9966847411101768,0.0033152588898232027,5,0.001,0.1
0,4,2.1896938038855485,0.4078026761244559,6203,0,0,1034,2.26933859026851,0.2366,0.9953601108942968,0.08872904235657392,0.08849692336497879,0.08849692336497879,0.9999999999887002,206921,0.9999951672610935,4.83273890650171e-06,5,0.001,0.1
0,5,2.2109581766749273,0.4367339381596001,5401,0,0,900,2.269338589506789,0.2366,0.9908423981708309,0.0883263214526439,0.08809734223325072,0.08849692336497879,0.9954848019848599,205987,0.9954910546002842,0.0045089453997158024,5,0.001,0.1
0,6,2.232586079173618,0.3708695652173913,4600,0,0,767,2.269338584936465,0.2366,0.9786846559413999,0.08724254803895318,0.08702187787696139,0.08849692336497879,0.9833322398913535,203473,0.9833318835116615,0.016668116488338547,5,0.001,0.1
0,7,2.2473787051289023,0.34728804634017907,3798,0,0,633,2.2693385864599063,0.2366,0.9627580536995172,0.08582280843973752,0.08561271653920603,0.08849692336497879,0.9674089593505399,200178,0.9674080088149157,0.03259199118508427,5,0.001,0.1
0,8,2.2600203377135255,0.2931909212283044,2996,0,0,500,2.2693385963622754,0.2366,0.9305514931420426,0.08295183014295182,0.082762088354536,0.08849692336497879,0.9351973515765468,193512,0.9351929712645345,0.06480702873546551,5,0.001,0.1
0,9,2.274398012437682,0.25633546034639926,2194,0,0,366,2.2693386093115273,0.2366,0.8835393670275522,0.0787610444327053,0.07859858800934016,0.08849692336497879,0.8881505143890247,183777,0.8886585283343482,0.11134147166565178,5,0.001,0.1
0,10,2.2873322118412363,0.18692528735632183,1392,0,0,232,2.2693386344483106,0.2366,0.827927360751005,0.07380364257739847,0.07366993163399388,0.08849692336497879,0.832457545776276,172253,0.8324537748523598,0.16754622514764017,5,0.001,0.1
0,11,2.298886522493864,0.151864406779661,590,0,0,99,2.2693415419362224,0.2365,0.7182648473236753,0.06402803504367924,0.06394068207022721,0.08849692336497879,0.7225187005179907,149505,0.7225186302084844,0.2774813697915156,5,0.001,0.1
1,0,1.8123671361783735,0.5523657628920787,9405,0,0,1566,2.21607532364111,0.3671,0.9607420397481853,0.0851544500644836,0.08494921905503389,0.0873225399829891,0.9728212105443752,201298,0.9728206763901374,0.027179323609862638,5,0.001,0.1
1,1,1.8586497524049548,0.5116505982111743,8609,0,0,1435,2.2160753114535785,0.3671,0.9686592413894978,0.08607064728705201,0.08585873361739517,0.0873225399829891,0.9832367866662797,203453,0.9832352287335324,0.016764771266467582,5,0.001,0.1
1,2,1.9203909961903682,0.5256052260791597,7807,0,0,1301,2.2160753213559476,0.3671,0.9756262323282083,0.08676181116735061,0.08654476160979029,0.0873225399829891,0.9910930399603421,205078,0.9910884294565102,0.008911570543489788,5,0.001,0.1
