round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009598543999999265,0.006262014999997234,0.0002697369999999921,0.0009340140968561172,6.73346221446991e-06,0.0,0.0,0.01707104355906708,18.151751916,0.01707104355906708,18.151751916,0.8663901307520314,0.0,0.3354,2.208853522047829,0.3354,0.39457426116020905,1.0,0.0
1,0.0029941250000007358,0.0033702630000007616,0.0002579349999969338,0.0009776875376701355,5.150213837623596e-06,0.0,0.0,0.00760516075150619,4.841630905999999,0.02467620431057327,22.993382821999997,0.8903210925407733,0.0,0.6692,2.041708836159386,0.6692,0.40068588997866744,1.0,0.0
2,0.0029797490000014193,0.0014374309999993784,0.00025738400000108186,0.0009647738188505173,5.619600415229797e-06,0.0,0.0,0.005644957419267627,4.8376392290000005,0.030321161729840895,27.831022050999998,0.906284544466491,0.0,0.8392,1.8281901579695388,0.8392,0.40067363846030524,1.0,0.0
3,0.0030658810000012693,0.0015758509999983517,0.00026317400000053226,0.0009670350700616837,5.9623271226882935e-06,0.0,0.0,0.005877903397184525,4.826317990000003,0.03619906512702542,32.657340041,0.9165836514880655,0.0,0.8985,1.581533614819804,0.8985,0.397607753141871,1.0,0.0
4,0.0029533889999981966,0.001516840000000741,0.0002609709999958909,0.000965094193816185,6.400048732757568e-06,0.0,0.0,0.005702694242543771,4.8413443749999985,0.04190175936956919,37.498684415999996,0.9249114440593527,0.0,0.9213000000000001,1.3240081730742044,0.9213,0.38530897723550045,1.0,0.0
5,0.0030233210000005784,0.0014698820000020874,0.0002516429999985803,0.0009552240371704102,5.589798092842102e-06,0.0,0.0,0.005705659835264498,4.843383630000005,0.04760741920483369,42.342068046,0.9321106386812374,0.0,0.9345,1.0594226230447665,0.9345,0.386932856484748,1.0,0.0
6,0.0027057640000052174,0.004571839999996996,0.00024990899999721705,0.0009503737092018127,5.532056093215942e-06,0.0,0.0,0.00848341876529446,4.842609697,0.05609083797012815,47.184677743,0.9373389772123321,0.0,0.9428,0.8211330049715865,0.9428,0.37830264325923313,1.0,0.0
7,0.0028238659999999527,0.0014550739999990014,0.0002561610000029191,0.0009452961385250092,5.640089511871338e-06,0.0,0.0,0.005486037228038754,4.846426440000002,0.0615768751981669,52.031104183000004,0.9429624174605098,0.0,0.9480000000000001,0.6215429773536353,0.948,0.36936777427293876,1.0,0.0
8,0.002755246999996075,0.0015001390000008996,0.00027869399999502775,0.0009511746466159821,6.731599569320679e-06,0.0,0.0,0.005491986246177305,4.846954314000001,0.06706886144434421,56.878058497000005,0.9480993258892596,0.0,0.9522999999999998,0.4649026986128225,0.9523,0.36133479440413246,1.0,0.0
9,0.0029681160000052387,0.0014704230000006646,0.00026055999999385904,0.0009600240737199783,5.48921525478363e-06,0.0,0.0,0.005664612288974524,4.834204079999999,0.07273347373331873,61.712262577000004,0.9517050446889622,0.0,0.955,0.35095775141693153,0.955,0.35137902983837854,1.0,0.0
10,0.0029865719999975227,0.0014789690000043265,0.00025098199999717963,0.0009668879210948944,6.152316927909851e-06,0.0,0.0,0.005689563238021833,4.838473661999998,0.07842303697134057,66.550736239,0.9544113105651338,0.0,0.9579000000000001,0.273979548233957,0.9579,0.33633868954531215,1.0,0.0
11,0.0029765420000131826,0.0015100669999981164,0.0002627030000041941,0.0009709242731332779,5.7220458984375e-06,0.0,0.0,0.0057259583190472085,4.845043057000012,0.08414899529038777,71.39577929600001,0.9565020973253376,0.0,0.959,0.22229959449162498,0.959,0.32247761934774793,1.0,0.0
12,0.0029290739999936477,0.005846114000007674,0.00024690400000793034,0.0008964743465185165,5.6996941566467285e-06,0.0,0.0,0.009924266040684415,4.846398704999999,0.09407326133107219,76.24217800100001,0.9606632355234802,0.0,0.9605999999999999,0.1842144583813108,0.9606,0.3194952518812026,1.0,0.0
13,0.002956134000001498,0.0014765039999957708,0.000258915999992837,0.0009566694498062134,5.207955837249756e-06,0.0,0.0,0.005653431405633569,4.835312506999998,0.09972669273670576,81.07749050800001,0.9627171187168161,0.0,0.9619999999999999,0.15816996601252512,0.962,0.3095195179258293,1.0,0.0
14,0.0029445330000044123,0.001506070000004911,0.0002546890000019175,0.000953109934926033,5.671754479408264e-06,0.0,0.0,0.005664073689416682,4.851016154000007,0.10539076642612244,85.92850666200002,0.9654807296468819,0.0,0.9632000000000001,0.1400970418613178,0.9632,0.29859605873330486,1.0,0.0
15,0.0029702309999919407,0.005428440000002865,0.00025831499999640073,0.0009596552699804306,5.792826414108276e-06,0.0,0.0,0.009622434096385746,4.8489499319999965,0.11501320052250819,90.77745659400001,0.9669377649212615,0.0,0.9646000000000002,0.1276469247612043,0.9646,0.28769047759383626,1.0,0.0
16,0.0030463739999930795,0.0014656039999891846,0.00025086100001203704,0.0009588189423084259,6.550922989845276e-06,0.0,0.0,0.005728208865292572,4.845475515999993,0.12074140938780076,95.62293211000001,0.9672431438550687,0.0,0.9652999999999997,0.11931587877376867,0.9653,0.27165136583422345,1.0,0.0
