round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
0,0,0.27225805615822524,0.9151940457203616,9405,0,0,1566,2.1981074154948272,0.3966,0.8033110491461133,0.08658261043536014,0,0,0,0,0,0,5,0.1,0.5
0,1,0.2756864436370907,0.9138111278894181,8609,0,0,1435,2.1981074154948272,0.3966,0.7931188889488364,0.08548407726219685,0,0,0,0,0,0,5,0.1,0.5
0,2,0.2721860075087027,0.9158191366722173,7807,0,0,1301,2.1981074154948272,0.3966,0.797975611038914,0.08600754532250174,0,0,0,0,0,0,5,0.1,0.5
0,3,0.2973752977658216,0.9078658101356174,7005,0,0,1167,2.1981074154948272,0.3966,0.7923410545533283,0.0854002405808502,0,0,0,0,0,0,5,0.1,0.5
0,4,0.3033071268743538,0.9042398839271321,6203,0,0,1034,2.1981074154948272,0.3966,0.7840049933932902,0.08450176179513935,0,0,0,0,0,0,5,0.1,0.5
0,5,0.34517052416970745,0.890020366598778,5401,0,0,900,2.1981074154948272,0.3966,0.7729853974154708,0.08331404579556885,0,0,0,0,0,0,5,0.1,0.5
0,6,0.3480813852407866,0.8904347826086957,4600,0,0,767,2.1981074154948272,0.3966,0.7893622154187879,0.08507917482604743,0,0,0,0,0,0,5,0.1,0.5
0,7,0.397493677617622,0.8761979989468142,3798,0,0,633,2.1981074154948272,0.3966,0.7639884186529161,0.08234433187451486,0,0,0,0,0,0,5,0.1,0.5
0,8,0.4250048979007183,0.8652202937249667,2996,0,0,500,2.1981074154948272,0.3966,0.7750597300109384,0.08353762187013879,0,0,0,0,0,0,5,0.1,0.5
0,9,0.49370924132889593,0.8404740200546946,2194,0,0,366,2.1981074154948272,0.3966,0.7626351007831811,0.08219846833381661,0,0,0,0,0,0,5,0.1,0.5
0,10,0.6162656167352741,0.8005747126436782,1392,0,0,232,2.1981074154948272,0.3966,0.7417557357617983,0.07994804500190095,0,0,0,0,0,0,5,0.1,0.5
0,11,0.9635580978895488,0.6945762711864407,590,0,0,99,2.1981074154948272,0.3966,0.7014339647230036,0.07560207690196416,0,0,0,0,0,0,5,0.1,0.5
1,0,0.24414705884180404,0.9254226475279107,9405,0,0,1566,2.036262954766758,0.7395,0.7793734739550393,0.08467901775394282,0,0,0,0,0,0,5,0.1,0.5
1,1,0.2513375623096794,0.9222441630851435,8609,0,0,1435,2.036262954766758,0.7395,0.7869980921133467,0.08421631919531117,0,0,0,0,0,0,5,0.1,0.5
1,2,0.24553445806749716,0.9244524144998079,7807,0,0,1301,2.036262954766758,0.7395,0.8004177850779265,0.08503241378781243,0,0,0,0,0,0,5,0.1,0.5
1,3,0.26207285128771984,0.9189436117059243,7005,0,0,1167,2.036262954766758,0.7395,0.7950710936651263,0.08444265113078996,0,0,0,0,0,0,5,0.1,0.5
1,4,0.26778483744614673,0.9168144446235692,6203,0,0,1034,2.036262954766758,0.7395,0.8040408859417534,0.08415969521060147,0,0,0,0,0,0,5,0.1,0.5
1,5,0.3017075148824404,0.906683947417145,5401,0,0,900,2.036262954766758,0.7395,0.8028533381988261,0.08333002910727218,0,0,0,0,0,0,5,0.1,0.5
1,6,0.30536705427026994,0.9069130434782608,4600,0,0,767,2.036262954766758,0.7395,0.817844451861469,0.08502499620497508,0,0,0,0,0,0,5,0.1,0.5
1,7,0.356301021766888,0.8910479199578726,3798,0,0,633,2.036262954766758,0.7395,0.8155843555257061,0.08313116942370992,0,0,0,0,0,0,5,0.1,0.5
1,8,0.3659921971605496,0.8911882510013351,2996,0,0,500,2.036262954766758,0.7395,0.826095171384116,0.08429017021224051,0,0,0,0,0,0,5,0.1,0.5
1,9,0.4120284961023624,0.8720145852324521,2194,0,0,366,2.036262954766758,0.7395,0.8221991012759872,0.08326540649071211,0,0,0,0,0,0,5,0.1,0.5
1,10,0.5067674124952067,0.8390804597701149,1392,0,0,232,2.036262954766758,0.7395,0.8089764920975999,0.08131015882169496,0,0,0,0,0,0,5,0.1,0.5
1,11,0.7779402524232865,0.7691525423728813,590,0,0,99,2.036262954766758,0.7395,0.771523497352311,0.07711797266093728,0,0,0,0,0,0,5,0.1,0.5
2,0,0.228375304603417,0.9304837852206274,9405,0,0,1566,1.8242981014922024,0.8741,0.785854480880382,0.08361245453982818,0,0,0,0,0,0,5,0.1,0.5
2,1,0.2286188884281674,0.930607503775119,8609,0,0,1435,1.8242981014922024,0.8741,0.7915698877714508,0.0835050612594886,0,0,0,0,0,0,5,0.1,0.5
2,2,0.2234627355657304,0.9328807480466248,7807,0,0,1301,1.8242981014922024,0.8741,0.8023279949474859,0.08442206060397088,0,0,0,0,0,0,5,0.1,0.5
2,3,0.24536561281186398,0.9267951463240542,7005,0,0,1167,1.8242981014922024,0.8741,0.8017717454333159,0.08401140163683019,0,0,0,0,0,0,5,0.1,0.5
2,4,0.24846343355368555,0.9233596646783814,6203,0,0,1034,1.8242981014922024,0.8741,0.8047955067316888,0.08392926798643359,0,0,0,0,0,0,5,0.1,0.5
2,5,0.2757684796453404,0.9161266432142195,5401,0,0,900,1.8242981014922024,0.8741,0.8117502885915009,0.08362170778345922,0,0,0,0,0,0,5,0.1,0.5
2,6,0.27839679946903034,0.917608695652174,4600,0,0,767,1.8242981014922024,0.8741,0.8210400230455723,0.08507046690203557,0,0,0,0,0,0,5,0.1,0.5
2,7,0.3120785945040338,0.9049499736703528,3798,0,0,633,1.8242981014922024,0.8741,0.8177252670159526,0.08369840321591761,0,0,0,0,0,0,5,0.1,0.5
2,8,0.32422738344943586,0.901068090787717,2996,0,0,500,1.8242981014922024,0.8741,0.8199458979138974,0.08454479577866052,0,0,0,0,0,0,5,0.1,0.5
2,9,0.36141091193193975,0.8873290793072015,2194,0,0,366,1.8242981014922024,0.8741,0.8076701683011054,0.08343638169504473,0,0,0,0,0,0,5,0.1,0.5
2,10,0.4378918344324285,0.8676724137931034,1392,0,0,232,1.8242981014922024,0.8741,0.8051181859826299,0.082050204632519,0,0,0,0,0,0,5,0.1,0.5
2,11,0.6321002386118236,0.8271186440677966,590,0,0,99,1.8242981014922024,0.8741,0.7715681851545989,0.0780977939658121,0,0,0,0,0,0,5,0.1,0.5
3,0,0.21208940662925138,0.9353748006379585,9405,0,0,1566,1.57761692505675,0.9164,0.7849309059933914,0.08315911676542924,0,0,0,0,0,0,5,0.1,0.5
3,1,0.21563625154805338,0.9347891741201069,8609,0,0,1435,1.57761692505675,0.9164,0.7878608228067585,0.08319027889443002,0,0,0,0,0,0,5,0.1,0.5
3,2,0.20504662318262043,0.9376713206097093,7807,0,0,1301,1.57761692505675,0.9164,0.7972807166886661,0.0841307325664575,0,0,0,0,0,0,5,0.1,0.5
3,3,0.2271468366925779,0.9333618843683084,7005,0,0,1167,1.57761692505675,0.9164,0.7942584520190232,0.08375148085041377,0,0,0,0,0,0,5,0.1,0.5
3,4,0.22902889284689326,0.9311300983395131,6203,0,0,1034,1.57761692505675,0.9164,0.7968377024894329,0.08378717189980578,0,0,0,0,0,0,5,0.1,0.5
3,5,0.25238511403526603,0.924347343084614,5401,0,0,900,1.57761692505675,0.9164,0.8009642463280462,0.08372701244853899,0,0,0,0,0,0,5,0.1,0.5
3,6,0.2541066018269501,0.9243478260869565,4600,0,0,767,1.57761692505675,0.9164,0.8152023043526969,0.08519025177642395,0,0,0,0,0,0,5,0.1,0.5
3,7,0.2823357446667026,0.9166929963138494,3798,0,0,633,1.57761692505675,0.9164,0.8073754623397195,0.08400268677139533,0,0,0,0,0,0,5,0.1,0.5
3,8,0.29150164795127953,0.9146862483311081,2996,0,0,500,1.57761692505675,0.9164,0.8134402024226643,0.08477858983590209,0,0,0,0,0,0,5,0.1,0.5
3,9,0.3227102525856184,0.9020054694621695,2194,0,0,366,1.57761692505675,0.9164,0.8085851780166381,0.08387064873416711,0,0,0,0,0,0,5,0.1,0.5
3,10,0.38052842237732626,0.8925287356321839,1392,0,0,232,1.57761692505675,0.9164,0.786038631422365,0.08215797666045009,0,0,0,0,0,0,5,0.1,0.5
3,11,0.5171408034468952,0.8627118644067797,590,0,0,99,1.57761692505675,0.9164,0.7497067598779498,0.07825405279658615,0,0,0,0,0,0,5,0.1,0.5
4,0,0.20140905765195688,0.9388410419989367,9405,0,0,1566,1.3127889157103274,0.932,0.7752694141640704,0.08287513658960935,0,0,0,0,0,0,5,0.1,0.5
4,1,0.20045608873240847,0.9388546869555117,8609,0,0,1435,1.3127889157103274,0.932,0.7774687404750606,0.08297335717310111,0,0,0,0,0,0,5,0.1,0.5
4,2,0.19070732397691453,0.9431023440502113,7807,0,0,1301,1.3127889157103274,0.932,0.7921377095405546,0.08411824977857585,0,0,0,0,0,0,5,0.1,0.5
4,3,0.21126967107826103,0.935902926481085,7005,0,0,1167,1.3127889157103274,0.932,0.782321895975514,0.08351931481484277,0,0,0,0,0,0,5,0.1,0.5
4,4,0.2152230820522557,0.9350959213283895,6203,0,0,1034,1.3127889157103274,0.932,0.7888922800608601,0.08377436659968326,0,0,0,0,0,0,5,0.1,0.5
4,5,0.2362057092362607,0.9294204776893168,5401,0,0,900,1.3127889157103274,0.932,0.7932736186877138,0.08388831223061764,0,0,0,0,0,0,5,0.1,0.5
4,6,0.2319125414851846,0.9315652173913044,4600,0,0,767,1.3127889157103274,0.932,0.8051829825700123,0.08528561086638477,0,0,0,0,0,0,5,0.1,0.5
4,7,0.26295598870409387,0.9221695629278568,3798,0,0,633,1.3127889157103274,0.932,0.7952718729815278,0.08414292602478968,0,0,0,0,0,0,5,0.1,0.5
4,8,0.2588586797937751,0.9236315086782376,2996,0,0,500,1.3127889157103274,0.932,0.8011263946694926,0.08486765663253988,0,0,0,0,0,0,5,0.1,0.5
4,9,0.2913251773494741,0.9111212397447584,2194,0,0,366,1.3127889157103274,0.932,0.793572392365891,0.0839948529487119,0,0,0,0,0,0,5,0.1,0.5
4,10,0.32810787201266395,0.9064655172413794,1392,0,0,232,1.3127889157103274,0.932,0.7804607834349615,0.08238849328141265,0,0,0,0,0,0,5,0.1,0.5
4,11,0.4420347842730974,0.8813559322033898,590,0,0,99,1.3127889157103274,0.932,0.7347956811247739,0.07817172305973129,0,0,0,0,0,0,5,0.1,0.5
5,0,0.19084231727123008,0.9423285486443381,9405,0,0,1566,1.0648085996746637,0.9397,0.7650134885996352,0.0834542924190202,0,0,0,0,0,0,5,0.1,0.5
5,1,0.2657883716146979,0.9286560576141247,8609,0,0,1435,1.0648085996746637,0.9397,0.5655650085406677,0.07640659171189129,0,0,0,0,0,0,5,0.1,0.5
