round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma,client_i_corrupted_labels,client_i_corruption_fraction
0,0,0.2591886532879403,0.9190005316321106,9405,0,0,1566,2.187606221189895,0.4199,0.7961310785365097,0.08640476026954477,0.08619037408586755,0.08619037408586755,0.9999999999883977,199209,0.9999949801716781,5.019828321906061e-06,5,0.1,0.5,,
0,1,0.2698653354430226,0.9162736670925775,8609,0,0,1435,2.1876057740598442,0.4199,0.786834725923754,0.08539581948009226,0.0851888417417654,0.08619037408586755,0.9883799977002913,196895,0.9883790974348677,0.011620902565132263,5,0.1,0.5,,
0,2,0.28755750034355604,0.9110541821442295,7807,0,0,1301,2.187606113787276,0.4199,0.7902885957977338,0.08577067081614613,0.08556096082929586,0.08619037408586755,0.9926974065927903,197755,0.9926961497916771,0.007303850208322915,5,0.1,0.5,,
0,3,0.2921806595369017,0.9079800142755174,7005,0,0,1167,2.1876058799390212,0.4199,0.7878054624427449,0.08550117431231721,0.08529343106027218,0.08619037408586755,0.9895934663690937,197136,0.9895888760604388,0.010411123939561229,5,0.1,0.5,,
0,4,0.30672786625044557,0.9050137030469128,6203,0,0,1034,2.187605409195629,0.4199,0.7802468242728706,0.0846808290995254,0.08447899703048549,0.08619037408586755,0.9801442205755222,195254,0.9801415591586767,0.019858440841323266,5,0.1,0.5,,
0,5,0.32282525759366665,0.8992038511386781,5401,0,0,900,2.187605326929793,0.4199,0.7829996838759277,0.08497959921473695,0.08477562741701755,0.08619037408586755,0.9835857926730409,195940,0.9836203001857337,0.016379699814266346,5,0.1,0.5,,
0,6,0.3501522953829004,0.8903478260869565,4600,0,0,767,2.187605380250242,0.4199,0.7828127516235317,0.08495931130375048,0.08475548527872052,0.08619037408586755,0.9833520990789427,195893,0.9833492294563526,0.016650770543647386,5,0.1,0.5,,
0,7,0.3790988444781103,0.8824117956819378,3798,0,0,633,2.187605609528173,0.4199,0.7765357013139154,0.08427805787473064,0.0840790866778608,0.08619037408586755,0.975504371208798,194330,0.9755032377892676,0.02449676221073238,5,0.1,0.5,,
0,8,0.4161672033131757,0.8693591455273698,2996,0,0,500,2.187606611952614,0.4198,0.7694628479258999,0.08351043528356572,0.08331684158921655,0.08619037408586755,0.9666606331844564,192568,0.9666633201144521,0.03333667988554789,5,0.1,0.5,,
0,9,0.5058843419927618,0.8444849589790338,2194,0,0,366,2.187612349994647,0.4199,0.7472938575132083,0.08110441653405573,0.08092705024002457,0.08619037408586755,0.9389337393809394,187044,0.9389287686361126,0.06107123136388737,5,0.1,0.5,,
0,10,0.6221155657009645,0.7987068965517241,1392,0,0,232,2.1876220329881857,0.42,0.7242214775606245,0.07860035217531278,0.07843888645093286,0.08619037408586755,0.9100655065248666,181294,0.9100647557853522,0.08993524421464782,5,0.1,0.5,,
0,11,0.9517195789437545,0.7057627118644068,590,0,0,99,2.1876545927395075,0.4195,0.6893394184932246,0.07481457363622189,0.07467530089071668,0.08619037408586755,0.8663995449823048,172595,0.8663972692133929,0.13360273078660712,5,0.1,0.5,,
1,0,0.23619234383891838,0.9276129718234981,9405,0,0,1566,2.011224771460024,0.7364,0.7875003986285188,0.0848795226826251,0.08467626928300749,0.08472901666223027,0.9993774578969511,199085,0.9993725214597661,0.0006274785402339278,5,0.1,0.5,,
1,1,0.24332350492192847,0.9260541293994656,8609,0,0,1435,2.011224045159337,0.7364,0.7826308297014294,0.08403954893939165,0.08384225908726692,0.08472901666223027,0.9895341925247648,197125,0.9895336579488981,0.010466342051101862,5,0.1,0.5,,
1,2,0.2618659080620702,0.9201998206737543,7807,0,0,1301,2.011224582934151,0.7364,0.7900675332725142,0.0845482577136603,0.08434737029357219,0.08472901666223027,0.9954956827697528,198312,0.9955273329652126,0.0044726670347874364,5,0.1,0.5,,
1,3,0.2618487734908927,0.9185724482512491,7005,0,0,1167,2.011224120188826,0.7364,0.8032681671056529,0.08483059186745742,0.08462768910399564,0.08472901666223027,0.9988040984868574,198971,0.9988002610310728,0.001199738968927222,5,0.1,0.5,,
1,4,0.2790909594788994,0.9152345639206836,6203,0,0,1034,2.0112231745125766,0.7364,0.802738731218807,0.0842674751569181,0.08406857876302988,0.08472901666223027,0.9922052925171382,197657,0.9922042066161337,0.007795793383866267,5,0.1,0.5,,
1,5,0.28976799233337125,0.9109053878911313,5401,0,0,900,2.0112231387117037,0.7364,0.815430172153325,0.08490928281206253,0.08470581595575076,0.08472901666223027,0.9997261775435005,199155,0.999723909442297,0.000276090557702946,5,0.1,0.5,,
1,6,0.3135113924043253,0.9013043478260869,4600,0,0,767,2.011223433878475,0.7364,0.8164844298964944,0.08493265123466148,0.08472901666223027,0.08472901666223027,0.9999999999881976,199209,0.9999949801716781,5.019828321906061e-06,5,0.1,0.5,,
1,7,0.33055425498227614,0.8997367035281727,3798,0,0,633,2.0112233950307195,0.7364,0.8216615645201565,0.0846612719242557,0.08445957939684813,0.08472901666223027,0.9968200118803092,198576,0.9968174288439335,0.0031825711560664605,5,0.1,0.5,,
1,8,0.35815495557369703,0.8911882510013351,2996,0,0,500,2.0112240996223667,0.7364,0.8272116891180961,0.08434558597520729,0.08414613702162811,0.08472901666223027,0.993120660848468,197839,0.9931178153707143,0.0068821846292856925,5,0.1,0.5,,
1,9,0.42936098964317987,0.8731084776663628,2194,0,0,366,2.0112311181168967,0.7363,0.8060345278041277,0.08200829736893571,0.0818249454657401,0.08472901666223027,0.9657251870509379,192382,0.9657246122182621,0.03427538778173789,5,0.1,0.5,,
1,10,0.520086974345825,0.8385057471264368,1392,0,0,232,2.011249546044932,0.7364,0.8046509382178952,0.08029753413369736,0.08012540009109619,0.08472901666223027,0.9456665879832886,188386,0.945665378244064,0.05433462175593595,5,0.1,0.5,,
1,11,0.7604871972611076,0.7745762711864407,590,0,0,99,2.011280559122372,0.7364,0.7616012284191954,0.07627998019112738,0.0761323752615271,0.08472901666223027,0.8985395825390966,178998,0.8985392299583355,0.10146077004166454,5,0.1,0.5,,
2,0,0.21631854689477303,0.9333333333333333,9405,0,0,1566,1.791934510389456,0.8615,0.7888311410655303,0.08392859603898707,0.08373208510853802,0.08466941067275241,0.9889295843946985,197004,0.9890065759751017,0.010993424024898335,5,0.1,0.5,,
2,1,0.2201385645245857,0.931304448832617,8609,0,0,1435,1.7919319426289761,0.8615,0.7935010052000271,0.08353404813864548,0.08334029048489597,0.08466941067275241,0.9843022388099782,196082,0.9842979770091863,0.01570202299081369,5,0.1,0.5,,
2,2,0.23754496967465785,0.9279877033431536,7807,0,0,1301,1.791934203416014,0.8615,0.797396323045043,0.08400796763488722,0.0838108997012889,0.08466941067275241,0.9898604352430003,197190,0.9898599467898198,0.010140053210180189,5,0.1,0.5,,
2,3,0.2357168715574766,0.9268807994289793,7005,0,0,1167,1.7919330916846523,0.8615,0.8051131558204664,0.08446512606954139,0.08426482950919872,0.08466941067275241,0.9952216371729263,198258,0.9952211234375784,0.004778876562421597,5,0.1,0.5,,
2,4,0.24943861892427674,0.9246171207480252,6203,0,0,1034,1.7919317621011703,0.8615,0.8032038596834782,0.08402448634057978,0.08382730235247358,0.08466941067275241,0.9900541610650435,197228,0.9900507002660509,0.00994929973394909,5,0.1,0.5,,
2,5,0.25668047997086535,0.9242362525458249,5401,0,0,900,1.7919316786927537,0.8615,0.8150256116945103,0.08486379595148416,0.08466065529284726,0.08466941067275241,0.9998965933406707,199189,0.9998945836052407,0.00010541639475925013,5,0.1,0.5,,
2,6,0.2818790951756657,0.913,4600,0,0,767,1.7919322259890766,0.8615,0.8148318246276378,0.08487254034238974,0.08466933700254592,0.08466941067275241,0.9999991298958395,199209,0.9999949801716781,5.019828321906061e-06,5,0.1,0.5,,
2,7,0.29467385121065526,0.913533438651922,3798,0,0,633,1.7919316992592127,0.8615,0.8199901547539533,0.08487261454454426,0.08466941067275241,0.08466941067275241,0.9999999999881893,199209,0.9999949801716781,5.019828321906061e-06,5,0.1,0.5,,
2,8,0.3153201601527473,0.9079439252336449,2996,0,0,500,1.7919321818092762,0.8615,0.822631301741347,0.0847552987847828,0.08455293478258188,0.08466941067275241,0.9986243450823187,198935,0.9986195472114854,0.001380452788514619,5,0.1,0.5,,
2,9,0.3788144317280123,0.8855970829535096,2194,0,0,366,1.791939927366214,0.8615,0.8042039698972253,0.08255932569490246,0.08237225974717315,0.08466941067275241,0.9728691754401051,193805,0.9728678279202851,0.027132172079714856,5,0.1,0.5,,
2,10,0.45262390764599497,0.8663793103448276,1392,0,0,232,1.7919615430953784,0.8617,0.7997184702829911,0.08126660678125476,0.08108817615660675,0.08466941067275241,0.9577033253373541,190784,0.9577029265599116,0.04229707344008837,5,0.1,0.5,,
2,11,0.618099791242888,0.8291525423728814,590,0,0,99,1.7920039298054509,0.8617,0.749663096761204,0.07684959367800091,0.07669866257082646,0.08466941067275241,0.9058603568927769,180456,0.9058581396516239,0.09414186034837613,5,0.1,0.5,,
3,0,0.20311985101968963,0.9382881446039341,9405,0,0,1566,1.5386917751056317,0.9114,0.7865174601832595,0.08348780253669026,0.08329436590961334,0.08491931331968167,0.98086480745632,195398,0.9809146127202449,0.01908538727975506,5,0.1,0.5,,
