round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009478715000000193,0.006462352999999865,0.00026812499999806505,0.0009326525032520294,6.571412086486816e-06,1.3295561075210571e-05,0.019219012930989265,0.036380725407401115,18.707355294,0.036380725407401115,18.707355294,0.869652335876184,0.0,0.39548333333333335,2.1890109255671883,0.3956,0.39371784223170797,1.0,0.0
1,0.0029339879999987772,0.00420209199999988,0.0002773610000019744,0.0009342283010482788,5.9604644775390625e-06,7.983297109603882e-06,0.019003186374902725,0.027364799437538778,4.910327448,0.0637455248449399,23.617682742,0.8905737175776051,0.0,0.7588916666666666,2.020122435527107,0.7589,0.4024918986636293,1.0,0.0
2,0.002890866000001324,0.0014659769999987304,0.0002593270000019743,0.0009524635970592499,6.292015314102173e-06,7.934868335723877e-06,0.01774035021662712,0.023323210697338226,4.897924617000001,0.08706873554227812,28.515607359,0.9074876676880487,0.0,0.8783333333333333,1.8043960370956518,0.8784,0.401839461065167,1.0,0.0
3,0.0030800819999967644,0.001486104999997906,0.0002726929999994354,0.000962158665060997,6.230548024177551e-06,8.396804332733154e-06,0.01697501167654991,0.022790677693961925,4.8620014980000015,0.10985941323624004,33.377608857,0.9184216391461933,0.0,0.9137416666666668,1.5561930535319515,0.9138,0.3984162106258861,1.0,0.0
4,0.00291415000000228,0.0015005220000006148,0.00027698099999895476,0.00098440982401371,6.122514605522156e-06,8.637085556983948e-06,0.019061284139752388,0.024752106563930454,4.8713874829999995,0.1346115198001705,38.24899634,0.9244843241881782,0.0,0.9281916666666667,1.2981821146255104,0.9282,0.3876067425278522,1.0,0.0
5,0.0030556570000044303,0.0014351180000033992,0.00025334699999746135,0.0009536352008581161,5.882233381271362e-06,7.281079888343811e-06,0.016559749841690063,0.022270670355823086,4.87766302,0.15688219015599358,43.12665936,0.9311671477665192,0.0,0.9373833333333335,1.0551301252346832,0.9374,0.37555880123874946,1.0,0.0
6,0.002923015999996892,0.0015746409999977118,0.0002594679999958771,0.0009773783385753632,5.360692739486694e-06,7.623806595802307e-06,0.0201079323887825,0.025855420226683634,4.8629550360000025,0.18273761038267722,47.989614396,0.9380865878973399,0.0,0.9447666666666666,0.8170645410260453,0.9448,0.3791173517947449,1.0,0.0
7,0.003047610999999506,0.0015379120000034163,0.0002687750000021083,0.0009750332683324814,5.910173058509827e-06,8.063390851020813e-06,0.018491335213184357,0.0243346400454314,4.899492549999998,0.20707225042810862,52.889106946,0.94394566869282,0.0,0.9493000000000004,0.6179242830116528,0.9493,0.3706248966303788,1.0,0.0
8,0.0031344040000007567,0.001560443999998995,0.0002562119999964807,0.0009443555027246475,6.424263119697571e-06,8.044764399528503e-06,0.016784531995654106,0.022694416525894212,4.906285529000002,0.22976666695400283,57.795392475,0.9484878094859921,0.0,0.9519916666666667,0.4641707811873561,0.952,0.3605023788611069,1.0,0.0
9,0.0029746440000053553,0.0015510870000028376,0.00026050999999682745,0.0009529851377010345,5.731359124183655e-06,7.534399628639221e-06,0.017759596928954124,0.023512088825413002,4.888257703999997,0.25327875577941583,62.683650179,0.9518810145452116,0.0,0.9544083333333333,0.34973556450761545,0.9544,0.35189637725446493,1.0,0.0
