round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.2722782989999928,0.21044860699998935,0.003706909999976915,0.03587471880018711,1.1181458830833435e-05,0.0,0.0,0.522319716258977,213.16298208,0.522319716258977,213.16298208,0.8422410309974654,0.0,0.5412026726057907,0.6957764996485586,0.5412026726057907,0.46175437519481927,0.6997193109081247,0.30028068909187533
1,0.19764749800003756,0.1880285309999863,0.0038425859999620116,0.035521334037184715,1.1181458830833435e-05,0.0,0.0,0.4250511304960014,174.428209053,0.9473708467549784,387.591191133,0.8432885286197215,0.0,0.5587230883444692,0.6855676008516706,0.5587230883444692,0.4592364852317999,0.6997193109081247,0.30028068909187533
2,0.18335513300007733,0.18001987100001315,0.003826083999911134,0.03544546104967594,1.1524185538291931e-05,0.0,0.0,0.40265807323521585,197.50330574600002,1.3500289199901943,585.094496879,0.8474331687996032,0.0,0.5740163325909428,0.6753961896952994,0.5740163325909429,0.4626740080492895,0.6997193109081247,0.30028068909187533
3,0.17516578599997956,0.16625036599998566,0.0038686330000246016,0.035421691834926605,1.2435019016265869e-05,0.0,0.0,0.3807189118539327,176.67773143299996,1.730747831844127,761.7722283119999,0.8503230939784329,0.0,0.5904231625835188,0.6652235292482263,0.5904231625835189,0.46595908286702753,0.6997193109081247,0.30028068909187533
4,0.1648793150000074,0.17832877099999678,0.003940618999990875,0.03573015332221985,1.1403113603591919e-05,0.0,0.0,0.3828902614358185,199.9548385930001,2.1136380932799455,961.727066905,0.8538990381790666,0.0,0.6097995545657016,0.6549346030749504,0.6097995545657016,0.46905454632455745,0.6997193109081247,0.30028068909187533
5,0.166602414999943,0.14907429899994895,0.00392143300018688,0.03567149676382542,1.191161572933197e-05,0.0,0.0,0.3552815553796336,173.82027620099996,2.468919648659579,1135.547343106,0.8566343738699631,0.0,0.6282850779510022,0.6446195726156801,0.6282850779510022,0.4716757947111051,0.6997193109081247,0.30028068909187533
6,0.1681215680000605,0.13828195399992183,0.003964575000054538,0.035821009427309036,1.125037670135498e-05,0.0,0.0,0.34620035680404726,174.86111109000012,2.8151200054636263,1310.408454196,0.8585851812641084,0.0,0.6463994060876022,0.6343427415131956,0.646399406087602,0.4738379537342983,0.6997193109081247,0.30028068909187533
7,0.16233843999998498,0.14222977099984746,0.003918686999895726,0.035437822341918945,1.1680647730827332e-05,0.0,0.0,0.34393640098937794,176.73373287899994,3.1590564064530042,1487.142187075,0.8610149420133895,0.0,0.6656273199703043,0.6240898226332494,0.6656273199703043,0.47632118283042274,0.6997193109081247,0.30028068909187533
8,0.20361310999987836,0.14904147299989745,0.003915892999884818,0.03544463403522968,1.1252239346504211e-05,0.0,0.0,0.3920263622742368,175.28770319,3.551082768727241,1662.429890265,0.8632494822675687,0.0,0.6832962138084632,0.6137533093008463,0.6832962138084633,0.4805895307817226,0.6997193109081247,0.30028068909187533
9,0.1628391179999653,0.13872103000016978,0.00383250599998064,0.03571901097893715,1.2043863534927368e-05,0.0,0.0,0.3411237088425878,200.53932713999984,3.892206477569829,1862.9692174049999,0.866708254693329,0.0,0.6979213066072755,0.6034685486569258,0.6979213066072755,0.4796412558458013,0.6997193109081247,0.30028068909187533
