round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
0,0,1.7142450638067235,0.839493193152716,7419,0,0,1855,0.7127287536505565,0.5533036377134373,0.586526319220076,0.11167445388183017,0,0,0,0,0,0,5,0.001,1.0
0,1,1.6999771498263843,0.8407157326130993,5924,0,0,1481,0.7127287536505565,0.5533036377134373,0.5116713864419239,0.09742209475585437,0,0,0,0,0,0,5,0.001,1.0
0,2,1.7072214570947768,0.8397002305918524,5204,0,0,1301,0.7127287536505565,0.5533036377134373,0.4723881917381693,0.08994258501943053,0,0,0,0,0,0,5,0.001,1.0
0,3,1.6746667944544913,0.8430225215744054,4751,0,0,1188,0.7127287536505565,0.5533036377134373,0.4721893246421814,0.08990472077768763,0,0,0,0,0,0,5,0.001,1.0
0,4,1.7540604970518419,0.8384650112866817,4430,0,0,1108,0.7127287536505565,0.5533036377134373,0.44891945714398157,0.08547414424666422,0,0,0,0,0,0,5,0.001,1.0
0,5,1.7155168809366363,0.8396559961777353,4186,0,0,1047,0.7127287536505565,0.5533036377134373,0.4315486928504512,0.08216675538375776,0,0,0,0,0,0,5,0.001,1.0
0,6,1.676593853458762,0.8426352705410821,3992,0,0,998,0.7127287536505565,0.5533036377134373,0.40776675978334725,0.0776386817057434,0,0,0,0,0,0,5,0.001,1.0
0,7,1.716490403485174,0.8369616288175411,3831,0,0,958,0.7127287536505565,0.5533036377134373,0.3875391977982059,0.07378735932850504,0,0,0,0,0,0,5,0.001,1.0
0,8,1.6784560226610508,0.8389610389610389,3696,0,0,924,0.7127287536505565,0.5533036377134373,0.39961578874887294,0.0760867390067492,0,0,0,0,0,0,5,0.001,1.0
0,9,1.6987288114115862,0.8413523330539256,3579,0,0,895,0.7127287536505565,0.5533036377134373,0.37331869693223935,0.07107977977735273,0,0,0,0,0,0,5,0.001,1.0
0,10,1.6823809712680928,0.8394017831463906,3477,0,0,870,0.7127287536505565,0.5533036377134373,0.3778677811591454,0.07194592419415863,0,0,0,0,0,0,5,0.001,1.0
0,11,1.6598179559311215,0.8462809917355372,3388,0,0,847,0.7127287536505565,0.5533036377134373,0.382756641659291,0.07287676192226637,0,0,0,0,0,0,5,0.001,1.0
1,0,1.7225300798529823,0.8379026823021971,7419,0,0,1855,0.7028606624614597,0.5594654788418708,0.5443133842235108,0.1095697522216656,0,0,0,0,0,0,5,0.001,1.0
1,1,1.6616609730928014,0.8466239027683997,5924,0,0,1481,0.7028606624614597,0.5594654788418708,0.5030048744153223,0.09674325447506982,0,0,0,0,0,0,5,0.001,1.0
1,2,1.6964165992760585,0.8396617986164489,5204,0,0,1301,0.7028606624614597,0.5594654788418708,0.47343648949710576,0.0896877668557869,0,0,0,0,0,0,5,0.001,1.0
1,3,1.6547228263178528,0.8447063776047148,4751,0,0,1188,0.7028606624614597,0.5594654788418708,0.47985118115529496,0.0899218251746553,0,0,0,0,0,0,5,0.001,1.0
1,4,1.729066049773916,0.8387358916478556,4430,0,0,1108,0.7028606624614597,0.5594654788418708,0.46191566963680086,0.08572514902072277,0,0,0,0,0,0,5,0.001,1.0
1,5,1.6957248683222605,0.842044911610129,4186,0,0,1047,0.7028606624614597,0.5594654788418708,0.4366211627291842,0.08210307288202402,0,0,0,0,0,0,5,0.001,1.0
1,6,1.6699667842388153,0.8437374749498998,3992,0,0,998,0.7028606624614597,0.5594654788418708,0.419348768187528,0.07785751893104344,0,0,0,0,0,0,5,0.001,1.0
1,7,1.6881991921846444,0.8424954320020882,3831,0,0,958,0.7028606624614597,0.5594654788418708,0.3974693027117616,0.07395106435978846,0,0,0,0,0,0,5,0.001,1.0
1,8,1.6642416973983676,0.843560606060606,3696,0,0,924,0.7028606624614597,0.5594654788418708,0.4186360724024187,0.07661640693135278,0,0,0,0,0,0,5,0.001,1.0
1,9,1.6463338377153767,0.8456552109527801,3579,0,0,895,0.7028606624614597,0.5594654788418708,0.3938827180241252,0.07168947423066988,0,0,0,0,0,0,5,0.001,1.0
1,10,1.629019781810428,0.8456715559390279,3477,0,0,870,0.7028606624614597,0.5594654788418708,0.39952916168927627,0.07259784801455847,0,0,0,0,0,0,5,0.001,1.0
1,11,1.6449341089904028,0.8454545454545455,3388,0,0,847,0.7028606624614597,0.5594654788418708,0.40469211059447263,0.0735368669026626,0,0,0,0,0,0,5,0.001,1.0
2,0,1.6946947553098715,0.8437525272947837,7419,0,0,1855,0.6927094112665806,0.5644394951744618,0.5402394919404934,0.10762217239678014,0,0,0,0,0,0,5,0.001,1.0
2,1,1.6465859300386843,0.8463200540175557,5924,0,0,1481,0.6927094112665806,0.5644394951744618,0.5037936958635196,0.09612349722534534,0,0,0,0,0,0,5,0.001,1.0
2,2,1.6587370517406543,0.8459646425826287,5204,0,0,1301,0.6927094112665806,0.5644394951744618,0.4651174244621232,0.08903380376925964,0,0,0,0,0,0,5,0.001,1.0
2,3,1.6604650580643008,0.8444958956009261,4751,0,0,1188,0.6927094112665806,0.5644394951744618,0.482171434970959,0.08991631327213816,0,0,0,0,0,0,5,0.001,1.0
2,4,1.6951563074085996,0.8399097065462754,4430,0,0,1108,0.6927094112665806,0.5644394951744618,0.46352073715330283,0.08587801438419376,0,0,0,0,0,0,5,0.001,1.0
2,5,1.6688118919531125,0.845867176301959,4186,0,0,1047,0.6927094112665806,0.5644394951744618,0.4427745498101799,0.08220180921980952,0,0,0,0,0,0,5,0.001,1.0
2,6,1.6331427292823792,0.8445390781563126,3992,0,0,998,0.6927094112665806,0.5644394951744618,0.42430264649725674,0.07813273149421736,0,0,0,0,0,0,5,0.001,1.0
2,7,1.653609483052666,0.8435395458104934,3831,0,0,958,0.6927094112665806,0.5644394951744618,0.3998809270810058,0.07408389182380376,0,0,0,0,0,0,5,0.001,1.0
2,8,1.6255677157434925,0.8498917748917749,3696,0,0,924,0.6927094112665806,0.5644394951744618,0.4277397569176281,0.07730592395491126,0,0,0,0,0,0,5,0.001,1.0
2,9,1.615920391349521,0.8492316289466332,3579,0,0,895,0.6927094112665806,0.5644394951744618,0.3990535912415084,0.07228622941614404,0,0,0,0,0,0,5,0.001,1.0
2,10,1.6235076674354185,0.8493528904227783,3477,0,0,870,0.6927094112665806,0.5644394951744618,0.3993431993551945,0.07300651302820073,0,0,0,0,0,0,5,0.001,1.0
2,11,1.6329951439544839,0.8465761511216057,3388,0,0,847,0.6927094112665806,0.5644394951744618,0.4156739247590941,0.07440910001519628,0,0,0,0,0,0,5,0.001,1.0
3,0,1.6720056122345528,0.8446421350586333,7419,0,0,1855,0.6826898786914037,0.5705270972531552,0.53957070393038,0.1058472754568217,0,0,0,0,0,0,5,0.001,1.0
3,1,1.646082216287933,0.8489196488858879,5924,0,0,1481,0.6826898786914037,0.5705270972531552,0.5096243235793563,0.09567284823921429,0,0,0,0,0,0,5,0.001,1.0
3,2,1.648359291301183,0.8450422751729438,5204,0,0,1301,0.6826898786914037,0.5705270972531552,0.47409866633847303,0.08870085476540503,0,0,0,0,0,0,5,0.001,1.0
3,3,1.6127752307302399,0.8535887181645969,4751,0,0,1188,0.6826898786914037,0.5705270972531552,0.48215144083896677,0.08971741013473779,0,0,0,0,0,0,5,0.001,1.0
3,4,1.6638480625081835,0.8471331828442438,4430,0,0,1108,0.6826898786914037,0.5705270972531552,0.4687372097731331,0.08602552606797105,0,0,0,0,0,0,5,0.001,1.0
3,5,1.6570236425534004,0.8475394171046345,4186,0,0,1047,0.6826898786914037,0.5705270972531552,0.4463468435852731,0.0822477829671711,0,0,0,0,0,0,5,0.001,1.0
3,6,1.6237323443442584,0.8467434869739479,3992,0,0,998,0.6826898786914037,0.5705270972531552,0.42754385247249865,0.07831124373968945,0,0,0,0,0,0,5,0.001,1.0
3,7,1.612769636930898,0.8517358392064736,3831,0,0,958,0.6826898786914037,0.5705270972531552,0.40657313998283184,0.07430167120837067,0,0,0,0,0,0,5,0.001,1.0
3,8,1.6314933580699666,0.8489718614718614,3696,0,0,924,0.6826898786914037,0.5705270972531552,0.43146119751711465,0.07782828647476599,0,0,0,0,0,0,5,0.001,1.0
3,9,1.6088551879594368,0.8526404023470243,3579,0,0,895,0.6826898786914037,0.5705270972531552,0.401039412832992,0.07267614161839278,0,0,0,0,0,0,5,0.001,1.0
3,10,1.597707572384575,0.8530917457578372,3477,0,0,870,0.6826898786914037,0.5705270972531552,0.4146184313863446,0.07379279235873376,0,0,0,0,0,0,5,0.001,1.0
3,11,1.5995150040132258,0.8515938606847697,3388,0,0,847,0.6826898786914037,0.5705270972531552,0.4144700404591681,0.07487816696872644,0,0,0,0,0,0,5,0.001,1.0
4,0,1.642051650861535,0.8481736083030058,7419,0,0,1855,0.6727728833778454,0.5782479584261322,0.5473860790578635,0.10455660491025404,0,0,0,0,0,0,5,0.001,1.0
4,1,1.6008919997501276,0.8506752194463201,5924,0,0,1481,0.6727728833778454,0.5782479584261322,0.5088631138823271,0.09508220708105458,0,0,0,0,0,0,5,0.001,1.0
4,2,1.61750681213806,0.851076095311299,5204,0,0,1301,0.6727728833778454,0.5782479584261322,0.47592107698261027,0.08832246310864031,0,0,0,0,0,0,5,0.001,1.0
4,3,1.5931613550915213,0.8528730793517154,4751,0,0,1188,0.6727728833778454,0.5782479584261322,0.4857893711237006,0.089515067378579,0,0,0,0,0,0,5,0.001,1.0
4,4,1.6623677886727688,0.8462753950338601,4430,0,0,1108,0.6727728833778454,0.5782479584261322,0.46870990622736397,0.08595046577873129,0,0,0,0,0,0,5,0.001,1.0
4,5,1.6346765597926751,0.8503583373148591,4186,0,0,1047,0.6727728833778454,0.5782479584261322,0.45305434929433586,0.08237738788280775,0,0,0,0,0,0,5,0.001,1.0
4,6,1.5783951378464698,0.8576152304609218,3992,0,0,998,0.6727728833778454,0.5782479584261322,0.43183630496876574,0.07845369017426693,0,0,0,0,0,0,5,0.001,1.0
4,7,1.66455913799194,0.8471939441399112,3831,0,0,958,0.6727728833778454,0.5782479584261322,0.4181704563033249,0.07478191731163389,0,0,0,0,0,0,5,0.001,1.0
4,8,1.5749673862973679,0.8552489177489178,3696,0,0,924,0.6727728833778454,0.5782479584261322,0.440268195845916,0.07842327326558016,0,0,0,0,0,0,5,0.001,1.0
4,9,1.5483440652522924,0.8588991338362671,3579,0,0,895,0.6727728833778454,0.5782479584261322,0.4064629580662453,0.07304130335024805,0,0,0,0,0,0,5,0.001,1.0
4,10,1.5947311083111195,0.8514236410698879,3477,0,0,870,0.6727728833778454,0.5782479584261322,0.41316224959124626,0.07418212182545147,0,0,0,0,0,0,5,0.001,1.0
4,11,1.5777963983984489,0.85543093270366,3388,0,0,847,0.6727728833778454,0.5782479584261322,0.42022473427802015,0.0753134979327525,0,0,0,0,0,0,5,0.001,1.0
5,0,1.6387487583520726,0.847203127106079,7419,0,0,1855,0.6624498179009861,0.5867112100965107,0.5405917835311107,0.1031315776318605,0,0,0,0,0,0,5,0.001,1.0
5,1,1.618563393065806,0.8528021607022283,5924,0,0,1481,0.6624498179009861,0.5867112100965107,0.5142676088121986,0.0947111077352843,0,0,0,0,0,0,5,0.001,1.0
5,2,1.6044652088105313,0.8524596464258263,5204,0,0,1301,0.6624498179009861,0.5867112100965107,0.48152491285663845,0.08813357557616143,0,0,0,0,0,0,5,0.001,1.0
5,3,1.5542878313115078,0.857545779835824,4751,0,0,1188,0.6624498179009861,0.5867112100965107,0.49319957709802087,0.08953472326082104,0,0,0,0,0,0,5,0.001,1.0
5,4,1.642612731137829,0.849255079006772,4430,0,0,1108,0.6624498179009861,0.5867112100965107,0.46895382934716534,0.08578137497667862,0,0,0,0,0,0,5,0.001,1.0
5,5,1.614404757500036,0.8516005733397037,4186,0,0,1047,0.6624498179009861,0.5867112100965107,0.4542666809616949,0.08241153281792875,0,0,0,0,0,0,5,0.001,1.0
5,6,1.540295744135976,0.8552605210420842,3992,0,0,998,0.6624498179009861,0.5867112100965107,0.4376962163219188,0.07869297259107655,0,0,0,0,0,0,5,0.001,1.0
5,7,1.5893998791929334,0.8548681806316889,3831,0,0,958,0.6624498179009861,0.5867112100965107,0.41553544097405376,0.07494161246440048,0,0,0,0,0,0,5,0.001,1.0
5,8,1.5838519127814676,0.8520562770562771,3696,0,0,924,0.6624498179009861,0.5867112100965107,0.4403525030784524,0.07877778894415217,0,0,0,0,0,0,5,0.001,1.0
5,9,1.5596136830281466,0.8580050293378039,3579,0,0,895,0.6624498179009861,0.5867112100965107,0.40983813840700833,0.07335948339345244,0,0,0,0,0,0,5,0.001,1.0
5,10,1.5563060986134438,0.8574058096059821,3477,0,0,870,0.6624498179009861,0.5867112100965107,0.4211058423283716,0.07470387000628195,0,0,0,0,0,0,5,0.001,1.0
5,11,1.559697996684403,0.854663518299882,3388,0,0,847,0.6624498179009861,0.5867112100965107,0.4269690085999109,0.07582038060190174,0,0,0,0,0,0,5,0.001,1.0
6,0,1.614470931211615,0.8530799299096913,7419,0,0,1855,0.6523465063962687,0.5959910913140312,0.5505841997534332,0.10219373462290368,0,0,0,0,0,0,5,0.001,1.0
