round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.2712909060000186,0.2047684409999988,0.004069431000004897,0.03556122072041035,1.2360513210296631e-05,2.5017186999320984e-05,2.9088718593120575,3.4245992357326998,242.949132425,3.4245992357326998,242.949132425,0.8436106913197209,0.0,0.5558958178668648,0.6838336020637295,0.555902004454343,0.46335839574804955,0.7012977808260473,0.2987022191739527
1,0.27230882699996073,0.2060642759999496,0.004005430999995951,0.03572895564138889,1.1183321475982666e-05,1.3126060366630554e-05,3.259584318846464,3.777716117869602,174.887041676,7.202315353602302,417.836174101,0.846473388719355,0.0,0.5779571888146499,0.6752819781348711,0.5779510022271714,0.46266863445925094,0.7012977808260473,0.2987022191739527
2,0.1943235310000091,0.16352021499994862,0.003862272000105804,0.03539572097361088,1.1790543794631958e-05,1.2561678886413574e-05,2.3574974965304136,2.754623587726769,183.22661120100003,9.95693894132907,601.0627853020001,0.8489879417964104,0.0,0.5975439247710963,0.6666113765392621,0.5975501113585746,0.4626332458292879,0.7012976260740946,0.2987023739259054
3,0.18991880800001582,0.18021864999991521,0.0038158149999389934,0.03546750545501709,1.197122037410736e-05,1.2895092368125916e-05,3.332657026126981,3.74210267089461,180.29473495599996,13.69904161222368,781.357520258,0.8519856415372055,0.0,0.6190732491957437,0.6577487910728274,0.619079435783222,0.4677512544958747,0.7012977808260473,0.2987022191739527
4,0.19674518199997237,0.17125079899994944,0.003778715000066768,0.0357375405728817,1.25151127576828e-05,1.4347955584526062e-05,3.409702306613326,3.8172414062545386,183.83285689800005,17.51628301847822,965.1903771560001,0.8548209127135343,0.0,0.6394209354120266,0.6487358090713302,0.6394209354120267,0.46963246666474895,0.7012977808260473,0.2987022191739527
5,0.16456624300008116,0.1640163899999152,0.0038503389998822968,0.03547087870538235,1.2174248695373535e-05,1.195073127746582e-05,2.1862613055855036,2.5541892812707374,204.95279926399985,20.070472299748957,1170.14317642,0.8562416500079729,0.0,0.657454837911408,0.6396498425273034,0.6574610244988864,0.47213516833161134,0.7012976260740946,0.2987023739259054
6,0.17309614200007672,0.13596830699998463,0.003917265000154657,0.03568457067012787,1.0892748832702637e-05,1.3396143913269043e-05,3.4143475759774446,3.7630381495405345,175.98872166399997,23.83351044928949,1346.1318980839999,0.8606669557200456,0.0,0.6743132887899036,0.6304080988902094,0.6743132887899035,0.4767969224420094,0.7012977808260473,0.2987022191739527
7,0.17392828900005952,0.1369234349999715,0.003819370999963212,0.03535454906523228,1.0659918189048767e-05,1.2114644050598145e-05,3.609243219718337,3.959291638345803,207.58970254799988,27.792802087635295,1553.7216006319998,0.8631689086092916,0.0,0.6902684978965604,0.6211185636543038,0.6902746844840386,0.4779217774051825,0.7012977808260473,0.2987022191739527
8,0.157694187000061,0.15121942299992952,0.003987887999983286,0.035377465188503265,1.0980293154716492e-05,1.3316050171852112e-05,2.3797850236296654,2.728088283161469,179.402370409,30.520890370796764,1733.1239710409998,0.8653514052265775,0.0,0.7040831477357089,0.6117360205378498,0.704083147735709,0.4812200436032577,0.7012977808260473,0.2987022191739527
9,0.17412571099998786,0.1329977240000062,0.003844948999812914,0.03538545221090317,1.2954697012901306e-05,1.2053176760673523e-05,2.380464369431138,2.7268432135156218,174.37551825100013,33.247733584312385,1907.499489292,0.8670696873974552,0.0,0.7178792378124227,0.6023234157267772,0.7178916109873794,0.4816323089098798,0.7012977808260473,0.2987022191739527
