round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.27308047500000043,0.2076832649999858,0.004089720000024499,0.035636262968182564,1.2174248695373535e-05,2.6959925889968872e-05,1.7413800153881311,2.2619088725309098,188.435527109,2.2619088725309098,188.435527109,0.8453915743618984,0.0,0.4580549368968077,0.7560447917414957,0.4580549368968077,0.46492758625619757,0.7006942482103711,0.2993057517896289
1,0.27242301800004043,0.2059481930000402,0.004016813000021102,0.03557800129055977,1.1390075087547302e-05,1.4275312423706055e-05,1.8065971154719591,2.324588806150132,202.100864408,4.586497678681042,390.53639151699997,0.8489561155127472,0.0,0.46859688195991095,0.7428383675720233,0.4685968819599109,0.4625327673215357,0.7006942482103711,0.2993057517896289
2,0.1957792130000371,0.16530534700007138,0.003909721000013633,0.03546653501689434,1.1824071407318115e-05,1.4236196875572205e-05,3.246310206130147,3.6467970824154463,178.114791347,8.233294761096488,568.651182864,0.8513987345407735,0.0,0.480029695619896,0.729425352854287,0.48002969561989606,0.4640585046124886,0.7006942482103711,0.2993057517896289
3,0.25939840000000913,0.17021893399999044,0.003919479000046522,0.0354174729436636,1.1492520570755005e-05,1.3414770364761353e-05,2.4710563272237778,2.940035520458423,178.39243822699996,11.173330281554911,747.043621091,0.8536653563107648,0.0,0.4959168522642911,0.7156805880279269,0.495916852264291,0.46730238472964997,0.7006942482103711,0.2993057517896289
4,0.19231924799998978,0.15980694799998219,0.0038669909999953234,0.036331526935100555,1.2382864952087402e-05,1.3433396816253662e-05,3.099698357284069,3.4920488874809053,176.90701605699996,14.665379169035816,923.9506371479999,0.8563543028783475,0.0,0.5138950754763673,0.7021091288738749,0.5138827023014105,0.47215545126096736,0.7006942482103711,0.2993057517896289
5,0.18900548700003128,0.16251329700003225,0.003899231000104919,0.035408785566687584,1.1360272765159607e-05,1.3595446944236755e-05,2.6956258807331324,3.086477637019698,180.84977584499995,17.751856806055514,1104.800412993,0.8582828751549186,0.0,0.5337045285820342,0.6887322158824802,0.5337045285820341,0.4741653146745292,0.7006942482103711,0.2993057517896289
6,0.16666924099990865,0.16602096199994776,0.003918757999826994,0.035327181220054626,1.1311843991279602e-05,1.3504177331924438e-05,2.5423796977847815,2.9143406560258427,181.17909504800014,20.666197462081357,1285.9795080410001,0.8614783274531849,0.0,0.5539099232863152,0.6757705950680368,0.5538975501113585,0.4767558459682915,0.7006942482103711,0.2993057517896289
7,0.159541137999895,0.13783888400007527,0.003890473999945243,0.035390790551900864,1.154094934463501e-05,1.488812267780304e-05,2.571907525882125,2.9085952415059637,178.716711024,23.57479270358732,1464.6962190650002,0.8634562513634424,0.0,0.5775055679287304,0.6621359411158074,0.5775055679287305,0.47756948248676506,0.7006942482103711,0.2993057517896289
8,0.15730161800001952,0.13522907700007636,0.0038859460000821855,0.035383328795433044,1.078099012374878e-05,1.3867393136024475e-05,3.4751938991248608,3.8070185173037316,205.68296395700008,27.381811220891052,1670.3791830220002,0.86708830083418,0.0,0.6012435040831478,0.6490620017901169,0.6011878247958427,0.4805930804231354,0.7006942482103711,0.2993057517896289
9,0.16011390599987863,0.1420251140000346,0.003843456999902628,0.035436708480119705,1.1391937732696533e-05,1.3217329978942871e-05,3.1484431959688663,3.4898869907165135,177.0445597119999,30.871698211607566,1847.4237427340001,0.8680853715078949,0.0,0.6244246473645136,0.6362462300727599,0.6244246473645138,0.4821110152008397,0.7006940934584183,0.29930590654158173
