round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.007032286000004717,0.004654639999998267,0.0002788440000003334,0.0005028550513088703,4.988629370927811e-06,0.0,0.0,0.012473613680683115,35.87550327,0.012473613680683115,35.87550327,0.14300717118694484,0.103817046268889,0.10460000000000001,2.2972069873085506,0.1046,0.14323499419624505,0.9863098479972273,0.013690152002772682
1,0.002234615999995526,0.0012860849999967172,0.0002641960000033805,0.0004642321728169918,5.230307579040527e-06,0.0,0.0,0.004254359480391656,23.191050573000005,0.01672797316107477,59.06655384300001,0.20015865867134264,0.12761726859659875,0.12820000000000004,2.285415604144712,0.1282,0.14626871978987835,0.9867554587314947,0.013244541268505272
2,0.0021086699999983693,0.0017659570000034819,0.0002656989999962889,0.00046682683750987053,5.1800161600112915e-06,0.0,0.0,0.004612332853668022,23.250780391999996,0.021340306014742794,82.317334235,0.24119482027222436,0.1724151060428839,0.17229999999999998,2.267531286312055,0.1723,0.1460673755777015,0.9794688980211582,0.02053110197884178
3,0.0021846730000021353,0.00231356399999072,0.0002676930000120592,0.00046939076855778694,4.428904503583908e-06,0.0,0.0,0.005239749673066285,23.179495758,0.02658005568780908,105.496829993,0.2689490474090211,0.22769154389475785,0.2287,2.243637317343603,0.2287,0.14585969065380644,0.9858889934148636,0.01411100658513642
4,0.002209910000004811,0.0013309790000022304,0.0002618919999974878,0.00046517327427864075,5.259178578853607e-06,0.0,0.0,0.004273213452862024,23.139074483,0.030853269140671102,128.635904476,0.2899677492561837,0.2729921747376078,0.27349999999999997,2.2143302627756625,0.2735,0.14555032070547824,0.9857404565034411,0.01425954349655889
5,0.002149876999993694,0.001321111000009978,0.00026180099999351114,0.0004692613147199154,8.726958185434341e-06,0.0,0.0,0.004210777272902533,23.38652645899998,0.035064046413573635,152.022430935,0.307772117153064,0.2962423749527015,0.29749999999999993,2.179842134065266,0.2975,0.14524929814953863,0.9859054975161328,0.014094502483867233
6,0.002232843000001594,0.0012906240000063463,0.00025136200000019926,0.0004589017480611801,4.678033292293549e-06,0.0,0.0,0.004238408781361613,23.202750374999994,0.03930245519493525,175.22518130999998,0.32167702295967276,0.31361425992862607,0.315,2.14110806320287,0.315,0.1448917089140337,0.9860870426300936,0.013912957369906387
7,0.0021189789999880304,0.0013275330000226404,0.0002598479999846859,0.00046616513282060623,4.3478794395923615e-06,0.0,0.0,0.004176873012255555,23.222729820000012,0.043479328207190804,198.44791113,0.33316619247273793,0.32081480901428516,0.3222,2.0989887442769883,0.3222,0.1444522473093365,0.9863346041491311,0.0136653958508689
8,0.0021706269999981487,0.0012957029999824954,0.00025262400001224705,0.0004666158929467201,4.599336534738541e-06,0.0,0.0,0.00419016922947435,23.242099437999997,0.047669497436665154,221.690010568,0.3436583270407377,0.3305441801356179,0.33179999999999993,2.0546559366998793,0.3318,0.14389167352417306,0.9926061626314139,0.00739383736858612
9,0.002129259000014372,0.0013055320000034953,0.0002540469999985362,0.0004539317451417446,4.968605935573578e-06,0.0,0.0,0.004147738351093722,23.284187812,0.051817235787758875,244.97419838,0.3542676074222339,0.3417911626180726,0.3435000000000001,2.0088186248948303,0.3435,0.1433541292994694,0.9930682774669506,0.0069317225330494114
10,0.0021820370000114053,0.001339806000032695,0.0002566420000107428,0.00046981265768408775,4.848930984735489e-06,0.0,0.0,0.004253146588723666,23.13168002399999,0.05607038237648254,268.105878404,0.3628964652984761,0.3535686773636983,0.3553,1.9628227677526353,0.3553,0.14255493471468955,0.9935881566569292,0.006411843343070767
11,0.002165536000006796,0.001314037999975426,0.00026198199998361815,0.000459061935544014,4.999339580535889e-06,0.0,0.0,0.00420561727509039,23.133009383,0.06027599965157293,291.238887787,0.3714624855290296,0.35992489033599845,0.36189999999999994,1.9174458241160912,0.3619,0.1419819894450279,0.9944958822267334,0.005504117773266648
